"","1","2","3","4","5","6","7","8","9","10","11","12"
"Baringo",1,1,1,1,2,1,1,2,2,1,1,1
"Embu-Mbeere",0,0,0,0,0,0,0,0,0,0,1,0
"Garissa",0,1,0,0,1,1,1,1,1,0,0,1
"Ijara",0,0,0,1,1,1,0,0,0,0,1,1
"Isiolo",0,0,0,0,0,0,1,1,1,1,0,0
"Kajiado  ",0,0,0,0,0,0,0,0,0,0,0,1
"Kitui",0,0,0,0,0,0,0,1,0,1,0,0
"Mandera",1,0,0,1,2,2,2,1,0,0,2,2
"Marsabit",1,0,0,0,0,0,0,0,0,0,0,2
"Meru-North",1,1,1,1,2,2,1,1,0,0,3,2
"Narok",0,0,0,0,0,0,0,0,0,1,0,0
"Samburu",1,1,1,0,2,2,2,1,1,0,1,3
"Tana River",0,0,0,0,1,0,0,0,0,0,1,0
"Turkana",1,0,0,1,2,2,2,1,2,2,2,3
"Wajir",0,0,0,0,1,2,1,0,0,0,0,0
"West Pokot",0,1,0,0,0,0,1,1,0,1,1,0
