ADM2_NAME,ID1
Kiambu,1
Kirinyaga,2
Maragua,3
Muranga,4
Nyandarua,5
Nyeri,6
Thika,7
Kwale,8
Lamu,9
Mombasa,10
Taita Taveta,11
Tana River,12
Isiolo,13
Kitui,14
Machakos,15
Makueni,16
Mwingi,17
Nairobi,18
Garissa,19
Ijara,20
Mandera,21
Wajir,22
Bondo,23
Homa Bay,24
Kisumu,25
Kuria,26
Migori,27
Nyamira,28
Nyando,29
Rachuonyo,30
Siaya,31
Suba,32
Baringo,33
Bomet,34
Buret,35
Kajiado,36
Keiyo,37
Kericho,38
Koibatek,39
Laikipia,40
Marakwet,41
Nakuru,42
Narok,43
Samburu,44
Trans Mara,45
Trans Nzoia,46
Turkana,47
Uasin Gishu,48
West Pokot,49
Nandi North,50
Nandi South,51
Bungoma,52
Busia,53
Butere Mumias,54
Kakamega,55
Lugari,56
Mt Elgon,57
Teso,58
Vihiga,59
Kisii,60
Marsabit,61
Meru,62
Embu,63
Kilifi,64
Tharaka_Nithi,65
