ADM2_NAME,ID1,ADM2_CODE,X01.1999,X02.1999,X03.1999,X04.1999,X05.1999,X06.1999,X07.1999,X08.1999,X09.1999,X10.1999,X11.1999,X12.1999,X01.2000,X02.2000,X03.2000,X04.2000,X05.2000,X06.2000,X07.2000,X08.2000,X09.2000,X10.2000,X11.2000,X12.2000,X01.2001,X02.2001,X03.2001,X04.2001,X05.2001,X06.2001,X07.2001,X08.2001,X09.2001,X10.2001,X11.2001,X12.2001,X01.2002,X02.2002,X03.2002,X04.2002,X05.2002,X06.2002,X07.2002,X08.2002,X09.2002,X10.2002,X11.2002,X12.2002,X01.2003,X02.2003,X03.2003,X04.2003,X05.2003,X06.2003,X07.2003,X08.2003,X09.2003,X10.2003,X11.2003,X12.2003,X01.2004,X02.2004,X03.2004,X04.2004,X05.2004,X06.2004,X07.2004,X08.2004,X09.2004,X10.2004,X11.2004,X12.2004,X01.2005,X02.2005,X03.2005,X04.2005,X05.2005,X06.2005,X07.2005,X08.2005,X09.2005,X10.2005,X11.2005,X12.2005,X01.2006,X02.2006,X03.2006,X04.2006,X05.2006,X06.2006,X07.2006,X08.2006,X09.2006,X10.2006,X11.2006,X12.2006,X01.2007,X02.2007,X03.2007,X04.2007,X05.2007,X06.2007,X07.2007,X08.2007,X09.2007,X10.2007,X11.2007,X12.2007,X01.2008,X02.2008,X03.2008,X04.2008,X05.2008,X06.2008,X07.2008,X08.2008,X09.2008,X10.2008,X11.2008,X12.2008,X01.2009,X02.2009,X03.2009,X04.2009,X05.2009,X06.2009,X07.2009,X08.2009,X09.2009,X10.2009,X11.2009,X12.2009,X01.2010,X02.2010,X03.2010,X04.2010,X05.2010,X06.2010,X07.2010,X08.2010,X09.2010,X10.2010,X11.2010,X12.2010,X01.2011,X02.2011,X03.2011,X04.2011,X05.2011,X06.2011,X07.2011,X08.2011,X09.2011,X10.2011,X11.2011,X12.2011,X01.2012,X02.2012,X03.2012,X04.2012,X05.2012,X06.2012,X07.2012,X08.2012,X09.2012,X10.2012,X11.2012,X12.2012,X01.2013,X02.2013,X03.2013,X04.2013,X05.2013,X06.2013,X07.2013,X08.2013,X09.2013,X10.2013,X11.2013,X12.2013,X01.2014,X02.2014,X03.2014,X04.2014,X05.2014,X06.2014,X07.2014,X08.2014,X09.2014,X10.2014,X11.2014,X12.2014,X01.2015,X02.2015,X03.2015,X04.2015,X05.2015,X06.2015,X07.2015,X08.2015,X09.2015,X10.2015,X11.2015,X12.2015
Kiambu,1,51333,14.3,5.020000267,143.2200043,95.08000183,23.70000076,8.819999886,18.26000023,30.88000107,7.879999924,18.71999969,99.20000305,58.51999969,16.72000084,4.280000114,37.02000122,67,37.54000168,27.6,3.780000019,19.07999992,14.52000008,14.92000008,76.46000061,45.90000076,161.1199982,11.32000046,124.8,89.48000183,55.94000092,23.96000099,20.10000038,20.49999962,16.82000046,28.3,86.08000183,19.76000023,57.96000061,98.05999908,56.25999985,176.3600098,123.2800018,11.08000011,6.619999981,14.44000015,40.40000076,34.58000031,72.92000122,174.7400055,30.56000137,6.779999924,49.68000107,145.9400024,174,17,4.220000076,5.879999924,39.50000076,12.04000053,49.5,35.52000046,109.1,55.91999969,45.24000092,71.1,22.57999954,11.0800005,1.900000048,1.579999995,16.94000015,33.04000092,36.64000015,48.78000183,17.36000023,8.999999809,45.00000153,61.66000214,74.76000061,6.480000114,3.559999943,13.42000046,7.8,35.86000061,33.5,8.200000191,27.92000084,39.74000168,129.2800018,171,93.53999939,9.119999886,6.580000114,29.1,57.54000092,57.7,159.9400024,120.1,56.03999939,32.02000046,53.62000122,72.34000244,89.76000366,9.720000458,26.72000046,27.25999985,33.92000046,16.46000061,40.8,66.26000061,36.00000076,53.64000092,184.6800018,84.13999939,43.38000031,10.52000027,7.680000114,7.820000172,41.02000046,23.74000015,77.13999939,13.4,54.73999939,42.56000214,29.70000076,117.2000031,90.03999939,28.7,4.840000057,7.8,6.459999943,46.32000122,53.72000122,96.94000092,82.01999969,86.64000397,127.8400024,94.66000061,73.5,16.66000061,1.300000048,7.560000229,6.199999905,20.06000061,47.85999908,44.59999924,17.99999962,60.73999939,93.16000061,42.68000183,58.52000122,18.89999962,3.980000019,2.019999981,33.23999939,63.68000183,79.12000427,29.11999969,33.6,17.22000046,12.96000023,90.92000275,134.1,33.28000107,11.90000038,37.17999954,30.2,34.78000031,98.70000305,175.4800018,33.06000061,20.60000038,139.3200012,191.1400085,32.66000061,26.47999954,9.159999847,26.74000015,35.50000153,8.020000076,54.86000214,117.5200043,33.86000061,79.80000458,100.5000015,37.63999939,45.12000275,45.22000198,8.240000153,32.04000015,57.05999985,29,71.4,67.8,27.71999969,14.28000011,32.80000076,96.14000244,100.6,90.06000061,0,0,17.42000008,27.92000122,153.0200012,105.9999985
Kirinyaga,2,51334,15.05000048,8.430000019,136.4799973,184.0799973,59.91000099,13.0999999,83.85000305,69.53000069,14.00000038,106.3799995,251.2800018,65.38000183,14.5,2.620000005,38.7,117.270005,65.00000229,50.53000069,12.29000006,29.43999996,27.59000034,71.37000198,199.6200027,36.74000206,139.9500092,9.739999866,160.0300003,192.8399994,130.320002,41.17000237,50.6400013,38.16000099,17.35,88.95,245.5700073,22.9300005,37.5200016,84.61999893,73.38000412,414.7799957,237.5900101,28.59000015,28.43000011,41.61999931,81.24000244,125.8600044,150.3199997,155.8700027,14.95000029,3.280000043,63.59000206,295.8300171,338.630011,28.17000084,15.09000006,19.22000017,66.59000168,31.32999973,143.4699982,30.32000027,83.22000427,43.45000076,53.33000145,115.2400009,41.11000099,21.34999981,8.800000048,3.979999995,23.72000027,156.6500092,85.38000259,47.33000031,13.50000038,7.260000038,51.02000198,96.85000153,156.4000061,12.19000025,12.47000008,35.26000099,13.32000046,146.0100037,84.89000168,7.150000191,19.37000103,35.57999992,156.2400024,323.2000061,196.2800049,19.6300005,30.11000099,62.45000229,77.24000015,294.2700165,417.4000122,108.5400047,37.31000061,25.01000042,61.71000099,103.0100044,172.8399979,17.52999992,85.89000473,59.99000168,54.58000221,72.92000046,99.12999878,64.67000046,26.90000057,50.46000252,247.9100082,151.9600037,99.56000137,17.17999983,21.99000034,20.36999998,58.70000153,78.46999893,196.8000076,10.99999981,40.30999947,38.92999992,35.39000092,213.8600006,155.840004,58.05,20.67999973,21.89000015,9.83000021,234.8500076,126.35,105.7500023,62.91000099,74.19999847,170.9500092,169.0700027,145.7600014,9.950000286,4.980000257,20.66000013,9.35,83.75,116.8400047,48.33000069,11.2300005,56.16000252,124.5400047,76.47000275,138.6800034,19.11000061,15.91000051,1.19000001,48.36000252,309.2400055,191.4500031,22.86000023,56.97000122,15.76000013,16.46000051,131.9300003,275.95,52.22999916,42.55000153,77.49000092,52.37000084,161.2300034,233.4800018,165.1400101,27.84000034,18.18000011,190.8700089,307.9500183,68.58000069,50.25999947,31.6300005,64.07999992,54.48000221,38.13000031,127.6600044,111.3700027,24.8600008,68.7,123.9,80.69999847,86.13000412,77.5,28.24999981,45.9,42.9,126.7,187.6,65.2,40.2,43.6,99.8,256.5,192.8,52,52.3,45.9,35.23999996,106.4500038,350.330011,98.78999863
Maragua,3,51335,14.97000055,8.280000019,141.3899979,181.3999969,53.02000084,12.4999999,69.70000305,62.60000114,13.11000042,99.18999863,245.4,65.59000168,15.01000004,2.830000019,39.39000015,116.0800041,62.17000122,48.13000069,10.5999999,25.55999966,25.4800005,66.62000122,197.1100037,37.76000214,144.1600082,10.22999983,163.1800003,187.4699997,121.8900017,39.50000191,45.15000114,34.05000076,16.8,86.49000092,232.4000061,22.50000038,39.66000137,89.16999893,74.11000443,402.1199951,226.0600082,26.24000015,23.43999958,35.04999924,76.1400032,121.8500038,148.6600006,160.3700027,16.6300004,3.630000043,64.98000221,288.7200165,323.0700104,26.89000092,13.35999994,15.73000021,64.02000122,30.07999973,132.7400024,30.76000042,86.76000443,45.77000084,54.02000122,113.7199997,38.92000084,20.41999989,7.710000086,3.469999957,22.77000027,149.8100082,83.33000259,48.02000046,13.98000031,7.540000057,52.04000206,97.18000183,148.2700058,11.70000029,11.06000004,30.66000061,12.62000046,139.1700027,82.4600029,7.310000229,20.17000103,36.62999992,160.0600037,319.9600067,183.4900055,17.91000042,24.43000069,55.73000183,75.57000046,279.2400177,408.7500122,110.0600044,38.88000069,25.81000042,62.92000084,101.740004,163.6999969,16.75,78.09000397,50.71000137,50.80000191,69.63000031,93.19999847,65.49000015,27.91000042,52.23000221,252.4900101,149.6300034,93.21000137,16.41999979,19.80000057,16.98999987,56.93000183,72.25999832,191.4500092,11.2499999,41.90999947,40.25999985,36.00000076,211.45,148.3100037,56.24000015,18.22999973,18.66000004,8.98000021,219.9700089,121.3899986,105.5400017,65.54000053,77.49999924,173.7700089,166.2800034,137.2000023,9.460000229,4.380000257,16.8999999,8.85,79.94000015,114.8500046,48.39000053,11.65000048,58.28000221,126.2400047,74.33000259,127.7800034,17.83000069,13.45000048,1.05,46.81000252,294.2700073,185.7200058,23.16000023,55.81000137,16.05000029,16.52000055,130.8199997,263.3700012,50.11999931,37.36000137,68.99000015,49.19000053,151.7200027,229.6199997,166.9800095,28.77000027,18.97999992,193.9200089,307.3800171,62.77000084,48.14999962,27.71000042,55.26999931,52.05000191,35.46000023,125.6000038,113.6000031,25.92000084,71.29000015,126.9199997,77.81999893,81.45000381,75.16000061,24.68999958,40.2,40.7,120.5,183.9,66.1,41.8,45.1,101.4,253.6,183.1,49.8,46.3,40.2,31.78999958,100.7100044,346.2100128,100.4599983
Muranga,4,51336,14.40000057,8,136.1999969,177.6999969,50.70000076,11.19999981,66.80000305,59.20000076,12.10000038,94.59999847,249,61.90000153,14,2.5,38.5,113.2000046,56.40000153,45.20000076,9.699999809,23.89999962,24.60000038,63.40000153,196.3000031,35.10000229,137.4000092,9.199999809,159.5,184,116.4000015,36.10000229,41.70000076,31.70000076,15,80,239.6000061,21.60000038,36.40000153,83.59999847,72.20000458,398.3999939,212.9000092,24,22.39999962,33.79999924,74.30000305,116.7000046,147,149.3000031,14.30000019,3.200000048,63.10000229,280.3000183,303.2000122,24.70000076,12.69999981,15.30000019,61.40000153,28.89999962,141.1999969,28.10000038,80.70000458,42.70000076,52.90000153,111,36.70000076,18.89999962,7.400000095,3.299999952,21.10000038,147.4000092,83.30000305,45,13.10000038,7,50.60000229,94.40000153,139.6000061,10.80000019,10.5,29.20000076,12.10000038,134.8000031,83.90000153,6.800000191,18.80000114,34,155.3000031,313.6000061,175.1000061,17.10000038,24.20000076,51.90000153,72,271.8000183,407.2000122,103.2000046,36.20000076,24.10000038,61.20000076,99.20000458,154.1999969,15.5,73.20000458,47.40000153,47.60000229,68,98.59999847,61.5,26.10000038,48.60000229,247.9000092,146.3000031,88.90000153,15.19999981,18.10000038,15.69999981,53.90000153,65.09999847,189.9000092,10.69999981,38.79999924,37.5,35.20000076,206.5,137.3000031,53,17.39999962,17.5,8.300000191,216.4000092,124,99.90000153,60.70000076,71.59999847,168.9000092,162.8000031,127.4000015,8.800000191,4.200000286,15.19999981,8.5,75.5,114.2000046,45.70000076,10.90000057,55.10000229,122.2000046,72.30000305,122.3000031,16.20000076,12.40000057,1,44.10000229,285.6000061,186.8000031,21.5,53.90000153,15.30000019,15.90000057,123.5,246.5,45.79999924,35.40000153,65.5,46.70000076,145.8000031,228.5,154.9000092,26.10000038,17.5,189.4000092,296.8000183,58.20000076,44.29999924,26.10000038,51.79999924,49.10000229,33.5,124.2000046,105.8000031,24.20000076,66.5,123.5,77.09999847,75.70000458,69,23.39999962,38,39,117,183,62,39,42,99,247,172,46,44,38,30.89999962,95.70000458,343.2000122,93.09999847
Nyandarua,5,51337,12.30000019,3.600000143,85.70000458,83.09999847,45.79999924,37.40000153,153.6999969,177.9000092,46.20000076,103,84.40000153,32.79999924,8.699999809,3.5,18.20000076,56.20000076,86.5,75.90000153,47.10000229,104.5,58.10000229,80.70000458,68.40000153,22.39999962,76.09999847,9.199999809,71,102.9000015,86,82.5,155.3000031,137.3000031,58.29999924,97.30000305,83.59999847,9.199999809,31,51.5,33.70000076,157.9000092,188,60.40000153,59.90000153,89.90000153,82.30000305,101.9000015,72.90000153,103.7000046,19.89999962,2.100000143,39,169.3000031,228.1999969,62.5,36.40000153,54.90000153,92.30000305,22.30000114,40.29999924,27.20000076,55.20000076,22,23.5,58.29999924,40.60000229,35.70000076,4,4.700000286,72.20000458,82.90000153,23.20000076,27.39999962,7.800000191,6.400000095,30.39999962,47.29999924,124.7000046,26.39999962,30.60000038,70.20000458,18.39999962,90.5,27.5,4.800000191,17.10000038,26.89999962,78.20000458,125.3000031,118.2000046,36.10000229,49.10000229,201.8000031,127.5,144.8000031,162.5,61.40000153,36.40000153,22.60000038,36.70000076,66.59999847,109.8000031,26.89999962,182.1000061,177.1000061,153.9000092,42.79999924,33.5,37.20000076,21.70000076,31,94.30000305,68.30000305,66.59999847,40.29999924,73.20000458,93.90000153,112.8000031,108,98,4.599999905,34.5,28.30000114,17.30000114,128.1999969,130.1000061,64.30000305,30.5,76.20000458,39.5,127.5999985,54.40000153,56.79999924,46.90000153,58.90000153,89.20000458,91.20000458,131,109.5999985,8.800000191,84.5,20.10000038,79.70000458,51.40000153,25.60000038,12.5,29.70000076,65.59999847,47.5,99.30000305,74.59999847,49,51.79999924,106.5,180.1000061,64.80000305,17.89999962,29.10000038,9.400000572,13.19999981,106.3000031,194.9000092,112.9000015,90,177.9000092,114.0999985,122,94.5,111.2000046,37.10000229,12.90000057,100.2000046,161.8000031,76.40000153,91,75.5,192,127.5,50.40000153,63.20000076,66.40000153,16.80000114,42.40000153,60.10000229,32.5,84.80000305,137.9000092,62.5,200.6999969,179.4000092,78,76.09999847,37,14.80000019,9,20.70000076,80.30000305,142,393.8000183,0,0,76.30000305,98.40000153,156.9000092,67
Nyeri,6,51338,21.16999969,10.32000036,122.7100014,157.9799973,82.14000168,30.54000092,173.4000031,143.4200027,31.40000057,150.5699982,175.7700073,81.58000183,19.1,3.870000052,31.14000034,102.1500023,112.4299995,81.31000137,35.76000214,69.04000168,49.64000206,107.0999992,147.3299973,48.53000069,163.1500092,14.92000046,130.2400017,180.2399994,155.4300034,83.83000031,127.1400047,92.43000031,38.89000015,128.1899986,185.2700073,27.4300005,48.82000198,94.08000259,64.91999931,334.4100067,300.4100128,64.23000221,63.26000252,86.35,110.9400024,146.7400085,130.7000038,213.5600082,22.00000095,4.020000029,59.9,293.1300171,410.0900055,57.15000153,29.85000057,40.46000137,97.01000443,34.12000008,96.31000366,50.45999947,107.1700012,49.12000008,44.78000145,100.2100037,50.56000099,38.35999947,16.63000031,8.570000553,47.92999954,141.8900009,68.09999847,61.28000031,17.30000038,9.640000343,44.72000198,84.87999878,193.8399979,22.17999973,24.80000076,75.31000443,21.87000046,152.1300064,59.51000099,9.580000019,24.86000004,49.82999954,136.1699997,257.9500061,220.0399994,34.93000221,54.77000237,149.6600037,117.1100029,298.5,340.7200012,140.2200089,48.01999931,33.22000084,53.97000237,90.14000168,213.7000061,31.57000027,176.5200089,149.4500031,117.4100014,71.48000183,65.74000015,82.9400032,34.52000198,67.33000412,188.3299973,129.6400009,118.55,30.85999966,57.22999992,61.95000153,98.84000015,144.6200058,179.5199966,10.91000032,55.01000137,51.87999954,29.54000092,202.8800034,209.390004,80.82000275,40.03000145,56.72000084,23.82000046,224.3199966,100.1600014,133.8300064,84.15000305,98.44999847,153.9400009,154.4,206.0600082,17.5100008,9.479999828,64.94000168,15.29000034,111.9200027,96.59000473,61.56000137,14.36999989,63.27000046,116.7999992,78.72000275,168.7399979,45.32999954,42.64000206,2.450000095,86.89000397,318.780011,151.5800003,34.0200016,78.93000259,18.73000031,19.34000034,161.0900085,344.6200165,100.5599998,88.00000153,153.8100037,97.72999878,191.0200089,184.7900101,242.8099991,45.29000015,24.45000114,167.8300034,286.8899963,111.8700027,93.0100029,70.24000015,151.8300034,102.9700012,62.24999962,112.8100044,149.35,31.17000103,86.61000137,104.7300041,65.30999985,126.8100014,141.6700027,59.30000153,101.7,70.8,130.3,154.3,84.1,51.7,58.1,85.4,225.9,241.4,94.3,103.6,101.7,63.49999962,138.5800079,291.1099945,142.7100082
Thika,7,51339,20.10000038,10.80000019,188.1000061,214.6999969,73.90000153,24.20000076,95.80000305,93.20000458,22.20000076,140.5,245,98.80000305,24.10000038,5.800000191,47.40000153,142,114.0999985,74.5,18.70000076,40.5,33.40000153,95.59999847,204.4000092,61.70000076,205,19.5,196.3000031,218.6999969,171.3000031,70.09999847,76.20000458,55.20000076,33,144.9000092,231.6000061,30.60000038,69,139.3000031,91.30000305,435.6000061,344.5,46.40000153,32.79999924,46.29999924,92.70000458,168.1999969,163.6000061,260,37.60000229,7.5,81.90000153,364.5,501.8999939,46.60000229,19.30000114,19.60000038,87.59999847,40.70000076,131.8000031,54.70000076,141.3000031,73.40000153,64.09999847,138.1999969,58.90000153,34.10000229,10.5,5,37.79999924,171.5,83.59999847,75.20000458,21.89999962,12.40000057,65,122.2000046,226.3000031,19.80000114,16.10000038,43.79999924,17.30000114,178.5,82.30000305,11.90000057,32.5,60.29999924,202.9000092,377.2000122,259,25.20000076,26.5,90.20000458,107.7000046,346.2000122,422.7000122,171.8000031,63,41.20000076,78.40000153,124.5999985,249.1999969,28,122.0999985,80.5,79.59999847,84.30000305,92.59999847,101.4000015,44.20000076,84.90000153,293.8000183,179.6000061,132,27.39999962,35.10000229,28.60000038,84.20000458,136.6999969,205.4000092,16.20000076,69.90000153,65.09999847,43.20000076,256,247.4000092,85.40000153,25.70000076,29.10000038,15.10000038,252.1000061,121.0999985,156.3000031,109.0999985,130.6000061,217.6000061,197.6000061,225.4000092,15.40000057,6,32.20000076,12,119.9000015,120.7000046,72.59999847,18.39999962,86.90000153,162.6000061,92.59999847,177.1000061,32.5,22.89999962,1.5,71.20000458,372.3000183,185.6000061,38.10000229,73,22.80000114,22.10000038,196.6999969,415.2000122,89,55,100.4000015,71.59999847,205,239.6999969,275.7000122,52.79999924,32.29999924,234.6000061,402.6000061,103.9000015,82.80000305,42.20000076,86.5,78.59999847,53.10000229,138.1999969,183.8000031,41.40000153,114.4000015,157.6999969,84.30000305,133.1999969,130.6000061,36.29999924,60,56,152,192,103,67,73,123,313,283,84,67,60,39.79999924,145.8000031,373.3000183,166.6999969
Kwale,8,51341,22.41999969,7.220000076,52.18000031,133.1200073,91.90000153,78.04000092,50.46000214,67.21999969,30.58000107,11.60000038,123.7200027,42.11999969,2.839999962,5.619999981,115.6200027,61.24000244,86.2,81.23999939,17.84000015,72.71999969,25.00000076,31.20000076,68.83999939,37.71999969,51.97999954,4.520000076,51.18000107,94.76000366,89.39999847,117.9400024,9,11.90000038,6.080000114,10.61999989,83.55999908,44.28000031,59.8,48.36000214,60.35999985,81.13999939,123.2400024,14.56000023,20.60000076,87.94000244,174.0600037,142.7400024,78.42000122,137.4600067,2.05999999,5.580000019,26.76000023,57.1,166.3600067,53.34000092,14.08000031,8.460000229,29.28000031,21.36000061,49.02000198,22.53999977,36.03999939,25.92000008,53.00000153,86.52000427,16.57999992,37.98000031,12.14000053,9.700000381,18.82000008,111.3200043,86.24000092,53.00000153,19.86000061,3.04000001,59.84000244,78.50000305,114.1600006,11.46000042,7.620000267,52.72000198,38.24000015,58.58000031,41.20000076,4.560000038,17.44000092,6.5,90.93999939,174.0599976,108.2,67.66000061,38.27999954,23.84000015,94.18000183,163.4600006,229.0600067,138.8,22.49999962,15.36000023,63.14000092,56.33999939,154.6399994,32.42000046,25.6,96.62000275,42.63999939,57.08000183,67.06000061,68.28000031,17.32000084,27.49999962,177.6800018,73.4,92.38000336,16.28000031,12.74000053,12.3800005,32.28000107,30.45999985,83.74000244,15.67999992,13.42000027,17.22000046,28.82000084,54.97999954,51.85999985,67.22000122,21.32000008,12.18000031,3.280000067,121.0800018,119.9199997,91.79999847,28.5,17.53999977,68.21999969,137.5600037,78.36000214,12.64000015,5,14.9,31.03999977,3.440000057,72.16000214,45.86000061,6.920000076,57.58000107,44.14000168,94.7,115.7800018,12.35999985,6.620000267,12.7,48.55999985,109.2200012,164.8400085,38.75999985,14.60000057,23.96000023,20.58000107,67.62000427,83.04000092,11.72000046,10.86000042,77.20000153,13.88000031,44.62000046,126.2200043,51.96000061,51.46000214,4.619999981,130.1400024,104.9600021,106.6400024,20.1,16.28000069,25.52000008,49.34000168,44.66000061,66.78000336,90.96000214,9.26000042,19.32000008,74.61999969,44.39999924,144.1400024,64.35999908,26.48000031,1.14000001,112.6800034,18.54000053,33.22000122,72.6,30.18000107,20.2,7.060000134,89.68000488,279.3200073,3.680000019,8.480000114,24.8,56.96000061,49.20000076,239.4600067,39.08000107
Lamu,9,51342,1.300000072,0.400000006,13.69999981,104.4000015,241.1000061,191.6000061,80.30000305,44.10000229,48.20000076,7.800000191,53.79999924,28.5,2,0,22.5,42.5,165.5,145.1000061,25.89999962,18,38.40000153,40.90000153,25.60000038,3.299999952,3.5,0.800000012,14.5,47.60000229,346.3999939,52.40000153,27.39999962,19.39999962,63.60000229,5.099999905,61,10.80000019,3.100000143,18.5,19,106.0999985,203,83.20000458,63,60.20000076,86.5,75.09999847,28.89999962,61.10000229,0.300000012,0,10.19999981,127,256.8000183,98.5,76,32.20000076,44.20000076,36,50.5,6.900000095,4,0.699999988,30,102,232,137,76,40,16.70000076,85.90000153,49,27,7,4,30,48.79999924,232,137,76,40,44,36,38.70000076,27,7,2,21.80000114,163.1000061,285.8999939,172.3000031,121.7000046,36.40000153,65.20000458,36,49,27,7,4,30,102,232,137,14,58.40000153,60.90000153,27.30000114,49,27,7,4,30,75.90000153,165,137,0,10.10000038,4.900000095,8.699999809,50,27,1,4,17.20000076,102,142.6999969,182.6000061,76,17.39999962,1.800000072,117.8000031,49,72.80000305,3.299999952,4.400000095,26.60000038,122.0999985,127.0999985,137,76,18.39999962,44,4.300000191,32.29999924,24.30000114,7,17.80000114,5.5,47.29999924,390,57.29999924,22,40,13,36,49,8.5,21.70000076,4,30,8.699999809,232,54.20000076,32.10000229,63,13.5,64.90000153,74.20000458,28,8.800000191,4,120.4000015,59.29999924,268.3999939,73.5,46.90000153,30.70000076,24.30000114,20.5,26.10000038,25.89999962,7,3.5,22.10000038,45.40000153,197,116.7000046,61.90000153,40,44,36,49,27,7,4,30,102,232,137,76,40,55.29999924,19.10000038,69.40000153,15.19999981
Mombasa,10,51344,18.59000111,5.410000038,32.15000095,180.5300079,185.7100037,136.6900085,105.0000015,91.57999878,55.18000031,18.23000031,119.8499985,38.35000076,2.1,3.930000043,114.3000031,69.55000153,162.7100082,153.1100052,42.53000145,78.57000046,29.82000103,66.25999985,57.81000023,27.91000023,35.71000061,3.910000157,39.64999924,115.9800003,175.95,203.7400009,28.45999966,26.47999973,15.60000048,15.03000002,87.22000427,31.85000095,49.68000221,51.37000122,63.03000069,109.0300034,160.9600052,33.58000221,54.87000008,99.3900032,190.7300034,155.2099976,69.08000031,143.8400009,1.310000038,3.499999976,18.08000069,92.40999908,233.7100006,106.6299988,31.86000118,12.67000017,41.00000076,27.67000046,63.76000099,17.04000072,27.52000008,24.79000034,45.09000092,109.9800011,26.38000107,75.99000015,21.76000004,12.66000032,28.54999962,157.3700027,80.49000015,50.02999954,19.62000046,3.360000062,50.75999947,104.7200012,201.1900055,21.95999966,17.35000114,72.23000412,44.31000061,79.72000427,53.07000008,4.430000114,15.41000051,4.530000162,65.98000069,247.9899979,171.0299973,145.4300034,74.95000458,48.61999931,105.8100029,193.6500092,221.7300003,127.0900047,19.73000069,14.1499999,59.1,76.33000183,236.7500061,62.56000023,42.51000214,99.30999985,68.24000168,79.25000305,67.47000427,62.05000114,16.07000046,26.16000118,146.3700089,101.3399986,166.4300079,32.41999931,23.94000111,16.68999996,27.42999973,42.17999954,78.02000427,13.56999998,10.31999989,16.84000111,26.54999981,75.48999863,72.55000305,127.370005,39.78000145,20.38000031,3.600000143,176.7300064,113.0200005,89.23999863,22.83000031,17.56000042,55.78000221,181.1900024,128.7100006,26.40999966,10.73999987,31.44000111,40.3900013,4.25999999,79.50999985,40.3400013,5.910000181,63.08000183,30.4300005,114.8300011,190.5300079,32.57999954,17.73000069,20.70999966,56.34000015,128.270002,160.1600052,32.02000027,18.12000046,22.9600008,17.25999966,81.95000305,126.2799995,29.48000069,22.08000107,87.46000137,17.62000008,78.73000183,138.9200058,44.81000061,50.61000099,4.490000105,157.5900085,114.4599998,196.6500092,45.62000008,38.24000092,39.80000076,68.12000275,61.04999924,60.53000069,77.90000305,1.09000001,18.48999996,58.83000183,44.55,267.6399963,134.1000092,56.81000061,2.220000052,129.9600037,23.00000114,23.46999969,66.6,29.17000084,19.6,56,92.40999908,436.0000122,9.729999828,22.51000099,46.00000229,68.46000137,64.63000259,254.1300049,28.30999966
