Western,,,Eastern,
ID,county,,ID,county
1,Kiambu,,8,Kwale
2,Kirinyaga,,9,Lamu
4,Muranga'a,,10,Mombasa
4,Murang'a,,11,Taita-Taveta
5,Nyandarua,,12,Tana River
6,Nyeri,,13,Isiolo
18,Nairobi,,14,Kitui
24,Homa Bay,,15,Machakos
25,Kisumu,,16,Makueni
27,Migori,,19,Garissa
28,Nyamira,,21,Mandera
31,Siaya,,22,Wajir
33,Baringo,,61,Marsabit
34,Bomet,,62,Meru
36,Kajiado,,63,Embu
38,Kericho,,64,Kilifi
40,Laikipia,,65,Tharaka Nithi
41,Elgeyo Marakwet,,,
42,Nakuru,,,
43,Narok,,,
44,Samburu,,,
46,Trans Nzoia,,,
47,Turkana,,,
48,Uasin Gishu,,,
49,West Pokot,,,
52,Bungoma,,,
53,Busia,,,
55,Kakamega,,,
59,Vihiga,,,
60,Kisii,,,
80,Nandi,,,
