year,code,name,ASAL,AvgTemp_MarMay,coef_var_MarMay,AvgTemp_MarAug,coef_var_MarAug,AvgTemp_OctDec,coef_var_OctDec
1981,51338,-999,1,291.5,3.2,290.5,4.6,291.4,2.4
1982,51338,-999,1,292,3.8,291,4.8,290.8,2.2
1983,51338,-999,1,292.9,3.4,291.6,5.3,291.3,2.2
1984,51338,-999,1,292.4,3.1,291.1,5.4,290.6,2.3
1985,51338,-999,1,291.7,3.1,290.5,4.9,291,2.5
1986,51338,-999,1,291.9,3.8,290.7,5.7,291.6,2.9
1987,51338,-999,1,293,4.1,291.5,6.3,292.3,2.7
1988,51338,-999,1,292.3,3.8,291.1,5.3,290.8,2.4
1989,51338,-999,1,291.4,2.9,290.3,4.8,290.9,2
1990,51338,-999,1,291.4,2.5,290.4,4.3,291.1,2.6
1991,51338,-999,1,292.2,2.5,290.9,5.2,291.2,2.4
1992,51338,-999,1,292.6,4.1,291.1,6.4,291.4,2.3
1993,51338,-999,1,292,2.7,290.9,4.9,291.7,2.3
1994,51338,-999,1,292.4,3.1,291.1,5.1,291.3,2.7
1995,51338,-999,1,292.1,2.2,291.1,4.2,291.1,2.4
1996,51338,-999,1,292.4,2.6,291,5.6,291.5,2.9
1997,51338,-999,1,292.1,4.3,291.3,4.6,291.2,2.1
1998,51338,-999,1,292.6,2.5,291.2,5.7,291.5,2.1
1999,51338,-999,1,292.1,3.3,291.1,4.5,291,2.8
2000,51338,-999,1,292.6,2.6,291.3,5,291.7,2
2001,51338,-999,1,291.8,2.1,290.8,4.3,291.4,2.6
2002,51338,-999,1,292.1,2.8,290.9,4.8,291.3,2.4
2003,51338,-999,1,292.5,3.3,291.2,5.5,291.6,2.4
2004,51338,-999,1,292.3,3,291.2,4.7,291.7,2.2
2005,51338,-999,1,292.8,3.4,291.3,6,292.1,1.7
2006,51338,-999,1,292.4,2.8,291.4,4.4,291.6,2.1
2007,51338,-999,1,292.5,2.4,291.2,5,291.5,1.8
2008,51338,-999,1,292,2.7,291,4.4,291.8,2.3
2009,51338,-999,1,293.1,3.2,291.9,5.1,292.1,2.1
2010,51338,-999,1,292.5,2.1,291.4,4.4,291.9,2.2
2011,51338,-999,1,292.9,2.6,291.8,4.6,291.5,2.3
2012,51338,-999,1,292.4,3.5,291.2,5.2,291.6,2.5
2013,51338,-999,1,292.3,3.6,291,5.4,291.7,2.4
2014,51338,-999,1,292.4,2.6,291.5,4,292,2.5
2015,51338,-999,1,292.7,2.8,291.7,4.4,292.2,2.5
2016,51338,-999,1,292.9,4.9,291.5,6.4,292,2.4
2017,51338,-999,1,293,3.8,291.9,5.1,291.8,2.6
1981,51340,-999,1,299.9,3.2,298.7,4.6,299.8,2.4
1982,51340,-999,1,299.9,4.3,298.8,5,299.5,2.4
1983,51340,-999,1,300.8,3.6,299.5,5.2,299.9,2.6
1984,51340,-999,1,300.4,3.6,298.8,6.1,299.3,2.3
1985,51340,-999,1,300,3.1,298.8,4.6,299.5,2.4
1986,51340,-999,1,300.1,4.6,298.8,5.7,300.1,2.4
1987,51340,-999,1,301,4.4,299.4,6.4,300.6,2.3
1988,51340,-999,1,300.6,4.2,299.3,5.4,299.8,2.1
1989,51340,-999,1,300,3.7,298.7,5.1,299.5,2.1
1990,51340,-999,1,300,2.8,298.9,4.4,299.8,2.3
1991,51340,-999,1,300.6,4,299.1,5.9,300,2.2
1992,51340,-999,1,300.7,3.8,299.2,6,299.8,2
1993,51340,-999,1,300.6,2.6,299.2,5.5,300,2.7
1994,51340,-999,1,300.6,4.5,299.3,5.7,299.5,1.7
1995,51340,-999,1,300.5,3.5,299.3,4.9,299.7,1.9
1996,51340,-999,1,300.3,3.7,299,5.2,300,2.8
1997,51340,-999,1,300.4,3.8,299.3,4.7,299.4,2.2
1998,51340,-999,1,300.8,3.1,299.5,5.2,299.9,2.2
1999,51340,-999,1,300.2,4.2,298.8,5.5,299.3,2.4
2000,51340,-999,1,300.4,3.5,299,5.4,300.2,2.4
2001,51340,-999,1,300.8,3,299.3,5.5,300.1,1.9
2002,51340,-999,1,300.8,3.7,299.4,5.6,299.8,3
2003,51340,-999,1,301.2,3.9,299.6,6.2,300.4,2.2
2004,51340,-999,1,300.9,2.8,299.4,5.6,300.2,2.5
2005,51340,-999,1,301.1,3.4,299.5,6.1,300.2,2.1
2006,51340,-999,1,300.5,3.3,299.4,4.8,299.9,2.3
2007,51340,-999,1,301,3.4,299.6,5.5,299.9,1.8
2008,51340,-999,1,300.1,3.4,298.9,5,300.5,1.9
2009,51340,-999,1,301.1,3.2,299.7,5.4,300.3,2.7
2010,51340,-999,1,301,3.3,299.6,5.5,300.2,1.7
2011,51340,-999,1,300.9,3,299.9,4.3,300.3,2.8
2012,51340,-999,1,300.9,3.2,299.7,4.9,300.4,2.2
2013,51340,-999,1,300.7,4.1,299.4,5.5,300.3,1.8
2014,51340,-999,1,300.8,3.7,299.7,4.7,300.5,2.7
2015,51340,-999,1,301.1,3.2,299.8,4.9,300.9,2.3
2016,51340,-999,1,301.4,4.9,299.9,6.3,300.7,1.9
2017,51340,-999,1,301.1,4.8,300,5.2,300.4,1.9
1981,51341,-999,1,299.1,3.8,297.8,5.5,299.4,3.2
1982,51341,-999,1,299.2,4.9,298,5.5,299.3,2.8
1983,51341,-999,1,300.1,3.8,298.7,5.7,299.6,3.3
1984,51341,-999,1,299.6,3.7,298,6.3,299.2,2.9
1985,51341,-999,1,299.3,3.6,298,5.3,299.2,2.9
1986,51341,-999,1,299.5,4.6,298,6.2,299.8,2.8
1987,51341,-999,1,300.2,4.8,298.5,6.8,300.3,3.4
1988,51341,-999,1,299.9,4.6,298.5,5.8,299.6,2.6
1989,51341,-999,1,299.2,3.9,297.9,5.5,299.3,2.8
1990,51341,-999,1,299.4,3.2,298.1,5.1,299.5,3
1991,51341,-999,1,299.8,4.3,298.2,6.3,299.6,2.7
1992,51341,-999,1,299.9,3.9,298.4,6.3,299.5,2.6
1993,51341,-999,1,299.8,2.5,298.3,5.8,299.8,3.5
1994,51341,-999,1,299.8,4.9,298.4,6,299.4,2.2
1995,51341,-999,1,299.8,3.9,298.5,5.4,299.6,2.5
1996,51341,-999,1,299.4,4.1,298.1,5.6,299.7,3.6
1997,51341,-999,1,299.7,4.4,298.5,5.3,299.4,2.8
1998,51341,-999,1,300.2,3.8,298.8,5.7,299.7,2.8
1999,51341,-999,1,299.4,4.2,298,5.7,299.1,3.1
2000,51341,-999,1,299.6,3.9,298.2,5.7,299.8,2.6
2001,51341,-999,1,300,3.4,298.5,5.9,300,2.7
2002,51341,-999,1,300,3.7,298.6,5.7,299.6,3.2
2003,51341,-999,1,300.4,4.3,298.7,6.7,300.3,3.1
2004,51341,-999,1,300.1,3.6,298.5,6,299.9,3.1
2005,51341,-999,1,300.3,4,298.8,6.4,300,3
2006,51341,-999,1,299.7,3.8,298.5,5.3,299.7,2.7
2007,51341,-999,1,300.2,3.8,298.7,5.9,299.8,2.6
2008,51341,-999,1,299.3,3.8,298,5.5,300.2,2.3
2009,51341,-999,1,300.2,3.6,298.8,5.7,300.2,3
2010,51341,-999,1,300.3,3.7,298.8,6.1,300.2,2.3
2011,51341,-999,1,300.1,3.3,298.9,4.9,300.1,3.4
2012,51341,-999,1,300,3.6,298.7,5.2,300.2,2.7
2013,51341,-999,1,299.9,4.2,298.5,5.8,300,2.8
2014,51341,-999,1,299.9,4,298.8,5.1,300.2,3.2
2015,51341,-999,1,300.2,3.5,298.9,5.2,300.7,2.8
2016,51341,-999,1,300.5,5.6,299,6.6,300.3,2.8
2017,51341,-999,1,300.2,5.1,299,5.6,300.1,2.4
1981,51342,-999,1,300.7,2.8,299.7,4,300.8,2.4
1982,51342,-999,1,300.8,3.4,299.8,4.5,300.3,2.6
1983,51342,-999,1,301.9,3.4,300.6,4.9,300.8,2.4
1984,51342,-999,1,301.4,3.3,299.9,5.8,300,2
1985,51342,-999,1,300.8,2.8,299.8,4.2,300.5,2.5
1986,51342,-999,1,301,4.2,299.8,5.2,300.8,2.4
1987,51342,-999,1,301.9,3.3,300.4,5.8,301.2,1.9
1988,51342,-999,1,301.5,3.5,300.4,4.9,300.5,1.9
1989,51342,-999,1,300.9,3.2,299.8,4.6,300.1,1.7
1990,51342,-999,1,300.8,2.5,299.9,3.9,300.4,2.2
1991,51342,-999,1,301.4,3.3,300,5.4,300.8,2.2
1992,51342,-999,1,301.7,3.2,300.3,5.7,300.5,1.9
1993,51342,-999,1,301.6,2.6,300.1,5.4,300.7,2.4
1994,51342,-999,1,301.6,3.7,300.2,5.5,300.1,1.7
1995,51342,-999,1,301.4,3,300.3,4.5,300.5,1.7
1996,51342,-999,1,301.3,3.2,300.1,5,300.7,2.6
1997,51342,-999,1,301.2,3.3,300.3,4.1,299.8,2.1
1998,51342,-999,1,301.7,2.6,300.4,5.1,300.6,2.2
1999,51342,-999,1,301.2,4,299.9,5.3,300.1,2.3
2000,51342,-999,1,301.4,3.1,300,5.3,301.1,2.6
2001,51342,-999,1,301.6,2.5,300.2,5.2,300.9,1.8
2002,51342,-999,1,301.7,3.8,300.3,5.8,300.6,3.1
2003,51342,-999,1,302.1,3.5,300.6,5.7,300.9,1.8
2004,51342,-999,1,301.8,2.4,300.4,5.3,300.9,2.2
2005,51342,-999,1,302,3.1,300.6,5.7,300.9,1.9
2006,51342,-999,1,301.5,2.9,300.4,4.4,300.5,2
2007,51342,-999,1,302.1,2.9,300.7,5.1,300.6,1.6
2008,51342,-999,1,301.1,2.9,300,4.5,301.3,2.1
2009,51342,-999,1,302.1,2.8,300.8,4.9,301,2.9
2010,51342,-999,1,301.8,2.6,300.6,4.9,300.9,1.6
2011,51342,-999,1,301.9,2.6,300.9,4.1,300.8,2.4
2012,51342,-999,1,301.8,2.9,300.7,4.4,301.2,2.3
2013,51342,-999,1,301.8,4,300.4,5.4,301.1,1.7
2014,51342,-999,1,301.8,3.5,300.8,4.5,301.5,2.4
2015,51342,-999,1,302.3,2.9,301,4.9,301.7,2.2
2016,51342,-999,1,302.4,4.5,301,5.8,301.4,1.4
2017,51342,-999,1,302.1,3.8,301,4.5,301.2,1.7
1981,51344,-999,1,300.3,3.3,298.9,5.2,299.9,3
1982,51344,-999,1,300.2,4.5,299,5.4,299.8,2.7
1983,51344,-999,1,301,3.7,299.6,5.5,300,3.5
1984,51344,-999,1,300.7,3.5,299,6.4,299.6,3
1985,51344,-999,1,300.4,3.1,299.1,5.1,299.7,3
1986,51344,-999,1,300.5,4.4,299,6,300.3,2.8
1987,51344,-999,1,301.3,4.6,299.6,6.7,300.7,3.3
1988,51344,-999,1,301,4.3,299.6,5.7,300,2.5
1989,51344,-999,1,300.3,3.7,298.9,5.5,299.8,2.9
1990,51344,-999,1,300.5,2.9,299.2,5.1,300,3
1991,51344,-999,1,301,4.2,299.4,6.4,300,2.8
1992,51344,-999,1,301,3.8,299.4,6.4,299.9,2.5
1993,51344,-999,1,300.9,2.4,299.4,5.8,300.1,3.8
1994,51344,-999,1,300.9,4.8,299.5,6,299.8,1.8
1995,51344,-999,1,300.9,3.9,299.5,5.5,299.9,2.7
1996,51344,-999,1,300.5,3.9,299.1,5.6,300.1,3.8
1997,51344,-999,1,300.8,4,299.5,5.2,299.7,2.9
1998,51344,-999,1,301.2,3.4,299.8,5.5,300,3.1
1999,51344,-999,1,300.4,4,299,5.8,299.5,3.1
2000,51344,-999,1,300.7,3.7,299.2,5.8,300.3,2.9
2001,51344,-999,1,301.2,3.2,299.6,6,300.4,2.8
2002,51344,-999,1,301.1,3.6,299.7,5.8,300,3.4
2003,51344,-999,1,301.6,4,299.8,6.8,300.7,3.3
2004,51344,-999,1,301.3,3.1,299.7,6,300.4,3.1
2005,51344,-999,1,301.4,3.6,299.8,6.5,300.3,2.9
2006,51344,-999,1,300.8,3.4,299.5,5.1,300.1,2.9
2007,51344,-999,1,301.3,3.6,299.8,5.7,300.1,2.6
2008,51344,-999,1,300.5,3.5,299.1,5.4,300.7,2.5
2009,51344,-999,1,301.3,3.3,299.9,5.6,300.6,3.1
2010,51344,-999,1,301.5,3.8,299.9,6.3,300.5,2.4
2011,51344,-999,1,301.2,3.1,300,4.7,300.5,3.5
2012,51344,-999,1,301.2,3.3,299.8,5.2,300.6,2.8
2013,51344,-999,1,301.1,3.8,299.6,5.6,300.4,2.6
2014,51344,-999,1,301,3.6,299.9,5,300.6,3.2
2015,51344,-999,1,301.3,3.4,300,5.1,301.1,2.8
2016,51344,-999,1,301.7,5,300.1,6.6,300.8,2.9
2017,51344,-999,1,301.4,5.2,300.2,5.6,300.6,2.3
1981,51345,-999,1,297.7,3.9,296.4,5.4,297.9,2.4
1982,51345,-999,1,297.9,5.2,296.7,5.7,297.5,2.2
1983,51345,-999,1,298.8,3.9,297.4,5.8,298,2.5
1984,51345,-999,1,298.2,3.9,296.6,6.4,297.4,2.4
1985,51345,-999,1,297.9,3.6,296.6,5.3,297.4,2.4
1986,51345,-999,1,298,5,296.6,6.4,298.2,2.4
1987,51345,-999,1,298.8,5.5,297.1,7,298.8,2.5
1988,51345,-999,1,298.4,4.6,297.1,5.8,298,2.4
1989,51345,-999,1,297.7,4.2,296.4,5.6,297.6,2.2
1990,51345,-999,1,297.6,2.9,296.4,4.8,297.8,2.5
1991,51345,-999,1,298.4,4.3,296.8,6.2,298,1.9
1992,51345,-999,1,298.6,4.3,297,6.5,297.8,2.1
1993,51345,-999,1,298.4,2.5,296.9,5.7,298.2,2.7
1994,51345,-999,1,298.5,4.7,297.1,6,297.7,1.9
1995,51345,-999,1,298.3,3.6,297,5.3,297.9,2
1996,51345,-999,1,298,4,296.7,5.5,298,2.9
1997,51345,-999,1,298.3,4.7,297.2,5.3,297.5,2.1
1998,51345,-999,1,298.5,3.6,297.2,5.6,297.9,2.2
1999,51345,-999,1,297.9,4.4,296.5,5.8,297.4,2.2
2000,51345,-999,1,298.2,3.7,296.8,5.7,298.2,2
2001,51345,-999,1,298.5,3.3,297,5.7,298.1,1.9
2002,51345,-999,1,298.5,3.6,297.2,5.6,297.8,2.6
2003,51345,-999,1,299,4.4,297.3,6.8,298.7,2.5
2004,51345,-999,1,298.6,3.3,297.1,5.7,298.3,2.6
2005,51345,-999,1,299.1,4,297.4,6.8,298.5,2.5
2006,51345,-999,1,298.3,3.5,297,5.1,297.8,2.2
2007,51345,-999,1,298.7,3.8,297.2,5.9,298.1,1.9
2008,51345,-999,1,297.8,4,296.5,5.6,298.6,1.9
2009,51345,-999,1,299,3.8,297.5,6,298.4,2.4
2010,51345,-999,1,298.7,3.6,297.3,5.8,298.4,1.8
2011,51345,-999,1,298.7,3.3,297.6,4.7,298.5,3
2012,51345,-999,1,298.7,3.9,297.4,5.4,298.5,2.1
2013,51345,-999,1,298.5,4.6,297,6,298.3,1.9
2014,51345,-999,1,298.4,3.8,297.3,5,298.5,2.6
2015,51345,-999,1,298.7,3.8,297.4,5.4,299,2.2
2016,51345,-999,1,299.1,5.7,297.5,7,298.7,2.2
2017,51345,-999,1,298.9,5.4,297.6,5.9,298.5,2.1
1981,51346,-999,1,300.2,3.2,299.2,4.5,300.3,2.3
1982,51346,-999,1,300.4,3.8,299.3,4.9,299.7,2.3
1983,51346,-999,1,301.5,3.6,300.2,5.3,300.4,2.1
1984,51346,-999,1,301,3.4,299.4,6.1,299.4,2
1985,51346,-999,1,300.4,3,299.2,4.7,299.9,2.1
1986,51346,-999,1,300.6,4.4,299.3,5.6,300.3,2.5
1987,51346,-999,1,301.5,3.8,299.9,6.3,301,1.8
1988,51346,-999,1,301.1,3.9,299.8,5.3,299.9,2.1
1989,51346,-999,1,300.3,3.5,299.1,5,299.6,1.9
1990,51346,-999,1,300.2,2.6,299.2,4.2,299.9,2.4
1991,51346,-999,1,301,3.4,299.5,5.7,300.3,2.1
1992,51346,-999,1,301.3,3.6,299.7,6.2,300,1.9
1993,51346,-999,1,301.1,2.7,299.6,5.7,300.3,2.1
1994,51346,-999,1,301.2,3.8,299.8,5.7,299.7,2.3
1995,51346,-999,1,300.9,3,299.7,4.7,300,1.8
1996,51346,-999,1,300.9,3.3,299.6,5.3,300.3,2.5
1997,51346,-999,1,300.8,3.8,299.8,4.4,299.4,2.1
1998,51346,-999,1,301.2,2.9,299.8,5.5,300.2,2.1
1999,51346,-999,1,300.7,4.4,299.4,5.6,299.6,2.4
2000,51346,-999,1,301,3.2,299.6,5.4,300.6,2.1
2001,51346,-999,1,301.1,2.7,299.7,5.5,300.3,2
2002,51346,-999,1,301.1,3.8,299.7,5.8,300.1,2.7
2003,51346,-999,1,301.5,3.7,300,6,300.5,1.8
2004,51346,-999,1,301.3,2.7,299.8,5.5,300.4,2.3
2005,51346,-999,1,301.6,3.2,300,6.2,300.6,1.7
2006,51346,-999,1,301.1,3.1,299.9,4.8,300,1.9
2007,51346,-999,1,301.6,3.1,300.2,5.4,300.1,1.6
2008,51346,-999,1,300.6,3.3,299.4,4.9,300.8,2
2009,51346,-999,1,301.7,3.1,300.3,5.4,300.6,2.3
2010,51346,-999,1,301.3,2.6,300,5,300.6,1.7
2011,51346,-999,1,301.5,2.7,300.4,4.4,300.4,2.4
2012,51346,-999,1,301.4,2.9,300.1,5,300.7,2.1
2013,51346,-999,1,301.1,4,299.7,5.6,300.6,1.6
2014,51346,-999,1,301.2,3.3,300.1,4.5,300.8,2.4
2015,51346,-999,1,301.6,2.9,300.4,5,301.2,1.9
2016,51346,-999,1,301.9,4.9,300.4,6.3,300.9,1.7
2017,51346,-999,1,301.7,4.1,300.5,5.1,300.7,1.9
1981,51347,-999,1,293.1,3.2,292,4.7,293,2.6
1982,51347,-999,1,293.5,3.7,292.5,4.8,292.4,2.2
1983,51347,-999,1,294.6,3.3,293.2,5.4,293,2.4
1984,51347,-999,1,294,3.1,292.6,5.7,292.1,2.3
1985,51347,-999,1,293.3,3,292,5,292.5,2.4
1986,51347,-999,1,293.5,3.8,292.2,5.8,293.1,2.9
1987,51347,-999,1,294.7,4.1,293.1,6.4,293.9,2.8
1988,51347,-999,1,293.9,3.8,292.7,5.5,292.4,2.6
1989,51347,-999,1,293,2.9,291.9,5,292.5,2.1
1990,51347,-999,1,293,2.5,292,4.5,292.7,2.7
1991,51347,-999,1,293.8,2.5,292.5,5.4,292.8,2.6
1992,51347,-999,1,294.2,4,292.6,6.6,293.1,2.5
1993,51347,-999,1,293.7,2.8,292.4,5.2,293.2,2.5
1994,51347,-999,1,294,3.2,292.7,5.4,292.8,3
1995,51347,-999,1,293.7,2.2,292.6,4.4,292.8,2.5
1996,51347,-999,1,294.1,2.6,292.5,5.9,293.1,3
1997,51347,-999,1,293.7,4.1,292.8,4.5,292.7,2.1
1998,51347,-999,1,294.2,2.5,292.7,5.9,293,2.2
1999,51347,-999,1,293.7,3.4,292.6,4.8,292.6,3
2000,51347,-999,1,294.2,2.6,292.9,5.1,293.3,2
2001,51347,-999,1,293.5,2.3,292.4,4.7,293,2.9
2002,51347,-999,1,293.7,2.9,292.5,5.1,292.9,2.4
2003,51347,-999,1,294.1,3.2,292.8,5.6,293.2,2.4
2004,51347,-999,1,293.9,2.9,292.7,4.9,293.3,2.2
2005,51347,-999,1,294.4,3.3,292.9,6.3,293.7,1.6
2006,51347,-999,1,294,2.9,292.9,4.7,293.2,2.1
2007,51347,-999,1,294.1,2.5,292.9,5.2,293,1.9
2008,51347,-999,1,293.6,2.8,292.5,4.6,293.4,2.3
2009,51347,-999,1,294.7,3.1,293.4,5.3,293.6,2.2
2010,51347,-999,1,294.1,2.1,292.9,4.7,293.5,2.3
2011,51347,-999,1,294.5,2.5,293.3,4.8,293.2,2.4
2012,51347,-999,1,294,3.3,292.8,5.2,293.3,2.6
2013,51347,-999,1,293.9,3.6,292.5,5.6,293.3,2.5
