"MARKETS","Jan","Feb","March","April","May","JUNE","JULY","August","Sep","Oct","Nov","Dec"
"KIAMBU",17.39,16.67,16.67,14.29,16.67,11.90,11.90,11.90,9.52,9.52,9.52,"-"
"LIMURU",15.00,15.00,15.00,15.00,15.00,15.00,16.18,16.12,16.00,15.00,15.00,"-"
"THIKA",18.18,19.05,19.05,19.05,19.05,18.18,19.05,18.18,18.18,18.18,18.18,"-"
"GATUNDU",18.34,16.67,14.29,16.67,15.78,14.29,10.00,17.50,"-",19.05,"-","-"
"MUTHITHI",11.90,11.90,10.71,9.52,10.24,10.72,13.33,"-","-","-","-","-"
"MUKUYU",17.55,15.79,15.79,15.00,19.05,15.79,12.50,12.50,"-","-","-",14.29
"KIRIAINI",16.67,16.67,16.67,16.67,14.29,14.29,14.29,14.29,14.29,"-","-",14.29
"ENGINEER",18.00,16.67,16.25,15.00,16.67,20.00,18.63,15.00,15.00,15.00,15.00,"-"
"NYERI",19.05,16.67,16.67,14.29,14.29,19.05,19.05,14.29,14.29,14.29,".","-"
"ENDARASHA",16.67,17.86,19.05,20.00,19.05,"-","-","-","-","-","-","-"
"KARATINA",15.91,16.29,13.64,13.33,14.29,17.50,13.33,14.29,15.00,15.00,15.00,"-"
"GAKINDU",16.67,17.50,17.50,14.29,17.50,12.50,14.29,17.50,17.50,14.29,14.29,"-"
"NANYUKI",20.00,20.00,20.00,20.00,20.00,20.00,17.00,17.00,20.00,20.00,20.00,"-"
"NYAHURURU",17.50,15.95,14.59,12.00,12.00,22.50,11.90,14.29,"-","-","-","-"
"MARIAKANI",20.00,20.00,18.00,20.00,18.00,18.00,18.00,17.00,17.00,17.00,17.00,18.00
"KALOLENI",20.00,20.00,17.00,17.00,17.00,18.00,18.00,17.00,17.00,17.00,14.00,18.00
"MALINDI",20.00,17.21,20.00,"-",20.00,20.00,20.00,20.00,"-","-","-","-"
"KIBAUNI KILIFI",21.00,20.00,18.00,18.00,17.00,16.50,17.00,17.00,17.00,17.00,".",18.00
"UKUNDA",35.00,35.00,38.00,35.00,35.00,30.00,25.00,25.00,"-","-","-","-"
"WUNDANYI","-","-",14.00,14.00,13.00,"-","-","-","-","-","-","-"
"MWEMBE TAYARI",20.00,20.00,23.67,30.00,20.00,20.00,20.00,18.00,"-","-","-","-"
"SEGA",20.00,20.00,20.00,22.00,20.00,"-","-","-","-","-","-","-"
"KONGOWEA",15.00,15.00,".",15.00,14.00,14.50,14.00,"-","-","-","-","-"
"GARSEN","-",20.00,25.00,"-","-","-",20.00,20.00,25.00,"-","-","-"
"BURA TANA",20.00,20.00,20.00,40.00,20.00,"-","-","-","-","-","-","-"
"RUNYENJES",17.50,17.50,15.00,15.00,15.00,12.50,10.00,12.50,12.50,12.50,15.00,12.50
"EMBU TOWN",17.50,17.50,15.00,12.50,12.50,12.00,12.50,12.50,12.50,12.50,15.00,15.00
"SIAKAGO",20.00,17.50,12.50,12.50,12.50,"-",11.75,11.50,11.50,15.00,15.00,15.00
"MWINGI",15.00,16.00,15.00,8.00,"-",15.00,15.00,10.00,15.00,"-","-","-"
"MIGGWAINI",17.00,16.00,7.27,10.00,10.00,10.00,12.00,12.00,"-",12.00,13.00,"-"
"MACHAKOS TOWN",18.18,"-",12.00,12.00,5.71,10.00,10.00,12.00,12.00,13.00,"-","-"
"TALA",12.00,9.77,9.38,9.50,10.00,9.52,9.00,20.00,10.00,10.00,"-","-"
"MAUA","-",25.00,16.25,12.50,15.00,13.75,12.50,"-","-","-","-","-"
"KIANJAI",17.78,17.78,10.00,12.50,11.11,11.11,8.89,"-","-","-","-","-"
"GAKOROMERE",16.00,13.64,8.00,9.09,9.09,10.91,9.09,9.09,9.09,12.00,11.82,11.82
"WOTE",17.00,15.00,14.00,11.00,11.00,12.00,12.00,12.00,14.00,14.00,"-",17.00
"GARISA TOWN",29.63,16.67,16.67,16.67,16.67,16.67,16.67,"-",15.00,"-","-","-"
"DARAJA MBILI",13.33,14.29,13.64,14.29,14.29,13.64,12.83,11.36,13.33,14.29,9.52,17.62
"KIBIRIGO",16.67,"-","-","-","-",16.67,11.90,"-",13.33,".",".","."
"NYANGUSU",14.29,9.11,10.87,11.90,13.10,10.04,10.87,11.90,9.52,14.29,11.90,13.33
"RIOCHANDA",13.33,"-","-","-",22.62,"-","-",16.67,"-","-","-","-"
"NYABITE",15.48,"-","-","-",14.29,"-","-",14.29,"-","-","-","-"
"MOGONGA",12.38,10.87,10.43,11.90,12.38,13.33,11.74,9.52,9.52,11.90,15.00,14.29
"NYAMACHE",14.29,12.10,10.00,14.29,11.90,11.56,10.87,11.90,11.90,"-",12.38,14.29
"KIBUYE",16.67,14.09,14.32,15.71,"-","-","-","-","-","-","-","-"
"AHERO","-","-","-","-","-","-","-","-","-","-","-",16.67
"KIBOSWA",16.19,15.71,14.09,15.24,"-","-","-","-","-","-","-","-"
"SONDU",14.55,13.64,13.64,"-","-","-","-","-","-","-",16.67,16.67
"BONDO",15.00,15.40,17.50,17.50,14.07,15.00,15.00,16.50,16.50,16.50,16.50,"-"
"OYUGIS",12.38,13.33,"-","-",16.19,"-",15.71,"-","-","-","-","-"
"KEHACHA",15.91,13.64,"-","-","-","-","-","-","-","-","-","-"
"KABARNET",15.00,"-",15.00,15.00,15.56,15.00,"-","-","-","-","-","-"
"NAKURU TWON",22.22,22.22,22.22,22.22,22.22,22.22,22.22,22.22,22.22,22.22,22.22,22.22
"KAPSABET",13.04,13.04,13.04,14.29,15.22,15.22,16.67,"-","-","-","-","-"
"KITALE","-",17.50,16.50,14.29,15.00,14.76,17.50,17.50,17.50,"-","-","-"
"ELDORET",13.33,13.18,13.64,15.24,18.50,17.50,19.00,17.50,14.00,15.00,14.00,12.50
"BURN FOREST","-",10.40,13.46,16.67,11.00,0.50,20.00,13.50,12.80,14.00,14.00,12.00
"TURBO",11.43,11.15,10.00,11.43,11.90,17.62,14.00,17.20,16.80,12.00,12.00,"-"
"KIPKAREN",12.86,12.03,12.00,15.00,16.50,17.50,17.50,17.50,16.50,10.40,13.95,10.80
"ITEN",11.90,25.00,26.25,11.90,"-","-","-","-",20.00,17.50,"-","-"
"KAJIADO TOWN",20.00,20.00,"-",20.00,20.00,20.00,20.00,20.00,25.00,20.00,25.00,"-"
"KAPKATENY",12.52,13.67,13.56,14.29,17.14,17.14,17.14,17.62,14.29,11.90,11.90,"-"
"BUNGOMA TOWN",14.29,13.97,13.64,15.24,13.64,"-","-","-","-",14.55,13.64,14.29
"KIMILILI",13.33,13.67,12.85,14.29,".",15.71,16.67,15.71,16.67,11.90,13.33,14.29
"KAPSOKWONY",13.10,13.34,14.04,15.24,18.10,18.10,17.14,18.10,14.29,13.33,14.29,12.38
"BUTERE","-","-",14.70,14.55,15.91,16.52,15.71,"-","-","-","-","-"
"KAKAMEGA",13.97,13.97,13.64,15.24,15.24,16.29,15.91,13.64,13.64,12.73,13.64,13.64
"MUMIAS","-","-",14.69,14.65,15.71,16.67,17.00,"-","-","-","-","-"
"MUNDETA",14.29,14.29,14.29,14.29,15.24,15.24,15.24,14.29,14.29,"-",15.24,14.29
"CHEPTULA",14.29,14.29,14.29,15.24,15.24,"-",14.29,13.33,"-",15.24,14.29,14.29
"Mbale",14.29,13.64,13.64,14.29,"-",15.24,15.24,14.29,14.55,14.55,13.64,14.29
"KAWANGWARE",22.00,20.00,20.00,20.00,30.00,21.05,19.05,20.00,19.05,18.10,18.28,20.00
"BURMA",20.00,20.00,22.00,22.00,22.00,20.00,20.00,20.00,20.00,20.00,22.00,25.00
"KIKOMBA",19.05,19.00,20.00,19.00,18.18,20.00,18.18,20.00,19.05,17.14,20.00,20.45
"KANGEMI",19.49,20.50,19.05,19.00,20.00,20.00,20.00,20.00,18.18,19.05,20.00,20.45
"KOROKOCHO",17.95,19.50,20.00,19.00,20.00,18.18,18.18,19.00,16.36,19.50,19.05,20.00
"TOI",21.00,20.10,17.95,17.50,29.21,17.39,16.67,16.67,15.00,15.38,17.14,18.18
