"Market/Month","Jan","Feb","Mar","Apr","May","Jun","Jul","Aug","Sep","Oct","Nov","Dec"
"KIAMBU",40.00,40.00,35.00,".",40.00,40.00,40.00,40.00,".",".",".","."
"LIMURU",40.00,40.00,37.50,".",42.50,45.00,45.00,42.50,40.00,".",".","."
"THIKA",40.91,40.00,40.00,40.00,48.30,50.00,49.17,47.50,45.00,".",".","."
"GATUNDU",30.00,47.62,30.43,33.33,38.14,52.19,52.50,48.75,47.50,".",".","."
"KUTUS",39.13,34.78,26.09,".",34.78,39.22,39.13,34.78,30.43,30.43,34.78,"."
"SAGANA",39.13,32.61,31.13,".",38.26,40.16,40.91,44.47,34.78,36.36,31.11,"."
"KERUGOYA",43.48,39.57,43.48,".",41.17,42.33,45.45,43.48,39.13,39.13,36.36,"."
"MUTHITHI",40.48,30.95,".",".",41.07,38.10,39.68,35.41,35.53,35.00,35.00,35.00
"MUKUYU",38.10,38.10,37.41,".",42.86,42.86,41.37,40.18,38.10,40.00,40.00,"."
"KIRIAINI",38.10,38.10,38.10,".",38.10,41.73,43.05,42.86,42.86,40.00,40.00,"."
"ENGINEER",38.10,37.23,46.89,".",47.62,47.62,47.62,50.00,".",".",40.00,40.00
"NYERI",39.05,38.10,38.10,40.00,".",".",".",".",".",".",".","."
"ENDARASHA",".",".",38.10,41.86,".",".",".",".",".",".",".","."
"KARATINA",42.86,35.71,30.95,33.33,".",".",".",".",".",".",".","."
"GAKINDU",42.50,40.00,40.00,40.00,".",".",".",".",".",".",".","."
"NANYUKI",32.89,38.89,38.89,38.89,44.44,43.95,42.02,40.49,38.33,40.00,35.43,30.00
"SIPILI",36.36,31.82,31.82,".",".",".",".",40.50,45.83,52.50,36.69,33.33
"MARIAKANI",40.00,40.00,".",".",".",".",".",".",".",".",".","."
"KALOLENI",45.00,45.00,".",".",".",".",".",".",".",".",".","."
"MALINDI",42.00,40.00,36.43,36.67,41.00,47.50,44.00,42.50,41.25,35.00,35.00,38.33
"KIBAUNI KILIFI",45.00,40.00,".",".",".",".",".",".",".",".",".","."
"UKUNDA",41.82,40.00,40.00,40.00,40.40,42.00,".",50.00,50.00,50.00,50.00,52.50
"MKUNGUNI",50.00,50.00,50.00,60.00,57.27,59.44,58.57,54.71,54.06,51.25,".","."
"MWEMBE TAYARI",49.00,45.00,37.92,40.50,45.07,45.75,41.80,50.00,52.50,55.00,51.25,49.50
"MAJENGO",45.45,38.50,40.22,37.25,34.60,33.00,35.40,35.50,34.00,36.40,36.75,38.00
"MACKINON",59.00,60.00,60.00,60.00,52.00,60.00,60.00,".",".",".",".","."
"SEGA",41.79,40.00,40.00,45.00,46.00,43.40,45.00,50.00,51.25,55.00,50.00,50.00
"KONGOWEA",40.00,38.00,37.00,36.50,45.00,44.50,39.60,39.75,38.25,40.40,42.00,44.00
"HOLA",".",35.00,40.00,35.00,".",48.75,49.00,50.00,44.00,42.00,41.36,"."
"GARSEN",40.00,40.00,35.00,40.00,40.00,44.00,45.00,".",45.00,45.00,48.67,50.00
