"Market/Month","JAN","FEB","MAR","APR","MAY","JUNE","JULY","AUG","SEPT","OCT","NOV","DEC"
"KIAMBU",35.00,35.00,40.00,40.00,35.00,35.00,,,,,40.00,40.00
"LIMURU",35.00,35.00,35.00,,35.00,35.00,,,40.00,40.00,40.00,40.00
"THIKA",39.64,37.84,36.31,36.25,38.00,,33.75,36.25,40.00,47.00,,
"GATUNDU",23.55,22.91,25.74,24.76,24.76,,19.29,17.14,19.29,17.41,,
"KUTUS",36.36,34.78,30.43,,,,,,,,,
"SAGANA",38.04,32.61,31.11,26.09,,,,,,,,
"KERUGOYA",34.09,39.13,27.27,,,,,,,,,
"MUTHITHI",42.41,54.99,23.81,24.21,27.20,28.57,,33.33,36.90,40.18,36.90,
"MUKUYU",43.26,33.33,30.16,26.19,28.57,28.57,,33.33,33.33,35.24,38.10,38.10
"KIRIAINI",34.00,40.28,38.10,36.19,33.67,31.54,,35.83,39.17,38.00,25.83,40.00
"ENGINNEER",40.00,40.00,38.75,35.00,35.00,41.50,40.00,40.00,40.00,40.00,40.00,
"NYERI",43.81,40.00,40.00,38.33,36.67,,,,,,,
"ENDARASHA",43.75,45.00,45.00,42.84,36.36,40.06,40.45,38.64,,,,
"KARATINA",42.50,40.00,38.13,34.58,33.33,33.33,33.33,33.33,,,,
"GAKINDU",45.00,40.52,38.13,40.06,46.22,58.65,53.11,35.71,,,,
"NANYUKI",40.56,39.29,40.24,38.64,37.51,30.44,38.47,38.68,40.74,,43.76,42.00
"NYAHURURU",36.59,31.96,40.00,38.75,31.82,36.36,36.36,36.36,,40.91,43.64,42.42
"KALOLENI",40.00,38.50,40.00,39.00,38.00,38.00,38.00,75.63,35.00,,,
"MALINDI",40.00,40.00,39.94,40.00,40.50,40.00,40.00,31.25,35.00,40.00,40.00,
"KIBAUNI KILIFI",40.00,40.81,40.00,40.00,40.00,40.00,40.00,40.00,37.50,,,
"UKUNDA",,,,40.00,40.00,,38.00,38.00,38.00,38.00,38.00,
"KWALE",,,,48.33,48.30,48.75,,,38.00,38.67,39.00,39.00
"MWEMBE TAYARI",,,,44.60,46.33,50.00,49.44,42.92,45.00,45.00,,
"MAJENGO",,,,42.75,45.00,43.75,43.00,39.50,43.25,42.40,,
"MACKINON",,,,50.00,42.00,60.00,40.00,40.00,40.00,40.00,,
"SEGA",44.75,42.00,45.00,50.00,47.22,46.90,48.73,41.91,44.00,42.60,,
"KONGOWEA",42.25,40.75,43.50,41.08,39.47,39.75,39.77,39.11,36.00,37.00,38.00,
"HOLA",40.00,20.00,35.00,37.50,35.00,,,,50.00,30.00,36.67,38.75
"GARSEN",50.00,50.00,47.00,60.00,60.00,60.00,45.00,41.67,40.00,30.00,30.00,
"BURA TANA",50.00,35.00,25.00,35.00,32.50,,,,42.50,30.00,35.00,37.00
"RUNYENJES",29.55,28.41,27.27,22.73,27.27,27.27,27.27,,31.17,35.00,36.36,36.36
"EMBU TOWN",31.82,27.27,27.27,27.27,,27.27,22.73,27.27,31.82,34.55,36.36,36.36
"SIAKAGO",31.82,31.82,22.73,,27.27,,,27.28,30.24,35.32,38.10,38.10
"MWINGI",30.00,30.00,35.00,31.50,31.50,,33.00,33.00,34.80,35.00,35.00,35.00
"KALUNDU",35.00,35.00,,30.00,30.00,,30.00,30.00,31.75,34.50,35.00,35.67
"MACHAKOS",35.91,35.61,40.11,38.54,34.48,,35.00,35.00,,,,35.00
"TALA",,,33.00,22.35,22.51,24.00,23.81,24.00,,,,29.50
"MAUA",38.89,33.33,33.33,22.92,25.00,30.00,30.00,30.00,30.00,35.00,,
"KIANJAI",35.56,26.67,27.78,27.50,27.78,27.78,25.56,25.56,33.33,37.78,,
"GAKOROMERE",36.94,36.44,,25.62,25.00,27.78,33.33,33.33,33.33,38.89,38.89,
"MARSABIT",,,,,37.50,50.00,,,,,42.50,
"WOTE",35.33,,,27.43,29.11,,,34.38,,,,
"DARAJA MBILI",36.36,,37.88,36.36,37.50,36.93,37.73,37.40,37.50,40.91,40.91,40.91
"KIBIRIGO",33.33,33.33,33.33,39.13,,,,31.25,35.42,37.91,37.50,
"NYANGUSU",,,35.23,,36.82,39.39,36.36,36.93,38.64,45.45,39.20,
"RIOCHANDA",31.25,29.17,33.33,35.42,,,,34.78,36.23,39.13,39.13,
"NYABITE",33.33,33.33,33.33,36.00,,,,33.33,34.99,37.00,39.13,
"MIRUKA",31.52,,31.25,,38.18,39.77,36.74,36.36,38.64,45.45,40.34,
"IGARE",,,35.61,,37.71,39.20,36.36,36.36,40.76,41.30,41.70,
"KIBUYE",35.82,35.88,38.64,39.68,35.73,34.78,33.33,32.91,34.63,34.78,,
"AHERO",36.36,36.36,37.50,40.91,38.18,37.50,37.27,37.50,,2.90,41.48,
"KIBOSWA",36.36,35.15,40.91,37.30,35.88,34.06,34.49,32.92,34.24,35.22,38.04,39.13
"SONDU",36.36,36.36,37.50,37.50,37.73,36.36,37.27,37.50,,2.60,42.05,40.91
"BONDO",35.00,36.00,36.45,,36.36,36.36,32.28,31.73,33.53,36.07,,
"SIAYA",31.74,33.33,36.36,36.24,35.60,35.98,29.28,33.34,34.56,45.23,,
"NGIYA",29.83,33.63,,36.36,36.36,36.36,29.09,32.15,32.70,37.37,,
"UNGUJA",31.82,31.82,36.36,36.36,37.97,40.00,29.73,30.68,33.33,34.94,,
"HOMABAY",,,,35.36,33.75,,,35.70,,37.38,,
"OYUGIS",31.82,35.23,36.93,42.05,41.17,,36.36,33.94,39.25,43.12,43.30,
"KEHACHA",31.82,,,,29.00,32.00,32.00,31.47,37.50,36.80,40.00,
"SOKO MJINGA",,,,,,,,,,35.06,39.53,35.65
"KABARNET",30.60,32.50,38.89,38.89,33.33,29.00,33.33,33.00,34.83,38.02,37.78,38.89
"MUTHURWA",,,,,,,,,,33.83,36.38,
"NAKURU",,55.56,55.56,,37.50,43.85,50.48,40.00,51.11,52.22,40.00,
"KAPSABET",32.61,34.78,35.87,36.96,36.96,,,,,,,
"KITALE",28.75,,40.00,40.00,50.00,,,29.17,30.21,30.73,28.75,27.08
"ELDORET",37.50,40.00,40.00,40.00,40.00,34.60,33.33,,30.63,30.00,,
"BURN FOREST",32.00,33.75,40.00,40.00,33.33,33.71,,,,,,
"TURBO",25.00,25.00,31.67,36.00,31.57,30.55,,,30.00,30.00,,
"KIPKAREN",,37.50,40.00,38.00,35.86,30.00,,,30.00,29.00,,
"ITEN",30.83,33.46,35.00,37.50,35.00,33.46,31.67,35.00,37.50,,39.00,35.00
"KAJIADO",50.00,50.00,50.00,50.00,50.00,,,40.00,41.11,50.00,50.00,
"BUNGOMA",34.78,34.78,37.50,30.61,31.25,,35.56,28.57,35.00,,33.33,
"KIMILILI",29.55,29.17,29.80,29.79,34.04,32.97,32.97,,,33.33,33.33,
"KAPSOKWONY",25.00,28.26,30.43,30.11,31.25,,35.16,34.78,35.16,38.64,36.36,
