"Kiambu","40.00","40.00","40.00","40.00","40.00","40.00","40.00",-,-,-,-,-,,
Limuru,"40.00","40.00","40.00","40.00","40.00","40.00","40.00",-,-,-,-,-,,
Thika,50.00,49.38,42.50,50.00,50.00,-,50.00,-,44.29,-,-,-,,
Gatundu,43.83,43.80,-,-,-,-,-,-,40.00,-,-,-,,
Kutus,32.99,28.58,-,29.72,32.00,34.24,30.11,30.67,24.33,28.58,28.58,29.17,,
Sagana,32.02,31.10,-,32.02,36.36,37.99,30.61,24.06,31.82,28.38,33.16,36.36,,
Kerugoya,32.45,31.52,-,34.78,34.78,36.23,32.61,37.12,29.91,29.80,29.22,31.46,,
Muthithi,30.52,-,31.82,32.39,36.36,31.82,32.73,-,25.57,25.00,-,-,,
Makuyu,33.33,33.33,33.33,34.52,-,34.76,33.33,35.24,33.33,39.37,29.36,28.57,,
Kiriaini,-,35.00,35.00,37.08,40.00,40.00,37.50,36.25,35.63,32.56,32.50,-,,
Engineer,"40.00","40.00","34.00","38.00","40.00",-,-,-,-,-,-,-,,
 Nyeri,39.62,38.89,42.73,"
41.39","
49.43",48.81,43.93,52.54,47.62,-,-                      -,-,,
Endarasha,40.95,42.86,37.37,41.61,43.81,,36.67,38.88,35.83,-,-,-,,
Karatina,"34.17","35.52","37.64","43.72",40.26,39.05,38.50,39.29,43.02,45.00,-,-,,
Gakindu,-,35.59,33.33,33.03,38.59,37.80,,37.22,33.13,34.25,35.00,,,
Nanyuki,44.57,36.19,37.49,47.23,48.89,43.02,45.83,46.11,43.07,44.42,44.29,33.46,,
Nyahururu,32.56,29.55,27.27,36.36,34.85,31.82,31.82,31.82,30.52,30.00,25.00,27.27,,
Kaloleni,"35.00",-,-,-,-,-,-,-,-,-,-,-,,
Malindi,31.50,30.00,34.00,37.00,-,-,-,-,-,-,-,-,,
Kibauni Kilifi,40.00,45.00,45.00,43.75,45.00,-,-,-,-,-,-,-,,
Ukunda,30.00,30.00,32.00,43.33,45.00,42.50,38.00,45.00,40.00,40.67,40.25,39.43,,
Kwale,40.00,38.89,38.75,40.00,31.11,30.00,30.00,32.50,-,38.89,36.25,38.50,,
Mpeketoni,-,-,-,-,-,-,-,-,-,40.00,-,-,,
Mkunguni,"
-",60.00,55.00,50.00,56.25,-,-,50.00,50.00,50.00,50.00,-,,
Mwembe Tayari,45.00,41.75,43.25,41.75,42.50,50.00,45.00,47.50,46.25,56.00,61.67,-,,
Majengo,38.00,41.25,45.00,40.00,42.43,45.00,42.80,41.00,45.00,42.83,40.00,-,,
Sega,38.25,35.00,37.50,43.75,40.00,-,40.17,45.00,45.00,45.00,45.00,-,,
Kongowea,34.40,30.00,30.00,54.33,38.00,-,40.00,39.67,40.00,38.00,37.00,-,,
Hola,-,-,-,-,-,"50.00","37.50","35.00",-,"50.00",-,35.00,,
Garsen,-,-,-,-,-,40.00,40.00,-,40.00,-,-,-,,
Bura Tana,-,-,-,-,-,40.00,35.00,-,35.00,35.00,-,30.00,,
Runyenjes,32.95,31.82,27.84,27.78,32.73,32.83,31.82,30.91,25.00,23.86,27.27,27.27,,
Embu Town,32.73,30.30,28.98,31.25,36.36,34.09,32.95,30.00,27.27,27.27,22.73,22.73,,
Siakago,33.33,33.33,31.82,31.82,36.36,35.06,33.12,28.98,24.68,27.27,27.27,29.55,,
Mwingi,27.40,27.25,27.00,30.25,34.20,34.60,35.89,31.67,30.00,30.00,-,30.00,,
Kalundu,28.00,27.00,27.00,33.00,34.75,33.00,36.29,35.00,30.00,30.00,30.00,30.00,,
Machakos Town,32.50,30.00,30.75,40.83,35.00,36.25,40.00,36.50,35.00,35.00,35.00,40.00,,
Tawa,28.67,30.00,26.00,30.67,33.11,30.00,30.00,-,33.13,32.38,32.50,33.00,,
Tala,28.00,26.86,26.50,26.38,33.00,32.22,34.25,35.00,35.00,35.00,35.00,34.00,,
Maua,30.00,30.00,30.56,36.25,36.00,35.00,35.00,35.00,35.00,35.00,35.00,-,,
Kianjai,33.33,29.26,29.51,33.33,33.33,34.17,33.33,33.33,33.33,33.33,33.33,-,,
Gakoromere,33.33,31.25,27.78,28.47,33.33,33.33,34.30,37.50,37.04,33.33,33.33,-,,
Chuka Town,39.10,41.97,37.84,34.81,37.90,45.53,41.41,-,-,-,-,-,,
Kaanwa,30.51,-,-,-,-,-,-,-,-,-,-,-,,
"Wote
Wajir Town",28.13,27.75,28.50,34.00,34.25,34.75,-,-,34.50,32.75,32.50,32.50,,
Marsabit,41.80,41.75,38.00,38.50,40.20,43.00,36.40,38.50,38.50,40.00,35.50,37.33,,
Daraja Mbili,31.25,28.41,27.44,32.58,36.36,36.36,-,34.09,31.82,34.09,-,-,,
Kibirigo,27.17,27.08,32.29,37.50,-,-,-,-,-,-,-,-,,
Nyangusu,27.27,27.27,27.27,34.09,35.97,38.04,39.13,39.13,30.43,21.74,-,-,,
Riochanda,22.83,27.17,29.35,-,-,-,-,-,-,-,-,-,,
Nyabite,31.94,26.00,32.00,35.42,-,-,-,-,-,-,-,-,,
Mogonga,36.36,27.27,27.27,34.09,38.18,-,-,-,-,-,-,-,,
Igare,35.57,28.09,35.63,36.86,37.50,38.64,43.48,43.48,28.26,26.09,-,-,,
Kibuye,30.22,27.17,28.92,31.06,35.22,35.42,35.10,30.46,30.12,30.78,-,-,,
Ahero,-,"25.28","29.50","32.93","34.24",34.06,"33.35","30.92","29.48","29.34",-,-,,
Kiboswa,32.18,28.94,29.57,30.87,33.77,-,37.51,30.76,30.81,30.34,"
-","
-",,
Sondu,-,25.68,30.14,33.53,33.53,35.42,34.49,29.34,29.18,28.89,-                      -,,,
Bondo,27.67,22.92,30.18,31.46,36.58,34.71,34.03,29.26,27.43,-,-                      -,,,
Siaya,27.23,-,-,-,-,-,33.24,29.81,-,-,-                      -,,,
Ngiya,-,23.89,-,-,-,-,34.66,27.51,-,-,-                      -,,,
Unguja,26.43,-,-,-,-,-,35.43,27.59,-,-,-                      -,,,
Kegonga,25.35,20.83,24.15,31.25,31.67,34.78,36.96,32.50,36.96,-,-                      -,,,
Homabay,28.04,31.04,31.26,36.57,-,32.42,35.29,-,-,-,-                      -,,,
Oyugis,27.21,28.47,30.67,33.33,34.78,33.15,35.42,-,-,-,-                      -,,,
Kehacha,24.00,24.00,24.00,32.00,32.00,-,32.00,32.00,-,32.00,-                      -,,,
Migori,24.00,28.00,32.00,32.00,32.00,-,28.26,30.43,30.43,-,-                      -,,,
Kabarnet,27.78,27.78,33.33,38.89,38.89,38.89,38.89,-,-,-,-                      -,,,
Kimulot,-,27.46,31.27,36.00,34.00,-,38.40,37.50,-,-,-                      -,,,
Sotik,-,29.11,31.51,36.00,36.00,-,42.67,36.00,32.00,-,-                      -,,,
Bomet,-,30.80,31.00,-,36.42,-,36.00,36.00,-,-,-                      -,,,
Muthurwa Narok,29.00,32.50,36.50,40.00,36.50,39.00,3.01,38.00,33.75,32.50,-                      -,,,
Nakuru Town,40.00,47.50,47.22,48.75,51.43,50.00,49.09,46.43,47.50,52.50,-                      -,,,
Kapsabet,30.43,29.35,30.43,30.43,36.96,39.13,39.13,43.48,43.48,-,-                      -,,,
Mulot,-,-,-,-,-,-,-,35.04,-,-,-,-,,
Kitale,22.92,22.92,22.92,29.17,-,-,-,-,-,-,-,-,,
Eldoret,30.00,27.00,27.50,30.00,31.78,36.60,32.00,32.00,32.00,32.00,24.50,24.00,,
Burn Forest,31.00,30.63,35.00,35.63,35.00,35.00,34.57,35.00,35.00,34.69,30.00,30.00,,
Turbo,20.00,22.00,24.00,31.63,35.00,35.00,35.00,36.67,30.00,28.33,28.13,25.00,,
Kipkaren,20.00,21.50,24.00,32.13,35.00,35.00,35.00,37.50,30.00,30.00,26.25,25.00,,
Iten,30.94,30.00,30.00,33.75,35.71,35.00,31.04,33.40,33.76,29.62,26.68,23.96,,
Kajiado,40.00,40.00,40.00,40.00,40.00,40.00,43.00,-,46.25,45.00,45.00,50.00,,
Bungoma Town,28.57,27.14,28.95,34.32,34.29,33.33,36.96,32.45,25.09,24.63,24.31,25.42,,
Kimilili,-,23.91,26.22,-,-,-,-,24.00,22.80,-,20.23,-,,
Kapsokwony,21.98,21.98,24.36,20.41,-,-,-,26.53,25.33,-,21.05,20.62,,
Bumala,26.67,27.38,30.16,30.95,33.93,36.11,36.51,25.51,23.81,25.60,28.57,32.74,,
Busia Town,31.43,23.81,26.19,31.55,35.12,36.51,36.11,25.51,25.00,26.19,27.38,35.71,,
Butere,27.27,26.63,27.87,29.55,36.08,38.47,39.20,34.09,28.41,28.64,30.68,27.20,,
Kakamega,28.20,27.27,30.39,33.18,34.91,39.05,38.79,37.14,30.83,24.40,29.00,31.50,,
Mumias,27.21,26.52,28.33,31.82,34.43,38.64,38.46,32.95,28.41,28.18,30.68,27.84,,
Mundeta,25.00,24.76,25.40,31.63,33.33,33.33,-,32.65,33.33,33.33,-,-,,
Cheptula,25.00,23.81,28.57,31.97,35.71,33.93,34.13,-,33.33,30.95,30.36,28.57,,
Mbale,23.81,23.81,26.19,30.16,33.33,33.33,29.76,30.95,30.01,28.57,28.57,-,,
Muthurwa,45.00,43.48,45.45,47.62,50.00,45.45,47.62,45.45,45.45,47.62,47.62,45.00,,
Kawangware,42.86,42.86,45.00,45.45,50.00,47.62,42.86,47.62,47.62,50.00,50.00,47.62,,
Burma,45.00,45.00,50.00,45.45,50.00,45.00,45.00,45.45,45.45,50.00,50.00,50.00,,
Gikomba,45.57,-,-,-,-,40.00,47.62,47.62,47.62,45.45,50.00,47.62,,
Kangemi,42.86,42.86,45.45,45.45,45.45,45.24,47.62,45.45,45.45,50.00,49.32,47.62,,
Korokocho,44.72,43.27,44.72,46.54,46.54,-,-,-,45.00,45.00,47.50,43.93,,
Toi,45.00,45.45,50.00,47.62,50.00,40.00,47.50,45.24,45.24,42.86,45.00,90.00,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
-                      -,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
