Town,JAN,FEB,MAR,APR,MAY,JUNE,JULY,AUG,SEP,OCT,NOV                   ,DEC,year
Kiambu,40.0,50.0,-,-,-,-,-,-,-,-,-,-,2017
Limuru,40.0,50.0,-,-,-,-,-,-,-,-,-,-,2017
Thika,45.0,55.0,-,-,-,-,-,47.5,40.0,-,-,-,2017
Kutus,40.3,50.8,51.1,-,-,-,-,-,-,-,-,-,2017
Sagana,45.5,-,-,-,-,-,-,-,-,-,-,-,2017
Kerugoya,43.2,50.5,53.4,-,-,-,-,-,-,-,-,-,2017
Githumu,44.1,47.6,50.0,57.1,61.0,61.9,60.3,-,-,-,-,-,2017
Muthithi,-,-,45.2,-,-,-,-,-,-,-,-,-,2017
Makuyu,44.8,47.6,50.8,-,-,-,-,45.0,40.0,-,-,-,2017
Kiriaini,-,-,55.0,60.0,-,-,-,-,-,-,-,-,2017
Ol Kalou,45.0,50.0,50.0,48.8,50.0,64.0,65.0,-,-,-,-,-,2017
Ndaragwa,-,48.8,40.9,45.2,45.2,-,62.3,-,-,-,-,-,2017
Nyeri,22.4,25.0,23.8,27.8,32.5,35.0,-,-,-,-,-,-,2017
Endarasha,22.7,23.7,30.8,28.0,30.4,31.0,-,55.6,63.0,68.6,55.6,,2017
Karatina,22.0,21.4,20.2,22.6,28.8,-,-,44.4,51.3,62.2,44.4,,2017
Gakindu,23.4,24.2,26.5,28.8,30.0,30.0,-,50.0,50.0,50.0,,,2017
Nanyuki,44.1,54.3,53.2,61.6,67.5,66.7,65.7,60.0,52.5,50.0,,,2017
Nyahururu,35.7,44.9,46.2,53.8,60.3,76.4,72.4,,,,,,2017
Ukunda,42.8,43.0,43.0,46.3,57.5,55.0,52.0,,,,,,2017
Kwale,44.2,42.5,42.5,46.8,62.0,56.7,58.7,,,,,,2017
Wundanyi,40.0,45.0,45.0,-,-,-,-,,,,,,2017
Voi,41.3,42.5,45.0,-,-,-,50.0,90.0,58.3,,,,2017
Mwatate,40.7,44.0,46.0,-,-,-,-,,,,,,2017
Mwembe Tayari,46.0,43.8,50.0,62.5,82.0,82.5,66.3,67.5,,,,,2017
Majengo,50.0,46.3,50.0,62.5,90.0,82.5,62.5,,,,,,2017
Sega,48.0,47.5,51.3,63.8,96.7,75.0,60.0,50.0,45.0,45.0,,,2017
Kongowea,46.0,48.8,53.8,56.3,58.0,60.0,56.3,50.0,53.1,50.3,,,2017
Hola,48.0,37.5,48.3,67.5,47.5,58.0,50.0,43.2,36.4,36.4,,,2017
Bura Tana,42.0,35.0,50.0,50.0,50.0,50.0,50.0,45.5,43.6,40.9,,,2017
Runyenjes,44.3,45.5,45.5,45.5,45.5,52.5,45.5,54.6,46.6,36.4,,,2017
Embu Town,43.2,45.5,45.5,48.5,54.6,54.6,47.7,,,,,,2017
Siakago,40.9,-,45.5,-,-,-,-,,,,,,2017
Tharaka,40.9,43.2,45.5,45.5,45.5,50.0,45.5,,,40.0,,,2017
Mwingi,-,45.0,-,-,-,-,-,,,,,,2017
Migwaini,-,-,-,-,-,-,50.0,50.0,46.7,40.0,,,2017
Kalundu,43.0,43.7,50.0,50.0,-,-,50.0,,,,,,2017
Machakos Town,44.0,48.3,-,52.5,-,63.1,60.0,50.0,50.0,,,,2017
Tawa,41.7,45.0,45.0,47.6,50.5,53.4,51.0,,38.9,38.9,,,2017
Tala,40.0,43.0,-,42.0,-,-,-,51.9,41.7,44.4,44.4,,2017
Maua,53.0,66.7,66.7,-,-,-,-,56.1,,,,,2017
Kianjai,-,-,-,-,-,-,47.8,,,,,,2017
Gakoromere,48.3,55.6,47.9,50.0,51.1,54.5,53.7,50.0,40.0,,,,2017
Chuka Town,49.4,51.4,-,-,-,-,-,,,60.0,,,2017
Kathwana,41.7,25.3,55.6,53.7,-,-,-,46.3,57.5,70.0,,,2017
Wote,41.7,44.8,45.0,46.4,52.4,59.0,54.0,,,,37.5,,2017
Kibirigo,-,-,-,-,-,-,40.3,,,,,,2017
Riochanda,-,-,-,-,-,-,43.1,,,,,,2017
Nyabite,-,-,-,-,-,-,45.8,,,,,,2017
Bondo,41.9,44.7,50.1,50.1,-,-,-,,,,,,2017
Siaya,-,-,51.5,53.7,-,-,-,,,,,,2017
Ngiya,37.2,41.4,52.7,-,-,-,-,,,,,,2017
Unguja,41.9,42.8,51.7,50.1,-,-,-,,,,,,2017
Turkana,54.6,58.0,51.1,-,-,-,-,,38.5,58.6,58.3,,2017
Kabarnet,40.3,41.3,43.3,-,-,66.7,66.7,,,,,,2017
Kimulot,39.1,44.0,56.0,52.0,57.0,60.0,52.0,,,44.0,,,2017
Muthurwa Narok,38.0,47.0,54.0,56.0,56.0,53.9,55.7,62.5,60.0,,,,2017
Nakuru Town,37.2,55.3,60.0,61.5,63.3,66.0,66.7,,50.0,39.9,27.6,,2017
Kitale,33.3,33.3,38.9,49.0,54.2,57.3,48.0,,,39.6,29.1,,2017
Eldoret,32.0,32.0,38.0,40.0,48.0,53.0,50.0,,40.1,32.4,29.2,,2017
Burn Forest,35.0,35.0,41.3,50.0,60.6,58.6,52.2,45.0,45.0,37.2,,,2017
Turbo,28.0,31.5,32.0,37.0,49.0,52.0,48.0,34.8,31.8,30.9,,,2017
Kipkaren,30.8,32.7,32.0,39.0,50.0,54.0,45.5,32.6,32.9,29.8,,,2017
Iten,33.4,40.3,41.4,65.3,51.3,57.2,50.0,32.6,35.3,30.9,,,2017
Kajiado,47.5,50.0,-,50.0,61.7,60.0,-,41.4,38.9,32.5,,,2017
Kapkateny,-,-,-,-,-,66.7,-,,50.0,48.4,42.0,,2017
Bungoma Town,35.5,-,-,-,-,-,-,,,,,,2017
Kimilili,33.0,-,-,-,-,-,-,,,,,,2017
Kapsokwony,34.2,-,-,-,-,-,-,,,,,,2017
Butere,34.7,38.0,40.0,-,-,-,-,,,,,,2017
Kakamega,41.9,50.0,50.0,-,-,-,-,29.0,29.6,31.3,,,2017
Mumias,34.8,37.0,40.0,-,-,-,-,35.0,33.8,37.5,,,2017
Mundeta,-,-,-,57.1,57.1,58.3,-,28.0,27.8,30.2,,,2017
Cheptula,37.6,42.3,46.9,57.1,57.1,55.6,57.1,44.5,42.9,33.3,,,2017
Mbale,40.0,47.5,50.0,52.5,56.6,59.5,57.1,41.3,33.3,33.3,,,2017
Muthurwa,50.0,54.6,55.0,52.4,50.0,52.4,65.0,47.6,42.9,38.1,,,2017
Kawangware,47.6,47.6,47.6,47.6,47.6,47.6,68.2,64.3,59.8,59.9,52.3,,2017
Burma,50.0,50.0,60.0,65.0,65.0,60.0,70.0,65.0,62.7,60.3,52.5,,2017
Gikomba,47.6,54.6,52.4,52.4,65.0,50.0,65.0,65.0,60.0,60.0,50.0,,2017
Kangemi,50.0,47.5,50.0,47.5,54.6,59.3,55.0,62.5,60.0,58.7,50.0,,2017
Korokocho,45.0,47.6,47.6,50.0,50.0,55.0,65.0,56.1,55.0,53.8,50.0,,2017
Toi,47.6,50.0,57.1,63.6,61.9,68.2,71.4,62.5,61.1,53.5,,,2017
Kiambu,-,,35.0,35.0,35.0,35.0,,,40.0,40.0,40.0,40.0,2016
Limuru,,,35.0,35.0,35.0,35.0,,,40.0,38.8,40.0,40.0,2016
Thika,-,45.0,45.0,,,40.0,40.0,40.0,40.0,40.0,40.0,-,2016
Gatundu,-,-,44.2,45.0,45.0,45.0,30.0,36.3,35.0,35.0,-,-,2016
Kutus,32.4,24.0,23.7,25.4,25.0,29.2,33.3,32.0,32.0,36.0,35.7,37.5,2016
Sagana,29.0,26.4,42.3,51.2,22.8,31.8,39.1,33.3,29.1,33.4,38.1,41.3,2016
Kerugoya,34.6,33.3,28.2,27.7,22.5,33.4,38.1,51.1,30.4,35.6,38.2,40.9,2016
Muthithi,22.7,22.7,22.7,23.9,24.1,25.0,26.1,31.8,32.4,34.1,34.1,35.0,2016
Makuyu,28.6,28.6,28.0,23.8,26.2,-,-,-,-,,37.3,38.1,2016
Kiriaini,32.5,35.0,34.4,35.0,,-,-,-,-,37.5,37.0,37.9,2016
Ol  Kalou,-,-,-,-,-,-,-,47.6,50.0,50.0,45.0,45.0,2016
Ndaragwa,-,-,-,-,-,-,-,-,33.3,40.0,40.5,-,2016
Nyeri,31.8,33.8,38.0,35.8,31.5,32.2,39.5,40.0,40.0,36.3,40.0,40.0,2016
