MARKETS,Jan,Feb,March,April,May,JUNE,JULY,August,Sep,Oct,Nov,Dec,year
Kiambu,40,50,-,-,-,-,-,-,-,-,-,-,2017
Limuru,40,50,-,-,-,-,-,-,-,-,-,-,2017
Thika,45,55,-,-,-,-,-,47.5,40,-,-,-,2017
Kutus,40.3,50.8,51.1,-,-,-,-,-,-,-,-,-,2017
Sagana,45.5,-,-,-,-,-,-,-,-,-,-,-,2017
Kerugoya,43.2,50.5,53.4,-,-,-,-,-,-,-,-,-,2017
Githumu,44.1,47.6,50,57.1,61,61.9,60.3,-,-,-,-,-,2017
Muthithi,-,-,45.2,-,-,-,-,-,-,-,-,-,2017
Makuyu,44.8,47.6,50.8,-,-,-,-,45,40,-,-,-,2017
Kiriaini,-,-,55,60,-,-,-,-,-,-,-,-,2017
Ol Kalou,45,50,50,48.8,50,64,65,-,-,-,-,-,2017
Ndaragwa,-,48.8,40.9,45.2,45.2,-,62.3,-,-,-,-,-,2017
Nyeri,22.4,25,23.8,27.8,32.5,35,-,-,-,-,-,-,2017
Endarasha,22.7,23.7,30.8,28,30.4,31,-,55.6,63,68.6,55.6,,2017
Karatina,22,21.4,20.2,22.6,28.8,-,-,44.4,51.3,62.2,44.4,,2017
Gakindu,23.4,24.2,26.5,28.8,30,30,-,50,50,50,,,2017
Nanyuki,44.1,54.3,53.2,61.6,67.5,66.7,65.7,60,52.5,50,,,2017
Nyahururu,35.7,44.9,46.2,53.8,60.3,76.4,72.4,,,,,,2017
Ukunda,42.8,43,43,46.3,57.5,55,52,,,,,,2017
Kwale,44.2,42.5,42.5,46.8,62,56.7,58.7,,,,,,2017
Wundanyi,40,45,45,-,-,-,-,,,,,,2017
Voi,41.3,42.5,45,-,-,-,50,90,58.3,,,,2017
Mwatate,40.7,44,46,-,-,-,-,,,,,,2017
Mwembe Tayari,46,43.8,50,62.5,82,82.5,66.3,67.5,,,,,2017
Majengo,50,46.3,50,62.5,90,82.5,62.5,,,,,,2017
Sega,48,47.5,51.3,63.8,96.7,75,60,50,45,45,,,2017
Kongowea,46,48.8,53.8,56.3,58,60,56.3,50,53.1,50.3,,,2017
Hola,48,37.5,48.3,67.5,47.5,58,50,43.2,36.4,36.4,,,2017
Bura Tana,42,35,50,50,50,50,50,45.5,43.6,40.9,,,2017
Runyenjes,44.3,45.5,45.5,45.5,45.5,52.5,45.5,54.6,46.6,36.4,,,2017
Embu Town,43.2,45.5,45.5,48.5,54.6,54.6,47.7,,,,,,2017
Siakago,40.9,-,45.5,-,-,-,-,,,,,,2017
Tharaka,40.9,43.2,45.5,45.5,45.5,50,45.5,,,40,,,2017
Mwingi,-,45,-,-,-,-,-,,,,,,2017
Migwaini,-,-,-,-,-,-,50,50,46.7,40,,,2017
Kalundu,43,43.7,50,50,-,-,50,,,,,,2017
Machakos Town,44,48.3,-,52.5,-,63.1,60,50,50,,,,2017
Tawa,41.7,45,45,47.6,50.5,53.4,51,,38.9,38.9,,,2017
Tala,40,43,-,42,-,-,-,51.9,41.7,44.4,44.4,,2017
Maua,53,66.7,66.7,-,-,-,-,56.1,,,,,2017
Kianjai,-,-,-,-,-,-,47.8,,,,,,2017
Gakoromere,48.3,55.6,47.9,50,51.1,54.5,53.7,50,40,,,,2017
Chuka Town,49.4,51.4,-,-,-,-,-,,,60,,,2017
Kathwana,41.7,25.3,55.6,53.7,-,-,-,46.3,57.5,70,,,2017
Wote,41.7,44.8,45,46.4,52.4,59,54,,,,37.5,,2017
