,MARKETS,county,countyID
1,Kiambu,Kiambu,1
2,Limuru,Kiambu,1
3,Thika,Kiambu,1
4,Kutus,Kirinyaga,2
5,Sagana,Kirinyaga,2
6,Kerugoya,Kirinyaga,2
7,Githumu,Muranga,4
8,Muthithi,?? Nairobi?,
9,Makuyu,Muranga,4
10,Kiriaini,Muranga,4
11,Ol Kalou,Nyandarua,5
12,Ndaragwa,Nyandarua,5
13,Nyeri,Nyeri,6
14,Endarasha,Nyeri,6
15,Karatina,Nyeri,6
16,Gakindu,Nyeri,6
17,Nanyuki,Laikipia,40
18,Nyahururu,Laikipia,40
19,Ukunda,Mombasa,10
20,Kwale,Kwale,8
21,Wundanyi,Taita-Taveta,11
22,Voi,Taita-Taveta,11
23,Mwatate,Taita-Taveta,11
24,Mwembe Tayari,Mombasa,10
25,Majengo,,
26,Sega,,
27,Kongowea,,
28,Hola,,
29,Bura Tana,,
30,Runyenjes,,
31,Embu Town,,
32,Siakago,,
33,Tharaka,,
34,Mwingi,,
35,Migwaini,,
36,Kalundu,,
37,Machakos Town,,
38,Tawa,,
39,Tala,,
40,Maua,,
41,Kianjai,,
42,Gakoromere,,
43,Chuka Town,,
44,Kathwana,,
45,Wote,,
46,Kibirigo,,
47,Riochanda,,
48,Nyabite,,
49,Bondo,,
50,Siaya,,
51,Ngiya,,
52,Unguja,,
53,Turkana,,
54,Kabarnet,,
55,Kimulot,,
56,Muthurwa Narok,,
57,Nakuru Town,,
58,Kitale,,
59,Eldoret,,
60,Burn Forest,,
61,Turbo,,
62,Kipkaren,,
63,Iten,,
64,Kajiado,,
65,Kapkateny,,
66,Bungoma Town,,
67,Kimilili,,
68,Kapsokwony,,
69,Butere,,
70,Kakamega,,
71,Mumias,,
72,Mundeta,,
73,Cheptula,,
74,Mbale,,
75,Muthurwa,,
76,Kawangware,,
77,Burma,,
78,Gikomba,,
79,Kangemi,,
80,Korokocho,,
81,Toi,,
82,Kiambu,,
83,Limuru,,
84,Thika,,
85,Gatundu,,
86,Kutus,,
87,Sagana,,
88,Kerugoya,,
89,Muthithi,,
90,Makuyu,,
91,Kiriaini,,
92,Ol  Kalou,,
93,Ndaragwa,,
94,Nyeri,,
95,Endarasha,,
96,Karatina,,
97,Gakindu,,
98,Nanyuki,,
99,Nyahururu,,
100,Ukunda,,
101,Kwale,,
102,Wundanyi,,
103,Voi,,
104,Mwatate,,
105,Mpeketoni,,
106,Mkunguni,,
107,Mokowe,,
