MARKETS,year,Month,Price
Kiambu,2006,Jan,15.08
Limuru,2006,Jan,18.25
Thika,2006,Jan,19.05
Gatundu,2006,Jan,21.00
Muthithi,2006,Jan,19.05
Mukuyu,2006,Jan,21.05
Kiriaini,2006,Jan,19.05
Engineer,2006,Jan,16.67
Nyeri,2006,Jan,19.05
Endarasha,2006,Jan,14.29
Karatina,2006,Jan,16.59
Gakindu,2006,Jan,NA
Nanyuki,2006,Jan,19.05
Mariakani,2006,Jan,18.00
Kaloleni,2006,Jan,20.00
Malindi,2006,Jan,23.80
Kibauni Kilifi,2006,Jan,20.00
Ukunda,2006,Jan,30.00
Mwembe Tayari,2006,Jan,18.00
Majengo,2006,Jan,NA
Sega,2006,Jan,19.50
Voi,2006,Jan,NA
Mackinon,2006,Jan,NA
Kongowea,2006,Jan,18.00
Hola,2006,Jan,20.00
Garsen,2006,Jan,NA
Runyenjes,2006,Jan,17.50
Embu Town,2006,Jan,17.50
Siakago,2006,Jan,NA
Mwingi,2006,Jan,17.00
Migwani,2006,Jan,18.00
Kalundu,2006,Jan,17.00
Machakos Town,2006,Jan,20.00
Tala,2006,Jan,17.57
Maua,2006,Jan,21.11
Kianjai,2006,Jan,18.89
Mwendantu,2006,Jan,14.10
Wote,2006,Jan,17.00
Garissa Town,2006,Jan,NA
Daraja Mbili,2006,Jan,13.74
Kibirigo,2006,Jan,15.24
Riochanda,2006,Jan,12.51
Nyabite,2006,Jan,13.61
Kibuye,2006,Jan,16.82
Mogonga,2006,Jan,NA
Nyamache,2006,Jan,NA
Ahero,2006,Jan,15.76
Homa Bay,2006,Jan,NA
Oyugis,2006,Jan,14.55
Kehancha,2006,Jan,NA
Kiboswa,2006,Jan,15.45
Sondu,2006,Jan,15.91
Bondo,2006,Jan,16.50
Akala,2006,Jan,NA
Siaya,2006,Jan,14.55
Ugunja,2006,Jan,14.29
Oyugis,2006,Jan,14.55
Kabarnet,2006,Jan,13.00
Litein,2006,Jan,16.67
Nakuru Town,2006,Jan,22.22
Kapsabet,2006,Jan,13.04
Kilgoris,2006,Jan,NA
Eldoret,2006,Jan,NA
Burnt Forest,2006,Jan,NA
Turbo,2006,Jan,10.42
Kipkaren,2006,Jan,15.00
Iten,2006,Jan,12.57
Flax,2006,Jan,14.29
Kajiado Township,2006,Jan,20.00
Kapkateny,2006,Jan,10.15
Kapsokwony,2006,Jan,10.76
Bumala,2006,Jan,14.29
Busia Town,2006,Jan,13.33
Butere,2006,Jan,15.61
Kakamega Town,2006,Jan,12.73
Mumias,2006,Jan,15.24
Mudete,2006,Jan,15.00
Cheptulu,2006,Jan,14.17
Mbale,2006,Jan,15.46
Kawangware,2006,Jan,21.43
Burma,2006,Jan,22.50
Gikomba,2006,Jan,20.00
Kangemi,2006,Jan,21.05
Korogocho,2006,Jan,21.28
Kibera(Toi),2006,Jan,19.05
Kiambu,2006,Feb,19.05
Limuru,2006,Feb,19.00
Thika,2006,Feb,19.05
Gatundu,2006,Feb,19.05
Muthithi,2006,Feb,NA
Mukuyu,2006,Feb,20.00
Kiriaini,2006,Feb,19.05
Engineer,2006,Feb,19.05
