"","MARKETS","Jan","Feb","March","April","May","JUNE","JULY","August","Sep","Oct","Nov","Dec","year"
"1","Kiambu",40,50,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2017"
"2","Limuru",40,50,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2017"
"3","Thika",45,55,NA,NA,NA,NA,NA,47.5,40,NA,NA,NA,"2017"
"4","Kutus",40.3,50.8,51.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2017"
"5","Sagana",45.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2017"
"6","Kerugoya",43.2,50.5,53.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2017"
"7","Githumu",44.1,47.6,50,57.1,61,61.9,60.3,NA,NA,NA,NA,NA,"2017"
"8","Muthithi",NA,NA,45.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2017"
"9","Makuyu",44.8,47.6,50.8,NA,NA,NA,NA,45,40,NA,NA,NA,"2017"
"10","Kiriaini",NA,NA,55,60,NA,NA,NA,NA,NA,NA,NA,NA,"2017"
"11","Ol Kalou",45,50,50,48.8,50,64,65,NA,NA,NA,NA,NA,"2017"
"12","Ndaragwa",NA,48.8,40.9,45.2,45.2,NA,62.3,NA,NA,NA,NA,NA,"2017"
"13","Nyeri",22.4,25,23.8,27.8,32.5,35,NA,NA,NA,NA,NA,NA,"2017"
"14","Endarasha",22.7,23.7,30.8,28,30.4,31,NA,55.6,63,68.6,55.6,NA,"2017"
"15","Karatina",22,21.4,20.2,22.6,28.8,NA,NA,44.4,51.3,62.2,44.4,NA,"2017"
"16","Gakindu",23.4,24.2,26.5,28.8,30,30,NA,50,50,50,NA,NA,"2017"
"17","Nanyuki",44.1,54.3,53.2,61.6,67.5,66.7,65.7,60,52.5,50,NA,NA,"2017"
"18","Nyahururu",35.7,44.9,46.2,53.8,60.3,76.4,72.4,NA,NA,NA,NA,NA,"2017"
"19","Ukunda",42.8,43,43,46.3,57.5,55,52,NA,NA,NA,NA,NA,"2017"
"20","Kwale",44.2,42.5,42.5,46.8,62,56.7,58.7,NA,NA,NA,NA,NA,"2017"
"21","Wundanyi",40,45,45,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2017"
"22","Voi",41.3,42.5,45,NA,NA,NA,50,90,58.3,NA,NA,NA,"2017"
"23","Mwatate",40.7,44,46,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2017"
"24","Mwembe Tayari",46,43.8,50,62.5,82,82.5,66.3,67.5,NA,NA,NA,NA,"2017"
"25","Majengo",50,46.3,50,62.5,90,82.5,62.5,NA,NA,NA,NA,NA,"2017"
"26","Sega",48,47.5,51.3,63.8,96.7,75,60,50,45,45,NA,NA,"2017"
"27","Kongowea",46,48.8,53.8,56.3,58,60,56.3,50,53.1,50.3,NA,NA,"2017"
"28","Hola",48,37.5,48.3,67.5,47.5,58,50,43.2,36.4,36.4,NA,NA,"2017"
"29","Bura Tana",42,35,50,50,50,50,50,45.5,43.6,40.9,NA,NA,"2017"
"30","Runyenjes",44.3,45.5,45.5,45.5,45.5,52.5,45.5,54.6,46.6,36.4,NA,NA,"2017"
"31","Embu Town",43.2,45.5,45.5,48.5,54.6,54.6,47.7,NA,NA,NA,NA,NA,"2017"
"32","Siakago",40.9,NA,45.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2017"
"33","Tharaka",40.9,43.2,45.5,45.5,45.5,50,45.5,NA,NA,40,NA,NA,"2017"
"34","Mwingi",NA,45,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2017"
"35","Migwaini",NA,NA,NA,NA,NA,NA,50,50,46.7,40,NA,NA,"2017"
"36","Kalundu",43,43.7,50,50,NA,NA,50,NA,NA,NA,NA,NA,"2017"
"37","Machakos Town",44,48.3,NA,52.5,NA,63.1,60,50,50,NA,NA,NA,"2017"
"38","Tawa",41.7,45,45,47.6,50.5,53.4,51,NA,38.9,38.9,NA,NA,"2017"
"39","Tala",40,43,NA,42,NA,NA,NA,51.9,41.7,44.4,44.4,NA,"2017"
"40","Maua",53,66.7,66.7,NA,NA,NA,NA,56.1,NA,NA,NA,NA,"2017"
"41","Kianjai",NA,NA,NA,NA,NA,NA,47.8,NA,NA,NA,NA,NA,"2017"
"42","Gakoromere",48.3,55.6,47.9,50,51.1,54.5,53.7,50,40,NA,NA,NA,"2017"
"43","Chuka Town",49.4,51.4,NA,NA,NA,NA,NA,NA,NA,60,NA,NA,"2017"
"44","Kathwana",41.7,25.3,55.6,53.7,NA,NA,NA,46.3,57.5,70,NA,NA,"2017"
"45","Wote",41.7,44.8,45,46.4,52.4,59,54,NA,NA,NA,37.5,NA,"2017"
"46","Kibirigo",NA,NA,NA,NA,NA,NA,40.3,NA,NA,NA,NA,NA,"2017"
"47","Riochanda",NA,NA,NA,NA,NA,NA,43.1,NA,NA,NA,NA,NA,"2017"
"48","Nyabite",NA,NA,NA,NA,NA,NA,45.8,NA,NA,NA,NA,NA,"2017"
"49","Bondo",41.9,44.7,50.1,50.1,NA,NA,NA,NA,NA,NA,NA,NA,"2017"
"50","Siaya",NA,NA,51.5,53.7,NA,NA,NA,NA,NA,NA,NA,NA,"2017"
"51","Ngiya",37.2,41.4,52.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2017"
"52","Unguja",41.9,42.8,51.7,50.1,NA,NA,NA,NA,NA,NA,NA,NA,"2017"
"53","Turkana",54.6,58,51.1,NA,NA,NA,NA,NA,38.5,58.6,58.3,NA,"2017"
"54","Kabarnet",40.3,41.3,43.3,NA,NA,66.7,66.7,NA,NA,NA,NA,NA,"2017"
"55","Kimulot",39.1,44,56,52,57,60,52,NA,NA,44,NA,NA,"2017"
"56","Muthurwa Narok",38,47,54,56,56,53.9,55.7,62.5,60,NA,NA,NA,"2017"
"57","Nakuru Town",37.2,55.3,60,61.5,63.3,66,66.7,NA,50,39.9,27.6,NA,"2017"
"58","Kitale",33.3,33.3,38.9,49,54.2,57.3,48,NA,NA,39.6,29.1,NA,"2017"
"59","Eldoret",32,32,38,40,48,53,50,NA,40.1,32.4,29.2,NA,"2017"
"60","Burn Forest",35,35,41.3,50,60.6,58.6,52.2,45,45,37.2,NA,NA,"2017"
"61","Turbo",28,31.5,32,37,49,52,48,34.8,31.8,30.9,NA,NA,"2017"
"62","Kipkaren",30.8,32.7,32,39,50,54,45.5,32.6,32.9,29.8,NA,NA,"2017"
"63","Iten",33.4,40.3,41.4,65.3,51.3,57.2,50,32.6,35.3,30.9,NA,NA,"2017"
"64","Kajiado",47.5,50,NA,50,61.7,60,NA,41.4,38.9,32.5,NA,NA,"2017"
"65","Kapkateny",NA,NA,NA,NA,NA,66.7,NA,NA,50,48.4,42,NA,"2017"
"66","Bungoma Town",35.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2017"
"67","Kimilili",33,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2017"
"68","Kapsokwony",34.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2017"
