,Town,year,Month,Price
810,KIAMBU,2007,JAN,17.40
811,LIMURU,2007,JAN,15.00
812,THIKA,2007,JAN,18.20
813,GATUNDU,2007,JAN,18.30
814,MUTHITHI,2007,JAN,11.90
815,MUKUYU,2007,JAN,17.60
816,KIRIAINI,2007,JAN,16.70
817,ENGINEER,2007,JAN,18.00
818,NYERI,2007,JAN,19.10
819,ENDARASHA,2007,JAN,16.70
820,KARATINA,2007,JAN,15.90
821,GAKINDU,2007,JAN,16.70
822,NANYUKI,2007,JAN,20.00
823,NYAHURURU,2007,JAN,17.50
824,MARIAKANI,2007,JAN,20.00
825,KALOLENI,2007,JAN,20.00
826,MALINDI,2007,JAN,20.00
827,KIBAUNI KILIFI,2007,JAN,21.00
828,UKUNDA,2007,JAN,35.00
829,WUNDANYI,2007,JAN,NA
830,MWEMBE TAYARI,2007,JAN,20.00
831,SEGA,2007,JAN,20.00
832,KONGOWEA,2007,JAN,15.00
833,GARSEN,2007,JAN,NA
834,BURA TANA,2007,JAN,20.00
835,RUNYENJES,2007,JAN,17.50
836,EMBU TOWN,2007,JAN,17.50
837,SIAKAGO,2007,JAN,20.00
838,MWINGI,2007,JAN,15.00
839,MIGGWAINI,2007,JAN,17.00
840,MACHAKOS TOWN,2007,JAN,18.20
841,TALA,2007,JAN,12.00
842,MAUA,2007,JAN,NA
843,KIANJAI,2007,JAN,17.80
844,GAKOROMERE,2007,JAN,16.00
845,WOTE,2007,JAN,17.00
846,GARISA TOWN,2007,JAN,29.60
847,DARAJA MBILI,2007,JAN,13.30
848,KIBIRIGO,2007,JAN,16.70
849,NYANGUSU,2007,JAN,14.30
850,RIOCHANDA,2007,JAN,13.30
851,NYABITE,2007,JAN,15.50
852,MOGONGA,2007,JAN,12.40
853,NYAMACHE,2007,JAN,14.30
854,KIBUYE,2007,JAN,16.70
855,AHERO,2007,JAN,NA
856,KIBOSWA,2007,JAN,16.20
857,SONDU,2007,JAN,14.60
858,BONDO,2007,JAN,15.00
859,OYUGIS,2007,JAN,12.40
860,KEHACHA,2007,JAN,15.90
861,KABARNET,2007,JAN,15.00
862,NAKURU TWON,2007,JAN,22.20
863,KAPSABET,2007,JAN,13.00
864,KITALE,2007,JAN,NA
865,ELDORET,2007,JAN,13.30
866,BURN FOREST,2007,JAN,NA
867,TURBO,2007,JAN,11.40
868,KIPKAREN,2007,JAN,12.90
869,ITEN,2007,JAN,11.90
870,KAJIADO TOWN,2007,JAN,20.00
871,KAPKATENY,2007,JAN,12.50
872,BUNGOMA TOWN,2007,JAN,14.30
873,KIMILILI,2007,JAN,13.30
874,KAPSOKWONY,2007,JAN,13.10
875,BUTERE,2007,JAN,NA
876,KAKAMEGA,2007,JAN,14.00
877,MUMIAS,2007,JAN,NA
878,MUNDETA,2007,JAN,14.30
879,CHEPTULA,2007,JAN,14.30
880,Mbale,2007,JAN,14.30
881,KAWANGWARE,2007,JAN,22.00
882,BURMA,2007,JAN,20.00
883,KIKOMBA,2007,JAN,19.10
884,KANGEMI,2007,JAN,19.50
885,KOROKOCHO,2007,JAN,18.00
886,TOI,2007,JAN,21.00
1697,KIAMBU,2007,FEB,16.70
1698,LIMURU,2007,FEB,15.00
1699,THIKA,2007,FEB,19.10
1700,GATUNDU,2007,FEB,16.70
1701,MUTHITHI,2007,FEB,11.90
1702,MUKUYU,2007,FEB,15.80
1703,KIRIAINI,2007,FEB,16.70
1704,ENGINEER,2007,FEB,16.70
1705,NYERI,2007,FEB,16.70
1706,ENDARASHA,2007,FEB,17.90
1707,KARATINA,2007,FEB,16.30
1708,GAKINDU,2007,FEB,17.50
1709,NANYUKI,2007,FEB,20.00
1710,NYAHURURU,2007,FEB,16.00
1711,MARIAKANI,2007,FEB,20.00
1712,KALOLENI,2007,FEB,20.00
1713,MALINDI,2007,FEB,17.20
1714,KIBAUNI KILIFI,2007,FEB,20.00
1715,UKUNDA,2007,FEB,35.00
1716,WUNDANYI,2007,FEB,NA
1717,MWEMBE TAYARI,2007,FEB,20.00
1718,SEGA,2007,FEB,20.00
1719,KONGOWEA,2007,FEB,15.00
1720,GARSEN,2007,FEB,20.00
1721,BURA TANA,2007,FEB,20.00
1722,RUNYENJES,2007,FEB,17.50
1723,EMBU TOWN,2007,FEB,17.50
1724,SIAKAGO,2007,FEB,17.50
1725,MWINGI,2007,FEB,16.00
1726,MIGGWAINI,2007,FEB,16.00
1727,MACHAKOS TOWN,2007,FEB,NA
1728,TALA,2007,FEB,9.80
1729,MAUA,2007,FEB,25.00
1730,KIANJAI,2007,FEB,17.80
1731,GAKOROMERE,2007,FEB,13.60
1732,WOTE,2007,FEB,15.00
1733,GARISA TOWN,2007,FEB,16.70
1734,DARAJA MBILI,2007,FEB,14.30
1735,KIBIRIGO,2007,FEB,NA
1736,NYANGUSU,2007,FEB,9.10
1737,RIOCHANDA,2007,FEB,NA
1738,NYABITE,2007,FEB,NA
1739,MOGONGA,2007,FEB,10.90
1740,NYAMACHE,2007,FEB,12.10
1741,KIBUYE,2007,FEB,14.10
1742,AHERO,2007,FEB,NA
1743,KIBOSWA,2007,FEB,15.70
1744,SONDU,2007,FEB,13.60
1745,BONDO,2007,FEB,15.40
1746,OYUGIS,2007,FEB,13.30
1747,KEHACHA,2007,FEB,13.60
1748,KABARNET,2007,FEB,NA
1749,NAKURU TWON,2007,FEB,22.20
1750,KAPSABET,2007,FEB,13.00
1751,KITALE,2007,FEB,17.50
1752,ELDORET,2007,FEB,13.20
1753,BURN FOREST,2007,FEB,10.40
1754,TURBO,2007,FEB,11.20
1755,KIPKAREN,2007,FEB,12.00
1756,ITEN,2007,FEB,25.00
1757,KAJIADO TOWN,2007,FEB,20.00
1758,KAPKATENY,2007,FEB,13.70
1759,BUNGOMA TOWN,2007,FEB,14.00
1760,KIMILILI,2007,FEB,13.70
1761,KAPSOKWONY,2007,FEB,13.30
1762,BUTERE,2007,FEB,NA
1763,KAKAMEGA,2007,FEB,14.00
1764,MUMIAS,2007,FEB,NA
1765,MUNDETA,2007,FEB,14.30
1766,CHEPTULA,2007,FEB,14.30
1767,Mbale,2007,FEB,13.60
1768,KAWANGWARE,2007,FEB,20.00
1769,BURMA,2007,FEB,20.00
1770,KIKOMBA,2007,FEB,19.00
1771,KANGEMI,2007,FEB,20.50
1772,KOROKOCHO,2007,FEB,19.50
1773,TOI,2007,FEB,20.10
2584,KIAMBU,2007,MAR,16.70
2585,LIMURU,2007,MAR,15.00
2586,THIKA,2007,MAR,19.10
2587,GATUNDU,2007,MAR,14.30
2588,MUTHITHI,2007,MAR,10.70
2589,MUKUYU,2007,MAR,15.80
2590,KIRIAINI,2007,MAR,16.70
2591,ENGINEER,2007,MAR,16.30
2592,NYERI,2007,MAR,16.70
2593,ENDARASHA,2007,MAR,19.10
2594,KARATINA,2007,MAR,13.60
2595,GAKINDU,2007,MAR,17.50
2596,NANYUKI,2007,MAR,20.00
2597,NYAHURURU,2007,MAR,14.60
2598,MARIAKANI,2007,MAR,18.00
2599,KALOLENI,2007,MAR,17.00
2600,MALINDI,2007,MAR,20.00
2601,KIBAUNI KILIFI,2007,MAR,18.00
2602,UKUNDA,2007,MAR,38.00
2603,WUNDANYI,2007,MAR,14.00
2604,MWEMBE TAYARI,2007,MAR,23.70
2605,SEGA,2007,MAR,20.00
2606,KONGOWEA,2007,MAR,NA
2607,GARSEN,2007,MAR,25.00
2608,BURA TANA,2007,MAR,20.00
2609,RUNYENJES,2007,MAR,15.00
2610,EMBU TOWN,2007,MAR,15.00
2611,SIAKAGO,2007,MAR,12.50
2612,MWINGI,2007,MAR,15.00
2613,MIGGWAINI,2007,MAR,7.30
2614,MACHAKOS TOWN,2007,MAR,12.00
2615,TALA,2007,MAR,9.40
2616,MAUA,2007,MAR,16.30
2617,KIANJAI,2007,MAR,10.00
2618,GAKOROMERE,2007,MAR,8.00
2619,WOTE,2007,MAR,14.00
2620,GARISA TOWN,2007,MAR,16.70
2621,DARAJA MBILI,2007,MAR,13.60
2622,KIBIRIGO,2007,MAR,NA
2623,NYANGUSU,2007,MAR,10.90
2624,RIOCHANDA,2007,MAR,NA
2625,NYABITE,2007,MAR,NA
2626,MOGONGA,2007,MAR,10.40
2627,NYAMACHE,2007,MAR,10.00
2628,KIBUYE,2007,MAR,14.30
2629,AHERO,2007,MAR,NA
2630,KIBOSWA,2007,MAR,14.10
2631,SONDU,2007,MAR,13.60
2632,BONDO,2007,MAR,17.50
2633,OYUGIS,2007,MAR,NA
2634,KEHACHA,2007,MAR,NA
2635,KABARNET,2007,MAR,15.00
2636,NAKURU TWON,2007,MAR,22.20
2637,KAPSABET,2007,MAR,13.00
2638,KITALE,2007,MAR,16.50
2639,ELDORET,2007,MAR,13.60
2640,BURN FOREST,2007,MAR,13.50
2641,TURBO,2007,MAR,10.00
2642,KIPKAREN,2007,MAR,12.00
2643,ITEN,2007,MAR,26.30
2644,KAJIADO TOWN,2007,MAR,NA
2645,KAPKATENY,2007,MAR,13.60
2646,BUNGOMA TOWN,2007,MAR,13.60
2647,KIMILILI,2007,MAR,12.90
2648,KAPSOKWONY,2007,MAR,14.00
2649,BUTERE,2007,MAR,14.70
2650,KAKAMEGA,2007,MAR,13.60
2651,MUMIAS,2007,MAR,14.70
2652,MUNDETA,2007,MAR,14.30
2653,CHEPTULA,2007,MAR,14.30
2654,Mbale,2007,MAR,13.60
2655,KAWANGWARE,2007,MAR,20.00
2656,BURMA,2007,MAR,22.00
2657,KIKOMBA,2007,MAR,20.00
2658,KANGEMI,2007,MAR,19.10
2659,KOROKOCHO,2007,MAR,20.00
2660,TOI,2007,MAR,18.00
3471,KIAMBU,2007,APR,14.30
3472,LIMURU,2007,APR,15.00
3473,THIKA,2007,APR,19.10
3474,GATUNDU,2007,APR,16.70
3475,MUTHITHI,2007,APR,9.50
3476,MUKUYU,2007,APR,15.00
3477,KIRIAINI,2007,APR,16.70
3478,ENGINEER,2007,APR,15.00
3479,NYERI,2007,APR,14.30
3480,ENDARASHA,2007,APR,20.00
3481,KARATINA,2007,APR,13.30
3482,GAKINDU,2007,APR,14.30
3483,NANYUKI,2007,APR,20.00
3484,NYAHURURU,2007,APR,12.00
3485,MARIAKANI,2007,APR,20.00
3486,KALOLENI,2007,APR,17.00
3487,MALINDI,2007,APR,NA
3488,KIBAUNI KILIFI,2007,APR,18.00
3489,UKUNDA,2007,APR,35.00
3490,WUNDANYI,2007,APR,14.00
3491,MWEMBE TAYARI,2007,APR,30.00
3492,SEGA,2007,APR,22.00
3493,KONGOWEA,2007,APR,15.00
3494,GARSEN,2007,APR,NA
3495,BURA TANA,2007,APR,40.00
3496,RUNYENJES,2007,APR,15.00
3497,EMBU TOWN,2007,APR,12.50
3498,SIAKAGO,2007,APR,12.50
3499,MWINGI,2007,APR,8.00
3500,MIGGWAINI,2007,APR,10.00
3501,MACHAKOS TOWN,2007,APR,12.00
3502,TALA,2007,APR,9.50
3503,MAUA,2007,APR,12.50
3504,KIANJAI,2007,APR,12.50
3505,GAKOROMERE,2007,APR,9.10
3506,WOTE,2007,APR,11.00
3507,GARISA TOWN,2007,APR,16.70
3508,DARAJA MBILI,2007,APR,14.30
3509,KIBIRIGO,2007,APR,NA
3510,NYANGUSU,2007,APR,11.90
3511,RIOCHANDA,2007,APR,NA
3512,NYABITE,2007,APR,NA
3513,MOGONGA,2007,APR,11.90
3514,NYAMACHE,2007,APR,14.30
3515,KIBUYE,2007,APR,15.70
3516,AHERO,2007,APR,NA
3517,KIBOSWA,2007,APR,15.20
3518,SONDU,2007,APR,NA
3519,BONDO,2007,APR,17.50
3520,OYUGIS,2007,APR,NA
3521,KEHACHA,2007,APR,NA
3522,KABARNET,2007,APR,15.00
3523,NAKURU TWON,2007,APR,22.20
3524,KAPSABET,2007,APR,14.30
3525,KITALE,2007,APR,14.30
3526,ELDORET,2007,APR,15.20
3527,BURN FOREST,2007,APR,16.70
3528,TURBO,2007,APR,11.40
3529,KIPKAREN,2007,APR,15.00
3530,ITEN,2007,APR,11.90
3531,KAJIADO TOWN,2007,APR,20.00
3532,KAPKATENY,2007,APR,14.30
3533,BUNGOMA TOWN,2007,APR,15.20
3534,KIMILILI,2007,APR,14.30
3535,KAPSOKWONY,2007,APR,15.20
3536,BUTERE,2007,APR,14.60
3537,KAKAMEGA,2007,APR,15.20
3538,MUMIAS,2007,APR,14.70
3539,MUNDETA,2007,APR,14.30
3540,CHEPTULA,2007,APR,15.20
3541,Mbale,2007,APR,14.30
3542,KAWANGWARE,2007,APR,20.00
3543,BURMA,2007,APR,22.00
3544,KIKOMBA,2007,APR,19.00
3545,KANGEMI,2007,APR,19.00
3546,KOROKOCHO,2007,APR,19.00
3547,TOI,2007,APR,17.50
4358,KIAMBU,2007,MAY,16.70
4359,LIMURU,2007,MAY,15.00
4360,THIKA,2007,MAY,19.10
4361,GATUNDU,2007,MAY,15.80
4362,MUTHITHI,2007,MAY,10.20
4363,MUKUYU,2007,MAY,19.10
4364,KIRIAINI,2007,MAY,14.30
4365,ENGINEER,2007,MAY,16.70
4366,NYERI,2007,MAY,14.30
4367,ENDARASHA,2007,MAY,19.10
4368,KARATINA,2007,MAY,14.30
4369,GAKINDU,2007,MAY,17.50
4370,NANYUKI,2007,MAY,20.00
4371,NYAHURURU,2007,MAY,12.00
4372,MARIAKANI,2007,MAY,18.00
4373,KALOLENI,2007,MAY,17.00
4374,MALINDI,2007,MAY,20.00
4375,KIBAUNI KILIFI,2007,MAY,17.00
4376,UKUNDA,2007,MAY,35.00
4377,WUNDANYI,2007,MAY,13.00
4378,MWEMBE TAYARI,2007,MAY,20.00
4379,SEGA,2007,MAY,20.00
4380,KONGOWEA,2007,MAY,14.00
4381,GARSEN,2007,MAY,NA
4382,BURA TANA,2007,MAY,20.00
4383,RUNYENJES,2007,MAY,15.00
4384,EMBU TOWN,2007,MAY,12.50
4385,SIAKAGO,2007,MAY,12.50
4386,MWINGI,2007,MAY,NA
4387,MIGGWAINI,2007,MAY,10.00
4388,MACHAKOS TOWN,2007,MAY,5.70
4389,TALA,2007,MAY,10.00
4390,MAUA,2007,MAY,15.00
4391,KIANJAI,2007,MAY,11.10
4392,GAKOROMERE,2007,MAY,9.10
4393,WOTE,2007,MAY,11.00
4394,GARISA TOWN,2007,MAY,16.70
4395,DARAJA MBILI,2007,MAY,14.30
4396,KIBIRIGO,2007,MAY,NA
4397,NYANGUSU,2007,MAY,13.10
4398,RIOCHANDA,2007,MAY,22.60
4399,NYABITE,2007,MAY,14.30
4400,MOGONGA,2007,MAY,12.40
4401,NYAMACHE,2007,MAY,11.90
4402,KIBUYE,2007,MAY,NA
4403,AHERO,2007,MAY,NA
4404,KIBOSWA,2007,MAY,NA
4405,SONDU,2007,MAY,NA
4406,BONDO,2007,MAY,14.10
4407,OYUGIS,2007,MAY,16.20
4408,KEHACHA,2007,MAY,NA
4409,KABARNET,2007,MAY,15.60
4410,NAKURU TWON,2007,MAY,22.20
4411,KAPSABET,2007,MAY,15.20
4412,KITALE,2007,MAY,15.00
4413,ELDORET,2007,MAY,18.50
4414,BURN FOREST,2007,MAY,11.00
4415,TURBO,2007,MAY,11.90
4416,KIPKAREN,2007,MAY,16.50
4417,ITEN,2007,MAY,NA
4418,KAJIADO TOWN,2007,MAY,20.00
4419,KAPKATENY,2007,MAY,17.10
4420,BUNGOMA TOWN,2007,MAY,13.60
4421,KIMILILI,2007,MAY,NA
4422,KAPSOKWONY,2007,MAY,18.10
4423,BUTERE,2007,MAY,15.90
4424,KAKAMEGA,2007,MAY,15.20
4425,MUMIAS,2007,MAY,15.70
4426,MUNDETA,2007,MAY,15.20
4427,CHEPTULA,2007,MAY,15.20
4428,Mbale,2007,MAY,NA
4429,KAWANGWARE,2007,MAY,30.00
4430,BURMA,2007,MAY,22.00
4431,KIKOMBA,2007,MAY,18.20
4432,KANGEMI,2007,MAY,20.00
4433,KOROKOCHO,2007,MAY,20.00
4434,TOI,2007,MAY,29.20
5245,KIAMBU,2007,JUNE,11.90
5246,LIMURU,2007,JUNE,15.00
5247,THIKA,2007,JUNE,18.20
5248,GATUNDU,2007,JUNE,14.30
5249,MUTHITHI,2007,JUNE,10.70
5250,MUKUYU,2007,JUNE,15.80
5251,KIRIAINI,2007,JUNE,14.30
5252,ENGINEER,2007,JUNE,20.00
5253,NYERI,2007,JUNE,19.10
5254,ENDARASHA,2007,JUNE,NA
5255,KARATINA,2007,JUNE,17.50
5256,GAKINDU,2007,JUNE,12.50
5257,NANYUKI,2007,JUNE,20.00
5258,NYAHURURU,2007,JUNE,22.50
5259,MARIAKANI,2007,JUNE,18.00
5260,KALOLENI,2007,JUNE,18.00
5261,MALINDI,2007,JUNE,20.00
5262,KIBAUNI KILIFI,2007,JUNE,16.50
5263,UKUNDA,2007,JUNE,30.00
5264,WUNDANYI,2007,JUNE,NA
5265,MWEMBE TAYARI,2007,JUNE,20.00
5266,SEGA,2007,JUNE,NA
5267,KONGOWEA,2007,JUNE,14.50
5268,GARSEN,2007,JUNE,NA
5269,BURA TANA,2007,JUNE,NA
5270,RUNYENJES,2007,JUNE,12.50
5271,EMBU TOWN,2007,JUNE,12.00
5272,SIAKAGO,2007,JUNE,NA
5273,MWINGI,2007,JUNE,15.00
5274,MIGGWAINI,2007,JUNE,10.00
5275,MACHAKOS TOWN,2007,JUNE,10.00
5276,TALA,2007,JUNE,9.50
5277,MAUA,2007,JUNE,13.80
5278,KIANJAI,2007,JUNE,11.10
5279,GAKOROMERE,2007,JUNE,10.90
5280,WOTE,2007,JUNE,12.00
5281,GARISA TOWN,2007,JUNE,16.70
5282,DARAJA MBILI,2007,JUNE,13.60
5283,KIBIRIGO,2007,JUNE,16.70
5284,NYANGUSU,2007,JUNE,10.00
5285,RIOCHANDA,2007,JUNE,NA
5286,NYABITE,2007,JUNE,NA
5287,MOGONGA,2007,JUNE,13.30
5288,NYAMACHE,2007,JUNE,11.60
5289,KIBUYE,2007,JUNE,NA
5290,AHERO,2007,JUNE,NA
5291,KIBOSWA,2007,JUNE,NA
5292,SONDU,2007,JUNE,NA
5293,BONDO,2007,JUNE,15.00
5294,OYUGIS,2007,JUNE,NA
5295,KEHACHA,2007,JUNE,NA
5296,KABARNET,2007,JUNE,15.00
5297,NAKURU TWON,2007,JUNE,22.20
5298,KAPSABET,2007,JUNE,15.20
5299,KITALE,2007,JUNE,14.80
5300,ELDORET,2007,JUNE,17.50
5301,BURN FOREST,2007,JUNE,0.50
5302,TURBO,2007,JUNE,17.60
5303,KIPKAREN,2007,JUNE,17.50
5304,ITEN,2007,JUNE,NA
5305,KAJIADO TOWN,2007,JUNE,20.00
5306,KAPKATENY,2007,JUNE,17.10
5307,BUNGOMA TOWN,2007,JUNE,NA
5308,KIMILILI,2007,JUNE,15.70
5309,KAPSOKWONY,2007,JUNE,18.10
5310,BUTERE,2007,JUNE,16.50
5311,KAKAMEGA,2007,JUNE,16.30
5312,MUMIAS,2007,JUNE,16.70
5313,MUNDETA,2007,JUNE,15.20
5314,CHEPTULA,2007,JUNE,NA
5315,Mbale,2007,JUNE,15.20
5316,KAWANGWARE,2007,JUNE,21.10
5317,BURMA,2007,JUNE,20.00
5318,KIKOMBA,2007,JUNE,20.00
5319,KANGEMI,2007,JUNE,20.00
5320,KOROKOCHO,2007,JUNE,18.20
5321,TOI,2007,JUNE,17.40
6132,KIAMBU,2007,JULY,11.90
6133,LIMURU,2007,JULY,16.20
6134,THIKA,2007,JULY,19.10
6135,GATUNDU,2007,JULY,10.00
6136,MUTHITHI,2007,JULY,13.30
6137,MUKUYU,2007,JULY,12.50
6138,KIRIAINI,2007,JULY,14.30
6139,ENGINEER,2007,JULY,18.60
6140,NYERI,2007,JULY,19.10
6141,ENDARASHA,2007,JULY,NA
6142,KARATINA,2007,JULY,13.30
6143,GAKINDU,2007,JULY,14.30
6144,NANYUKI,2007,JULY,17.00
6145,NYAHURURU,2007,JULY,11.90
6146,MARIAKANI,2007,JULY,18.00
6147,KALOLENI,2007,JULY,18.00
6148,MALINDI,2007,JULY,20.00
6149,KIBAUNI KILIFI,2007,JULY,17.00
6150,UKUNDA,2007,JULY,25.00
6151,WUNDANYI,2007,JULY,NA
6152,MWEMBE TAYARI,2007,JULY,20.00
6153,SEGA,2007,JULY,NA
6154,KONGOWEA,2007,JULY,14.00
6155,GARSEN,2007,JULY,20.00
6156,BURA TANA,2007,JULY,NA
6157,RUNYENJES,2007,JULY,10.00
6158,EMBU TOWN,2007,JULY,12.50
6159,SIAKAGO,2007,JULY,11.80
6160,MWINGI,2007,JULY,15.00
6161,MIGGWAINI,2007,JULY,12.00
6162,MACHAKOS TOWN,2007,JULY,10.00
6163,TALA,2007,JULY,9.00
6164,MAUA,2007,JULY,12.50
6165,KIANJAI,2007,JULY,8.90
6166,GAKOROMERE,2007,JULY,9.10
6167,WOTE,2007,JULY,12.00
6168,GARISA TOWN,2007,JULY,16.70
6169,DARAJA MBILI,2007,JULY,12.80
6170,KIBIRIGO,2007,JULY,11.90
6171,NYANGUSU,2007,JULY,10.90
6172,RIOCHANDA,2007,JULY,NA
6173,NYABITE,2007,JULY,NA
6174,MOGONGA,2007,JULY,11.70
6175,NYAMACHE,2007,JULY,10.90
6176,KIBUYE,2007,JULY,NA
6177,AHERO,2007,JULY,NA
6178,KIBOSWA,2007,JULY,NA
6179,SONDU,2007,JULY,NA
6180,BONDO,2007,JULY,15.00
6181,OYUGIS,2007,JULY,15.70
6182,KEHACHA,2007,JULY,NA
6183,KABARNET,2007,JULY,NA
6184,NAKURU TWON,2007,JULY,22.20
6185,KAPSABET,2007,JULY,16.70
6186,KITALE,2007,JULY,17.50
6187,ELDORET,2007,JULY,19.00
6188,BURN FOREST,2007,JULY,20.00
6189,TURBO,2007,JULY,14.00
6190,KIPKAREN,2007,JULY,17.50
6191,ITEN,2007,JULY,NA
6192,KAJIADO TOWN,2007,JULY,20.00
6193,KAPKATENY,2007,JULY,17.10
6194,BUNGOMA TOWN,2007,JULY,NA
6195,KIMILILI,2007,JULY,16.70
6196,KAPSOKWONY,2007,JULY,17.10
6197,BUTERE,2007,JULY,15.70
6198,KAKAMEGA,2007,JULY,15.90
6199,MUMIAS,2007,JULY,17.00
6200,MUNDETA,2007,JULY,15.20
6201,CHEPTULA,2007,JULY,14.30
6202,Mbale,2007,JULY,15.20
6203,KAWANGWARE,2007,JULY,19.10
6204,BURMA,2007,JULY,20.00
6205,KIKOMBA,2007,JULY,18.20
6206,KANGEMI,2007,JULY,20.00
6207,KOROKOCHO,2007,JULY,18.20
6208,TOI,2007,JULY,16.70
7019,KIAMBU,2007,AUG,11.90
7020,LIMURU,2007,AUG,16.10
7021,THIKA,2007,AUG,18.20
7022,GATUNDU,2007,AUG,17.50
7023,MUTHITHI,2007,AUG,NA
7024,MUKUYU,2007,AUG,12.50
7025,KIRIAINI,2007,AUG,14.30
7026,ENGINEER,2007,AUG,15.00
7027,NYERI,2007,AUG,14.30
7028,ENDARASHA,2007,AUG,NA
7029,KARATINA,2007,AUG,14.30
7030,GAKINDU,2007,AUG,17.50
7031,NANYUKI,2007,AUG,17.00
7032,NYAHURURU,2007,AUG,14.30
7033,MARIAKANI,2007,AUG,17.00
7034,KALOLENI,2007,AUG,17.00
7035,MALINDI,2007,AUG,20.00
7036,KIBAUNI KILIFI,2007,AUG,17.00
7037,UKUNDA,2007,AUG,25.00
7038,WUNDANYI,2007,AUG,NA
