KIAMBU,35,35,.,.,33.8,34.7,48.6,.,.,.,32.5,.,,,,,,2009,,2013
LIMURU,30,32.5,.,.,37.5,37.5,37.5,.,.,32.5,30,.,,,,,,,,AHERO
MUTHITHI,35,35,35,35,40,.,.,.,.,.,.,,,,,,,BONDO,,BONDO
MUKUYU,33.3,35,26,33.3,35.7,38.1,.,.,.,33.3,33.3,31,,,,,,,,BUMALA
KIRIAINI,33.3,38.1,.,35.7,38.1,38.1,33.3,.,.,35.7,31,.,,,,,,,,BUNGOMA
NANYUKI,35.3,33.3,34.2,43.8,44.4,50,44.4,44.4,.,44.4,44.4,44.4,,,,,,BUNGOMA TOWN,,BURA TANA
SIPILI,20,20,46.6,25,.,.,.,.,.,25,.,.,,,,,,BURMA,,BURMA
MARIAKANI,33.5,35,35,35,35,35,35,35,.,36,36,36,,,,,,,,BURN FOREST
KALOLENI,32,32,35,35,35,35,35,35,.,36,36,36,,,,,,,,BUSIA TOWN
MALINDI,30,35,35,35,40,.,.,.,.,30,35,35,,,,,,,,BUTERE
KIBAUNI KILIFI,35,35,35,35,35,35,35,35,.,.,36,35,,,,,,CHEPTULU,,CHEPTULA
GARSEN,22.5,.,25,25,25,.,.,.,,.,,.,,,,,,DARAJA MBILI,,DARAJA MBILI
RUNYENJES,35,37.5,37.5,37.5,40,35,35,.,30,30,32.5,.,,,,,,ELDORET,,ELDORET
EMBU TOWN,37.5,37.5,37.5,51.2,42.5,40,35,.,30,35,32.5,.,,,,,,EMBU TOWN,,EMBU TOWN
SIAKAGO,29.6,35.7,37.5,.,43.2,38.1,37.5,35,.,32.5,32.5,32.5,,,,,,GARISSA TOWN,,ENDARASHA
MIGWANI,.,35,33,40,35,34,30,.,.,50,50,28,,,,,,,,ENGINNEER
MACHAKOS TOWN,31.6,33,32,33,38.9,32,33,.,.,.,30,.,,,,,,,,GAKINDU
TALA,30,.,.,.,.,.,.,.,,.,.,,,,,,,,,GAKOROMERE
MWENDANTU,31.8,27.3,27.3,30,32,33,35,.,.,29.1,27.3,30,,,,,,GARSEN,,GARSEN
