"","Admin1","county","Source","SourceDoc","Admin0","Admin2","Year","Crop","Season","Area","Yield","MT","ID","west1"
"1","Central","Kiambu","MOA","AgroMOA","","Kiambu","1972","Maize","",18718,2.24,41966,1,1
"2","Central","Kiambu","MOA","AgroMOA","","Kiambu","1974","Maize","",26977,1.85,49999,1,1
"3","Central","Kiambu","MOA","AgroMOA","","Kiambu","1975","Maize","",21884,1.8,39391,1,1
"4","Central","Kiambu","MOA","AgroMOA","","Kiambu","1976","Maize","",18227,1.05,19205,1,1
"5","Central","Kiambu","MOA","AgroMOA","","Kiambu","1977","Maize","",17028,1.8,30650,1,1
"6","Central","Kiambu","MOA","AgroMOA","","Kiambu","1978","Maize","",16896,1.8,30410,1,1
"7","Central","Kiambu","MOA","AgroMOA","","Kiambu","1979","Maize","",18700,2.17,40500,1,1
"8","Central","Kiambu","MOA","AgroMOA","","Kiambu","1980","Maize","",19000,3.32,63000,1,1
"9","Central","Kiambu","MOA","AgroMOA","","Kiambu","1981","Maize","",21000,2.8,58800,1,1
"10","Central","Kiambu","MOA","AgroMOA","","Kiambu","1982","Maize","",21000,2.7,56700,1,1
"11","Central","Kiambu","MOA","AgroMOA","","Kiambu","1983","Maize","",37000,1.62,59940,1,1
"12","Central","Kiambu","MOA","AgroMOA","","Kiambu","1984","Maize","",19813,2.3,45579,1,1
"13","Central","Kiambu","MOA","AgroMOA","","Kiambu","1985","Maize","",30584,2.5,76460,1,1
"14","Central","Kiambu","MOA","AgroMOA","","Kiambu","1986","Maize","",26457,2.5,66130,1,1
"15","Central","Kiambu","MOA","AgroMOA","","Kiambu","1987","Maize","",25207,1.04,26257,1,1
"16","Central","Kiambu","MOA","AgroMOA","","Kiambu","1988","Maize","",15709,1.7,26705,1,1
"17","Central","Kiambu","MOA","AgroMOA","","Kiambu","1989","Maize","",25702,1.16,29784,1,1
"18","Central","Kiambu","MOA","AgroMOA","","Kiambu","1990","Maize","",26100,1.2,31320,1,1
"19","Central","Kiambu","MOA","AgroMOA","","Kiambu","1991","Maize","",34860,1.2,41790.15,1,1
"20","Central","Kiambu","MOA","AgroMOA","","Kiambu","1992","Maize","",27005,1.28,34638.75,1,1
"21","Central","Kiambu","MOA","AgroMOA","","Kiambu","1993","Maize","",26286,0.7,18370.62,1,1
"22","Central","Kiambu","MOA","AgroMOA","","Kiambu","1994","Maize","",27404,1.8,49327,1,1
