name,ID1,code
Kiambu,1,51333
Kirinyaga,2,51334
Maragua,3,51335
Muranga,4,51336
Nyandarua,5,51337
Nyeri,6,51338
Thika,7,51339
Kwale,8,51341
Lamu,9,51342
Mombasa,10,51344
Taita Taveta,11,51345
Tana River,12,51346
Isiolo,13,51348
Kitui,14,51349
Machakos,15,51350
Makueni,16,51351
Mwingi,17,51358
Nairobi,18,51360
Garissa,19,51361
Ijara,20,51362
Mandera,21,51363
Wajir,22,51364
Bondo,23,51365
Homa Bay,24,51368
Kisumu,25,51369
Kuria,26,51370
Migori,27,51371
Nyamira,28,51372
Nyando,29,51373
Rachuonyo,30,51374
Siaya,31,51375
Suba,32,51376
Baringo,33,51377
Bomet,34,51378
Buret,35,51379
Kajiado,36,51380
Keiyo,37,51381
Kericho,38,51382
Koibatek,39,51383
Laikipia,40,51384
Marakwet,41,51385
Nakuru,42,51386
Narok,43,51388
Samburu,44,51389
Trans Mara,45,51390
Trans Nzoia,46,51391
Turkana,47,51392
Uasin Gishu,48,51393
West Pokot,49,51394
Nandi North,50,68769
Nandi South,51,68770
Bungoma,52,51395
Busia,53,51396
Butere Mumias,54,51397
Kakamega,55,51398
Lugari,56,51399
Mt Elgon,57,51400
Teso,58,51401
Vihiga,59,51402
Kisii,60,51366
Marsabit,61,51352
Meru,62,51354
Embu,63,51347
Kilifi,64,51340
Tharaka_Nithi,65,51359
