"","Year","ID1","code","ASAL","AvgTemp_MarMay","SDTemp_MarMay","Cum_DD_MarMay","HeatWDays_MarMay","MaxTemp_MarMay","AvgTemp_MarAug","SDTemp_MarAug","Cum_DD_MarAug","HeatWDays_MarAug","MaxTemp_MarAug","AvgTemp_OctDec","SDTemp_OctDec","Cum_DD_OctDec","HeatWDays_OctDec","MaxTemp_OctDec","SeasRain_MarMay","Prec2Months_MarMay","PrecStDev_MarMay","PrecCoefVar_MarMay","DrySpell_MarMay","DrSpell10_MarMay","DrSpell20_MarMay","MaxRain_MarMay","SeasRain_MarAug","Prec2Months_MarAug","PrecStDev_MarAug","PrecCoefVar_MarAug","DrySpell_MarAug","DrSpell10_MarAug","DrSpell20_MarAug","MaxRain_MarAug","SeasRain_OctDec","Prec2Months_OctDec","PrecStDev_OctDec","PrecCoefVar_OctDec","DrySpell_OctDec","DrSpell10_OctDec","DrSpell20_OctDec","MaxRain_OctDec","DrySpell4_MAM","DrySpell4_MAMJJA","DrySpell4_OND","HeatWDays_Mar","HeatWDays_Apr","HeatWDays_May","HeatWDays_Jun","HeatWDays_Jul","HeatWDays_Aug","HeatWDays_Sep","HeatWDays_Oct","HeatWDays_Nov","HeatWDays_Dec","DrySpell10_Mar","DrySpell4_Mar","DrySpell10_Apr","DrySpell4_Apr","DrySpell10_May","DrySpell4_May","DrySpell10_Jun","DrySpell4_Jun","DrySpell10_Jul","DrySpell4_Jul","DrySpell10_Aug","DrySpell4_Aug","DrySpell10_Sep","DrySpell4_Sep","DrySpell10_Oct","DrySpell4_Oct","DrySpell10_Nov","DrySpell4_Nov","DrySpell10_Dec","DrySpell4_Dec","name","Admin1","county","Admin2","Area","Yield","MT","west1","AvgTemp_OctDec_L1","SDTemp_OctDec_L1","Cum_DD_OctDec_L1","HeatWDays_OctDec_L1","MaxTemp_OctDec_L1","SeasRain_OctDec_L1","Prec2Months_OctDec_L1","PrecStDev_OctDec_L1","PrecCoefVar_OctDec_L1","DrySpell_OctDec_L1","DrSpell10_OctDec_L1","DrSpell20_OctDec_L1","MaxRain_OctDec_L1","DrySpell4_OND_L1","HeatWDays_Sep_L1","HeatWDays_Oct_L1","HeatWDays_Nov_L1","HeatWDays_Dec_L1","DrySpell10_Sep_L1","DrySpell4_Sep_L1","DrySpell10_Oct_L1","DrySpell4_Oct_L1","DrySpell10_Nov_L1","DrySpell4_Nov_L1","DrySpell10_Dec_L1","DrySpell4_Dec_L1","AvgTemp","SDTemp","DDays","HWDays","MaxT","SeasPr","Prec2m","SDPrec","CVPrec","Spell","Spell4","Spell10","Spell20","MaxP","Yield0"
"1-1981","1981","1",51333,0,-1.00858852678605,0.223589136287718,-1.03187427571995,-0.356143585116462,-0.875301403861148,-1.09910877119072,0.568105408838034,-1.11735242607732,-0.355389600534878,-1.01356435787813,-0.851755590818971,-0.557294060370148,-0.814296708634005,-0.228528938942252,-0.880997515968756,2.16736762647547,2.46778075368155,0.89555883711893,-0.963278861988871,-1.5472964409164,-1.45234998585816,-0.846474493503689,0.252323943708089,0.90280812130193,2.46778075368155,0.824174794615157,-0.601187322556537,-0.262059647650303,-0.00922825812252623,0.876975373730886,0.142242597633986,-0.421013968885422,-0.653411175573237,-0.813091614815194,-0.966339666002207,-1.35386877076409,-1.40034511524073,-0.943670525356684,-0.943415022647214,-1.87585003876789,-1.02542111540305,0.560479308115767,-0.369945079356416,-0.280098767249504,-0.134939241523184,-0.0760531440705798,-0.0252860868712087,-0.0357713720007395,-0.113664925859611,-0.203268162385241,-0.191639156112566,-0.206851741384631,-1.51792217427754,-1.79217015900156,-0.856164728495438,-1.15572401244378,-0.7504626401807,-1.28661724870167,0.779938733061771,-1.0236546287572,0.675510957617232,-0.276645625439306,0.836056432790897,0.44184634993456,2.63894392811187,0.410441651031832,-0.488457505104902,0.776237977596374,-1.05015398958752,-0.286753981115043,-1.70513032029078,0.225657441029023,"Kiambu","Central","Kiambu","Kiambu",-0.395704513370085,1.4157956285127,0.0137894209674338,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-1.12580057157793,1.88429116272076,-1.14011149757554,-0.348621233297272,-1.09060928299451,0.668887042987695,2.49905340808167,0.490579326403605,-0.488395592380098,0.816250902746546,-1.32435059754606,-0.0663326349565009,1.07010136629633,-0.0139926918287814,2.8
"1-1982","1982","1",51333,0,-0.863619915245654,1.13424905595957,-0.870351682186208,-0.356143585116462,-0.840011359634533,-0.919265062230759,0.568105408838034,-0.950577132588447,-0.355389600534878,-0.867817595985848,-0.998765582877865,-0.557294060370148,-0.964802229990056,-0.228528938942252,-0.591054833034328,0.295745178514294,0.0780799886058932,0.669742505927861,-0.0404193580681392,-0.569530124313065,-0.510805787772291,-0.846474493503689,0.711636787689335,-0.240924026312783,0.0780799886058932,0.370910053791818,0.16056555819833,-0.59479889345914,0.048735580044667,-0.571141518878256,0.602677460344159,1.63612373716918,1.7168559186737,1.28248633738941,-0.498645023381922,-0.958190411499192,-0.673758464925301,-0.943670525356684,0.692553218514837,0.765524028090386,1.77701651277711,0.489700976432839,-0.369945079356416,-0.280098767249504,-0.134939241523184,-0.0760531440705798,-0.0252860868712087,-0.0357713720007395,-0.113664925859611,-0.203268162385241,-0.191639156112566,-0.206851741384631,-0.116723863654394,1.01122661127218,-0.856164728495438,-0.00770727350311809,-0.122579133096562,0.454638161247758,-0.995319303698076,2.0206424607584,0.464506536264456,0.686380227441305,0.209614915279736,1.31532663868204,0.52150687518402,0.410441651031832,0.171445349473906,-0.0919938755631175,-1.05015398958752,0.123694365252188,-0.763787637292271,0.852249962590306,"Kiambu","Central","Kiambu","Kiambu",-0.395704513370085,1.30404107509137,-0.017146381114926,1,-0.848234868048902,-0.55678197498274,-0.809377227586753,-0.224960217884502,-0.873983195998298,-0.417714966058072,-0.648267029946904,-0.807309171163764,-0.964566649363419,-1.35212673841393,-1.40461188229244,-0.932765419764635,-0.941151063171247,0.564495296225776,-0.11433285756292,-0.198459212108327,-0.188871105773877,-0.203207242962319,2.6369963203401,0.40309980336812,-0.4919925629543,0.785231488623303,-1.05069103727456,-0.280708184413036,-1.69367821232529,0.221759185494938,-0.95913154514326,1.88429116272076,-0.985635428906572,-0.348621233297272,-0.96557386175412,-0.556891405319476,0.108852492438363,0.0835436351209479,0.585307779875935,-0.252790758924378,1.57320085927913,-0.0116765312470245,-0.443707943571713,0.397018801125616,2.7
"1-1983","1983","1",51333,0,-0.631670136781017,0.223589136287718,-0.595365790286482,-0.356143585116462,-0.592981050048231,-0.769395304764125,0.894766018919904,-0.763021530965181,-0.355389600534878,-0.649197453147427,-0.88115758923075,-0.557294060370148,-0.840800825602367,-0.228528938942252,-0.736026174501541,-0.0821464295016905,0.124936866352475,0.443926174736792,0.190295517912043,-0.483256625789242,-0.887423467006641,-0.846474493503689,0.175128507744854,-0.414676358913808,0.124936866352475,0.144277683380148,0.16056555819833,-0.141063558265272,-0.0671920962897195,-0.236960697506916,0.0648585870944606,0.36757728143303,-0.347406650567034,1.09912326657151,0.670591583168792,0.111606633920721,1.50600148602097,0.0959890277976227,1.11184027345797,1.19551515525336,1.1946918108176,-0.00574734534765436,-0.369945079356416,-0.280098767249504,-0.134939241523184,-0.0760531440705798,-0.0252860868712087,-0.0357713720007395,-0.113664925859611,-0.203268162385241,-0.191639156112566,-0.206851741384631,-0.316895050886272,1.45386820657856,-0.856164728495438,0.336697748179079,-0.7504626401807,0.330262774822798,-0.773412049103095,1.2595681883795,2.15254190708667,0.686380227441305,0.836056432790897,0.566629248327057,0.52150687518402,0.944827284508448,1.05131582224565,-0.340060119322972,2.45987070221652,-0.286753981115043,0.648226387205497,0.0690093106387028,"Kiambu","Central","Kiambu","Kiambu",0.065460626349394,0.0970918981409898,0.0305831420978577,1,-0.995337702406421,-0.55678197498274,-0.959757083224851,-0.224960217884502,-0.583603946943461,1.62319350329582,1.70430391513977,1.29316486731781,-0.493342198889955,-0.955179030134261,-0.676933765124118,-0.932765419764635,0.707691433967656,0.493688499029385,-0.11433285756292,-0.198459212108327,-0.188871105773877,-0.203207242962319,0.521266714485834,0.40309980336812,0.169126980183464,-0.0916859888450331,-1.05069103727456,0.129543764180342,-0.756894271239558,0.843709196730627,-0.820240689781038,2.25741812563576,-0.811911543374704,-0.348621233297272,-0.778020729893534,-0.743107964056253,0.15571917705882,-0.11997421052038,0.585307779875935,1.20499332517234,0.971112244873897,-0.120988738665977,-0.094367333602164,-0.0830702536698566,1.62
"1-1984","1984","1",51333,0,-0.805632470629495,-0.231740823548207,-0.776762528438469,-0.356143585116462,-0.981171536540992,-0.919265062230759,0.894766018919904,-0.94809059999117,-0.355389600534878,-0.977127667405058,-1.05756957970142,-0.557294060370148,-1.00929128347266,-0.228528938942252,-0.808511845235148,-1.30221240287483,-1.02709602445141,-1.10856110220181,0.305652955902135,0.580783189337912,1.84305470744239,0.785685910675407,-0.955784629116535,-1.26101836609944,-1.02709602445141,-1.36660478603098,0.329843976143856,0.407740132873978,1.4978315342245,1.43394340934979,-1.06881716730958,0.765796246146079,0.8859099294994,0.549034054117801,-0.498645023381922,0.228844666295506,-0.466162279120894,-0.527806704094961,0.34439521753527,0.396960204807836,-0.224724650208721,-0.713530662176931,-0.369945079356416,-0.280098767249504,-0.134939241523184,-0.0760531440705798,-0.0252860868712087,-0.0357713720007395,-0.113664925859611,-0.203268162385241,-0.191639156112566,-0.206851741384631,1.88498800866439,0.421037817530344,-0.856164728495438,0.451499422073145,0.923893378710334,-0.04286338445208,1.44566049684671,-0.719224919805635,0.886515378970009,-0.0014953817591313,0.62724259362051,0.192280553149565,0.733250580476805,0.677634467770141,-1.14836035968371,-0.340060119322972,-1.05015398958752,-0.286753981115043,0.648226387205497,-0.0876388197516181,"Kiambu","Central","Kiambu","Kiambu",-0.429917202173024,0.857022861406045,-0.180973550142509,1,-0.877655434920406,-0.55678197498274,-0.835859214743148,-0.224960217884502,-0.728793571470879,0.364654904902128,-0.344547100517027,1.10937338895067,0.684718927293705,0.11804995891819,1.50610058638085,0.106531341247341,1.13027806938998,-0.00195908134535453,-0.11433285756292,-0.198459212108327,-0.188871105773877,-0.203207242962319,0.521266714485834,0.936583239734996,1.05061970436715,-0.342233839550272,2.45249156770802,-0.280708184413036,0.648281640389038,0.0662716826860165,-0.95913154514326,2.25741812563576,-0.983332271333234,-0.348621233297272,-1.05935042768441,-1.65016281467733,-0.996554827575173,-1.47675984812924,0.823908529266165,2.96821788403217,-0.496478752738862,1.35472606148988,1.65233571624558,-1.09505653464161,2.3
"1-1985","1985","1",51333,0,-1.00858852678605,-0.231740823548207,-1.01308417535361,-0.356143585116462,-0.840011359634533,-1.09910877119072,0.241444798756164,-1.12125983444447,-0.355389600534878,-0.940690976931989,-0.969363584466086,0.31606055928808,-0.937036012213678,-0.228528938942252,-0.880997515968756,0.869828299836511,1.30605333644734,1.06492108551223,-0.155776796058231,-0.885866285567084,-0.981577886815228,-0.846474493503689,1.05901624952389,0.102294528217893,1.30605333644734,0.861946856350435,0.0759263492255665,-0.141063558265272,-0.183119772624106,0.431400945235765,0.950905507772022,-0.324892149816755,-0.148757304223229,-0.00105515833590863,0.319820601203577,-0.298726479391026,0.156626278292327,-0.3198747934641,0.254547991476027,-0.155885530115989,0.503181227240672,0.77281430316455,-0.369945079356416,-0.280098767249504,-0.134939241523184,-0.0760531440705798,-0.0252860868712087,-0.0357713720007395,-0.113664925859611,-0.203268162385241,-0.191639156112566,-0.206851741384631,-0.116723863654394,0.716132214401263,-0.856164728495438,-0.696517316867513,-1.16905164490346,-0.415989543726959,1.22375324225173,1.10735333390372,1.51952864302834,0.96153047112148,0.62724259362051,0.0674976547570671,0.733250580476805,-0.658329615921401,0.611380585859777,0.0320392463168099,-0.548721890758368,0.670958827075162,0.648226387205497,0.538953701809665,"Kiambu","Central","Kiambu","Kiambu",-0.119466594678117,1.08053196824871,0.273944785145755,1,-1.05417883614943,-0.55678197498274,-1.00420899023737,-0.224960217884502,-0.801388383734588,0.75973222779994,0.879561675831567,0.557998953849259,-0.493342198889955,0.23566409470476,-0.469025731647454,-0.517046715359845,0.35679360276876,-0.710027053309268,-0.11433285756292,-0.198459212108327,-0.188871105773877,-0.203207242962319,0.73283967507126,0.669841521551559,-1.15311210609206,-0.342233839550272,-1.05069103727456,-0.280708184413036,0.648281640389038,-0.0892158201229058,-1.12580057157793,1.51116419980576,-1.14373074519078,-0.348621233297272,-1.02809157237431,-0.189051865196165,1.33708284800896,0.524498967343826,0.46600740518082,1.20499332517234,0.256132015267681,-0.23030094608493,0.604313886336935,0.707867829410454,2.5
"1-1986","1986","1",51333,0,-0.892613637553734,1.58957901579549,-0.904679750163178,-0.356143585116462,-0.804721315407919,-1.03916086820406,1.22142662900177,-1.06105022369609,-0.355389600534878,-1.01356435787813,-0.763549595583635,1.18941517894631,-0.72216334964875,-0.228528938942252,-0.518569162300721,1.03202071566638,0.927158928462052,1.2907374167033,-0.155776796058231,0.0343843653536978,0.619047249930757,-0.438434392458915,0.970241498166171,0.119109270082508,0.927158928462052,0.97526304155627,0.0759263492255665,0.351563377088071,1.15004850522134,0.431400945235765,0.861913895651568,0.441466843030032,0.267983664915052,0.391865707702455,-0.264797702071779,-0.459928773906356,0.156626278292327,-0.527806704094961,0.131008055644568,-0.0944582262355642,-0.115538768591312,0.135809318018201,-0.369945079356416,-0.280098767249504,-0.134939241523184,-0.0760531440705798,-0.0252860868712087,-0.0357713720007395,-0.113664925859611,-0.203268162385241,-0.191639156112566,-0.206851741384631,1.48464563420063,1.3063210081431,-0.856164728495438,-1.04092233854971,0.714598876348955,0.205887388397839,1.66756775144169,0.0418493525732644,2.15254190708667,-0.276645625439306,1.04487027196128,0.691412146719555,1.36848169635516,1.0784236928776,0.391412967666841,-0.216026997443045,-1.05015398958752,-0.423570096570787,1.11889772870475,0.695601832199986,"Kiambu","Central","Kiambu","Kiambu",-0.23841837790451,1.08053196824871,0.121770101569194,1,-0.965917135534916,0.319067805352802,-0.932014049061009,-0.224960217884502,-0.873983195998298,-0.322351474324117,-0.147380847986582,0.00662451874784627,0.331300589438606,-0.293599516334805,0.154698368782537,-0.30918736315745,0.266239323749689,0.776915687814949,-0.11433285756292,-0.198459212108327,-0.188871105773877,-0.203207242962319,0.73283967507126,-0.663867069365632,0.609873342275307,0.0335879365075864,-0.550236379419906,0.676546362304846,0.648281640389038,0.532734191112783,-1.07024422943304,2.63054508855076,-1.08796142966493,-0.348621233297272,-1.09060928299451,-0.171030907899058,0.958109139612505,0.62625789016449,0.46600740518082,2.78773033076306,-0.38358713753788,1.02678943923303,0.604313886336935,0.628428633293217,2.5
"1-1987","1987","1",51333,0,-0.631670136781017,1.58957901579549,-0.578021082256013,-0.356143585116462,-0.698851182728075,-0.799369256257452,1.87474784916551,-0.814173058680618,-0.355389600534878,-0.794944215039707,-0.587137605112963,0.31606055928808,-0.5423139845063,-0.228528938942252,-0.663540503767935,-0.117260251485477,-0.254765418835341,1.34719149950107,1.11315502183277,0.465751857972814,0.430738410313582,0.173625759108246,1.69973836801874,-0.271256501833266,-0.254765418835341,1.05080716502683,0.753040021007671,-0.0892080913859727,0.918193152552565,0.765581766607105,1.59319279525008,-0.674069370107015,-0.447153981922647,-0.341586575569157,0.55366792251372,0.0236781096396324,0.571818649901142,0.0959890277976227,-0.142277256952296,0.519814812568686,0.139228288515976,0.843592634847478,-0.369945079356416,-0.280098767249504,-0.134939241523184,-0.0760531440705798,-0.0252860868712087,-0.0357713720007395,-0.113664925859611,-0.203268162385241,-0.191639156112566,-0.206851741384631,0.884132072504995,0.716132214401263,-0.856164728495438,1.02550779154347,0.923893378710334,0.330262774822798,0.779938733061771,-1.17586948323298,0.675510957617232,-0.55179586911948,0.418428754450123,0.816195045112052,1.79196910694073,0.544038059400986,0.831348204052713,-0.0919938755631175,0.955574405729077,-0.0131217502035558,-0.528451966542643,1.00889809298063,"Kiambu","Central","Kiambu","Kiambu",-0.274446904445095,-0.551084511702734,-0.465612391968868,1,-0.75997316743439,1.19491758568835,-0.717320796043096,-0.224960217884502,-0.511009134679752,0.437961534602379,0.266248779662395,0.400463400963141,-0.257729973653224,-0.455318953041338,0.154698368782537,-0.517046715359845,0.141727190098468,0.139654513047428,-0.11433285756292,-0.198459212108327,-0.188871105773877,-0.203207242962319,1.36755855682754,1.06995409882672,0.389500161229385,-0.216959914197652,-1.05069103727456,-0.417458833944162,1.1166736109319,0.688221693921705,-0.848018860853483,3.37679901438077,-0.859290784883396,-0.348621233297272,-0.903056151133923,-0.589399798875043,-0.224062577624193,0.694097172044933,1.42041040274174,1.37159722049768,-0.12017336873559,0.80816502439512,0.953654496306484,1.28121159269138,1.04
"1-1988","1988","1",51333,0,-0.834626192937575,1.13424905595957,-0.828435304445908,-0.356143585116462,-0.698851182728075,-0.919265062230759,0.894766018919904,-0.950754742059682,-0.355389600534878,-0.722070834093567,-0.969363584466086,-0.557294060370148,-0.919997651305445,-0.228528938942252,-0.917240351335558,1.03982378721833,1.43450581164918,1.09314812691112,-0.386491672038414,-0.382604210844781,-0.228342528346529,-0.846474493503689,0.931643780184554,0.288905192833035,1.43450581164918,0.899718918085714,-0.0933520687199592,-0.253417069837087,0.512446285382212,-0.125567090383136,0.823221890381805,-0.00383219632889449,-0.211310715412342,-0.0796393315435816,-0.38172136272685,-0.0935599227351527,-0.0509699075120796,-0.943670525356684,-0.011250052282567,-0.0330309223551389,0.321204757878324,-0.288860672079365,-0.369945079356416,-0.280098767249504,-0.134939241523184,-0.0760531440705798,-0.0252860868712087,-0.0357713720007395,-0.113664925859611,-0.203268162385241,-0.191639156112566,-0.206851741384631,0.48378969804124,-0.464245373082416,-0.856164728495438,0.221896074285013,-0.122579133096562,0.579013547672717,0.779938733061771,0.650708770476384,-0.168506727793873,0.273654861921044,0.209614915279736,1.19054374028954,2.2154565175263,0.544038059400986,-0.04852226871903,0.404138611956592,1.45700650455822,-1.1076506738495,-0.999123308041899,0.538953701809665,"Kiambu","Central","Kiambu","Kiambu",-0.54820606051107,0.186495540878055,-0.459012754191298,1,-0.583449766205368,0.319067805352802,-0.537621597481847,-0.224960217884502,-0.65619875920717,-0.668773954500524,-0.443549729447208,-0.33470251250541,0.566912814675338,0.0298393570782629,0.570514435735865,0.106531341247341,-0.133708741917871,0.847722485011341,-0.11433285756292,-0.198459212108327,-0.188871105773877,-0.203207242962319,1.79070447799839,0.53647066245984,0.830246523321228,-0.0916859888450331,0.951127594144055,-0.00720688535078404,-0.522698285968125,0.999196699539549,-0.95913154514326,2.25741812563576,-0.985799940161811,-0.348621233297272,-0.840538440513729,0.0109454255913407,1.46556220757193,0.558418608284048,0.227406655790591,0.844018218634103,0.0679793232660454,0.425572298428786,0.0220795363876858,0.59388985237268,1.7
"1-1989","1989","1",51333,0,-1.06657597140221,-0.231740823548207,-1.08860592490294,-0.356143585116462,-0.981171536540992,-1.12908272268404,0.241444798756164,-1.17418745687225,-0.355389600534878,-1.01356435787813,-0.939961586054307,-0.557294060370148,-0.905799017215252,-0.228528938942252,-0.663540503767935,0.936154408028108,0.87141540148767,1.14960220970888,-0.271134234048322,-0.555151207892428,1.27812818859087,-0.846474493503689,0.483910251597793,0.170872298959853,0.87141540148767,0.861946856350435,-0.00871285974719616,-0.210204180771004,1.4978315342245,-0.125567090383136,0.374394629252561,0.450621301988953,0.104837606002906,0.391865707702455,-0.38172136272685,-0.518547790093748,0.468020556998938,-0.943670525356684,0.509115131977216,0.642669420329536,0.466785933368203,-0.501195667128148,-0.369945079356416,-0.280098767249504,-0.134939241523184,-0.0760531440705798,-0.0252860868712087,-0.0357713720007395,-0.113664925859611,-0.203268162385241,-0.191639156112566,-0.206851741384631,0.48378969804124,1.60141540501402,1.6650961176105,-0.466913969079381,0.923893378710334,0.454638161247758,0.779938733061771,0.194064207049044,1.09751980032278,0.548805105601218,0.836056432790897,0.192280553149565,0.733250580476805,0.276845242662678,0.171445349473906,-0.216026997443045,0.454142306899928,0.260510480707931,0.648226387205497,-1.65412012365483,"Kiambu","Central","Kiambu","Kiambu",-0.260179607935023,-0.416979047597136,-0.413654975804829,1,-0.965917135534916,-0.55678197498274,-0.91498991446047,-0.224960217884502,-0.910280602130152,-0.00382443730798313,-0.209467242400424,-0.0721432576952129,-0.375536086271589,-0.0877747787083072,-0.0532096646941265,-0.932765419764635,-0.00165041834839322,-0.28518627013092,-0.11433285756292,-0.198459212108327,-0.188871105773877,-0.203207242962319,2.21385039916925,0.53647066245984,-0.0512462008624575,0.409409712565444,1.45158225199871,-1.10121208159979,-0.991090256510991,0.532734191112783,-1.15357874265037,1.51116419980576,-1.19275509925186,-0.348621233297272,-1.09060928299451,-0.115554627592276,0.902353945839892,0.524498967343826,0.346707030485706,0.982854798071885,0.218501476867354,1.35472606148988,0.0220795363876858,0.193239993694444,1.16
"1-1990","1990","1",51333,0,-1.06657597140221,-1.14240074322006,-1.10233715209373,-0.356143585116462,-1.29878193458052,-1.09910877119072,-0.0852158113257054,-1.14719081724466,-0.355389600534878,-1.19574781024348,-0.939961586054307,0.31606055928808,-0.894124584741093,-0.228528938942252,-0.772269009868345,1.61502163304797,1.92165576477312,1.71414303768656,-0.386491672038414,-0.166920464535223,0.14827515088782,-0.438434392458915,1.43341411394558,0.46199812379231,1.92165576477312,1.42852778237961,-0.00871285974719616,0.312671776928596,0.338554770880633,0.0972201238644245,1.32621795888872,0.157678615303492,0.11413608604453,0.496644605312686,0.085973279893435,0.00902335559278403,-0.258566093316487,-0.943670525356684,0.763682272478404,-0.463022049518114,0.0664377007710365,-0.288860672079365,-0.369945079356416,-0.280098767249504,-0.134939241523184,-0.0760531440705798,-0.0252860868712087,-0.0357713720007395,-0.113664925859611,-0.203268162385241,-0.191639156112566,-0.206851741384631,-1.51792217427754,-1.34952856369518,-0.0997864746636558,-0.466913969079381,0.714598876348955,1.44964125264743,0.114216969276828,0.498493916000604,1.09751980032278,0.823955349281393,0.836056432790897,0.44184634993456,1.58022540164794,0.410441651031832,1.05131582224565,0.900271099476301,-1.05015398958752,-2.06536348203971,-0.528451966542643,0.225657441029023,"Kiambu","Central","Kiambu","Kiambu",-0.248708125084501,-0.372277226228603,-0.391027646281732,1,-0.936496568663413,-0.55678197498274,-0.900803135626687,-0.224960217884502,-0.65619875920717,0.447043771910374,0.104320750988455,0.400463400963141,-0.375536086271589,-0.514126020934624,0.466560418997534,-0.932765419764635,0.522809780970388,-0.497606661720094,-0.11433285756292,-0.198459212108327,-0.188871105773877,-0.203207242962319,0.73283967507126,0.269728944276401,0.169126980183464,-0.216959914197652,0.450672936289402,0.266294413711468,0.648281640389038,-1.64409084821213,-1.12580057157793,1.13803723689076,-1.16774938845561,-0.348621233297272,-1.246903559545,0.196455280120388,1.95281411836737,1.03329358144715,0.346707030485706,2.66277740926905,-0.195434445536244,0.261603987300357,0.254973276367385,1.04289400433967,1.2
