"","ID1","Year","code","ADM2_NAME","ASAL","MaxTemp_OctMar","AvgTemp_OctMar","CumDD_OctMar","HeatWDays_OctMar","SDtemp_OctMar","MaxTemp_MarSep","AvgTemp_MarSep","CumDD_MarSep","HeatWDays_MarSep","SDtemp_MarSep","PrecCoefVar_OND","DrSpell10_OND","DrSpell20_OND","DrySpell_OND","MaxRain_OND","SeasRain_OND","PrecStDev_OND","Prec2Months_OND","PrecCoefVar_MAM","DrSpell10_MAM","DrSpell20_MAM","DrySpell_MAM","MaxRain_MAM","SeasRain_MAM","PrecStDev_MAM","Prec2Months_MAM","Admin1","county","Admin2","Area","Yield","MT","west1","AprilP","AugustP","DecemberP","FebruaryP","JanuaryP","JulyP","JuneP","MarchP","MayP","NovemberP","OctoberP","SeptemberP","AprilT","AugustT","DecemberT","FebruaryT","JanuaryT","JulyT","JuneT","MarchT","MayT","NovemberT","OctoberT","SeptemberT","MeanPrec","MeanTemp","MaxTemp_OctMar_L1","AvgTemp_OctMar_L1","CumDD_OctMar_L1","HeatWDays_OctMar_L1","SDtemp_OctMar_L1","MaxTemp_MarSep_L1","AvgTemp_MarSep_L1","CumDD_MarSep_L1","HeatWDays_MarSep_L1","SDtemp_MarSep_L1","PrecCoefVar_OND_L1","DrSpell10_OND_L1","DrSpell20_OND_L1","DrySpell_OND_L1","MaxRain_OND_L1","SeasRain_OND_L1","PrecStDev_OND_L1","Prec2Months_OND_L1","PrecCoefVar_MAM_L1","DrSpell10_MAM_L1","DrSpell20_MAM_L1","DrySpell_MAM_L1","MaxRain_MAM_L1","SeasRain_MAM_L1","PrecStDev_MAM_L1","Prec2Months_MAM_L1","Area_L1","Yield_L1","MT_L1","AprilP_L1","AugustP_L1","DecemberP_L1","FebruaryP_L1","JanuaryP_L1","JulyP_L1","JuneP_L1","MarchP_L1","MayP_L1","NovemberP_L1","OctoberP_L1","SeptemberP_L1","AprilT_L1","AugustT_L1","DecemberT_L1","FebruaryT_L1","JanuaryT_L1","JulyT_L1","JuneT_L1","MarchT_L1","MayT_L1","NovemberT_L1","OctoberT_L1","SeptemberT_L1","MeanPrec_L1","MeanTemp_L1","MaxTemp_OctMar_Lead1","AvgTemp_OctMar_Lead1","CumDD_OctMar_Lead1","HeatWDays_OctMar_Lead1","SDtemp_OctMar_Lead1"
"1-1981","1","1981",51333,"Kiambu",0,-0.199150327963746,0.00152999668467774,0.377750079189244,-0.473105123319555,0.650705739190485,-1.0017687504713,-1.51768510142122,-1.01494152813338,-0.484984197396098,2.21637404363619,-0.102315381737185,0.439067105862293,0.354782386974037,0.000838465183278714,-0.524473729432209,-0.455490709456389,-0.452055297227909,-1.0969458482779,0.271299613672712,-0.574832360257447,0.264337107001831,-0.572756067676163,0.216641439114181,-0.324519548143533,0.0528567268940167,-0.133948340049055,"Central","Kiambu","Kiambu",-0.395704513370085,1.4157956285127,0.0137894209674338,1,-1.08130607340396,-0.70238253444681,0.848852298639245,1.49759287002447,0.762848984800115,-0.685508358120075,-0.643255189056844,0.989402068113053,-0.483951068334591,-0.81919291535093,-1.04043432924299,-0.542324559337515,-1.31890384517562,-1.64988461544616,-0.754210217448671,-1.08397094843573,-0.79632560787559,-1.79070584072844,-1.94014346924629,-1.05263476592538,-1.55334538816331,-0.237183662451293,-0.219709145798178,-0.63665084153606,-0.339570129657933,-1.27326451175597,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.36042454559355,-0.303292419724129,-0.0438654405769528,0.685773041644695,1.38663321809591
"1-1982","1","1982",51333,"Kiambu",0,-0.36042454559355,-0.303292419724129,-0.0438654405769528,0.685773041644695,1.38663321809591,-0.468343722217585,-1.35289009072547,-0.825020759310077,-0.484984197396098,1.67575354361601,-0.631450455662819,-0.495970637367489,-0.508544932422029,-0.461372532817019,1.12625698882468,1.55263649448681,1.46741871678897,0.953098895808958,-0.264798082362514,-0.574832360257447,-1.28353080769998,-1.20760675083512,2.04228807201148,1.58562482447891,1.80236121130439,1.03110682264637,"Central","Kiambu","Kiambu",-0.395704513370085,1.30404107509137,-0.017146381114926,1,1.35634135918393,0.476978155396422,1.85060362298031,0.451346971218969,0.0916881777729911,0.592426336205599,0.558361742772232,0.430732969510569,1.71048925978671,0.876322970233464,0.813290128433509,0.434111315646736,-1.19573215446287,-1.21311885446379,-0.711525490373221,-1.04493106315109,-1.09761435162551,-1.56521682586009,-1.61018945087895,-1.05263476592538,-1.5826382454796,-0.455553291071779,-0.354965133646521,-0.47330770106869,1.33238276839354,-1.18711670987803,-0.199150327963746,0.00152999668467774,0.377750079189244,-0.473105123319555,0.650705739190485,-1.0017687504713,-1.51768510142122,-1.01494152813338,-0.484984197396098,2.21637404363619,-0.102315381737185,0.439067105862293,0.354782386974037,0.000838465183278714,-0.524473729432209,-0.455490709456389,-0.452055297227909,-1.0969458482779,0.271299613672712,-0.574832360257447,0.264337107001831,-0.572756067676163,0.216641439114181,-0.324519548143533,0.0528567268940167,-0.133948340049055,-0.395704513370085,1.4157956285127,0.0137894209674338,-1.08130607340396,-0.70238253444681,0.848852298639245,1.49759287002447,0.762848984800115,-0.685508358120075,-0.643255189056844,0.989402068113053,-0.483951068334591,-0.81919291535093,-1.04043432924299,-0.542324559337515,-1.31890384517562,-1.64988461544616,-0.754210217448671,-1.08397094843573,-0.79632560787559,-1.79070584072844,-1.94014346924629,-1.05263476592538,-1.55334538816331,-0.237183662451293,-0.219709145798178,-0.63665084153606,-0.339570129657933,-1.27326451175597,-0.279787436778648,-0.521022717158992,-0.280922690458334,-0.227282482266532,0.650705739190485
"1-1983","1","1983",51333,"Kiambu",0,-0.279787436778648,-0.521022717158992,-0.280922690458334,-0.227282482266532,0.650705739190485,0.562944665739602,0.196183009814658,0.731893303734452,-0.484984197396098,-0.126314789784589,NA,-2.05436687608379,-1.3718722518181,NA,NA,NA,NA,NA,NA,-1.97170659917261,-1.28353080769998,NA,NA,NA,NA,NA,"Central","Kiambu","Kiambu",0.065460626349394,0.0970918981409898,0.0305831420978577,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.405499824802874,-0.104405768893148,NA,0.711863774657815,1.05444810373104,-0.0149798486402131,0.149565313746861,0.5011876939933,0.321397480079445,0.985686257823431,0.591826781291875,0.0167217203334214,NA,NA,-0.36042454559355,-0.303292419724129,-0.0438654405769528,0.685773041644695,1.38663321809591,-0.468343722217585,-1.35289009072547,-0.825020759310077,-0.484984197396098,1.67575354361601,-0.631450455662819,-0.495970637367489,-0.508544932422029,-0.461372532817019,1.12625698882468,1.55263649448681,1.46741871678897,0.953098895808958,-0.264798082362514,-0.574832360257447,-1.28353080769998,-1.20760675083512,2.04228807201148,1.58562482447891,1.80236121130439,1.03110682264637,-0.395704513370085,1.30404107509137,-0.017146381114926,1.35634135918393,0.476978155396422,1.85060362298031,0.451346971218969,0.0916881777729911,0.592426336205599,0.558361742772232,0.430732969510569,1.71048925978671,0.876322970233464,0.813290128433509,0.434111315646736,-1.19573215446287,-1.21311885446379,-0.711525490373221,-1.04493106315109,-1.09761435162551,-1.56521682586009,-1.61018945087895,-1.05263476592538,-1.5826382454796,-0.455553291071779,-0.354965133646521,-0.47330770106869,1.33238276839354,-1.18711670987803,NA,NA,NA,-0.473105123319555,NA
"1-1984","1","1984",51333,"Kiambu",0,NA,NA,NA,-0.473105123319555,NA,NA,NA,NA,-0.484984197396098,NA,NA,-2.05436687608379,-1.3718722518181,NA,NA,NA,NA,NA,NA,-1.97170659917261,-1.28353080769998,NA,NA,NA,NA,NA,"Central","Kiambu","Kiambu",-0.429917202173024,0.857022861406045,-0.180973550142509,1,NA,NA,-1.46034911099203,NA,NA,NA,NA,NA,NA,-1.86567715894728,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.279787436778648,-0.521022717158992,-0.280922690458334,-0.227282482266532,0.650705739190485,0.562944665739602,0.196183009814658,0.731893303734452,-0.484984197396098,-0.126314789784589,NA,-2.05436687608379,-1.3718722518181,NA,NA,NA,NA,NA,NA,-1.97170659917261,-1.28353080769998,NA,NA,NA,NA,NA,0.065460626349394,0.0970918981409898,0.0305831420978577,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.405499824802874,-0.104405768893148,NA,0.711863774657815,1.05444810373104,-0.0149798486402131,0.149565313746861,0.5011876939933,0.321397480079445,0.985686257823431,0.591826781291875,0.0167217203334214,NA,NA,NA,NA,NA,-0.473105123319555,NA
"1-1985","1","1985",51333,"Kiambu",0,NA,NA,NA,-0.473105123319555,NA,-1.96193380132799,-1.38584909286462,-0.869579692766571,-0.484984197396098,0.954926210255772,-0.763734224144228,-1.74268762834053,-1.3718722518181,-0.692478031817168,0.186610272278452,1.00896512315321,0.376808481552107,-0.271157047208057,-0.934920202406547,-1.6493510055768,-1.28353080769998,-0.513700190173004,-0.364246125898595,0.287197202442254,-0.0392224564960029,0.780893633342654,"Central","Kiambu","Kiambu",-0.119466594678117,1.08053196824871,0.273944785145755,1,-0.282539566966139,-0.683436981196316,2.72537238508095,3.36747915725132,1.91492029135061,-0.798046638442297,-0.873737747101645,1.85942430071929,-0.467005583175353,0.436588176964693,-1.02429159085975,-0.774404970203337,-1.13414630910649,-1.61628724921675,-0.540786582071426,-0.888771522012522,-0.882408106089854,-1.42428619156738,-1.39022010530072,-0.985077267668046,-1.26041681500038,-0.411879365347681,-0.895989085039889,-1.49420232898976,0.545837970266715,-1.20945132517971,NA,NA,NA,-0.473105123319555,NA,NA,NA,NA,-0.484984197396098,NA,NA,-2.05436687608379,-1.3718722518181,NA,NA,NA,NA,NA,NA,-1.97170659917261,-1.28353080769998,NA,NA,NA,NA,NA,-0.429917202173024,0.857022861406045,-0.180973550142509,NA,NA,-1.46034911099203,NA,NA,NA,NA,NA,NA,-1.86567715894728,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.324990879333114,0.524082710528347,0.950909046368199,-0.473105123319555,-1.06645837825549
"1-1986","1","1986",51333,"Kiambu",0,0.324990879333114,0.524082710528347,0.950909046368199,-0.473105123319555,-1.06645837825549,-0.823960407720063,-1.35289009072547,-0.831408578441952,-0.484984197396098,0.954926210255772,-1.16058552958845,-0.0803983070431418,-0.292713102573013,-0.298239239405149,-0.613359229646042,0.390918670192077,-0.321182068999485,-0.528099652532616,-1.06894462641535,0.177330691466103,-0.620158844256347,-0.380824465790898,-0.700549453011255,-0.0598344156785291,-0.499618373446101,0.368712084891445,"Central","Kiambu","Kiambu",-0.23841837790451,1.08053196824871,0.121770101569194,1,-0.767437822638981,-0.782901135761408,1.77770622613859,2.34985396692378,1.80129857992476,-0.798046638442297,-0.819354222169726,1.61652469263126,-0.612454330792144,0.0201085891091752,-0.997387026887663,-0.785725965855329,-1.25731799981924,-1.04513202331672,-1.05300330697681,-1.31821026014359,-1.18369684983977,-1.42428619156738,-1.52770094628712,-1.22152851156871,-1.49475967353072,-0.979640399760946,-0.715647767908767,-0.881665552237117,0.124505839957744,-1.30836176437291,NA,NA,NA,-0.473105123319555,NA,-1.96193380132799,-1.38584909286462,-0.869579692766571,-0.484984197396098,0.954926210255772,-0.763734224144228,-1.74268762834053,-1.3718722518181,-0.692478031817168,0.186610272278452,1.00896512315321,0.376808481552107,-0.271157047208057,-0.934920202406547,-1.6493510055768,-1.28353080769998,-0.513700190173004,-0.364246125898595,0.287197202442254,-0.0392224564960029,0.780893633342654,-0.119466594678117,1.08053196824871,0.273944785145755,-0.282539566966139,-0.683436981196316,2.72537238508095,3.36747915725132,1.91492029135061,-0.798046638442297,-0.873737747101645,1.85942430071929,-0.467005583175353,0.436588176964693,-1.02429159085975,-0.774404970203337,-1.13414630910649,-1.61628724921675,-0.540786582071426,-0.888771522012522,-0.882408106089854,-1.42428619156738,-1.39022010530072,-0.985077267668046,-1.26041681500038,-0.411879365347681,-0.895989085039889,-1.49420232898976,0.545837970266715,-1.20945132517971,-1.00552141611276,-1.13066754997661,-0.950149378765016,-0.473105123319555,-0.0852217397149342
"1-1987","1","1987",51333,"Kiambu",0,-1.00552141611276,-1.13066754997661,-0.950149378765016,-0.473105123319555,-0.0852217397149342,-0.290535379466346,-0.528915037246677,0.0131857511652131,-0.484984197396098,-0.30652162312465,-0.631450455662819,-0.288184472205316,-1.3718722518181,-1.04593350087622,-0.0229055496541537,0.0881806618772173,-0.0158112031331637,-0.583060637628778,-0.39882250637132,-0.574832360257447,-1.06240681988544,-0.69086782268248,0.631561128409021,0.879062568093166,0.820183255144181,1.30589452161384,"Central","Kiambu","Kiambu",-0.274446904445095,-0.551084511702734,-0.465612391968868,1,0.995486843334373,-0.692909757821563,1.19217552247445,1.36402956379398,1.58462461860104,-0.647995598012668,-0.526719064202731,1.39791504535202,0.00605587752003688,-0.191302369193118,-0.835959643055166,-0.714969743030383,-0.82621708232462,-0.0372110364343202,-0.455417127920528,-1.00589117786645,-0.79632560787559,-0.32502724408419,-0.48284655479054,-0.95129851853938,-0.762438240623398,-0.630248993968167,-0.580391780060424,0.0575575054502646,0.366430154945366,-0.60960737136294,0.324990879333114,0.524082710528347,0.950909046368199,-0.473105123319555,-1.06645837825549,-0.823960407720063,-1.35289009072547,-0.831408578441952,-0.484984197396098,0.954926210255772,-1.16058552958845,-0.0803983070431418,-0.292713102573013,-0.298239239405149,-0.613359229646042,0.390918670192077,-0.321182068999485,-0.528099652532616,-1.06894462641535,0.177330691466103,-0.620158844256347,-0.380824465790898,-0.700549453011255,-0.0598344156785291,-0.499618373446101,0.368712084891445,-0.23841837790451,1.08053196824871,0.121770101569194,-0.767437822638981,-0.782901135761408,1.77770622613859,2.34985396692378,1.80129857992476,-0.798046638442297,-0.819354222169726,1.61652469263126,-0.612454330792144,0.0201085891091752,-0.997387026887663,-0.785725965855329,-1.25731799981924,-1.04513202331672,-1.05300330697681,-1.31821026014359,-1.18369684983977,-1.42428619156738,-1.52770094628712,-1.22152851156871,-1.49475967353072,-0.979640399760946,-0.715647767908767,-0.881665552237117,0.124505839957744,-1.30836176437291,-0.481380208815902,-0.65166089561991,-0.423265285706744,-0.473105123319555,-0.330530899350074
"1-1988","1","1988",51333,"Kiambu",0,-0.481380208815902,-0.65166089561991,-0.423265285706744,-0.473105123319555,-0.330530899350074,NA,NA,NA,-0.484984197396098,NA,-0.234599150218593,0.0234947755379451,-0.0768812727239961,-0.39340032722874,-0.410192372014424,-0.583290145492419,-0.539304116046858,-0.886720080285074,-0.264798082362514,0.177330691466103,-0.177910868627258,-0.0707811088993154,0.0899817444873348,0.0680967316795565,0.206322032544049,0.481531424711423,"Central","Kiambu","Kiambu",-0.54820606051107,0.186495540878055,-0.459012754191298,1,0.123421763364611,-0.766323776667226,0.204533371715651,0.111078548203198,1.24375948432349,-0.763034729008717,-0.770150080564656,0.795082381642624,-0.509369296073447,-0.453451957487962,-1.09693391358437,-0.802707459333316,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.35120110634003,NA,-1.00552141611276,-1.13066754997661,-0.950149378765016,-0.473105123319555,-0.0852217397149342,-0.290535379466346,-0.528915037246677,0.0131857511652131,-0.484984197396098,-0.30652162312465,-0.631450455662819,-0.288184472205316,-1.3718722518181,-1.04593350087622,-0.0229055496541537,0.0881806618772173,-0.0158112031331637,-0.583060637628778,-0.39882250637132,-0.574832360257447,-1.06240681988544,-0.69086782268248,0.631561128409021,0.879062568093166,0.820183255144181,1.30589452161384,-0.274446904445095,-0.551084511702734,-0.465612391968868,0.995486843334373,-0.692909757821563,1.19217552247445,1.36402956379398,1.58462461860104,-0.647995598012668,-0.526719064202731,1.39791504535202,0.00605587752003688,-0.191302369193118,-0.835959643055166,-0.714969743030383,-0.82621708232462,-0.0372110364343202,-0.455417127920528,-1.00589117786645,-0.79632560787559,-0.32502724408419,-0.48284655479054,-0.95129851853938,-0.762438240623398,-0.630248993968167,-0.580391780060424,0.0575575054502646,0.366430154945366,-0.60960737136294,-0.763610089668058,-0.47747665767202,-0.217328565204767,-0.473105123319555,-0.330530899350074
"1-1989","1","1989",51333,"Kiambu",0,-0.763610089668058,-0.47747665767202,-0.217328565204767,-0.473105123319555,-0.330530899350074,NA,NA,NA,-0.484984197396098,NA,0.294535923707042,0.335174023281206,-0.292713102573013,-0.570128061758265,0.884996345387137,0.119606752705749,0.900301394465801,-0.212073988229683,1.07544615772555,0.49968628506191,0.706585082630921,0.0473306461070012,0.151127803962364,-0.402454614924895,0.0528567268940167,-0.0557567183916442,"Central","Kiambu","Kiambu",-0.260179607935023,-0.416979047597136,-0.413654975804829,1,-0.182928684986835,-0.541345331817613,0.630160108114084,0.123798863082293,-0.357513937166422,-0.560465824428717,-0.682100564008215,0.0906735181873178,-0.733896974433349,0.27591584865495,-0.70412727959196,0.134104930868966,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.359924338851603,NA,-0.481380208815902,-0.65166089561991,-0.423265285706744,-0.473105123319555,-0.330530899350074,NA,NA,NA,-0.484984197396098,NA,-0.234599150218593,0.0234947755379451,-0.0768812727239961,-0.39340032722874,-0.410192372014424,-0.583290145492419,-0.539304116046858,-0.886720080285074,-0.264798082362514,0.177330691466103,-0.177910868627258,-0.0707811088993154,0.0899817444873348,0.0680967316795565,0.206322032544049,0.481531424711423,-0.54820606051107,0.186495540878055,-0.459012754191298,0.123421763364611,-0.766323776667226,0.204533371715651,0.111078548203198,1.24375948432349,-0.763034729008717,-0.770150080564656,0.795082381642624,-0.509369296073447,-0.453451957487962,-1.09693391358437,-0.802707459333316,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.35120110634003,NA,NA,NA,NA,-0.473105123319555,NA
"1-1990","1","1990",51333,"Kiambu",0,NA,NA,NA,-0.473105123319555,NA,-1.35738543597378,-1.15513607789056,-0.618117739623984,-0.484984197396098,-0.30652162312465,-0.234599150218593,-0.184291389624229,-0.292713102573013,-0.325428121640461,1.02467356000887,1.25618370433766,1.59829194501739,0.711270561385844,0.137275189663906,1.03694560772159,-0.177910868627258,-0.30700461891195,-0.381716428605747,-0.618614139771315,-0.407539190056082,-0.610917232159263,"Central","Kiambu","Kiambu",-0.248708125084501,-0.372277226228603,-0.391027646281732,1,-0.498676386355197,-0.0748110830242066,1.59899002742985,-0.785703650772945,-0.455281456300294,-0.125317807182793,0.0844481683655057,-0.635817127821446,-0.447235850489575,1.14270077769435,0.000772296476608655,-0.174392200647797,-1.16493923178468,-1.04513202331672,-0.711525490373221,-0.966851292581806,-0.925449355196984,-1.02968041554777,-1.08776225513066,-1.32286475895472,-1.08465967110262,-0.673922919692265,-0.625477109343204,-0.840829767120273,-0.0618805613728626,-1.06268099605433,-0.763610089668058,-0.47747665767202,-0.217328565204767,-0.473105123319555,-0.330530899350074,NA,NA,NA,-0.484984197396098,NA,0.294535923707042,0.335174023281206,-0.292713102573013,-0.570128061758265,0.884996345387137,0.119606752705749,0.900301394465801,-0.212073988229683,1.07544615772555,0.49968628506191,0.706585082630921,0.0473306461070012,0.151127803962364,-0.402454614924895,0.0528567268940167,-0.0557567183916442,-0.260179607935023,-0.416979047597136,-0.413654975804829,-0.182928684986835,-0.541345331817613,0.630160108114084,0.123798863082293,-0.357513937166422,-0.560465824428717,-0.682100564008215,0.0906735181873178,-0.733896974433349,0.27591584865495,-0.70412727959196,0.134104930868966,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.359924338851603,NA,NA,NA,NA,-0.473105123319555,NA
