Source,SourceDoc,Admin0,Admin1,Admin2,Year,Crop,Season, Area , Yield , MT 
MOALP,AgroMOALP,,Nairobi,,1998,Maize,Long Rains,2005,1.83,3677.94
MOALP,AgroMOALP,,Nairobi,,1998,Maize,Short Rains,580,0.67,390.96
MOALP,AgroMOALP,,Nairobi,,1998,Maize,,2585,1.57,4068.9
MOALP,AgroMOALP,,Nairobi,,1999,Maize,Long Rains,1970,2.12,4176.9
MOALP,AgroMOALP,,Nairobi,,1999,Maize,Short Rains,1460,1.79,2608.2
MOALP,AgroMOALP,,Nairobi,,1999,Maize,,3430,1.98,6785.1
MOALP,AgroMOALP,,Nairobi,,2001,Maize,Long Rains,1638,0.9,1474.2
MOALP,AgroMOALP,,Nairobi,,2001,Maize,Short Rains,1022,0.9,919.8
MOALP,AgroMOALP,,Nairobi,,2001,Maize,,2660,0.9,2394
MOALD_CBS,KIPPRA,,Rift Valley,Baringo,1970,"Beans, dry",,NC,NC,NC
MOALD_CBS,KIPPRA,,Rift Valley,Baringo,1971,"Beans, dry",,NC,NC,NC
MOALD_CBS,KIPPRA,,Rift Valley,Baringo,1972,"Beans, dry",,NC,NC,NC
MOALD_CBS,KIPPRA,,Rift Valley,Baringo,1973,"Beans, dry",,585,0.72,421
MOALD_CBS,KIPPRA,,Rift Valley,Baringo,1974,"Beans, dry",,600,0.72,432
MOALD_CBS,KIPPRA,,Rift Valley,Baringo,1975,"Beans, dry",,1430,0.64,909
MOALD_CBS,KIPPRA,,Rift Valley,Baringo,1976,"Beans, dry",,1325,0.77,1026
MOALD_CBS,KIPPRA,,Rift Valley,Baringo,1977,"Beans, dry",,1830,0.95,1733
MOALD_CBS,KIPPRA,,Rift Valley,Baringo,1978,"Beans, dry",,2835,0.88,2494
MOALD_CBS,KIPPRA,,Rift Valley,Baringo,1979,"Beans, dry",,2334,0.78,1825
MOALD_CBS,KIPPRA,,Rift Valley,Baringo,1980,"Beans, dry",,3045,0.24,720
MOALD_CBS,KIPPRA,,Rift Valley,Baringo,1981,"Beans, dry",,3176,1,3191
MOALD_CBS,KIPPRA,,Rift Valley,Baringo,1982,"Beans, dry",,4690,0.63,2955
MOALD_CBS,KIPPRA,,Rift Valley,Baringo,1983,"Beans, dry",,4574,1.12,5103
MOALD_CBS,KIPPRA,,Rift Valley,Baringo,1984,"Beans, dry",,2540,0.9,2286
MOALD_CBS,KIPPRA,,Rift Valley,Baringo,1985,"Beans, dry",,3590,0.54,1939
MOALD_CBS,KIPPRA,,Rift Valley,Baringo,1986,"Beans, dry",,6127,0.9,5514
MOALD_CBS,KIPPRA,,Rift Valley,Baringo,1987,"Beans, dry",,3875,0.45,1744
MOALD_CBS,KIPPRA,,Rift Valley,Baringo,1988,"Beans, dry",,3875,0.45,1744
MOALD_CBS,KIPPRA,,Rift Valley,Baringo,1989,"Beans, dry",,7773,0.72,5597
MOALD_CBS,KIPPRA,,Rift Valley,Baringo,1990,"Beans, dry",,5890,0.41,2415
MoALF,Spreadsheet,,Rift Valley,Baringo,1991,"Beans, dry",,6800,0.6,4080
MoALF,Spreadsheet,,Rift Valley,Baringo,1992,"Beans, dry",,7913,0.54,4273.02
MoALF,Spreadsheet,,Rift Valley,Baringo,1993,"Beans, dry",,8773,0.4,3474.09
MoALF,Spreadsheet,,Rift Valley,Baringo,1994,"Beans, dry",,8500,0.63,5355
MoALF,Spreadsheet,,Rift Valley,Baringo,1995,"Beans, dry",,8140,0.32,2593.17
MoALF,Spreadsheet,,Rift Valley,Baringo,1996,"Beans, dry",,8686,0.47,4094.64
MoALF,Spreadsheet,,Rift Valley,Baringo,1997,"Beans, dry",,9964,0.35,3459.23
MoALF,Spreadsheet,,Rift Valley,Baringo,1998,"Beans, dry",,7540,0.74,5562.56
MoALF,Spreadsheet,,Rift Valley,Baringo,1999,"Beans, dry",,6100,0.41,2493
MoALF,Spreadsheet,,Rift Valley,Baringo,2000,"Beans, dry",,5400,0.37,2016
MoALF,Spreadsheet,,Rift Valley,Baringo,2001,"Beans, dry",,11525.9,0.29,3368.43
MoALF,Spreadsheet,,Rift Valley,Baringo,2002,"Beans, dry",,10970,0.31,3422.14
MoALF,Spreadsheet,,Rift Valley,Baringo,2003,"Beans, dry",,12500,0.72,9006.3
MoALF,Spreadsheet,,Rift Valley,Baringo,2004,"Beans, dry",,11500,0.13,1535.55
MoALF,Spreadsheet,,Rift Valley,Baringo,2005,"Beans, dry",,10900,0.71,7785.78
MoALF,Spreadsheet,,Rift Valley,Baringo,2006,"Beans, dry",,8000,0.76,6075.61
MoALF,Spreadsheet,,Rift Valley,Baringo,2007,"Beans, dry",,14360,1.07,15416
MoALF,Spreadsheet,,Rift Valley,Baringo,2008,"Beans, dry",,0,0,0
MoALF,Spreadsheet,,Rift Valley,Baringo,2009,"Beans, dry",,0,0,0
MoALF,Spreadsheet,,Rift Valley,Baringo,2010,"Beans, dry",,11525,0.34,3932.28
MoALF,Spreadsheet,,Rift Valley,Baringo,2011,"Beans, dry",,13615,0.47,6411.06
"Ministry of Agriculture, Livestock and Fisheries",ERA2015,,Rift Valley,Baringo,2012,"Beans, dry",,17196,0.41,7119.14
"Ministry of Agriculture, Livestock and Fisheries",ERA2015,,Rift Valley,Baringo,2013,"Beans, dry",,17756,0.86,15181.38
"Ministry of Agriculture, Livestock and Fisheries",ERA2015,,Rift Valley,Baringo,2014,"Beans, dry",,17788,0.86,15208.74
"Ministry of Agriculture, Livestock and Fisheries",ERA2015,,Rift Valley,Baringo,2012,Cassava,,119,4.8,571
"Ministry of Agriculture, Livestock and Fisheries",ERA2015,,Rift Valley,Baringo,2013,Cassava,,138,8.2,1131
