year,code,name,ASAL,cum_90_MarMay,cum_95_MarMay,cum_99_MarMay,days_90_MarMay,days_95_MarMay,days_99_MarMay,cum_90_MarAug,cum_95_MarAug,cum_99_MarAug,days_90_MarAug,days_95_MarAug,days_99_MarAug,cum_90_OctDec,cum_95_OctDec,cum_99_OctDec,days_90_OctDec,days_95_OctDec,days_99_OctDec
1981,51338,-999,1,225.3,116.2,0,5.4,2.3,0,225.3,116.2,0,5.4,2.3,0,3.7,0,0,0.2,0,0
1982,51338,-999,1,270,203.1,68,5.3,3.3,0.7,278.3,203.1,68,5.5,3.3,0.7,273.9,172.3,16.6,6,2.9,0.2
1983,51338,-999,1,314.6,215.8,108.4,5.9,3.1,1.2,326.2,215.8,108.4,6.3,3.1,1.2,132,77.8,7,2.9,1.3,0.1
1984,51338,-999,1,25.7,3.2,0,0.7,0.1,0,29.3,3.2,0,0.8,0.1,0,137.2,43.3,9.4,3.5,0.7,0.1
1985,51338,-999,1,316.5,168.5,70.1,7,2.5,0.6,337.6,178.3,70.1,7.5,2.7,0.6,65.8,30.1,0,1.5,0.5,0
1986,51338,-999,1,336.1,208.1,102.2,6.7,3,0.9,347.9,214.6,102.2,7,3.2,0.9,138,83.8,6.9,3.1,1.6,0.1
1987,51338,-999,1,198.8,141.4,59.1,3.8,1.9,0.6,218.8,141.4,59.1,4.4,1.9,0.6,75.9,39.3,0,1.9,0.8,0
1988,51338,-999,1,282.8,161.6,18.6,6.4,2.9,0.2,340.3,196.8,18.6,7.6,3.5,0.2,58.8,18.2,0,1.5,0.4,0
1989,51338,-999,1,309.3,173,10.2,7.3,3.2,0.1,355.1,199.2,10.2,8.5,3.7,0.1,140.7,96.9,19.8,2.9,1.6,0.2
1990,51338,-999,1,279.2,133.4,30.2,6.3,2.2,0.3,279.2,133.4,30.2,6.3,2.2,0.3,207.8,167.6,66.8,3.5,2.4,0.8
1991,51338,-999,1,384.3,299.4,152,6.1,3.7,1,443.6,339.7,159.2,7.5,4.4,1.1,129.2,80.3,29.4,2.7,1.3,0.4
1992,51338,-999,1,304.4,226.7,88.6,5.4,3.1,0.8,308.2,226.7,88.6,5.5,3.1,0.8,108.2,64.4,23.4,2.4,1,0.2
1993,51338,-999,1,154.6,89.2,9.3,3.2,1.3,0.1,165.7,95,9.3,3.6,1.4,0.1,9.5,9.5,0,0.2,0.2,0
1994,51338,-999,1,204.7,148.2,42.6,4,2.4,0.4,226.7,153.7,42.6,4.6,2.6,0.4,254.3,184.5,27.7,5,3.1,0.3
1995,51338,-999,1,487.7,361.9,247.4,7.8,4.1,2.1,487.7,361.9,247.4,7.8,4.1,2.1,120.2,85.2,29,2.3,1.1,0.2
1996,51338,-999,1,127.5,86.1,32.9,2.5,1.3,0.3,188.1,130.6,55.4,3.9,2.1,0.6,38.5,30.7,23.4,0.7,0.5,0.3
1997,51338,-999,1,383.6,259,14.7,8.3,4.6,0.2,459.4,307.5,14.7,10,5.5,0.2,539.8,411.7,237.6,9.1,5.3,2.1
1998,51338,-999,1,456.8,252,4.1,10.2,4.5,0.1,580.6,351.8,70.9,12.3,5.8,0.7,60.5,50.3,39.8,0.9,0.6,0.3
1999,51338,-999,1,110,85.4,29.8,2,1.3,0.3,126.9,90.7,29.8,2.5,1.4,0.3,215.3,193.6,134.3,2.8,2.2,1.1
2000,51338,-999,1,95.1,57.4,0,2,0.9,0,102.3,57.4,0,2.3,0.9,0,174.4,92.1,20.2,4.1,1.6,0.3
2001,51338,-999,1,247.8,171.4,32.3,5.2,3,0.4,272.7,182.2,32.3,5.9,3.1,0.4,76.6,67.6,39.5,1.2,0.9,0.4
