year,code,name,ASAL,cum_Mar,cum_Jun,cum_Oct
1981,51338,-999,1,230.8,43.8,146
1982,51338,-999,1,58.7,41.9,272.4
1983,51338,-999,1,38.7,51.6,118.6
1984,51338,-999,1,28.9,21.4,227.5
1985,51338,-999,1,162.7,46.7,103.5
1986,51338,-999,1,68.4,75.1,102.8
1987,51338,-999,1,38.1,106.2,47.6
1988,51338,-999,1,126.2,83.2,110.5
1989,51338,-999,1,105.8,26.1,153
1990,51338,-999,1,212,29.3,138.8
1991,51338,-999,1,104.3,40.8,108.2
1992,51338,-999,1,33,32.6,105.4
1993,51338,-999,1,51.5,41.5,82.8
1994,51338,-999,1,58,49.3,161.1
1995,51338,-999,1,125.8,38.5,215
1996,51338,-999,1,114.9,72.3,67.2
1997,51338,-999,1,72.6,51.5,332.8
1998,51338,-999,1,98,122.4,78.6
1999,51338,-999,1,127.9,23.5,81.3
2000,51338,-999,1,34,27.7,84.3
2001,51338,-999,1,143,58.5,93.3
2002,51338,-999,1,89.1,34.8,171.5
2003,51338,-999,1,61.8,31.4,191.3
2004,51338,-999,1,68.7,33,105.4
2005,51338,-999,1,58,36.7,100.4
2006,51338,-999,1,112.3,27.9,155
2007,51338,-999,1,51.3,81.7,177
2008,51338,-999,1,142,28.8,150.9
2009,51338,-999,1,52.4,39.1,182.8
2010,51338,-999,1,177.2,36.5,109
2011,51338,-999,1,72.9,66.4,209.3
2012,51338,-999,1,25.8,61.3,178.2
2013,51338,-999,1,137.4,49.8,66.3
2014,51338,-999,1,138,73,129.4
2015,51338,-999,1,54.4,39,180
2016,51338,-999,1,53.3,4.8,247.5
2017,51338,-999,1,25.7,38.2,33.7
1981,51340,-999,1,218.8,64.1,113
1982,51340,-999,1,61.2,121.9,212.5
1983,51340,-999,1,27.1,107.7,31.6
1984,51340,-999,1,29.4,132.3,91.3
1985,51340,-999,1,60.7,56.2,40.7
1986,51340,-999,1,52.1,48.3,61.1
1987,51340,-999,1,19.3,57,42.9
1988,51340,-999,1,96.4,122.7,41
1989,51340,-999,1,57.2,77.4,104.4
1990,51340,-999,1,157.3,72,147.7
1991,51340,-999,1,56.1,82.3,51.5
1992,51340,-999,1,20.2,70.3,45.1
1993,51340,-999,1,44.7,112.5,72.8
1994,51340,-999,1,25.7,70.7,130.9
1995,51340,-999,1,60.7,24.9,128.8
1996,51340,-999,1,83.4,42.9,29.2
1997,51340,-999,1,29.4,128.4,230
1998,51340,-999,1,56.6,99.6,37.5
1999,51340,-999,1,36.7,97.3,39.7
2000,51340,-999,1,73.2,117.8,99.6
2001,51340,-999,1,39.2,106.6,27
2002,51340,-999,1,93.1,63.5,181.7
2003,51340,-999,1,35.1,73,68
2004,51340,-999,1,24.9,125.9,107.1
2005,51340,-999,1,63.2,87,34.2
2006,51340,-999,1,54.7,103.6,228.5
2007,51340,-999,1,34.2,100.4,72.6
2008,51340,-999,1,131.1,115.3,49.5
2009,51340,-999,1,30.1,150.6,285.7
2010,51340,-999,1,79.6,80.5,24.6
2011,51340,-999,1,38.6,49.2,108.5
2012,51340,-999,1,21.1,46.3,113.6
2013,51340,-999,1,134.5,60.2,90.8
2014,51340,-999,1,117.3,85.3,60.4
2015,51340,-999,1,106.7,72.8,103.7
2016,51340,-999,1,9.5,0.1,74.4
2017,51340,-999,1,58.1,10.1,73.3
1981,51341,-999,1,200.7,49.8,151.8
1982,51341,-999,1,60.8,85.4,195.4
1983,51341,-999,1,55.1,72.2,36.2
1984,51341,-999,1,57.7,88.1,93.1
1985,51341,-999,1,50.1,36.4,47.1
1986,51341,-999,1,54.1,30.9,68.1
1987,51341,-999,1,31,30.2,49.6
1988,51341,-999,1,84.6,83.3,51.6
1989,51341,-999,1,83.3,45.4,104.9
1990,51341,-999,1,211.1,51.4,89.2
1991,51341,-999,1,105.8,70.2,52
1992,51341,-999,1,20.7,69.9,50.1
1993,51341,-999,1,34.1,68.8,77.1
1994,51341,-999,1,71.9,62.5,71.2
1995,51341,-999,1,71.1,17.5,119.5
1996,51341,-999,1,105.6,22.3,31.5
1997,51341,-999,1,45.3,81.5,362.3
1998,51341,-999,1,81.8,47.9,44.1
1999,51341,-999,1,95,73.6,56.1
2000,51341,-999,1,69.8,109.7,93.8
2001,51341,-999,1,44.4,80.9,35
2002,51341,-999,1,133.7,31.5,170.7
2003,51341,-999,1,40.6,46.6,55.5
2004,51341,-999,1,40.3,68.1,134.6
2005,51341,-999,1,67.4,62.8,43
2006,51341,-999,1,113.6,70,215.6
2007,51341,-999,1,53.2,67.3,91.8
2008,51341,-999,1,126.9,90.3,67.3
2009,51341,-999,1,47,74.1,149.3
2010,51341,-999,1,85.2,70.8,39.8
2011,51341,-999,1,48.4,40.2,142.6
2012,51341,-999,1,29,40.4,68.2
2013,51341,-999,1,139.6,44.2,113.8
2014,51341,-999,1,182.7,69.1,101.6
2015,51341,-999,1,122.1,53.9,127.3
2016,51341,-999,1,29.1,2.9,96
2017,51341,-999,1,70.1,50.6,63.8
1981,51342,-999,1,137.4,107.6,75.6
1982,51342,-999,1,32.2,133.4,101.7
1983,51342,-999,1,12.4,193.5,21.8
1984,51342,-999,1,8.9,192.5,52.6
1985,51342,-999,1,57.8,66.3,42.8
1986,51342,-999,1,32.7,91.1,38.7
1987,51342,-999,1,9.1,116.9,24.2
1988,51342,-999,1,116.3,141.2,46.9
1989,51342,-999,1,20.6,74.3,30.7
1990,51342,-999,1,57.7,50.6,64.6
1991,51342,-999,1,15.9,57.7,18.8
1992,51342,-999,1,13,73.2,29.8
1993,51342,-999,1,20.9,130.2,42.5
1994,51342,-999,1,9,66.3,138.8
