code;1981;1982;1983;1984;1985;1986;1987;1988;1989;1990;1991;1992;1993;1994;1995;1996;1997;1998;1999;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017
51338;14;14.2;-999;-999;21.2;20.3;17.5;11.5;22.9;22.7;19.6;11.2;6.9;15.5;19.1;24;33.9;25.6;21.9;5.3;11.1;24.4;27.4;27.7;22.8;26.3;12.6;22.2;30.5;33;26.4;22.3;29;24.4;15.9;18.5;11.6
51340;20.2;19.8;16.9;19.8;14.7;-999;18.1;17.5;21.1;20.8;21.8;21.3;20.7;7.9;9.6;10.9;15.4;19.1;34.9;24.3;22.3;9.5;11.9;21.8;29.7;29.1;30.3;21.7;18.2;19.9;24.7;24.2;19.4;20.7;26.8;28.4;15.7
51341;26.2;21.2;21.6;14.1;17.9;14.6;-999;14.1;15;20.1;23.8;23.3;23.2;20.3;13.4;9.2;13.3;17.8;17.9;33.6;26.3;18.6;12.8;13.4;25;28.6;23.9;27.2;22.7;16.8;19.1;23.1;21.1;19.7;19.2;23;30.8
51342;21.5;18;17.2;19.1;-999;15.5;20.4;16.8;20.9;21.2;21.9;18.2;-999;12.8;10.6;16.3;16.6;33;31.8;20.6;11.3;10.2;20.5;21.7;34.5;31.8;20.3;21.3;16.4;24.7;26.9;18;24.6;26.6;32.2;18.2;14.4
51344;30.1;19.4;20.3;14.4;18.3;-999;-999;14;12.6;16.4;19.4;27;20;19.3;7.4;8.1;17.7;14.1;13;34.1;22.2;21.3;8.9;16.5;31;19.6;28.8;28.2;18.1;10.9;19;24.7;22.8;25.5;21.1;21;25.2
51345;22.6;20.4;17.4;15.8;21.2;-999;16.5;20.2;19.3;20.6;20.6;22.1;21.4;4;9;9;18.6;17.6;34.5;24.1;19.4;9.2;11;21.6;25.3;29;27.3;25.6;19.2;18.4;27.5;21.6;17.9;20.1;27.7;26.2;15.2
51346;18.4;17.5;17.4;20;15.4;21.2;18.9;16.8;19.8;22.7;21.2;17.6;10.2;11.6;13.8;16.2;24.2;29.5;25.6;18.8;13.9;14.6;21.1;28.7;30.4;28;21.7;17.5;22.2;27.2;23.2;21.8;25.3;25.2;23.4;19;14.2
51347;17.8;16.7;-999;-999;20.4;22.3;14.5;14.3;23.4;21.3;22.7;-999;9;11.8;17.7;19.7;31.7;25;18.5;5.8;8.7;19.4;19.1;30.5;26;24.7;17.3;20.6;27.6;27.3;22.4;23.3;24.6;23.1;15;17.8;13.7
51348;18.6;-999;18.9;26.8;23.7;16.6;17;20.5;23.5;37.1;9.7;11.1;19.2;19.3;24.8;31.4;21.7;21.1;8.5;13.6;21.9;26.5;27.5;28.2;22.6;13.6;19.5;27;29.6;21.6;23.8;28.5;19.7;18.5;17.4;14.5;16.8
51349;17.8;14.9;17.5;20.2;18.9;21.3;16.6;18.3;21.2;23.1;19.5;17.9;10.6;11.3;15.5;17.1;24.5;28.6;23.2;16.6;10.6;15.8;21.1;30.9;31;27.7;21.2;16.3;22.6;25.1;23;21.1;24;25.2;20.5;19.4;14.9
51351;19.9;17.6;15.3;17.7;-999;20.8;14.7;17.4;18.7;23.6;21;21;19.4;7.1;10.3;17.7;20.5;26.6;30.3;22.9;13.9;9.6;20;23.6;36.3;28.7;27.3;20.2;15.9;24.1;22.9;24.7;20;20.7;25.2;17.5;17.1
51352;19.1;22.2;23.4;19.8;18.9;19;22.3;23.6;11.4;11.4;15.5;19.8;21.2;25.7;25;19.5;12.8;10.1;16.7;24.3;30.2;28.6;23.8;15.7;13.9;23;28.7;26.8;23;23.6;21.9;19.2;20.1;18;17.4;18;22.5
51354;12.1;-999;-999;20;24.6;16.6;15.7;21.5;19.6;32.8;-999;8.2;14.5;19.4;20.3;28;27.4;21.2;13.5;7.2;19.6;20.5;31.2;28.8;30.4;20.2;13.1;21.8;23.2;25;18.9;23.8;25.2;15.1;19.7;12.8;16.6
51359;16.3;21.2;-999;-999;16.6;23.5;19.1;14.6;23.4;28.9;-999;10.2;10;16.4;17.5;19.1;33.4;26.2;20.6;6;12.1;18.6;40.2;27.5;22.4;22.6;9.2;21;40.5;33.5;14.1;20.9;28.8;26.3;21.7;14;15.1
51361;17.4;17.1;14.7;14.9;24.3;20.7;15.1;18.2;20.8;24.1;18.3;11;12.5;15.3;17.1;22.8;29.3;26;19.3;13.1;13.8;18.9;26.1;31;28.1;21.1;18.4;19.5;26.1;25.7;21.1;24.6;25.4;24.1;20.5;16.1;15.3
51363;22;26;20.5;18.1;17.5;18.7;20.2;-999;14.3;13.5;18.3;18.6;23.9;24.9;19.3;18.4;9.2;11.5;18.4;19.4;32.5;25.5;21.4;13.3;14.5;28.4;27.7;23.9;25.4;22.6;21.2;19.5;20.7;16.7;17.9;20.3;20.2
51364;17;19.6;23.7;22.8;18.5;17.6;18.9;21.5;19.4;11.7;14;16.6;20.1;22.8;26.6;24.3;19.6;14.7;11.4;18.6;25.5;30.3;27.3;23.3;18;17.5;24;26.9;25.3;22.2;24.8;22.3;20.2;19.3;16.7;17.6;19.6
51377;13.5;-999;-999;24.1;24.8;19.4;14.1;21.6;20.7;29.2;11.3;8.9;15.8;19.1;22.4;31.3;24.5;24.7;9;10.1;21.4;24.5;31.1;24.8;22.7;15.2;16.8;27.2;31.1;23.1;20.6;24.6;26.3;15.6;19.1;13.6;15.9
51380;19.6;17.8;15.9;20.3;-999;18;15.8;19.6;19.2;25;20.1;22.2;13.1;7.8;10.5;16.7;20.7;28;27.1;21.8;12.3;10;18.5;25.4;38.5;26;25.2;18.7;16.8;23.1;24.8;23.6;19;22.5;29.2;17.4;17.5
51384;11.9;-999;-999;18.7;23.4;17.4;15.4;20.1;20.5;36.6;-999;9.3;14.7;20.9;18.8;28;26.6;22.7;11.8;7.6;19.5;20.8;38.3;25.5;24;19.1;15.1;23.8;25.6;26.6;18.6;23.2;30.8;15;21.3;12.9;13.6
51388;18.2;15.6;15.5;-999;15.9;17.2;18.6;17.8;19.7;20.4;21.3;27;9.5;8.1;15.6;19.6;28.1;29.9;20.9;19;6.8;13.9;20.4;36.3;27.9;23.4;22;12.3;21.5;23.6;25.1;19.9;21.7;30.2;19;16.8;14.6
51389;19.4;-999;21.4;26.6;25;19.3;19.1;21.3;23.5;10.6;10.2;12.2;18.8;21.3;25.9;30.7;24.2;17.8;7;15.4;22.9;33.9;25.6;27;19.7;11.2;21.7;29.5;28.3;19.9;22.6;30.1;18.4;20.5;16.3;15.7;17.1
51392;19.9;21.8;21.6;20.4;18.5;17.5;18.6;20.4;12.6;12.9;14.1;18.2;22.9;24.1;22.4;18.8;13.5;11.1;16.5;23.7;28.5;25.9;22.4;16.5;15.5;25;27.5;26.6;23.2;23;20.5;20.3;19.7;18.3;18.1;17.2;21.7
51394;14.8;-999;20.9;26.1;20.3;18;17.7;16.2;23.5;11.5;10.3;11.5;18.1;21.4;30.5;24.7;22.5;13.4;6.6;18.1;23.2;36;23.2;23.8;19.5;12.1;24.7;27.1;26.5;21.5;24.9;29.4;14.9;19.5;14.6;15.6;17.2
