code;1981;1982;1983;1984;1985;1986;1987;1988;1989;1990;1991;1992;1993;1994;1995;1996;1997;1998;1999;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017
51338;79.3;111.6;-999;-999;34.7;27;52.3;99.3;29.4;46.9;126.3;39.3;31.4;29.5;65.1;38.5;24.5;34;31.2;25.6;32.1;30.2;43.7;30;40.7;33;25.1;24.2;13.4;21.3;60.2;47.2;31.8;31.7;24.6;22.2;29
51340;30.5;42.2;46.5;85.3;123.3;-999;30.3;28.5;43.3;38;35.5;48.3;88.8;32.1;35.8;37.4;65.7;60.9;18.7;28.6;31.8;32.3;34.3;34.6;36;27.1;35.5;28.9;25.6;24.9;26.6;27.2;47.6;42.8;36.5;33.9;21.7
51341;31.6;30.4;37.5;45.9;73.9;162.9;-999;31.9;29.6;34.5;29.7;34.4;47.6;88.2;41.1;32;39;49.9;46.4;21.1;27.5;33.6;33.7;35.9;29.3;35.9;36.1;36.1;24.3;25.4;25.5;22.8;26.7;48.6;46.1;36.4;31.9
51342;32.7;41.7;75.3;81.2;-999;32.6;26.3;62.3;40;50.4;27.8;122;-999;38.2;31.8;47.4;78.2;16.5;28.6;36.4;30.8;29.7;38;38.9;24.8;31.9;34.5;26.5;23.6;18.8;22.5;37.5;52.1;32.4;25.1;22.3;28.8
51344;31.7;22.9;46.8;40.8;75.7;-999;-999;28.5;29.4;38.9;29;40.9;58.3;50.9;31.7;40.6;34.7;46.9;56.9;12.4;42.7;43.6;28.8;35.9;23.2;50.4;24.4;29.1;28;18.1;21.7;37.8;27.6;52.9;41.6;41.9;34.3
51345;34.5;35.4;50.8;85.1;118;-999;35;31.7;36.7;42.5;32.7;38.1;91;30.9;31.1;33.9;56.7;69.7;22.9;28.6;28.1;32.2;37.2;29.6;41.5;28.7;40.8;26.9;25.3;26.6;24.2;26.2;41.5;48.5;35.8;37.7;20.7
51346;42.3;84.4;97;107.6;34.4;30.4;40.6;52.8;40.6;40.7;64.3;96.9;39.4;33.7;44.5;58.3;47.8;26.2;27.9;32.5;32.2;34.4;38.5;31.9;29.2;33;32.1;24.4;21.6;27;38.2;47.4;42.1;32.8;29.4;23.2;28.6
51347;57.3;123.2;-999;-999;36.9;25.9;55.9;70.7;37.9;40;121.2;-999;29.5;29.7;67.5;41.3;25;33;22.7;30.3;34.2;29.1;57.9;37.8;41.8;32.1;29.5;25.8;13.3;20.9;47.4;51;33.8;30.9;25;19.1;31.3
51348;145;-999;46.2;33;41;51.9;78.9;38.9;74.7;17.5;37.8;34.2;39.4;51.2;42.1;21.5;33.7;41;32.4;37;33.7;42.9;31.6;33.9;32;26.7;23.8;24.6;28.1;47.7;43.4;28.5;27.2;25.8;24.4;31.8;41.8
51349;42.4;82.4;132.3;89.1;35.5;29.8;43.8;55.3;36.8;38.3;83.6;89.8;40.8;33.6;48.2;62.8;38.4;24.5;28.1;33.1;30.6;36.6;40.5;32;29.2;35.3;30.7;25.3;21.9;23.4;34.1;47.9;41.3;31.3;26.5;24;27.9
51351;32;42.7;80;91.8;-999;26.6;32.8;37.5;43.6;29.6;37.9;96.8;30;32.4;31.4;49.8;78.1;29.2;27.1;30.3;32.2;29.6;39.4;34.9;26.9;32.1;35.4;27.2;26.5;24;23.7;33.5;51;37.7;28.4;23.5;27.2
51352;46.6;31.3;33.8;47.6;54.7;55.4;72.7;87.5;32.5;35.2;37.2;45.2;41.7;33.1;42.2;41.4;32.8;30.8;38.5;42.1;39.4;36.7;37.3;31.2;28.4;23.3;25.9;34.1;42.8;35.4;27;25.5;25.8;24.9;33.7;42.2;46.6
51354;96.7;-999;-999;24.9;26.9;37.9;91.9;35.9;47.2;17.5;-999;35.6;31.8;46.2;52.3;28.7;18.7;35.7;32.8;32.3;45.2;33.7;31.8;29.2;34.6;33.5;24.3;16.8;24.9;35.2;61.1;35.3;28.6;21.8;25.4;22.7;31.7
51359;70;151;-999;-999;43.3;35.7;57.6;104.1;37.4;69.9;-999;24.7;31;28.1;94.1;43.4;23.4;35;34.4;25;33;30.7;47.5;34.5;39.7;28.5;23.8;25.9;12.8;14.8;58.1;34.8;30.3;37.5;29.6;20.1;36.8
51361;78.6;88.8;117.3;36.2;31.3;33.2;67.8;49.9;43.1;35.2;112.1;34.9;35.3;35.6;53.5;45.5;24.7;31.5;36.2;36.2;33.8;34.8;33.6;29.6;31.6;34.1;27.8;22.4;26.1;31.4;49.3;46.9;30.7;28.1;24.2;26.2;30.8
51363;34;29.4;34.7;51.2;46.9;49.6;112.1;-999;32.1;30.8;42.7;42.7;34;25.4;55.9;64;33.7;36.3;39.2;40;28.7;36.6;34.6;29.5;32.7;21.1;27.8;41.1;38;30.3;23.8;22.4;24.8;28.5;44;47.4;47.3
51364;121.3;29.6;29.7;37.5;46.4;45.6;51.8;58.9;70.6;33.3;35.6;39;40.4;41.2;31.8;33.9;42.6;38.3;36.1;37;36.9;35.7;32.2;35.7;30.4;27.1;24.9;27.3;37.7;42.2;33.2;25.2;26;23.4;28.5;39.7;47.6
51377;126.2;-999;-999;27.6;28.2;51.5;106.1;42.3;75.2;18.6;43;30.1;35.4;53.1;56.3;24.4;29.8;37.5;28.7;34.9;36.6;47;30.2;37.4;35.3;30.8;28.5;20;27.3;42.3;47.1;31.1;29.2;24.4;27.8;31.7;37.9
51380;40.6;48.6;89.3;121.4;-999;32.4;32.2;45.9;43.9;37;48;128.6;47.4;34.6;34;54.6;78.7;28.2;31;32.7;31.5;33.9;38;39.7;29;33.7;35.2;26.5;26;25.3;24.2;39.1;45.4;37.1;27.8;24.6;26.1
51384;97.1;-999;-999;33.4;25.1;44.4;110.3;39;64.6;20.2;-999;34.5;29.8;50;56.2;27.5;20;36.8;30.5;29.6;38;42;28.4;33.2;35.3;30.6;25.1;18.8;22.7;43.1;51.6;36.1;28.1;23.8;28.4;27.3;31
51388;44.6;82.5;118.8;-999;32.5;24.7;41.2;46.2;39.4;34.5;112.1;107.2;31.3;31.5;43;69.4;43;29.2;35.2;33.4;27.5;36.7;44.9;38.1;27.3;39.4;32.1;23.9;29.8;28;32.7;50.9;36.7;32.1;25.9;24.9;28.4
51389;141.2;-999;29.6;30.9;40.5;67.9;67.7;54.9;85.9;39.1;32.6;34.6;39.8;54.3;31.8;26.6;33.3;35.9;28.6;35.5;36;41.1;35.2;41;34.1;26.3;23.5;25;27.7;51.4;35.3;26.4;28.5;27.9;24.3;34.1;40.3
51392;55.7;28.1;33.9;43.2;49;62.2;74;102.2;34;35;35.8;44.5;41.8;38.7;51.6;46.8;33.4;31.9;38.6;41;41.1;36.7;36.1;31.8;29.2;25.1;25.2;32.4;36;34.7;28.8;24.7;28.4;28.4;35;40.8;44.1
51394;109.4;-999;29.7;27.4;44.1;65.9;48.6;62.9;109.9;32.4;31.8;33.5;39.3;56.3;27.4;31.1;50.5;30.7;31.5;35.3;42.1;41;39;39.2;35;27.3;25.5;29.9;36.4;49.5;33.6;28.4;25.7;26.1;27.7;37.6;48.8
