code;1981;1982;1983;1984;1985;1986;1987;1988;1989;1990;1991;1992;1993;1994;1995;1996;1997;1998;1999;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017
51338;392.7;529.3;-999;-999;313.1;276.6;341.8;502.3;156.3;263.1;478.3;497.9;489.9;278.5;479.4;268.1;101.2;237.7;241.5;518;512.3;174.4;179.5;149.4;179.9;231.7;342.7;249;83.7;74.2;291.1;237.1;151.9;198.7;211.2;161.8;353.5
51340;240.6;241.3;273.9;427.3;489;-999;328.3;298;260.6;245.1;191.9;248.3;436.6;512.1;526.3;512.8;475.5;430.1;87.8;176.4;231.1;462.6;428.3;201.6;174.8;119.1;169.2;193;265.6;244.1;133.8;165.8;313.2;282.3;216.3;158.8;201.8
51341;252.6;240.4;263.3;310.2;411.4;678.1;-999;370.5;297.6;263.1;210.7;160.6;251.6;405.2;565.5;526.8;442;396;298.6;83.4;206;263.3;474.2;357.6;148.4;196.4;165.9;196.5;207.9;299.3;211.7;147.4;173.2;305.9;288.7;219.7;161.4
51342;239.2;262.5;430.4;452.6;-999;293.3;305.8;344.4;246.2;179.6;229.2;511.9;-999;492.3;442.6;473.4;426.1;64.8;202.6;215.6;459.8;471;264.1;197.5;101.8;166.1;215;237.9;242.8;104.9;119.4;259.2;294.6;186.8;138.3;194.3;203.5
51344;190.3;206.6;253.4;398.4;386.8;-999;-999;343.7;336.8;320.9;221.7;162.2;262.4;189.6;523.5;602.2;366;445.3;290.6;53.2;187.6;243.8;542.9;320;111.9;232.4;107.4;195.7;152.6;320.9;191.7;219.5;232.9;346.2;210.1;266.9;123.3
51345;233.5;238.8;254.9;398.4;453.7;-999;374;319.1;249.5;267.8;204.7;189.9;440.4;484.5;521.9;546.5;381.9;494.8;122.8;145.1;231.5;417.5;490.6;216.2;185.5;146.5;149.9;195.7;234.3;292.1;114.5;151.8;294.8;295.4;221.8;173;192.7
51346;269.4;346.2;471.6;583;328.3;280.9;320.3;319.8;241.2;202;305.2;543;511.6;487.7;450.1;454.7;328;130.6;184.7;290.8;436.2;404.4;268.7;149.5;123.7;174.3;229.6;267.7;218.1;132.9;192.1;263.5;249.7;193.5;176.6;184;239.2
51347;275.6;562.1;-999;-999;310.7;219.4;352.4;481.2;220.1;229.7;449.2;-999;474.9;325.1;492.1;268.2;114.2;211.8;229.6;493.4;509.7;180.6;249;155.3;174.1;238.2;300.3;285;67.8;78.4;269.4;263.4;181.8;170.9;204.2;129.6;319.4
51348;727.8;-999;298.8;245.6;277;322.1;447.5;221.3;331.6;102.2;505.5;423;306.5;351.1;230.2;121.3;233.8;283;538;411.7;225.7;199.5;132.7;194.3;231.2;381.8;222.7;112.8;137.4;249.5;214.3;156.2;219.5;188.7;185.2;310.7;373.9
51349;252.8;386;540.6;445.6;345.2;292.4;329.9;324.5;239.3;197.9;341.5;469.8;514.4;473.8;412.8;448.3;267.3;131.1;197.3;305.7;473.4;389.1;261.5;157.8;123.3;175.8;225.8;299.1;198.3;113.2;176.5;282.5;226.2;176.2;187.7;190.6;243.2
51351;245.1;245.4;459;546.7;-999;318.4;305.2;295.5;266.4;193.4;199;469.4;421.2;531.4;462.9;438.4;438.7;142.2;143.7;240.1;405.4;505.6;283.5;179.4;130.7;156.7;205.2;259.2;301.6;122.5;113.8;249.4;296.8;201.2;172.4;189.6;211.7
51352;355.6;265.4;275.4;313.2;290.1;291.6;334.7;371.4;402.2;413.3;346.3;304.2;266.6;187.2;216.6;297.7;430.6;516.7;371;229.2;174.5;168.2;235.7;326;364.9;177.8;117.4;180.5;206.9;188;195.5;210.4;170;191.9;292;335.9;303.1
51354;597;-999;-999;-999;255.1;286.8;430.5;273.9;208.7;117.9;-999;534;398.7;314.3;408.9;196.7;101.2;273.7;300.3;621.5;379.4;203.4;142.3;111.8;189.1;245.7;385.1;131.2;123.1;189.4;364.2;188.9;132;234.7;191.4;213.2;353.7
51359;530.3;-999;-999;-999;264.4;298.5;338.6;344.6;141.6;190.5;-999;495.3;478.6;310.2;421.8;269.7;85.4;195.3;208.7;574.5;363.9;229.2;144.8;90.1;206.2;251.5;396.9;144.9;78.4;124.2;366.2;171.5;119.5;218.5;223.5;209.4;351.7
51361;401.6;415.7;583.7;304.7;247.5;261.1;377.8;331.8;229.3;161;586.2;498;446.2;393.4;401.6;320.3;139.3;192;256.9;457.4;450.6;291.7;188.9;119.1;159.5;229.3;289.3;233.5;140.9;160.4;242.8;256.5;174.9;181;178.7;195;293.3
51363;289.4;238.3;280.8;302.3;300.5;249.7;469.7;-999;370;339.8;348.3;317.2;200.9;172.9;278;332.7;491.2;513.7;319.2;222.7;118.9;210.6;243.4;384.8;296;114.2;128.1;180.1;198.9;184.9;209.4;183.1;152.8;232.9;306.7;318.5;286.8
51364;679.7;262.1;249;279.9;285.8;317.3;312.4;299.7;378.9;440.7;409.4;364.3;307.1;266.6;174;204.4;288.4;435.4;509.6;310.9;203.8;144.3;176.2;235;322.7;296.6;147.5;131.2;172.4;223.3;183.2;180.2;200.9;164.5;234;322.5;358.8
51377;670.8;-999;-999;265.1;237.5;308.7;590.4;208.5;339.6;73.6;469.7;474.7;355.2;372;307.8;137.6;195.6;218.1;464.7;608.2;254.5;216;133;176.4;219.5;365;304.8;102.4;98.6;240.7;260.7;144.9;186.4;211.1;179.1;274.1;383.1
51380;260.4;254.5;438.7;678.9;-999;329.4;335.1;311.4;260.9;192.5;242.2;441;517.1;541.1;445.4;445.3;417.6;140.4;168.1;255.3;416.2;521.5;278.6;179.6;129.5;158.4;196.4;281.2;276.7;129.1;107.1;233.6;294.9;181.5;172.3;189.1;220.4
51384;615.2;-999;-999;312;263.1;269.3;540.5;248.2;267.9;120.5;-999;494.7;395.9;326.6;357.6;171.5;136.3;237.4;366.2;633.1;345.2;219;133.2;145.5;212;284.5;354.4;138.1;110.9;178;347.8;174.1;154.6;222.8;190.7;244.7;350
51388;251.9;374.1;621.5;-999;281.8;285.6;357.5;319.1;226.6;190.3;376.2;387.5;485.2;502.9;384.5;480.4;214;144.1;235.1;342.6;522.7;431.8;228.5;134.3;133.7;199.4;224.6;348.6;197.4;117.1;139;335.5;212.3;137.8;208.1;188.1;248.3
51389;808.8;-999;284.8;257.4;277.3;341.2;403.7;261.4;338.3;459.8;470.2;411.8;301.3;336.9;207.4;141.3;230.7;346;585.3;371.2;212;177;149.2;211.8;275.3;383.3;192.4;105.6;141.7;275.9;181.7;149.9;241.7;185.8;194.5;332.3;388
51392;451.1;256;275.7;298.2;284.8;329.5;371.7;415.2;406.9;395.9;361.1;310.9;238.6;212.4;228.2;353.7;453.4;512.8;405.9;227.2;179.4;184.2;242;340.6;340.6;198.8;116.7;159.5;198.7;188.6;203.6;193.4;188.3;219;298.8;333.7;285.3
51394;797.8;-999;278.6;242.6;288.8;358.8;270.4;325.2;488;469.4;434.9;401.2;324.7;306.6;145.9;177.8;258.2;467.7;651.5;358;196.4;153.1;180;221.8;300;362.1;184.6;123.4;152.3;292.3;171.5;142.5;268.8;172.8;211.3;354.6;403.4
