code;1981;1982;1983;1984;1985;1986;1987;1988;1989;1990;1991;1992;1993;1994;1995;1996;1997;1998;1999;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017
51333;195.4;299.7;-999;-999;277.3;240.4;324.3;250.5;202.4;152.7;138.3;-999;381.9;319.5;227;280.2;125;122.5;175.3;244.8;335.3;240.8;223;120.6;109.7;176.2;180.5;190.7;79.8;72.4;166;243.2;153.5;93.7;127.6;140.1;154.8
51334;230.5;287;-999;-999;291.5;198.5;253.6;402.3;170.8;133.1;131.2;439.2;388.3;264.8;325.3;324.7;84;139.1;116.7;294.2;300.8;136.7;193.3;136.5;152.2;120.7;221.9;173.7;48.6;71.9;309.4;151.5;91.5;115.5;110.8;147.1;214.5
51336;210.5;282.1;-999;-999;306.3;263.9;292.9;346.3;145.3;200.3;116.5;-999;317.4;258.7;282.6;288.4;102.4;144.3;135;339.7;384.4;123.3;160.4;134.7;138.9;176.6;169.8;179.2;66;71;228.4;210.5;117.9;120.3;118.3;131.8;214.5
51337;217.2;319.3;-999;-999;311.7;274.3;252.4;418.3;154.9;145.3;49.8;366.1;340.5;248.4;299;327.4;103.9;138.2;94.3;344.4;354.1;122.5;171.4;126.5;195.6;168;204.6;148.5;64.9;68.7;403.5;171.2;67.3;121.7;114.7;132.9;233.9
51350;188.1;287.9;381.7;-999;244.8;251.4;277.8;253.3;181.4;156;137;413.2;377.6;335.8;245.2;308.7;162.6;116;166.5;192.2;337.5;229.8;193.2;151;102;161.6;169.3;199;102.9;76.4;132.8;247.6;156.9;97.2;138.3;129.5;160.8
51366;220;373.9;-999;-999;318.4;203.3;394.6;365.5;192.3;188.8;96;-999;337.1;382.8;268;239.8;91.6;178.4;188.9;301.3;402.9;167.2;197;93.1;189;159.1;197.4;157.5;92.5;52.3;139.1;183.8;112.8;113.3;124.6;159.6;233.6
51368;221.8;305.8;-999;-999;264.9;239.3;270.7;481.6;191.9;174;87.8;428.3;352.3;279.2;317.4;223.6;136.1;152.4;133.3;324.9;321.7;152.8;186.6;82.5;175.4;185.9;226.5;135.4;57.4;51.4;199.9;206.3;98.7;137.5;105.7;138.7;247.1
51369;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999
51371;218.4;310.9;-999;-999;309.4;210.5;287.4;245.8;195.8;185.4;122;-999;310.8;305.4;233.7;275.8;124.5;149.1;151.4;285.1;377.6;206.6;163.9;106;150.9;203.9;187.4;186.2;92.9;84.6;174.1;238.9;143.2;85.1;107.3;127.3;164.4
51372;209.2;349.4;-999;-999;288.4;211.2;318;464.3;210.4;172.2;156.4;-999;377.9;315.5;311.3;254.6;104.5;178.8;191.2;309.8;339;177.8;187.4;132.1;145.7;109.1;206.2;137.7;60;59.1;191.2;235.8;129;93.1;105.2;152;225.8
