code;1981;1982;1983;1984;1985;1986;1987;1988;1989;1990;1991;1992;1993;1994;1995;1996;1997;1998;1999;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017
51338;88.5;178.9;-999;-999;115.1;108;59.4;270.8;173.1;143.3;111.1;325.3;237.6;90.9;236.4;184;143.5;258.3;107.7;298.9;182.8;84.6;178.3;31;139.9;128.1;251.6;109.8;5.8;36.2;125.6;168.4;130.5;58;97.8;54.4;195.4
51340;42.4;69.4;110.9;235.1;233.1;-999;179.5;109.5;75.3;140.1;195.4;163.3;87.2;288.7;229.4;242;249;353.7;190.7;132.4;188.1;249.6;219.3;56.5;55.6;60.2;87.6;139.5;182.8;73.7;33.3;83.2;141.4;174.4;77.3;96.4;120.2
51341;113.5;46.3;70.8;130.3;244;333;-999;189.6;138;78;122.6;186.8;171.1;91.2;206;242.7;254;235.8;241.9;153.8;138.3;227.1;256.6;127.6;37.7;95.8;118.1;117.1;115.9;201.1;78.5;49.8;122.9;135.6;182;92.5;97.2
51342;53.5;83.7;221.5;242.5;-999;180.2;142;107.9;94.7;207.8;168.9;103.8;-999;169.5;219.6;195.2;362;212.1;148.3;227.6;306.9;257.3;137.6;128.3;44.9;57.8;122;188.8;61.7;19;49.5;101.1;199.1;74.8;74.3;145.6;125.4
51344;103.2;65.8;76.1;105.5;307.4;-999;-999;184.7;108.7;103.5;233.4;205.9;238.8;78.8;260.5;341.2;300;219.3;291.2;144.6;116.7;144.9;186.2;155.1;10.4;86.9;63.6;65.6;106.1;152.6;22.1;71.5;106.8;170.1;238.4;61.3;90.5
51345;56.6;62.4;97.9;217;223;-999;141.6;140.7;64.8;104.6;199.9;160.8;117.4;287.9;223.4;242.6;227.2;313.8;199.4;168.4;145.3;242.9;221.1;54.9;131.3;48.5;97.5;84.4;202.5;106.2;14.9;76.5;109.9;157.7;129.5;66.3;140.7
51346;69.7;139.4;197;240.1;146.7;121.2;111.9;106.6;143.5;176.5;146.7;159.5;234.4;203;207.4;253.5;260.7;199;161.5;201.8;219.2;200.6;139.4;58.1;56.1;90.9;159.9;168.3;84.6;41.5;85.3;140.8;132.9;101.5;101.1;95.8;127.8
51347;73.4;204.7;-999;-999;129.2;104.9;71.9;197.7;218;193.6;75.1;-999;224.3;112.5;187;148.4;152.7;243.7;122;297.3;185.3;61.6;245.8;37.4;109.8;148.6;336.9;152.5;7.8;30.8;112.7;209.3;115.6;61.1;108.6;45.1;138.2
51348;270.1;-999;130.3;109.7;71.9;81.6;155.1;201.7;198.4;14.8;244.4;199.8;111.6;209.3;242.2;167.1;148.3;134.2;280.1;185.7;135.5;127;90.1;136.5;185.8;234.3;87.1;33;54.8;138.8;155.2;79.7;103.4;86.2;75.4;178.3;162.8
51349;69.6;158.1;193.6;190.4;121.8;110.3;108;110.5;148.3;167.8;146.4;170;211.1;188.8;194.7;267.4;240.7;207.5;154.9;191.1;254.9;180.5;145.1;56.8;58.2;97.3;167.9;171.6;68.5;39.5;77.1;136.8;147.4;84.8;106.9;98.2;131
51351;39.9;82.9;178.7;221.5;-999;132.3;146;71.3;87.7;165.1;159.6;203.2;176;239.3;213.9;222.4;300.4;215.1;199.5;128.5;231.8;271.1;138.1;93.7;22.1;71.2;111.8;174.3;129.6;22.5;56.1;103.6;145.7;175.8;55.8;134.2;108.3
51352;107;111.5;99.4;80.1;101.5;158.9;213.5;218.8;195.8;195.4;142.7;142;214.3;201.5;166.5;139.3;205.3;231;187.9;162.2;126.7;143.4;152.6;203.4;189.5;57;41.5;83.6;128.2;122.7;101.9;112.9;70;94.6;149;143;155.3
51354;217.2;-999;-999;156.8;80.6;51.4;131.8;205.9;231.8;20.5;-999;209.7;156.2;147.2;221.2;211.3;223;131.8;238.4;339.7;131;170.9;47.3;85.3;123.5;211;174.1;13.2;55.8;70.6;180.9;171.2;43.9;139.1;71.4;133.8;224.1
51359;116.5;224;-999;-999;120.5;80.6;58.6;275.7;151.5;116.8;-999;273.1;300.7;65.2;227.4;244.9;150.4;137.7;112.4;264.8;136.4;89.4;63.4;41.3;158.7;110.5;237.2;77.7;8.8;66;145.3;126.2;66.1;132;117.4;54.1;197.7
51361;147.4;194.1;207.4;148.1;108.4;85.8;107.4;167.1;180.5;125.4;108.1;259.8;196.2;148.3;216.4;266.2;198.9;157.5;210.8;244.5;203.5;147.7;95.7;67;86.3;173.9;192.3;85.4;52.5;64.9;146.5;146.7;86.9;113.5;102;101.3;156
51363;118.8;109.6;76.5;88.4;130.3;200.6;168.3;-999;234.4;160.5;119.1;212.5;237.4;132.8;168.9;155.9;213.9;253.4;176.7;205.3;111.9;134.1;217.5;231.1;126.6;19.4;50.3;135.8;113.7;107.6;151.9;67.2;58.6;119.3;127.9;171.5;121.8
51364;240.5;132.3;125;97.7;85;120.6;196.4;180.6;189;252;207.6;150.7;166;239.9;190;137.9;155.4;214.6;255;170.6;138.3;117.6;112.5;172.9;220.9;143.2;48.6;51.5;103.9;148.7;106.9;107.4;93.8;66;118.6;149.4;169.4
51377;239.1;-999;-999;105.2;75.4;72.7;161.6;144.3;190.7;20.7;266.1;221.7;134.1;177.5;241.1;163.3;244.1;110.5;262.1;287.7;122.4;175.1;54.7;157;172.4;206.9;143.3;19.4;51.4;113.9;139.3;130.8;67.2;117.1;82.7;146;198
51380;41.5;83.7;166.1;304.6;-999;119.2;143.9;81.2;100.6;148.7;170.1;185.4;216.8;233.6;194.4;225.3;321.1;192.3;213.1;136.4;237.2;278.4;127.1;81.3;26.6;97.6;132.1;147.6;127.8;34.7;57.9;123.4;132.6;155.9;63.3;137.8;121.7
51384;227.5;-999;-999;122.8;75.4;62.9;126.4;157.3;217;18.2;-999;209.6;147.1;145.7;251.7;183.4;218.4;106.5;289.5;365.7;106.2;165.3;39.3;108.2;162.7;169.2;154.2;14.1;53.4;114.2;140.4;155.9;49.7;143.5;92.1;129.2;211.7
51388;62;141.5;157.7;-999;127.1;93.3;124.2;77.9;149.1;158;163.6;123.4;212.9;213;150.6;317.4;191;214;207.4;151.2;305.4;172.8;154.1;50.6;52.9;156.8;123.6;202;76.2;41;94.5;121.9;149.7;98.3;123.8;108.3;101.3
51389;267.9;-999;114.8;98.4;76.3;84.6;182.5;183.5;164.1;273.8;243.4;195.5;115;225.1;223.5;198.6;135.9;165.5;291.4;133.3;148.5;101.5;111.5;169.1;156.5;214.4;58.5;33.9;72.2;131.7;158.5;71.8;126.9;86.1;86.2;203.1;149.4
