code;1981;1982;1983;1984;1985;1986;1987;1988;1989;1990;1991;1992;1993;1994;1995;1996;1997;1998;1999;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017
51333;21.5;18.1;-999;-999;16.4;19.3;13.8;18.6;17.3;19.1;20.8;-999;10.6;13.2;13.4;17.4;21.9;22.5;25.3;13.2;11.2;21.2;19.7;26.3;29.8;26.5;26.5;30.2;35.1;32.4;24.2;17.6;23.4;47;18.6;17.7;19.4
51334;20;21.6;-999;-999;18.6;20.1;21.2;13.6;20;22.9;26.4;15.1;8.9;23.6;11.6;14.4;27.7;16.5;20.8;12;20.1;16.3;26.9;25.6;28.3;22;24.6;24.4;47.1;27.4;19.1;22.4;31.2;33.9;24.9;22.1;17.5
51336;24.3;19.5;-999;-999;13.9;18.5;17.8;15.7;16.8;21.8;25.5;-999;13.2;17.6;15.5;18.5;23.2;19.7;22.4;8;16.9;19.1;18.1;24.8;30.9;27.3;20.8;24.3;45.2;34.6;22.4;24.5;29.3;40.4;21.8;25.5;18.4
51337;22.6;19.5;-999;-999;17.1;15.6;24.3;10.7;13.1;27.2;15.7;8.2;11.2;17;12;15.9;22.2;17.6;19.8;10.5;23.4;20.1;21.6;26.2;25.8;27.4;19.4;30;55.8;29.8;18.7;27.1;33.5;32.6;24.3;25.9;15.9
51350;21.6;19;14.9;-999;16.5;17.9;14.5;19.5;19.3;21.1;22.2;17;10.2;12.7;15.8;18.5;19.8;22.5;24.4;16.8;12.4;18.7;19.9;25.6;31.2;23.2;23.1;24.2;32.4;26.4;25.4;21.1;24.9;43.5;26.1;20.3;19.9
51366;19.8;14.8;-999;-999;16.4;20.8;15.2;18;21.8;23.5;21.7;-999;8.8;13.4;14;20.9;20.4;26.5;26.4;8.2;10.8;23.5;18.8;26.1;24.8;27.6;20.4;20.7;42.2;28.9;27.7;22.4;21.9;49.9;20.3;18.7;22
51368;23;17.8;-999;-999;15.8;18.5;19.7;11.4;20.5;22.1;24.2;10.3;9.4;12.8;12.2;21.8;20.9;24.4;26.7;8.1;17.3;18.4;19.6;27.9;22.8;27.4;17.9;28.7;40.8;31.4;25.3;21.1;27.8;46.5;20;22;18.2
51369;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999
51371;23.8;19.5;-999;-999;13.6;20.3;14.3;19.8;21.1;19;27.3;-999;10.4;9.6;16.7;18.6;22.2;20.1;17.2;11.8;11.7;18.5;19.1;28.3;28.8;21.3;25.2;23;32.5;35.2;23.9;21.7;20.6;39.6;20.8;27.8;19.6
51372;19.5;17;-999;-999;17;24.7;21;15.6;18;21.3;24.6;-999;10.8;19.6;12.4;17.6;23.7;24.2;16.6;7.1;11.9;23.7;21.3;27.6;23.5;28.5;22.3;28;43.4;24;22.5;21.1;23.4;45.2;23.3;19;16.8
51375;16.2;-999;-999;-999;20.3;18.2;19.3;19.4;20.4;42.3;-999;10.9;11.8;16.5;15.4;18.5;19.7;17.8;18.6;10.6;16.1;13.7;25.2;31.7;24.6;26.1;18.9;32.1;28.8;21.6;21.6;20.7;39.2;21.5;30;24.1;19.2
51378;25.6;24.8;-999;-999;17.1;21.1;18.9;17.2;21.5;22.6;24.6;-999;7.4;11.9;12;18.5;23.2;22.5;27.1;7.1;14.7;20.3;19.3;30.3;25.3;25.5;32.5;28.2;40.5;29.7;30.2;19.6;20.8;50.7;20.1;18.7;17.4
51382;19;23.3;-999;-999;20.1;18.3;25;15.9;18.3;22.3;-999;9.7;12.1;23.1;10.3;17.3;24.4;19.5;23.2;7.7;14.4;18.7;24;27;23.2;22.4;18.6;38.4;40.7;29.4;24.1;23.4;29;48.9;22.2;23.7;17.7
51385;16.7;-999;-999;15.6;24.8;18.5;13.6;18.1;24.8;44.9;9;9.5;21.9;17.4;19.2;21.9;20;28.9;7.5;11.1;17.8;17.9;21.8;25.1;29.4;21;25.2;53.3;32.4;22.7;23.7;31.6;41.5;21.2;26.2;18.3;25.2
51386;20.5;19.9;-999;-999;16.2;16.8;23.6;12.9;15.6;24.8;19.3;7.3;12.1;20.6;13.9;18;23;19.7;23.6;8.2;12.7;21.5;20.2;24.4;26.9;28;19.8;27.9;45.3;33.8;22.4;25.1;29.9;45.5;22;25;18.9
51391;14;-999;-999;15.6;20.7;23.1;15.2;14.2;25.3;-999;11;10.3;18;15.3;16.7;18.2;20;22.4;9.6;19.4;17.4;22;25.3;23.2;33.1;18.7;26.8;51.3;33;21.5;21.8;36;31.9;20.8;29.1;19.4;21.7
