code;1981;1982;1983;1984;1985;1986;1987;1988;1989;1990;1991;1992;1993;1994;1995;1996;1997;1998;1999;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017
51333;167.5;359.2;-999;-999;307.3;248.3;219.4;155.3;222.4;330.9;197.3;-999;301.1;262.4;192.2;355.3;276.8;277;166.7;341.6;448.7;170.4;210.2;54.1;125;177;149.2;194.2;32.2;68.6;137.7;131.4;195.6;43.5;190.2;151.2;151.8
51334;170.9;256.4;-999;-999;227.7;185.9;170;469.9;287.8;255.3;168.9;-999;290;184.5;269.6;375.8;270.1;351.2;209.4;336.6;223.8;100.8;245.1;69.3;135.6;64.8;201.2;130.9;16.4;76.6;164.1;215;227.1;52.4;112.9;93.4;341
51336;189.5;279.7;-999;-999;287.7;265.6;162.4;281.2;331;272.6;172.5;-999;306.3;217.6;285.1;309;238.7;297.2;162.2;408.7;368.5;90.5;271.1;69.6;95.3;122.1;208.9;157.4;13.2;55.2;110.8;185.7;183;42.7;147.3;90.5;256.5
51337;242.3;192.9;-999;-999;208.2;214.5;202.9;379.2;284;169;192.8;371.5;328.7;166.5;344.6;333.5;210.9;280.7;118.6;414.1;210.7;150.5;197.3;65.8;159.7;126.3;281.1;98;42.9;63.4;156.1;158.3;112.9;91;119;81.6;298.7
51350;184.6;297.7;377.7;-999;263.3;258.5;200.7;171.5;267.3;284.7;211.6;9.3;342.2;289.4;218.2;330.3;308.9;255.3;172;238.9;390.4;189;216.1;71.3;86.1;159.7;194.9;211;58.8;71.6;103.8;159.9;175.3;47.4;153.4;125.3;143.7
51366;175.9;237.5;-999;-999;377.8;208.7;230.5;297.1;299.3;306.6;144.3;-999;339.2;316.8;215.3;403.8;135.3;225.3;164;346.9;434;80.7;238.5;70;109.4;220.7;165.9;182.6;51.2;51.2;212.3;118.7;134.3;57.3;202;128.2;165.1
51368;153.4;271.9;-999;-999;312.8;206.1;170.9;366.7;297.4;274.2;145.6;-999;273.8;304;271.5;429.3;168.2;370.8;255.2;342.1;338.9;79.5;293;43.3;147.2;265.1;192.2;124.9;17.4;43.3;194.9;96.5;142.1;60.7;137.2;153.3;191.2
51369;172.6;-999;-999;-999;207.8;228.8;171.2;307;214.1;117.4;-999;350.1;332.7;170.1;375.7;363.6;232.1;273.5;71.7;431.9;254.3;170.9;131.2;49.5;238.5;123.2;260.6;106.2;50.9;71.5;156.1;149.2;138.9;104.5;105.7;109.2;268.6
51371;139.8;253.3;-999;-999;308.8;175.8;198.1;171.7;276.8;260.4;198.8;-999;250.7;340.2;200.6;343.9;167.5;374;297.3;293.7;410.7;125.2;239.1;64.5;63.2;240.3;135.1;190.1;98.3;50.7;156.6;151;235.2;89.2;162.8;119.9;139.2
51372;217;315.5;-999;-999;317.5;167.2;242.3;424.7;287.3;310.8;139.2;-999;260.7;180.1;334.2;498.1;165.8;270.4;142.5;329.4;356.9;74.1;243.8;58.8;240.3;309.9;213.3;132.2;28.9;90;175.4;93.7;156.2;24.7;135.5;136.6;225.3
51375;228.7;-999;-999;-999;151.6;189.6;202.9;228.3;286.6;84.5;-999;337.5;304.9;192.1;408.8;273.9;229.4;270.7;148.5;442.4;197.5;173.3;143.3;57.7;239.6;199;261.3;74.2;64.5;101.6;182.8;204.3;114.8;119.4;110.3;94.2;245.9
51378;148.9;268.2;-999;-999;238;210.2;197.9;233.8;247.1;318.9;183.4;-999;306.4;280.6;233.8;323.6;186.9;322.6;184.2;329.4;435.8;93.6;247.7;42.6;219.2;232.5;156.6;137.1;30.1;32;192;106.7;188.4;68.6;144.4;194.4;198.3
51382;216;-999;-999;-999;259.8;245.9;163.6;278.1;242.8;112.9;-999;361.1;376.2;164.1;341.9;208.9;216.6;294.1;68.6;435.9;209.2;163.2;149.7;60;165.5;140.2;280.1;132.8;64.9;84.6;114.1;190.2;112.4;122.4;128.2;76.9;217.4
51385;288.1;-999;-999;309.9;207.5;142.4;285.1;232;261.6;-999;419.5;334;194.5;324.4;318.5;241.9;268.9;59.7;416;333.9;135.4;240.7;74.8;156;152;293.8;162.2;17.3;72.7;129;152.1;124.4;92.7;134.3;103.9;195.6;286.5
51386;180.9;271.7;-999;-999;257.5;227.4;165.6;291.3;252.2;263;149.6;339.2;313.8;190.5;270.9;351.5;258.7;293.6;111.2;419.1;384.3;124.4;207.4;54.4;165.6;158.7;218.1;129.7;32.6;64.8;161.1;152.9;152.6;69.1;141.8;110.4;241.7
51391;316.1;-999;-999;220.1;196.7;140.7;316;230.2;253.6;-999;443.5;296.5;205.5;396.2;403.5;251.8;232.3;49.9;374.1;246.4;159.9;204.4;71.1;196.2;105.1;303;131.9;16.2;69;132.2;156.6;135.1;111.8;101.2;113.3;293.1;286
51393;313.8;-999;-999;265.3;173.1;200.2;245.7;246.4;327.2;41.3;416.8;333.3;205.5;214.8;371.7;201.8;285.4;145.9;342.5;452.5;146;245.5;94.4;287.7;216;207.6;176.5;34.1;71.7;124.3;116.6;156.4;52.1;144.8;135.9;163.6;226.3
51395;286.8;-999;-999;248.4;183.5;181.3;268.5;266.5;303.6;-999;455.1;338.9;198.4;283.8;340.8;201.9;280.9;87.9;373.9;385.7;133;270.6;60;276.1;252.3;253.4;124.5;19.1;65.6;176.1;128.1;138.9;71.7;129.6;137.4;183.6;230.1
51396;312.1;-999;-999;382.7;201.8;194;247.6;291.1;212.5;33.1;-999;280.4;297;223.1;463.3;301.9;317.5;257.7;319;388.4;212;283.7;84.4;117.1;187.1;132.4;202.1;62.9;61.9;135.8;105;118.3;76.4;144.3;101.6;147.4;227.2
51398;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999
51402;302.4;-999;-999;-999;261.2;195.3;201.6;232.7;205.5;24.9;-999;355.9;375.7;165.3;368.2;233.4;265.6;242.8;230.8;409.4;201.3;201;135.8;83.8;177.2;116.4;273.7;81.5;74.2;148.9;74.1;101.6;106;211.1;140.7;128.7;283.5
68769;209.1;-999;-999;-999;175.7;139.2;194.4;251.2;255.3;30.2;-999;290.5;353;174.3;301.9;227.5;368;290.2;223.5;467.3;154;188.5;105.2;66.3;291.8;133.3;237.6;89.3;78.9;126.4;172.9;235.9;105.5;166.3;97;101.3;305.4
