code;1981;1982;1983;1984;1985;1986;1987;1988;1989;1990;1991;1992;1993;1994;1995;1996;1997;1998;1999;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017
51333;69.2;218.4;-999;-999;129.3;110.6;106.6;84.5;133.6;200.8;153.3;-999;193.8;170.5;142.7;293.2;199.1;233.9;147;258.6;346.4;127.9;166.4;30.2;103.1;152.4;130;168.6;22.2;46.3;119.9;105.4;173.5;43.4;171;129.4;112.6
51334;123.3;200;-999;-999;105.1;94.6;88.5;287.2;154.7;152.7;126.5;240.6;236;76.4;246.1;308.6;181.8;310.9;143.8;253.3;157.9;97.4;138.3;29.1;119.5;70.4;239.7;92.7;6.8;39.6;140.6;158.1;137.9;48.3;105;58.2;236.6
51336;85.5;187.4;-999;-999;126.5;112.7;64.9;182.3;208.8;194.5;123.9;-999;198.3;132.8;202.8;241.1;146.3;265;128.8;315.2;277.4;65.1;213.4;29.9;72.7;108.1;183.6;119.1;7.5;28.5;95.3;167.8;165.1;40.9;122.8;69.9;202.6
51337;83;135.2;-999;-999;92.2;92.3;53.7;316.5;210.5;174.6;140.9;260;203.1;103.9;239.5;274.8;169.5;278.4;110.2;279.1;186.6;93.7;149.7;23.7;108.5;77.7;234;86.8;4.5;46.2;153.4;186.6;183.1;52.2;93.6;71.2;294.9
51350;67.6;168.6;321.4;-999;144.5;111.2;96.7;89;159.2;164.3;154;9.3;222.2;192.7;154.1;266;217;212.3;149.5;184.8;298.8;151.1;173.1;35.5;66.4;139.2;173.9;181.4;47;51.2;82.7;134.3;158.7;46.3;139.3;107.5;107.8
51366;72.8;156.5;-999;-999;170.9;84;121.9;193.1;193.7;176.5;106.3;-999;227.3;159.9;160.3;313.6;85.3;183.6;137.2;257.4;315.3;61.1;167.8;43.2;78.2;207;150;169;34.4;36.4;196.5;99.6;118;57.1;177.1;89.7;139.7
51368;76.8;192.3;-999;-999;127.4;102.2;77.5;252.3;147.4;127.1;116.6;241;208.9;128.5;221.3;312.9;115.1;257.3;140.8;273.9;269.9;66.9;175.4;24.8;168.1;210.4;204;94.2;8.9;28.3;223.8;78.2;137.9;66.9;113.8;127.6;155.7
51369;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999
51371;61.5;162.4;-999;-999;157.9;69.3;100.8;95.1;153.6;172.1;139.8;-999;176.2;213.3;128.9;281.6;123.6;287.1;244.9;229.1;310.9;91.2;193;43.2;36.4;193.8;128.1;167.6;88.4;26.2;135.8;133.3;208.1;87.1;140.9;89.8;111
51372;98;231.7;-999;-999;139.3;68.6;141.3;274.5;180.3;173.2;123.2;-999;183.7;90.4;259;379.2;113.7;222.8;120.2;243.9;294.7;44.4;198.2;39.2;203.8;284.4;178.3;115.5;10.3;68.1;159.1;79.4;128.7;24.6;117.6;116.1;173.8
51375;154.7;-999;-999;-999;48.7;94;98.4;114;188.5;39.9;-999;195.2;187.4;133.2;285.3;179.8;177.9;239.4;156.7;371.3;123.6;130.2;89.3;40.7;150.2;130.8;216.9;59.4;52.3;74.6;134.7;223.8;110.2;122.6;76;77.5;201.9
51378;65;193.2;-999;-999;111.4;98.3;87.9;166.1;145;196.3;155.3;-999;207.3;161.1;162.3;282.9;116;268.2;145.9;246.7;346.9;59.9;191.4;30.7;177.1;202;143;116.8;23.9;18.2;184.4;86.7;159.2;68.5;122.6;160.1;137.1
51382;86.3;173;-999;-999;92.8;120.2;62.6;241.7;153.4;198.2;-999;228.9;220.3;83.1;312.5;259.4;95.9;279;69.3;281.3;282.8;92.3;139.2;42.6;225.3;224.1;249.1;72.5;8.2;43.9;157.1;102.2;137.9;46.8;96.8;73.2;179.9
51385;180.4;-999;-999;127;78.7;71.9;179.8;143.1;182.6;9.1;286;217.4;130.3;209.1;244.9;136.4;223.1;55.5;303.3;266.9;96.6;168.1;44.1;118;161.8;230.5;130.3;8.1;43.2;127.2;132.8;123.2;82;117.9;81.5;145.8;241.4
51386;89.2;162.6;-999;-999;116;118.4;60.9;220;159.2;188.6;119;263.1;203.4;111.4;239.2;272.6;128.3;250.7;97.2;303.8;291.1;75.9;162.2;30.2;101.6;135.5;220.7;96.5;8.7;32.5;122.2;127.6;144.1;45.7;119;84.4;189.8
51391;194.4;-999;-999;75.8;79.3;53.3;197;130.9;171.5;-999;248.1;190.1;139.5;286.7;284;159.3;204.5;36.2;295.3;178.1;121.7;140.4;45.4;140.8;99.4;257.2;98.9;4;36.5;110.5;139.5;128.7;99;79.8;78.2;232.2;254.1
51393;226.8;-999;-999;109.6;68;93.2;146.7;148.7;197.1;16.7;266.4;229.8;134.6;146.6;266;121.6;247.3;127.8;247.2;350.5;105.5;183.2;61.7;210.9;217.8;172;152.6;17;49;115.4;102.5;135.6;55.4;121.6;114.1;121.9;176.5
51395;202.4;-999;-999;104.9;72.7;83.7;179.1;159.7;184.2;-999;269.4;224.2;115.2;203.8;261.4;113.1;234.8;66.6;281.8;287.1;95.8;183.7;41.8;224.5;232.9;220.1;102.1;6.2;45.3;159.8;110.5;127.1;69.7;105.5;106.9;146.8;194.5
51396;232.4;-999;-999;172.5;57.5;78.3;136.6;161.5;152.2;11.5;-999;185.8;174.1;128.2;302.7;216.9;265.8;234.9;246.2;321.5;140.8;234.4;50.9;70.8;176.2;104.8;175.8;33.7;37.7;111.7;103.5;122.6;91.9;133.5;74.5;116.7;216.4
51398;209.4;-999;-999;158.1;49.7;75.4;112.8;153.9;208.5;6.1;-999;240;190.9;113;252.8;83.3;255;198;273.5;341.6;80;145.3;81;74.6;258.3;160.6;207;36.5;35.9;107.8;120.1;152.7;66.4;144.1;82.5;103.9;154.8
51402;208.3;-999;-999;-999;82.7;93.7;106;141.6;116.9;14.2;-999;244.2;210.1;115.8;252.3;177.8;162.9;214.2;157.7;325.1;144.7;158.4;102.3;51.6;147.7;108.6;250;41.6;58.7;86.2;63.6;87;102.3;191.5;99.5;104.5;212.2
68769;184.7;-999;-999;151.1;61.2;82.1;114.7;147.8;155.4;14.4;-999;183.9;217.5;100.4;259.3;169.7;284.6;253;185.3;338.7;125.3;174;68.5;54.7;225.3;116.5;209.6;56.1;51.9;111.5;131.5;182.8;83.6;145.2;79.8;82.9;218.3
