code;1980;1981;1982;1983;1984;1985;1986;1987;1988;1989;1990;1991;1992;1993;1994;1995;1996;1997;1998;1999;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013
51338;27.2;27.7;28.6;31.1;-999;24.1;28;29.8;-999;-999;25.7;31;-999;-999;-999;28.8;31;-999;-999;32;27.5;30.1;-999;31.8;27.8;31.2;31.4;-999;33.9;25.4;35;34.2;-999;33.9
51340;29.5;27.4;-999;-999;29.1;24.9;29.2;-999;-999;29.7;27.2;31.5;-999;-999;27.2;26.7;30.5;-999;-999;23.9;28;30.2;-999;34;32.7;31.2;31.9;31.8;32.1;32.7;34.3;34.8;32.6;34.5
51341;29;29;-999;-999;28.7;25.9;29.9;-999;-999;29.5;26.8;31.3;-999;-999;27.2;25;30.7;-999;-999;26;28.8;30.3;-999;33;31.3;31;32.2;32.5;30;33.7;33.7;-999;31.8;28.6
51342;27.9;27.4;28.6;30.3;29.3;24.8;27.9;-999;-999;29.2;27.1;32;-999;-999;28.7;28.3;30.9;-999;-999;26.8;27.3;30.7;-999;32.7;31.6;31.1;31.7;-999;33.1;28.8;35;34.4;32.3;34.1
51344;28.3;29.8;-999;-999;29.4;26;29.4;-999;-999;29.1;26.4;31.2;-999;-999;26.4;24.8;30.8;-999;-999;26.6;29.1;30.6;-999;33.8;31.4;30.6;-999;32.7;28.3;34.3;33.5;-999;32.5;25.3
51345;29.3;27.7;-999;-999;29.1;25.4;29.6;-999;-999;29.7;28;31.9;-999;-999;26.9;26.4;31;-999;-999;22.9;27.9;30.2;-999;34.4;32;30.7;31.6;32.1;31.2;32.7;34.6;33.9;32.6;34.7
51346;28.4;27.6;28.5;31.4;28.9;25.3;27.8;29;-999;28.7;26.8;31.4;-999;-999;28.8;28.1;30.6;-999;-999;28.1;26.9;30;-999;32.4;30.8;31.1;31.3;-999;33.6;28.1;34.9;34.5;32.4;34.4
51347;26.8;27.7;28.6;-999;-999;23.7;27.9;30;-999;-999;25.5;31.3;-999;-999;-999;28.9;31.1;-999;-999;31.7;28;30.4;-999;32;27.8;31;31.7;-999;33.9;25.3;35.1;34.1;-999;33.6
51348;28.2;29.4;30;-999;-999;27.5;28;29.9;-999;-999;26.9;30;30.8;-999;-999;28.6;29.1;30.7;-999;31.8;27.4;30;-999;30.6;29.4;32.6;31.8;-999;32.8;22.1;34.7;34.7;-999;35
51349;27.7;27.2;28.8;31.3;29.2;24.8;28.1;29.2;-999;28.5;26.9;31.3;-999;-999;28.7;28.7;30.8;-999;-999;27.9;27.2;30.6;-999;32.1;31.2;31.2;31.6;-999;33.6;27.1;34.6;34.4;32.7;34.3
51351;28.1;27.5;29.6;31.9;29.2;25.1;28.6;-999;-999;28.6;27.5;32.2;-999;-999;28.3;28.3;31.2;-999;-999;24.6;27;30.4;-999;32.6;32.8;30.9;31.4;-999;33.1;29;34.6;34.5;32.7;34.5
51352;29;28;29;-999;-999;29;26.7;30.2;-999;-999;28.4;28.4;31.7;-999;-999;26.6;25.8;30.6;-999;29.8;26;29.1;30.8;-999;33.8;33.4;31.8;32.2;32.7;28.2;33.4;34.8;35.7;32.4
51354;27.6;28.1;29.2;-999;-999;25.2;28.5;29.7;-999;-999;26.1;30.9;-999;-999;-999;29.1;30.1;-999;-999;32.4;27.5;30.4;-999;31.2;27.6;32.3;32;-999;33.6;24.9;34.4;34.5;-999;34.9
51359;27.2;27.5;28.8;-999;-999;24.2;28;29.5;-999;-999;25.9;31.5;-999;-999;-999;29.1;30.4;-999;-999;31.8;27.8;30.4;-999;31.7;27.7;31.4;32;-999;33.6;25.2;35.1;34.3;-999;34.3
51361;27.5;27.6;28.9;30.3;-999;24.9;28.3;29.3;-999;-999;26.3;31.1;30.4;-999;29.4;29;30.2;-999;-999;31.1;27.4;30.4;-999;31.8;28.3;31.5;31.8;-999;33.7;25.2;34.7;34.4;32.5;34.4
51363;29.2;27.6;28.3;-999;-999;29.5;26.3;30.2;-999;-999;29.7;28.7;32.1;-999;-999;26.3;25.9;31;-999;29.3;25.1;29.2;30.6;-999;34.6;33.8;31.7;31.8;32;30.2;32.7;34.7;35.1;31.7
51364;28.7;28.3;29.4;-999;-999;28.4;27.2;29.9;-999;-999;27.7;29.2;31.2;-999;-999;27.2;27.4;30.7;-999;30.8;27.1;29.6;30.9;31.3;31.5;32.8;31.6;32.3;33.2;24.3;34.4;34.4;-999;34.6
51377;27.8;28.4;29.4;-999;-999;26.9;28.1;29.5;-999;-999;26.6;31;30.7;-999;-999;28.8;29;-999;-999;31.8;27.6;30.2;-999;30.9;28.4;32.2;31.9;-999;33.1;23.8;34.7;34.1;-999;35.3
51380;28.5;27.3;28.6;32;29;25.3;28.9;-999;-999;28.8;27.1;32;-999;-999;28.5;28;30.6;-999;-999;25.2;27;29.9;-999;32.6;33;31.1;31.5;-999;33.3;28.8;34.6;34.9;32.5;34.5
51384;27.8;28.1;28.8;-999;-999;26.2;28.5;29.4;-999;-999;26.5;30.8;30.9;-999;-999;29.1;29.5;-999;-999;32;26.9;30.1;-999;31.2;28;31.8;31.1;-999;33.3;24.9;34.6;34.1;-999;35.3
51388;27.5;27.6;29;31.3;-999;24.5;27.8;29.4;-999;-999;26.9;31.7;-999;-999;29.1;29;30.9;-999;-999;26.4;27.1;30.2;-999;32;31.4;30.7;31.3;-999;33.9;25.6;34.6;34.2;32.7;33.8
51389;28.1;28.7;29.5;-999;-999;27.6;27.7;29.7;-999;-999;26.2;29.9;31;-999;-999;27.9;28.3;30.8;-999;31.4;27.6;30;31.3;31;30.1;32.5;31.8;-999;33.2;22.2;34.2;34.1;-999;35.1
