code;1980;1981;1982;1983;1984;1985;1986;1987;1988;1989;1990;1991;1992;1993;1994;1995;1996;1997;1998;1999;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013
51338;21.5;20.6;20.4;23.7;-999;21.4;20.4;23.3;-999;-999;20.6;24.7;-999;-999;-999;23;24.8;-999;-999;27.3;22.4;26.5;-999;27.6;23.2;25.3;25.8;-999;28.1;19;28.7;28.2;-999;28.9
51340;23.8;18.8;-999;-999;24;19.4;21.7;-999;-999;24.5;22.3;24.8;-999;-999;22.8;20.5;25.5;-999;-999;17.8;21.8;25.4;-999;27.9;26.6;25;26.1;27.9;26.3;27;28.4;28.5;27.9;28.7
51341;22.9;20.3;-999;-999;22.8;19.9;22.6;-999;-999;23.8;20.7;25;-999;-999;21.5;18.6;25.7;-999;-999;20.1;23;25.4;-999;27.2;25.4;25.1;26.2;27.9;24;27.5;27.5;-999;27.2;22.7
51342;22.4;19.1;20.3;23.4;25;19.9;20.3;-999;-999;25.4;21.7;25.2;-999;-999;24.9;22.2;25.5;-999;-999;21.6;21.2;25.9;-999;27.5;26.5;24.8;26;-999;27.6;23.4;28.6;28.7;27.9;29
51344;22.9;21;-999;-999;23.7;20.2;22.7;-999;-999;23.7;19.7;25;-999;-999;20.5;18.2;25.7;-999;-999;21.3;23.4;-999;-999;28.1;25.4;24.9;-999;28.1;22.4;27.9;27.1;-999;28;19.1
51345;23.3;19.1;-999;-999;23.5;19.9;22.1;-999;-999;24;23;24.6;-999;-999;21.6;20.5;25.7;-999;-999;16.8;21.8;25.5;-999;28.1;25.9;24.5;26.1;27.9;25.4;27.1;28.5;28.3;28;29
51346;22.3;19.8;20.3;25;24.8;20.3;20.4;22.7;-999;24.8;21.4;24.8;-999;-999;24.9;22;25;-999;-999;23.2;21.2;25.8;-999;27.5;26.1;24.9;25.9;-999;27.9;22.1;28.8;28.3;28.1;29.2
51347;21.6;20.5;20.4;-999;-999;21.3;20.2;23.6;-999;-999;20.6;24.8;-999;-999;-999;23.2;25.1;-999;-999;27;22.7;26.7;-999;27.7;22.9;25.1;25.9;-999;28;18.8;28.8;28.4;-999;28.7
51348;22.3;23.1;21.5;-999;-999;21.3;20.7;23.7;-999;-999;21.5;23.6;25.3;-999;-999;22.4;23.3;25.6;-999;27.6;23.2;24.6;-999;28.2;24.5;26.4;25.8;-999;28.6;15.9;28.2;27.4;-999;30.9
51349;22.2;19.4;20.5;25.3;25.4;20;20.7;22.8;-999;24.7;21.4;25;-999;-999;25;22.6;25;-999;-999;22.7;21.6;25.7;-999;27.5;26.5;24.8;25.7;-999;28;21.3;28.4;28.4;28.1;29
