code;1980;1981;1982;1983;1984;1985;1986;1987;1988;1989;1990;1991;1992;1993;1994;1995;1996;1997;1998;1999;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013
51333;27.9;27.3;28.8;31.7;-999;24.6;27.8;29.3;-999;-999;26.3;31.7;-999;-999;-999;28.8;30.5;-999;-999;30.3;26.9;29.8;-999;32.2;31;31.3;31.2;-999;33.6;25.9;34.9;34.6;-999;33.9
51334;26.8;27.7;28.6;-999;-999;23.7;27.9;30;-999;-999;25.5;31.3;-999;-999;-999;28.9;31.1;-999;-999;31.7;28;30.4;-999;32;27.8;31;31.7;-999;33.9;25.3;35.1;34.1;-999;33.6
51336;27.1;27.7;28.6;31.1;-999;23.9;27.9;29.8;-999;-999;25.6;31.1;-999;-999;-999;28.8;31;-999;-999;31.9;27.7;30.1;-999;31.9;27.8;31.1;31.5;-999;33.9;25.4;35.1;34.2;-999;33.8
51337;27.9;27.5;28.7;31.1;-999;24.8;28.1;29.3;-999;-999;26;30.7;-999;-999;-999;28.7;30.7;-999;-999;32.3;26.7;29.5;-999;31.5;27.9;31.5;30.8;-999;33.9;25.6;35;34.4;-999;34.4
51350;27.2;27.1;29.3;31.9;-999;23.9;28.1;30;-999;-999;26.5;32.1;-999;-999;28.9;29.4;31.1;-999;-999;29.9;27.1;30.5;-999;32.3;31.2;31.1;31.4;-999;33.3;25.6;34.9;34.3;33.2;33.4
51366;27.1;26.9;29.6;31.4;-999;23.3;28.3;29.7;-999;-999;25.7;32.1;-999;-999;-999;30;30.9;-999;-999;31.7;26.9;30.5;-999;32;30;31.4;31.1;-999;32.8;25.1;34.8;34.5;-999;34.2
51368;27.1;26.9;29.6;31.4;-999;23.3;28.3;29.7;-999;-999;25.7;32.1;-999;-999;-999;30;30.9;-999;-999;31.7;26.9;30.5;-999;32;30;31.4;31.1;-999;32.8;25.1;34.8;34.5;-999;34.2
51369;27.1;27;29.2;-999;-999;23.8;28.4;29.7;-999;-999;25.8;31.5;-999;-999;-999;29.7;30.9;-999;-999;31.6;27.1;30.5;-999;31.8;29.5;31.6;31.3;-999;33.1;25.2;34.6;34.5;-999;34.4
51371;27.2;27;29.5;31.4;-999;23.8;28.5;29.7;-999;-999;26.3;32.1;-999;-999;-999;29.6;31;-999;-999;29.7;26.9;30.3;-999;32;30.6;31.2;31.2;-999;33;25;34.8;34.7;-999;34
51372;27.2;26.7;28.6;30.7;-999;24.1;28.9;29.5;-999;-999;25.8;30.5;-999;-999;-999;29.4;30.9;-999;-999;31.1;27.1;30.6;-999;31.6;29.3;31.8;31.4;-999;33.5;25.2;34.2;34.7;-999;34.6
51375;26.9;28;29.3;-999;-999;25.1;28.1;30.2;-999;-999;26;31.5;30.9;-999;-999;29.1;31.1;-999;-999;31.9;27.9;30.4;-999;31.4;28.5;31.9;31.7;-999;33.4;25.4;34.8;33.9;-999;34.3
51378;27.2;26.7;28.6;30.7;-999;24.1;28.9;29.5;-999;-999;25.8;30.4;-999;-999;-999;29.4;30.9;-999;-999;31.1;27.1;30.6;-999;31.5;29.3;31.8;31.4;-999;33.6;25.2;34.2;34.7;-999;34.7
51382;27.3;26.8;28.7;-999;-999;24.4;28.9;29.4;-999;-999;25.9;30.6;-999;-999;-999;29.4;30.7;-999;-999;31.2;27.2;30.6;-999;31.5;29.1;31.9;31.5;-999;33.5;25.2;34.3;34.6;-999;34.7
51385;27.9;28.9;29.9;-999;-999;27.2;27.7;29.6;-999;-999;26.5;30.6;30.6;-999;-999;28.5;29.1;-999;-999;31.9;27.8;30;-999;30.7;28.8;32.6;32.5;-999;33;22.7;34.7;34.4;-999;35.2
