code;1980;1981;1982;1983;1984;1985;1986;1987;1988;1989;1990;1991;1992;1993;1994;1995;1996;1997;1998;1999;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013
51333;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1.3;0;0.4;0;4.4;3.1;2.3;3.5;0;5.6;0;4.7;7.2;0.4;7.8
51334;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;2;0;4;4;0;9;0;2;6;0;9
51336;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2.5;0;0;0;2.5;0;4.3;3.2;0;8.2;0;3.6;6.3;0;10
51337;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3.9;0;0;0;3.7;0;4.9;1.1;0;6;0;7.7;6.7;0;12.5
51350;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.5;0;1.5;0;5;3;3.2;4;0;5.2;0;2;6;1.5;5.2
51366;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;2;0;2;0;3;4;0;5;0;2;6;0;13
51368;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;2;0;2;0;3;4;0;5;0;2;6;0;13
51369;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1.4;0;1.8;0;1.2;0;3.5;3.1;0;5;0;2.6;6.6;0;12.3
51371;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1.4;0;1.4;0;2.9;0;2.7;4;0;5;0;2.6;5.4;0;13.3
51372;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;4;1.1;0;4;0;4;8;0;12
51375;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0.6;0;0.6;0;3.7;4;0;8.5;0;1.3;5.3;0;12.3
51378;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;4;1;0;4;0;4;8;0;12
51382;0;0;0.1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.1;0;1.9;0;0;0;4.3;1.3;0;3.8;0;4.1;8.1;0;11.2
51385;0;1.1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0.5;0;0;0;5.4;7.2;0;2.5;0;4.5;7.4;0;5.1
51386;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3.3;0;0.3;0;3.2;0;4.8;1.1;0;5.6;0;7.2;7.1;0;12.6
51391;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;2.5;8;0;6.1;0;5;8.6;0;7.5
51393;0;0.1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;0;0;0;6.9;4.2;0;2.1;0;5;8.9;0;4.1
51395;0;0;0.4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1.6;0;0.1;0;0;0;3.8;4.5;0;8.5;0;2.6;6.8;0;10.1
51396;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;4;4;0;10;0;1.1;5;0;11.9
51398;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999
51402;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;4;4;0;10;0;1;5;0;12
68769;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;0;0;0;7;4;0;2.1;0;5;9;0;4.1
