code;1980-1981;1981-1982;1982-1983;1983-1984;1984-1985;1985-1986;1986-1987;1987-1988;1988-1989;1989-1990;1990-1991;1991-1992;1992-1993;1993-1994;1994-1995;1995-1996;1996-1997;1997-1998;1998-1999;1999-2000;2000-2001;2001-2002;2002-2003;2003-2004;2004-2005;2005-2006;2006-2007;2007-2008;2008-2009;2009-2010;2010-2011;2011-2012;2012-2013
51338;30.3;31.2;30.1;-999;-999;31.4;27.1;28.7;28.6;-999;-999;28.7;27.4;31.2;-999;-999;31.9;-999;29.1;31.2;-999;32.3;31.2;31.5;33.3;-999;33.6;24.3;35.3;34.2;36.5;30.3;30.2
51340;31.3;29.8;29.4;33.4;-999;30;28.6;29.2;-999;-999;30.5;28.6;30.3;30.6;-999;-999;28.5;25;30.5;-999;-999;34.1;32;31.6;32.5;-999;34.9;30.3;36.4;34.2;-999;29.4;26
51341;31.6;30;29;32.7;-999;29.4;29.1;29.2;-999;-999;31.4;28.7;30.6;30.5;-999;-999;28.4;25.4;30.8;-999;-999;32.6;31.5;31.5;32.6;31.6;34.5;31.5;35.9;34.8;-999;29.4;26.3
51342;30.6;29.7;29.8;-999;-999;31;28.3;29.5;-999;-999;-999;29.4;30;31.1;-999;-999;29.2;27.1;30.1;-999;-999;34.2;32.5;31.9;32.9;-999;34.6;26.6;36.3;33.6;-999;29.5;30.8
51344;31.9;30.2;-999;32.5;-999;29.4;29.1;28.9;-999;-999;31.7;28.5;30.8;-999;-999;-999;28.1;25.4;30.6;-999;-999;-999;31.3;31.6;-999;-999;34.3;31.1;35.3;34.6;-999;28.6;25.3
51345;31.2;29.7;29.1;33.1;-999;29.7;28.7;29.2;-999;-999;30.7;28;30.5;30.5;-999;-999;29;23.9;30.7;-999;-999;33.3;31.8;31.7;32.3;-999;34.6;31.1;35.9;34.3;-999;29.3;23.7
51346;30.4;29.6;30.1;-999;-999;30.8;28.2;29.6;28.2;-999;-999;29.4;29.1;31.1;-999;-999;30.2;27.3;30;31;-999;34;32.3;31.5;32.6;-999;34.3;26;35.9;34;36.8;29.9;30.8
51347;30.1;31.4;30.1;-999;-999;31.4;26.4;28.7;28.4;-999;-999;28.3;27.2;31.2;-999;-999;31.6;27.1;29.1;30.9;-999;32.2;30.9;31.4;33.4;-999;34.1;23.9;35;34.2;36.3;30.5;29.6
51348;31.4;31.3;29.4;-999;30.6;30.7;27.9;28.6;29.5;-999;-999;31.4;29;30.4;-999;-999;31.4;26.6;27.5;31;-999;30.8;30;32.5;32;-999;31.9;31.5;29.5;36.1;36.3;32;30.3
51349;30.2;29.9;30.1;-999;-999;31.3;28.1;29.7;28.2;-999;-999;29.3;29;31.3;-999;-999;30.5;27.4;30.1;31;-999;33.9;32;31.6;33.2;-999;34.1;25.7;35.9;34.1;35.7;29.8;30.5
51351;30.1;29.6;29.5;-999;-999;30.9;28.5;29.5;-999;-999;-999;29;29.8;31.1;-999;-999;29.4;26.9;30.4;-999;-999;34.9;31.7;31.8;32.9;-999;34.9;27.3;36.2;33.8;-999;29.9;31.5
51352;32.5;28.8;29;28.9;31.7;30.4;29.2;28.4;29.3;-999;-999;31;29;29.8;30.9;-999;-999;27.9;26.4;30.7;-999;-999;32.7;33.2;32.6;33.3;31.3;33.4;26.7;36.1;35.2;-999;29.3
51354;30.8;31.7;29.7;-999;-999;30.8;26.8;28.7;29;-999;-999;30;28;30.6;-999;-999;31.5;27.5;28.8;30.8;-999;31.5;30.2;31.3;32.7;-999;33.3;27.2;33.5;35.5;36.1;31.4;30
51359;30.3;31;30.2;-999;-999;31.3;26.5;28.9;28.4;-999;-999;29.1;27.3;31.1;-999;-999;31.9;27.2;29.3;30.9;-999;32.1;31.4;31.3;33.1;-999;33.6;24.5;34.7;35.1;36;30.9;29.8
51361;30.6;30.8;29.8;-999;-999;31.4;27.4;29.3;28.9;-999;-999;29.7;28.3;30.8;-999;-999;31.5;27.7;29.3;30.8;-999;32.6;31.3;31.5;32.6;-999;33.4;25.7;34.8;34.6;36;30;30.5
51363;32.1;28.5;29.2;29.2;32.2;30.7;29.7;28.2;29;-999;-999;30.2;29.1;29.8;30.9;-999;-999;27.5;26.7;30.4;-999;-999;33.7;33.6;33;33.6;-999;33.9;26.5;36.5;34.8;-999;28
51364;32.3;30.1;29.2;28.7;31.2;30.5;28.6;28.6;29.4;-999;-999;31.3;29.1;30.2;30.9;-999;31.9;27.1;26.7;30.7;-999;30.7;31.1;32.9;32.1;33.5;31.8;33;28.1;36.2;35.8;-999;30.5
51377;31.2;31.6;29.7;-999;30.4;30.4;27.4;28.7;29.3;-999;-999;31.1;28.5;30.6;-999;-999;31;27.4;28;30.7;-999;30.7;29.8;31.8;32.4;-999;32.3;29.3;31.4;35.5;36.1;31.6;30.2
51380;30.5;29.4;29.8;-999;-999;30.9;28.4;29.4;-999;-999;-999;29.2;30;31;-999;-999;29.7;26.8;30.3;-999;-999;34.4;32.2;32;32.6;-999;34.9;26.8;36.3;34.3;-999;29.8;31.6
51384;30.9;32.1;29.7;-999;-999;30.9;27.1;28.7;29.2;-999;-999;30.5;28;30.5;-999;-999;30.8;27.1;28.4;31;-999;31.4;30.2;31.1;32.5;-999;33;27.1;33.5;35.3;35.6;31.6;30.3
51388;30.2;29.8;30.5;-999;-999;31.4;28.1;29.6;28.5;-999;-999;29.9;28.8;31;-999;-999;31.2;27.5;29.7;31.5;-999;34.8;32.8;31.5;32.5;-999;34;24.6;35.8;34.2;36.7;29.7;31.6
51389;31.8;31;29;29.4;30.6;30.6;28.1;28.7;29.5;-999;-999;31.8;29.1;30.3;31.4;-999;31.4;26.5;27.4;30.9;-999;31.4;30.3;32.4;32.4;34.5;31.8;31.3;28.5;36.2;36;31.7;30.7
51392;32.3;29.6;29.2;29;31.1;30.7;29.6;28.1;29.5;-999;-999;31;29.4;29.5;30.9;-999;-999;28.1;26.6;30.6;-999;-999;33.1;33.6;32.5;33.7;31.2;33.2;26.9;36.1;35;-999;29.1
51394;32.2;30.5;28.9;28.6;30.7;30.7;28.4;28.5;29.7;-999;-999;31.8;28.9;29.9;31.1;-999;-999;26.8;26.4;30.5;-999;-999;30.6;33;31.8;34.2;31.6;32.4;27.2;36.3;35.3;-999;31
