code;1980-1981;1981-1982;1982-1983;1983-1984;1984-1985;1985-1986;1986-1987;1987-1988;1988-1989;1989-1990;1990-1991;1991-1992;1992-1993;1993-1994;1994-1995;1995-1996;1996-1997;1997-1998;1998-1999;1999-2000;2000-2001;2001-2002;2002-2003;2003-2004;2004-2005;2005-2006;2006-2007;2007-2008;2008-2009;2009-2010;2010-2011;2011-2012;2012-2013
51338;25.1;25.3;24;-999;-999;26.4;21.6;22.6;23.5;-999;-999;23.6;23.6;25.1;-999;-999;27.7;-999;23.6;25.9;-999;27.9;26.2;24.6;26.2;-999;28.3;16.9;28.1;26.4;28.3;24.8;24.5
51340;26.2;23.2;22.9;26.6;-999;24.8;22.4;24;-999;-999;27.4;23;24.2;25.4;-999;-999;22.4;18.8;26.1;-999;-999;28.5;25.5;24.3;25.4;-999;28.3;22.8;28.6;25.3;-999;24.3;19.7
51341;26.5;23.2;22.5;26.9;-999;23.9;22.8;23.6;-999;-999;26.9;23.2;24.6;25.1;-999;-999;22;19.4;26;-999;-999;26.5;25.8;24.7;25;27.6;27.7;24;28;26.4;-999;23.5;19.7
51342;25.4;23.4;23.2;-999;-999;25.8;22.3;23.8;-999;-999;-999;24.1;23.9;25.5;-999;-999;24.2;21;25.3;-999;-999;28.7;26.3;24.4;26.2;-999;28.4;19.3;28.7;24.9;-999;24.2;24.9
51344;27.2;23.5;-999;26.8;-999;23.8;22.9;23.6;-999;-999;27.5;22.9;24.9;-999;-999;-999;21.2;19.8;26;-999;-999;26.6;26.2;25.1;-999;-999;27.8;23.9;27.3;27;-999;22.7;19
51345;26;23;22.3;26.2;-999;24.5;22.2;23.8;-999;-999;27.6;22.9;24.3;25.3;-999;-999;22.7;18.1;26.1;-999;-999;28.5;25.7;24.9;25.4;-999;28.2;23.3;28.4;24.9;-999;23.6;17.2
51346;25.2;23.8;23.5;-999;-999;26;22.1;23.8;22.9;-999;-999;24;23.6;25.4;-999;-999;25.1;21.8;25.2;25.4;-999;28.8;26.3;24.3;26.2;-999;28.4;18.9;28.1;25.6;27.6;24.4;25
51347;25.1;25.5;23.9;-999;-999;26.4;21.1;22.7;23.2;-999;-999;23.3;23.8;24.9;-999;-999;27.6;23.3;23.7;25.7;-999;27.9;26.1;24.7;25.9;-999;28.6;16.8;27.7;26.4;28.4;24.6;24.2
51348;26.3;26.4;23;-999;27.7;27.4;23.2;22.7;23.8;-999;-999;26.8;23.1;24.4;-999;-999;28.1;19.9;21.3;25.8;-999;27.3;25.6;26.1;25.1;-999;28;25;22.4;28.4;27.6;26.5;25.7
51349;24.8;23.7;23.2;-999;-999;26.2;22.3;23.6;23;-999;-999;24;23.5;25;-999;-999;25.4;22.2;25.1;25.6;-999;28.8;26.1;24.5;25.7;-999;28.4;18.6;28.1;25.8;27.7;24.4;24.9
