code;1980-1981;1981-1982;1982-1983;1983-1984;1984-1985;1985-1986;1986-1987;1987-1988;1988-1989;1989-1990;1990-1991;1991-1992;1992-1993;1993-1994;1994-1995;1995-1996;1996-1997;1997-1998;1998-1999;1999-2000;2000-2001;2001-2002;2002-2003;2003-2004;2004-2005;2005-2006;2006-2007;2007-2008;2008-2009;2009-2010;2010-2011;2011-2012;2012-2013
51338;0.7;3.8;1.9;0;0;0;0;0;0;0;0;0;0;0;0;0;0.7;0;0;0.3;0;0.3;0;1.3;8.5;0;5.5;0;9.4;11;10.6;0.6;0.1
51340;0.8;1.6;0.1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;8.7;0.8;1;1.9;0;7.4;0;11.1;5.7;0;0;0
51341;3.8;0.3;0;0;0;0;0;0;0;0;0.2;0;0;0;0;0;0;0;0.2;1;0.1;2;1.2;0.6;0.8;0.9;8.5;1.5;9.7;6.7;0;0.8;1.8
51342;1;1.3;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4.8;3.1;2.3;6.2;0;6.7;0;7;5.7;0;0;0
51344;4.6;0.1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.7;2.8;1;0.2;0;9.5;0;14.6;12.3;0;0;0
51345;1.3;1.6;0;0.3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;7.5;0.8;0.1;0.9;0;7.7;0;10.9;3.7;0;0;0
51346;0.2;1.8;1.3;0;0;0;0.4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;8.5;2.2;0.3;4.2;0;5.5;0;9.1;8.5;1.5;0;0
51347;1;2;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;9;0;7;0;10;12;10;1;0
51348;1.2;3.5;0.3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.4;0;0;0;3.8;3.9;0.1;2;4.2;0.9;10;12.2;0.3;0.8
51349;0;3.3;0.4;0;0;0;0;0;0;0;0;0;0;0;0;0;0.1;0;0;0;0;4.5;0.1;0.8;5.9;0;5.3;0;9.4;7.2;2.7;0;0
51351;0;0.9;0.4;0;0;0;0;0;0;0;0;0;0;0;0;0;0.4;0;0;0;0;7;0.4;0.4;5.2;0;9.9;0;10.6;6.7;0;0;0
51352;2.3;0.5;0.4;0.1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3.4;5;3.6;7.8;0.1;5.7;0;10.3;9.3;0;0
51354;1.5;2.5;1.1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.8;5.3;0;5.1;0;4.4;12.8;9.4;0.5;1.9
51359;0.6;2.5;1.9;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;7.1;0;5;0;8.3;10.3;10.5;0.5;0.3
51361;0.8;2.1;0.6;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3.1;1.3;0.5;6;0;4.3;0;5.8;9.4;6.4;0;0.2
51363;0.6;0;0.3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;6.7;5.1;5.5;7.5;0;5.6;0;9.6;7.7;0;0
51364;2.5;2.2;0.5;0;0;0;0;0;0;0;0;0.2;0;0;0;0;0;0;0;0;0;0;2.5;5.8;2.8;4.6;0.3;6.1;0.9;12.3;7.9;0;0.4
51377;2.2;2.9;1.2;0;0;0;0;0;0;0;0;0.2;0;0;0;0;0;0;0;0;0;0;0;1.7;5;0;2.8;0;4.4;11.3;8.1;0.3;0.8
51380;0;1.2;0.4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;5.3;3.9;2;4.8;0;11.1;0;8.2;5.2;0;0;0.6
51384;3;4.5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.4;0;0;0.2;0;0.2;0;0.4;4.8;0;4.5;0;5.5;10.9;12.3;0.7;1
51388;0;2.9;1.2;0;0;0;0;0;0;0;0;0;0;0;0;0;0.1;0;0;0;0;14.6;4.1;0.4;3.2;0;5.7;0;10;7.8;1.9;0;1.3
51389;1.8;3.5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.6;3.9;2.2;0.5;1.4;0.7;0.7;12.1;9;0.1;0.9
51392;1.9;1.7;0.7;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;5.3;7.1;3.9;7.3;0;5.7;0;11.7;8.1;0;0.1
51394;2;2.3;0;0;0;0;0;0;0;0;0;0.7;0;0;0;0;0;0;0;0;0;0;0;7.5;2.1;1.6;0.1;2.6;0;11.2;9.2;0;0.1
