code;1980-1981;1981-1982;1982-1983;1983-1984;1984-1985;1985-1986;1986-1987;1987-1988;1988-1989;1989-1990;1990-1991;1991-1992;1992-1993;1993-1994;1994-1995;1995-1996;1996-1997;1997-1998;1998-1999;1999-2000;2000-2001;2001-2002;2002-2003;2003-2004;2004-2005;2005-2006;2006-2007;2007-2008;2008-2009;2009-2010;2010-2011;2011-2012;2012-2013
51333;30.3;29.9;30.1;-999;-999;31.6;28.3;29.6;28.9;-999;-999;29.8;28.9;31.2;-999;-999;31.3;-999;29.9;31.8;-999;34.2;32.7;31.9;33;-999;34;24.4;36.2;34.4;36.8;29.6;31.6
51334;30.1;31.4;30.1;-999;-999;31.4;26.4;28.7;28.4;-999;-999;28.3;27.2;31.2;-999;-999;31.6;27.1;29.1;30.9;-999;32.2;30.9;31.4;33.4;-999;34.1;23.9;35;34.2;36.3;30.5;29.6
51336;30.2;31.2;30.1;-999;-999;31.5;27;28.7;28.6;-999;-999;28.5;27.3;31.3;-999;-999;31.9;27.1;29.1;31.1;-999;32.3;31.1;31.5;33.3;-999;33.7;24.1;35.3;34.1;36.4;30.3;30.1
51337;30.5;30.8;30;-999;-999;31.5;28.3;28.7;28.9;-999;-999;29.3;27.6;31.3;-999;-999;32.5;-999;29;31.7;-999;32.4;31.7;31.6;33;-999;32.9;24.6;35.9;34;36.7;30.2;31.2
51350;29.9;29.9;29.9;-999;-999;31.6;27.9;29.7;28.4;-999;-999;29.2;28.7;31.4;-999;-999;31.3;27.3;30.1;30.9;-999;34.7;32;31.7;33.4;-999;34.4;24.9;35.8;34.6;36.3;29.9;31.4
51366;30.5;30.2;30.7;-999;-999;31.6;28.3;28.9;28.5;-999;-999;28.9;27.7;31.4;-999;-999;32.5;-999;29.6;30.8;-999;32.9;30.9;31.9;33.4;-999;33.4;24.3;36;34.9;36.7;29.8;31.3
51368;30.5;30.2;30.7;-999;-999;31.6;28.3;28.9;28.5;-999;-999;28.9;27.7;31.4;-999;-999;32.5;-999;29.6;30.8;-999;32.9;30.9;31.9;33.4;-999;33.4;24.3;36;34.9;36.7;29.8;31.3
51369;30.5;30.4;30.5;-999;-999;31.2;28.2;29;28.5;-999;-999;29.2;27.5;31.2;-999;-999;32.4;-999;29.5;31;-999;32.5;31.1;31.5;33.1;-999;33.5;24.5;35.7;35.1;36.6;30.3;31.1
51371;30.3;30.3;30.4;-999;-999;31.6;28.3;29.3;28.5;-999;-999;29.2;28.2;31.3;-999;-999;31.6;-999;29.8;30.8;-999;33.4;31.4;31.7;33.2;-999;33.5;24.3;36;34.3;36.7;29.8;31.2
51372;30.5;30.3;30.1;-999;-999;30.9;28.4;29.4;28.4;-999;-999;29.3;27;31;-999;-999;-999;-999;29.8;31.4;-999;32.6;31.5;31;32.6;-999;33.9;23.4;36.1;35.1;36.6;30.6;31.3
51375;30.7;31.3;30.3;-999;-999;30.7;27.1;28.9;28.8;-999;-999;30.6;27.7;31.1;-999;-999;31.8;27.5;28.8;30.8;-999;31.1;30.8;31;33;-999;32.8;27.5;33.8;36;35.8;31.3;29.8
51378;30.5;30.3;30.1;-999;-999;30.9;28.4;29.4;28.4;-999;-999;29.3;26.9;31;-999;-999;-999;-999;29.8;31.4;-999;32.6;31.6;31;32.6;-999;33.9;23.4;36.1;35.1;36.6;30.6;31.3
