code;1980-1981;1981-1982;1982-1983;1983-1984;1984-1985;1985-1986;1986-1987;1987-1988;1988-1989;1989-1990;1990-1991;1991-1992;1992-1993;1993-1994;1994-1995;1995-1996;1996-1997;1997-1998;1998-1999;1999-2000;2000-2001;2001-2002;2002-2003;2003-2004;2004-2005;2005-2006;2006-2007;2007-2008;2008-2009;2009-2010;2010-2011;2011-2012;2012-2013
51333;25;24.3;23.8;-999;-999;26.2;22.4;23.5;23.9;-999;-999;24.6;23.5;25.4;-999;-999;26.2;-999;24.5;26.3;-999;28.7;27;24.5;26.2;-999;28.3;17.2;28.7;26.1;28.2;24.5;25.9
51334;25.1;25.5;23.9;-999;-999;26.4;21.1;22.7;23.2;-999;-999;23.3;23.8;24.9;-999;-999;27.6;23.3;23.7;25.7;-999;27.9;26.1;24.7;25.9;-999;28.6;16.8;27.7;26.4;28.4;24.6;24.2
51336;25.1;25.3;23.9;-999;-999;26.4;21.4;22.6;23.4;-999;-999;23.5;23.6;25.1;-999;-999;27.6;23.3;23.6;25.9;-999;27.9;26.2;24.6;26.1;-999;28.4;16.7;28;26.3;28.3;24.7;24.3
51337;25;25;24.1;-999;-999;26.4;22.4;22.4;23.9;-999;-999;24.1;23.1;25.3;-999;-999;27.7;-999;23.3;26.2;-999;27.8;26.5;24.4;26.6;-999;27.9;17.1;28.7;26.2;28.1;25.1;24.9
51350;24.5;24.3;23.7;-999;-999;26.1;22.4;23.5;23.2;-999;-999;24.1;23.8;25.3;-999;-999;26.2;22.7;24.8;25.7;-999;29;26.2;24.6;25.7;-999;28.5;17.6;28.4;26.3;28.4;24.2;26.1
51366;24.8;24.8;23.1;-999;-999;26.1;22.6;22.5;23.1;-999;-999;23.7;23.6;24.4;-999;-999;27.5;-999;24;25.5;-999;28.1;25.9;24.6;26;-999;28.5;17.3;28.5;27;27.8;25.1;25
51368;24.8;24.8;23.1;-999;-999;26.1;22.6;22.5;23.1;-999;-999;23.7;23.6;24.4;-999;-999;27.5;-999;24;25.5;-999;28.1;25.9;24.6;26;-999;28.5;17.3;28.5;27;27.8;25.1;25
51369;24.9;25.1;23.3;-999;-999;26.3;22.7;22.7;23.2;-999;-999;24;23.4;24.5;-999;-999;27.5;-999;23.9;25.6;-999;28;26;24.4;26.1;-999;28.4;17.7;28.1;27.3;27.8;25.1;25
51371;24.7;24.6;23.3;-999;-999;26.3;22.6;23;23.1;-999;-999;23.9;23.4;24.7;-999;-999;26.9;-999;24.4;25.5;-999;28.6;26.1;24.4;25.9;-999;28.3;17.3;28.2;26.3;27.8;24.9;25.4
51372;24.9;25.1;23.5;-999;-999;26.3;22.4;23.1;23.2;-999;-999;23.8;23.4;24.8;-999;-999;27.3;-999;24.3;25.7;-999;28.1;26.4;24.1;26.6;-999;28.4;17;28.1;27.4;27.9;24.7;25.1
51375;25.1;26;23.3;-999;-999;26.9;23.3;22.3;23.6;-999;-999;25.3;22.6;24.5;-999;-999;27.8;22.2;22.9;25.6;-999;27.3;25.8;24.7;25.6;-999;28;20.9;26.9;28.3;27.4;25.9;25
51378;24.9;25.1;23.5;-999;-999;26.3;22.4;23.1;23.2;-999;-999;23.8;23.4;24.8;-999;-999;27.3;-999;24.3;25.7;-999;28.1;26.4;24.1;26.6;-999;28.4;17;28.1;27.4;27.9;24.7;25.1
51382;25;25.3;23.6;-999;-999;26.3;22.6;23;23.3;-999;-999;24;23.3;24.8;-999;-999;27.4;-999;24.1;25.7;-999;28;26.3;24.2;26.5;-999;28.4;17.5;27.9;27.3;27.8;24.9;25.1
51385;26.1;26;23.3;-999;27.7;27;23.4;22.9;24.3;-999;-999;26.5;23;24.4;-999;-999;27.8;20.5;21.2;25.8;-999;27.1;25.6;25.9;25.4;-999;28;23.8;23;27.8;27.5;26.7;25.6
51386;24.9;25;24;-999;-999;26.4;22.4;22.5;23.8;-999;-999;24;23.2;25.3;-999;-999;27.6;-999;23.5;26.2;-999;27.8;26.5;24.3;26.6;-999;28;16.9;28.6;26.4;28.1;25;24.9
51391;26.8;25.4;22.7;-999;27.6;-999;22.8;23.2;24.6;-999;-999;27.3;23.3;24.2;-999;-999;-999;19.1;20.3;26;-999;-999;25.5;26.7;24.8;-999;28.1;25.3;20;28.5;27.6;-999;25.6
51393;25.3;27;24;-999;-999;27;23.8;22.4;23.8;-999;-999;25.7;22.7;24.8;-999;-999;27.8;21.6;22.2;25.3;-999;27.1;25.2;25.1;26.1;-999;27.9;22.3;25.9;27;27;26.7;25.3
51395;25.6;26.4;23.4;-999;27.5;27.3;23.5;22.5;24;-999;-999;26.2;22.6;24.5;-999;-999;27.9;21.4;22;25.6;-999;27;25.6;25.2;25.4;-999;27.9;23.1;24.9;28.4;27.3;26.2;25.1
51396;25.3;26.5;23.4;-999;-999;27.3;23.6;22.3;23.8;-999;-999;26;22.2;24.6;-999;-999;27.9;22.2;22.5;25.6;-999;27;25.8;24.7;25.4;-999;27.8;22.5;26.3;28.8;27.3;26.2;25
51398;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999
51402;25.3;26.5;23.4;-999;-999;27.3;23.6;22.3;23.8;-999;-999;26;22.2;24.6;-999;-999;27.9;22.2;22.5;25.6;-999;27;25.8;24.7;25.4;-999;27.8;22.5;26.3;28.8;27.3;26.2;25
68769;25.3;27.1;24.1;-999;-999;27;23.8;22.4;23.8;-999;-999;25.7;22.7;24.9;-999;-999;27.8;21.7;22.2;25.3;-999;27.1;25.2;25;26.1;-999;27.9;22.2;26.1;26.9;27;26.7;25.3
