code;1981;1982;1983;1984;1985;1986;1987;1988;1989;1990;1991;1992;1993;1994;1995;1996;1997;1998;1999;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017
51338;243;287.1;-999;-999;272.8;239.7;246;452;143.1;138.1;103.1;419;336.6;248.2;331.8;242.4;106.4;173.3;126.2;331.4;322.8;106.9;165.6;146.7;172.5;161.2;236.8;154.2;50.8;68.3;253.6;174.7;121.2;123.1;115.7;121.6;237.6
51340;221.7;204.8;215.3;237.4;197.7;-999;291.4;239.7;215;202.7;167.9;144.8;139.6;393.5;375.1;327.9;321.2;328.9;80.6;144.9;142.7;301.5;261;153.7;160.2;101.6;149;154.6;169.6;134.2;77;132.6;232.6;211.4;154.4;108.8;123.8
51341;246.2;214.9;221;239;217.4;247.5;-999;313.6;250.8;204.9;188.8;141.8;127.4;137.9;326;362.9;298.4;259.2;270.2;78;143.7;168.8;278;242.1;133.2;166.1;148.1;172.5;162.7;183.4;128.6;84.9;143.1;214.7;205.2;162.1;113.6
51342;190.6;206.5;220.9;171.4;-999;286.7;299;248.9;227.3;177.9;133.1;170.8;-999;340.9;333.5;273.6;418.6;55.8;163.7;132.4;268.7;327.3;193.7;173.3;88.3;110.3;182.3;149.1;138.7;64.7;105.9;174.5;229;131;84.5;120;132.8
51344;175.1;172.9;204.1;332.4;236.1;-999;-999;302.1;272.1;249.1;188.9;145.6;121.5;69.4;385.4;406.7;240.4;310.5;265.9;53;116.8;164.4;358.5;193.6;105.1;204.8;92.6;169;120.7;161.4;131.8;137.3;208.1;238.2;136.4;169.5;104.4
51345;221.1;204.2;205.9;251.1;277.1;-999;312.1;260.2;203.7;211.7;182.7;139.8;170.5;494;348.7;367.1;249.1;375.6;97.2;135.8;143.3;285.6;302.4;147.3;164.2;128.1;138.7;154.6;177.2;163.6;66.3;119.5;244.4;209.1;164.5;121.2;120.1
51346;218.5;253.7;272.1;264.9;281.5;241.6;263;260.3;208.6;159.6;143.7;224.1;350.1;332.8;318.2;312.5;239.2;122.4;130.8;189.8;273.1;248.7;197.7;131.9;118.9;146.6;172.9;162.2;118.6;84.7;161;199.4;181;137.5;116.5;114.6;163.3
51347;212;279.4;-999;-999;281.9;199.9;272.9;362.6;192.9;144.7;170.6;-999;326.7;255.7;312.5;221.6;111.3;173.1;145.1;333.1;345;124.4;203.9;152.1;143.4;188.9;204.5;166;48.6;69.5;206;199.5;149.9;112.2;111.7;98.7;214.9
51348;414.4;-999;247.8;237.4;244.2;263.1;340;179.7;157.3;20.7;384.9;317.5;233.3;269;204.2;108.4;145.9;159.2;354.4;291.6;156.6;185.9;117.3;154.4;165.4;219.1;143.7;81.1;116.1;197.8;173.4;119.2;130;117.6;124.9;210.1;249.5
51349;206.2;276.8;294.9;243;293.4;244.7;280.2;259.5;201.5;153.9;169;234.6;352.8;334.1;288.8;310.9;199.3;125.2;134;198.2;300.7;239.7;194.9;139.3;113.4;150.2;168;185.9;111.5;79.8;159.7;205.5;168;122.7;116.5;125.6;166.6
51351;218.1;190.4;266.6;306.7;-999;261;277.9;234.9;229;165.7;139.6;165.4;270.9;376.8;336.1;254.6;338.9;146.6;110.2;140.9;235.3;318.8;215;140.4;120.2;120.5;169.1;173.7;175.7;87.5;86.9;183.8;227.7;160.3;117.2;123.4;148.5
51352;278.2;229.5;246.5;266.8;239.7;213;185.6;170.2;316.1;317;266.4;237.9;220.4;152.8;134.6;167.4;278.3;344.9;243.1;181.8;163.7;142.1;170.9;204.6;222.6;125.2;98;146.8;167.8;149.6;134.4;135.9;115.3;142.1;218.9;235.4;210.3
51354;378.6;-999;-999;262.7;236.2;255.8;364.9;198.7;177.8;18.4;-999;366.1;290.1;241.8;305.1;125.1;108.1;142.4;294.1;431.5;204.6;146.6;140.7;108.9;167.7;150.6;213.9;75;96.3;183.4;230.2;139.9;92.8;138.1;125.3;144;241.4
51359;240.1;335.8;-999;-999;303.2;184.6;285.1;423.5;189.2;98;-999;385.2;358.1;173.9;331.2;213.1;111.3;182;114.4;326.5;216.3;155.6;169;90.7;143;184.5;243.4;122;41.3;54.2;341.2;151.4;137.8;135.6;125.6;123.9;268.6
51361;273;268.4;247.3;275.2;228.5;228.9;299.4;275.9;185.5;107.8;184.2;379.6;321.1;272.4;303.3;237.2;117.2;139.3;181.2;290.7;278.1;192;157.4;109;137.7;171.5;182.8;130.7;82;125.4;195.5;188.4;126.5;113.5;113.3;129.2;194.2
