code;1981;1982;1983;1984;1985;1986;1987;1988;1989;1990;1991;1992;1993;1994;1995;1996;1997;1998;1999;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017
51333;16.7;12.4;-999;-999;17.1;18;15.9;20.1;20.9;18.5;22.3;-999;8.3;9.5;16.8;16.2;27.4;29.5;20.4;13.3;8;17.6;22.1;44.7;26.6;24.5;24;13.7;25.2;25.9;25.6;18.2;19.8;33.8;14;21.5;13.7
51334;15.2;15.1;-999;-999;20.6;27.1;18.4;12.2;23;21.1;24.6;11.8;8.2;15.2;19.5;18.3;39.1;25;21.1;5.4;9.7;23.8;20.1;36.6;27.8;28.5;10.4;20.3;33.4;38.1;18;20.7;32.1;25.8;17.8;19.8;13.9
51336;14.7;13.9;-999;-999;18.5;16.9;18.1;14.7;20.4;22.3;21.1;-999;7.5;15;16.5;24.3;31;25.1;20.7;6.2;9;23.6;23.3;35;25.4;28.3;18.6;19.2;28.2;27;32.3;20.8;23.5;24.5;16.4;19.7;11.6
51337;16.2;12;-999;-999;19.3;20.1;16;13.3;22.4;21.9;25.7;12;7.4;15.6;24;21.1;34.7;23.5;22.4;5.5;9.1;21.9;23.2;27.5;23.7;25.4;12.3;16.8;26.9;36.8;20;23.5;34.1;21.3;17.5;18.8;10.9
51350;18;11.7;28.4;-999;23.8;18.8;16.1;21.1;23.1;22.7;22.5;14;9.1;10.4;16.8;18.7;22.9;31.4;20.2;19.3;7.2;15.1;20.5;37.4;28.5;26.4;22.4;14.3;23.9;23.1;26.4;18.2;20.9;32;17.4;19;12.9
51366;17.8;14.1;-999;-999;17.1;18.1;17.5;19.8;19.6;14.5;21.1;-999;10.4;12.5;16.5;19.5;37.8;23.5;18.7;9;6.8;19.8;22.4;48;24.7;20.2;17.5;17.1;28.1;32.9;24.3;24;24.3;42.2;14.3;15.8;10.1
51368;16.4;13.8;-999;-999;18;17.6;16.7;17.9;22.3;18.3;27.5;9.3;8.6;14.3;21.2;17.8;31.6;20;26.6;7;11.7;20.2;23;47.9;23.1;22;11.6;17.5;31.7;32.2;20.9;21.2;23.3;31.8;15.4;18.5;12.1
51369;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999
51371;20;17.6;-999;-999;17.2;19.4;18.6;16.4;17.8;12.8;26;-999;9.5;8.6;15.1;20.9;32.6;23.6;21.8;8.3;5.2;19.6;20.9;39.1;22.3;21.6;22.8;15.3;26.3;22.6;19.3;24.1;24.2;33.7;14.5;14.8;14
51372;20.8;12.6;-999;-999;17.2;17.9;15.5;16.7;24.7;12.7;15;-999;7.7;14.3;18.1;16.5;33.7;18.8;14.5;8.6;8.7;15.8;24.1;28.8;24.3;25.1;13.7;14.8;29.4;32.2;23.4;17.3;24;52.6;15.1;18.4;9
51375;16.6;-999;-999;-999;19.8;19.2;17;21.9;16.1;27.3;-999;10.2;8.8;14.3;17.9;28.3;27.8;20.1;16.5;4.7;13.8;21.9;39.1;26.3;28.8;21.7;13.5;23.1;19.5;22.1;24.3;23.1;36.3;11.8;18.7;19.8;10.3
51378;17.1;12.6;-999;-999;19.8;17.4;16.4;17.3;20;15.5;25.1;-999;8.8;12.1;16.6;17.8;31;22.4;25.2;6.1;8;19.3;25.1;46.9;22.2;22.1;18.4;15;29.2;35.7;19.2;20.8;24;30.5;15.9;19.9;9.2
51382;21;11.9;-999;-999;17.2;15.8;19.2;16.3;22.1;19.9;-999;10.6;8;17.8;17.7;19.8;33.3;17;26.5;5.5;10.4;18.5;30.4;28.1;30.4;22.2;10.2;17.7;33.3;33.2;24.2;18.7;23.1;35.5;17;20.7;10.1
51385;14;-999;-999;23.8;21.9;20.2;13.4;19.2;22.7;36.5;9.6;7.9;16.2;19.6;24.5;32;21.1;28.6;7.3;11.2;21.4;25.8;35.6;24.7;23.5;13.7;18.8;32.3;33.5;29.1;20.2;27.4;25.9;14.7;18.6;12.1;15.5
