code;1981;1982;1983;1984;1985;1986;1987;1988;1989;1990;1991;1992;1993;1994;1995;1996;1997;1998;1999;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017
51333;46.7;88.5;-999;-999;33.4;25.7;56.2;43.8;45.2;33;143;-999;34.6;31;49.9;64.8;26.7;24.3;29.1;27.2;27.1;40.7;48.4;30.5;25.1;35.7;30.8;26.8;23.1;25.7;40.9;51.2;41.3;26.1;21.2;27.6;26.3
51334;73.3;95.3;-999;-999;31.8;31.6;49.9;85.1;26.8;64.9;156.1;36.9;34.3;32.8;75.5;47.5;17.7;30.3;34;28.5;31.1;23.1;41.3;28.4;41.5;37.9;25.6;25.1;15.7;21.3;63.5;40.7;35.4;33.4;24.7;26;32.2
51336;48.3;86.9;-999;-999;37.1;24.5;55.1;76.1;30;55.3;129.5;-999;32.8;29.9;51.8;46.8;22.9;29.5;29.8;29.3;29.3;29.2;44.3;30.3;32.1;35.7;26.8;25.6;14.8;18.6;56.4;53.3;31.2;32.7;21.7;28.4;27.7
51337;68;78.4;-999;-999;33.8;28.3;45.5;104.4;28.2;63.6;143.7;33.5;28;35.1;80;45.3;23.5;36.1;33.8;27.2;30.7;30.6;46.6;24.2;39.5;41.3;24.1;26.4;15.3;20.3;73.4;46;26.1;40.7;22.6;28.4;35.4
51350;38.6;77.8;188.2;-999;24.6;28.3;40.1;45;35.2;32.6;118.4;114.7;33.2;34.5;44.3;73.1;32;24.1;30.2;41.4;27.5;42.1;41.7;32.9;25;35.7;32.3;24.9;24.6;25.4;31.3;55.7;36.5;27.2;26.3;24.7;25
51366;51.4;134.9;-999;-999;37.8;22.6;52.1;82.5;45.9;34.8;92.7;-999;28.4;34;55;68;17.6;28.3;46.5;26.9;32.1;31.9;52.2;39.3;48.7;37;24.2;27.3;28;14.5;46.6;41.5;26.9;36.5;23.4;27.7;24.3
51368;56.7;97.7;-999;-999;37.7;28.8;55.1;106.5;37.2;70.1;99.8;30.8;28.1;37.1;66.5;59.3;24.2;30.6;34.9;28.3;35.7;27.7;52.9;25.1;36.9;37.5;28.9;25.4;16.7;15.5;47.8;36;29.9;34.5;21;27.2;29.8
51369;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999
51371;49.1;114.1;-999;-999;40.6;22.1;39.4;48.2;37.1;37.7;93.4;-999;36.1;31.1;41.8;61;28.3;31.5;38.9;25.5;28.2;47.5;47.4;30.8;34.4;38.6;31.4;26.7;30.3;22.7;45.2;46.3;28;27.9;22.1;23.5;25.3
51372;56.1;92.2;-999;-999;34.6;24.2;53.3;72;54.7;56.2;127.1;-999;30.1;38.6;79.1;73.3;21;40.6;39.8;26.5;35;27.1;49.8;25.8;35.3;27.1;28.2;29.4;21.7;15.7;35.3;42;32.1;31.3;18.2;25.3;32.7
51375;107.4;-999;-999;-999;21.8;49.9;68.3;41.5;40.3;25.7;-999;40.5;30.2;40;58.5;37.6;26.7;43.8;31.3;32.5;37.1;29.1;39.3;28.1;37.7;34.3;27.4;25.6;31.2;42.5;61.6;34;24.5;20.9;23.3;26.9;26.2
51378;51.2;113.7;-999;-999;36.2;25.9;55;79.6;42.5;78.4;117.4;-999;30.3;34.3;64.7;59.6;23.2;32.1;29.7;28.4;34;34.3;63.3;27.8;33.8;40.9;37;25.2;20.5;19.5;45.2;41.8;35.5;37.4;22.3;27;34.3
51382;71;130.2;-999;-999;27.5;26.1;48.4;73.3;42.2;72.5;-999;38;40.8;35;80.1;66.6;26.6;45.1;32.6;26.5;35.9;28.8;51.9;20.7;38.8;31.6;23.6;28.1;15.8;13.3;52.1;38;31.5;31;23.2;27.2;33.3
51385;141.4;-999;-999;28.9;29.7;50.4;123.7;38.7;88.8;7.3;44.7;28;35.5;52.9;53.3;20.7;33.5;44;27.1;34.7;35.1;50;31.3;35.6;34.6;29.4;30.6;17.3;23.9;48.3;40;29.6;29.6;26.3;29.4;30.9;40.8
51386;53.2;99.8;-999;-999;29.8;25.9;49.1;76.3;36.4;51.4;147.8;37.3;30.8;31.7;76.6;59.6;25.4;37;33.4;25.7;31.4;29.3;50;27.1;33.6;36.5;26.6;26.5;15.6;16.1;57.1;43.4;30.8;31.9;22.8;27.3;33.8
51391;95.3;-999;-999;24.5;28.3;50.9;77.6;36.4;126.2;-999;39.8;30.3;36.1;46.8;59.7;21.9;46.8;39.3;29.7;33.8;29.9;48.2;22.8;33.8;43.4;27.2;33.3;15.2;25.1;57.4;38.2;24.6;23.5;22.6;32.3;33.8;47.6
51393;139.1;-999;-999;32.9;26.3;51.8;121.3;50.2;73.6;16.1;50.8;33.3;33.5;51.6;56;22.5;31.8;40.4;26.5;32.5;32.7;45.8;31.8;36.4;30.9;34;25.4;18.4;24.7;39.6;49.9;29.9;32.1;23.6;25.7;30.6;35.7
51395;97;-999;-999;34.4;27.7;55;119.2;49.1;93.2;-999;34.1;29.8;36;50.9;65.2;22.8;39.1;43;26.4;34.4;30;57;23.7;37.6;35;27.3;26.8;15.3;18.9;41.4;39.1;24.7;31.4;25;31.3;32.4;39.3
51396;77.4;-999;-999;41.9;21.2;38.8;89.9;49.8;54.8;20.3;-999;29.5;32.1;51.6;48.9;31.1;24;47.1;32.6;30.2;37.3;36.8;33.4;27.4;35.6;37.1;25.3;19.9;29.7;50.1;45.4;29.9;25.9;23.2;27.3;30.9;32
51398;188.3;-999;-999;39.4;20.6;46.9;86.8;52;65.3;11.2;-999;37.2;26.2;54.4;55.1;22;25.9;46.7;26.6;31.1;34.5;40.3;44.5;45.5;38.4;29.8;30.8;23;19.3;54;46.8;26.7;32.4;26.1;23.6;22.7;33
51402;168.9;-999;-999;-999;18;49.5;45.8;60.5;48.1;24.9;-999;33.8;28.8;43.7;69.6;39.5;16.7;46.5;39.5;29.8;39;31.8;30.8;39.3;41.5;31.4;27.5;26;32.5;57.7;53.5;35.2;22.2;23.3;25.8;32.4;25.4
68769;103;-999;-999;28.9;24.3;34.2;86.5;41.9;50.5;22.1;-999;35.6;28.3;50.6;53.2;29.5;23.2;42.9;28.8;31.5;36.4;38;39.2;33.9;39.6;33.3;25.6;25.5;32.8;46.4;57.7;31.5;26.6;21;24.3;22.5;35.2
