code;1981;1982;1983;1984;1985;1986;1987;1988;1989;1990;1991;1992;1993;1994;1995;1996;1997;1998;1999;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017
51333;245.9;505.7;-999;-999;329.1;281.9;409.6;299.3;235.3;205.9;452.6;-999;520;435.1;343.7;376.4;133.5;138.8;262.2;390.4;546.1;374.5;302.8;126.2;128.8;202.3;262.2;342.1;119.5;101.6;197.7;337.6;199;141.4;208.7;199.4;251.6
51334;279;561.9;-999;-999;369.1;250.3;322.4;557.7;160.1;268.8;675.3;-999;452.6;366;498;436.8;78.6;157.4;260.7;438.5;531.3;207.6;239.9;160.3;213.8;172.6;287.9;285.5;67.2;89.7;406;213.2;112.5;176.9;182.5;176.6;297
51336;280.6;506.4;-999;-999;363.8;286.6;369.5;467.6;172.6;294.7;503.5;-999;464.8;322;420.3;351.3;103.8;193;255.5;484.6;590.7;190.9;209.8;138.6;163.9;216.8;265.4;312.3;83;77.8;285.9;295;148.8;179.6;199.2;169.2;315.5
51337;420.7;541.5;-999;-999;284.7;259.8;367.8;424.5;208.4;207.7;288.6;556.2;481.8;315.2;482.5;295.3;114.5;237.3;197;523.6;504.9;171.6;187.9;132.6;176.1;221;354.8;255.4;101.1;76.2;404.2;216.3;120.7;195.2;194.7;173.5;335.3
51350;236.7;447.6;815.1;-999;263.6;290.3;333.2;305.5;211.6;189.9;409.7;450.1;531.3;454;366.8;445.8;186;127.4;234.3;327.6;532.7;375.1;271.2;155.7;116.2;192.2;243.6;344;159;112.6;152.3;339.5;198.2;145.8;210.4;195.1;241.3
51366;272;538.3;-999;-999;351.8;240.4;492.6;488.2;222.1;275.7;346.8;-999;451.4;499.5;411.4;344;95;202.2;281.6;472.7;611.7;235;234.9;97.4;211.1;183.8;283.8;285.8;144.3;60.5;179.6;270.9;142.7;134.9;218;220.3;351.2
51368;265.6;590.8;-999;-999;349.4;251.8;306.7;708.5;240.3;374.3;347.8;-999;439.7;403.9;486.8;302.9;127;196.3;241.1;496.5;506.7;171.2;250.2;108.8;182.1;206.6;323;245.5;79.4;50.8;193.5;303;134.1;159.8;189.8;179.7;386.8
51369;350.5;-999;-999;-999;256.6;296.2;396.4;337.8;153.5;209.5;-999;487.5;512.7;276.9;440.5;241.9;125.3;250.1;257.4;558;456;192.5;128.9;102.9;216.6;231.8;401.6;213;139.2;104.3;424.4;211.8;112;213.9;170.8;208.8;332.6
51371;284.1;465.1;-999;-999;343;245.5;330.2;317.5;231.9;258.1;395.8;-999;441.7;474.2;347.3;379.5;141.3;165.8;259.6;430.9;572.5;371.8;226.2;106.3;179;230.6;250.4;318.3;156.2;103.6;217.7;347.9;186.6;109.4;233.8;193.4;251.4
51372;270.2;590.1;-999;-999;344.9;233.5;410.5;616.8;244.1;286.5;501.7;-999;502.6;390.9;484.3;333.8;104.8;223;280.1;482.4;580.6;236.7;228.6;149.7;177;138.8;330.8;268.9;76.9;65.7;233.3;327.5;165.1;123.7;173;196.2;348.6
51375;430.7;-999;-999;-999;238.4;283.7;475.1;254.8;239.1;116.8;-999;474.1;478.6;273.2;468;192.2;135.4;284.5;307.5;615.6;443.7;163.5;137;147.7;181.7;245.8;366.8;173.3;173.1;148.7;397.1;233.8;108;218.1;174.6;187.1;333.9
