code;1981;1982;1983;1984;1985;1986;1987;1988;1989;1990;1991;1992;1993;1994;1995;1996;1997;1998;1999;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017
51338;24;20.7;-999;-999;15.6;18.7;22.3;14.4;18.2;23;29.3;8.4;9.8;19.5;15;18;23.6;17.4;24.1;8.4;19.9;18.5;20.9;24;25.1;25.9;17.9;23.5;44.7;30.4;22.4;26.5;36.6;34.9;21.5;24.4;17.6
51340;29.7;21;19.6;18.9;15.8;-999;11;17.4;19.1;20;19.8;19.9;20.6;7.9;9;12;17.1;17.7;22.1;25.6;21.7;13.2;22;27;25.3;24.1;32.5;23.2;18.4;26;37;24.2;20.1;27.4;28.4;33.4;20.4
51341;22.1;24.7;20.9;16.6;17.7;12.9;-999;11.1;16.1;21.9;18.7;21.4;17.8;20.7;12.4;10;13.7;16;17.2;21.9;27.2;21;14.2;23.6;39.7;24.4;26.7;27.3;20.3;18.8;24;29.9;21;19.8;30.5;29.1;33.1
51342;22.3;20.6;19.4;29.5;-999;9.5;15.5;19.5;19;16.6;19.1;21.3;-999;10.3;10.6;17.3;17.3;21.4;26;19.3;13.4;15;20.6;18.7;26;33.5;22;25.5;24.3;37.2;29.9;18.6;28.2;23.6;33.6;20;21.7
51344;20.1;23.5;18.5;14.7;16.2;-999;-999;9.1;19.6;16.9;13.2;20.3;17.6;22.3;7.6;6.2;15.5;14.7;19.2;22.2;20.5;21.6;14.4;21.1;39.9;23.2;30.4;22.9;23.7;19.1;23.9;23;18.4;23.9;35.1;33.1;47.9
51345;25.1;23.2;18.5;16.3;16.9;-999;15.5;15.3;19.7;19.5;18.7;20.7;23.8;5;9.6;13.3;15.7;15.8;21.4;26.9;20.3;14;19.2;30.4;22;24.1;28.5;24.4;18.8;22.6;41.1;23.1;22;20.9;30.7;35.1;19.4
51346;22.4;19.5;18.6;19.9;14.8;16.4;17.1;17.6;17.3;20.2;21.6;18.2;11.3;11.1;14.4;16.6;18.8;22.4;22.5;17.2;17;18.4;19.4;24.2;29.4;27.1;21.8;21;30;32.7;23.6;21.8;26.8;32.1;29.3;25.4;21
51347;20;14.4;-999;-999;17.9;18.3;17.9;18.1;17.2;22.7;32;-999;8.5;15.7;18.4;20.7;21;18.7;21.2;7.8;18.6;18.5;16.7;22.6;27.3;21.1;17.2;21.9;39.4;32.4;21.9;26.4;30.8;35.8;22.2;25.8;18.2
51348;16.7;-999;26.3;20.1;20.6;18.8;15.3;18.4;21.3;49.1;9.3;13;19;17.8;19;19.8;21.7;19.6;11.5;18.3;20.7;20.9;23.9;24;22.8;18.8;26.9;41.6;26.6;23;27.1;34.7;28.1;24.4;22.8;21.2;19.6
51349;23;19.1;18.1;28.9;18.7;17.5;16.3;19.4;16.8;20.1;21.3;18.8;10.4;12.3;14.8;16.1;19.5;21.8;22.1;18.1;15.2;17;20.3;24.5;29.1;25.2;22.6;21.9;32.1;30.4;24.1;24.3;27.8;36.4;27.6;22.8;19.2
51351;30.1;19.6;17.3;17;-999;15.1;13.4;18.3;21.6;18.1;20.2;20.6;11.3;9.3;12.5;13.5;17.9;22.6;25.4;24.6;14.9;13.4;22.3;23;31.2;28.3;24.1;22.2;22.8;35.4;28.4;22.8;24.1;30.9;38.4;24.2;20.2
51352;16.2;22;20;20;17.6;16.5;19.1;20.1;11.6;11.4;16.1;19.6;18.2;19.6;20.4;19.5;12;13.1;18.8;20.1;21.7;23.8;24.1;20.9;20.3;39.6;37.8;24.9;25.7;29.9;30.2;25.3;28.7;24.5;22.4;22.8;28.2
51354;18;-999;-999;19.4;21.1;22.7;14.9;15.6;21.2;32.8;-999;13.7;16.5;17.6;15.5;19;19.9;22.3;13.1;13.2;18.2;20.2;23.8;29.6;25.2;23.4;25.4;31.9;25.9;24.3;21.5;31.3;41.5;21.2;25.7;17.8;17.5
51359;18.6;17.1;-999;-999;21.7;17.5;26.7;21.2;14.3;27.1;-999;5.6;7.9;16;13.1;20.9;24.4;28.8;21.7;10.9;22.8;15.8;24.5;25.3;21.6;26.3;17.6;25.2;44.7;31.9;18.5;25;43.8;34.9;19;23.5;15.8
51361;19.7;18.1;17.6;16.1;18.6;19.3;17.5;16.8;18.3;25.1;17.9;8.4;10.8;15.4;18;16.8;21.4;21.5;17.7;14.8;17.3;20.5;21.6;26.3;29.7;22.6;22.8;28.3;34;26.6;23.8;26.1;31.1;29.3;26;23.2;21.2
51363;23.2;17.4;23.8;22.7;16.8;17.9;18.9;-999;9.1;13;17.2;18.5;19.1;20.2;19.7;17.2;9.6;15.4;19.3;17.5;23.4;24.5;23.1;19.8;24.1;47.6;23;25.9;29.2;24.9;27;26.8;30.3;22.2;22.4;29.3;25.9
51364;20;18.7;17.3;20.3;21.7;18.5;16.6;19.4;19;9.1;11.2;16.2;18.7;19.4;20.6;20.5;18.5;13.9;14.5;19.3;19.8;22.5;24.4;23.2;20.7;25.1;39.3;30.4;26.2;28.2;29;28.6;25.7;24.1;22.6;23.2;25.4
51377;20;-999;-999;18.5;21.8;17.8;12.5;18.7;26.8;36.7;10.3;10.1;16.6;16.5;17.8;20.3;20.2;23.8;10.2;13.5;18.1;19.4;25.4;25;25.3;23.2;26.7;46.5;30.3;24.8;22.7;30.6;40.5;21;24.5;20.1;23.4
51380;25.1;20.5;18.7;21.4;-999;15.8;14.2;17.6;19.4;19.3;21.2;21;15;10.2;13;12.9;17.2;22.7;22;24.7;13.7;13.8;22.7;23.7;28.4;27;24.5;23.5;25.3;35.2;26.8;23.2;23.1;28.9;41;24.1;20.3
51384;17.8;-999;-999;14.4;22;19.3;15.6;14.8;22.2;33.3;-999;10.1;16.4;16.4;15.6;21.6;21.8;24.3;11.1;10.2;20.5;19.6;24.2;28.6;26.9;22.2;26.9;41;31.6;24.8;18.3;25.1;45.3;20.7;23.3;19.9;26.4
51388;20.6;21.4;20;-999;20.1;18.1;14.6;17.9;20.1;19.5;23;21.3;10.1;10.9;16.9;16.2;19;22.3;20.1;18.6;9.6;18.2;19;29;28.9;24.7;25.4;23.1;29.2;28.1;26.3;22;24.1;41.5;28;21.2;21.1
51389;16.3;-999;19.4;22.3;19.4;17.9;15.3;17.8;23.1;7.2;10.1;13;18.5;16.6;19.3;20.3;22.1;16;11.6;20;20.5;22.2;24.7;24.9;22.1;21.8;34.3;41.6;28.8;21.1;30;40.2;23.9;24.3;23.3;21.4;21.5
51392;18.1;21.1;20.8;19.4;17.9;17.7;19.4;21.4;11;12.3;16.1;18.3;19.8;20.3;21.6;17.9;12.6;12.4;15.6;19.6;21.8;22.9;24.4;22.8;22.6;34.8;35.7;28.2;25.9;28.8;31.1;28.9;25.6;22.7;23.3;22.9;25.6
51394;14;-999;20.6;21.4;17.8;17.2;17;18.2;18.9;9.8;10.7;12.5;17;20.6;18.2;18.6;20.8;11.5;10.4;17.3;16.9;25;22.1;24.9;26.9;21.7;40.6;28.8;26.7;22.7;25.8;43.6;19.5;23.7;21.9;22;22.5
