code;1981;1982;1983;1984;1985;1986;1987;1988;1989;1990;1991;1992;1993;1994;1995;1996;1997;1998;1999;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017
51338;32.8;60.5;-999;-999;25.6;23.6;29.7;69.3;43;45.4;39.6;24.7;28.6;24.5;69.1;43.5;33.1;54.8;19.8;26;24.3;24.3;44;14.3;34.1;29.9;25.9;21.8;6.4;15.6;32.9;34.9;29.9;16.3;18;13;32.4
51340;26.7;35.2;39.1;67.7;127.7;-999;27.3;24.6;31.8;43.6;56.2;42.4;21.6;29;24.4;32.4;54.5;76.3;57.8;27.7;34.2;27.5;37.6;25.1;25.6;23.4;21.6;32.3;27.9;17.2;13;18.5;36;36.2;19.3;24.9;19
51341;32.6;27.7;29.3;37;62.2;68.7;-999;32.8;23.1;31.2;43.6;63.1;43;17.8;29.8;26.4;36.6;50.3;53.7;47;31.6;31.6;30.3;25.4;16.9;23.5;26.5;27.3;28.7;25.8;14.9;17.4;27;35.5;34.3;24.5;29.4
51342;33.2;29.4;66;73.6;-999;28.7;25.4;45.6;36.1;73.6;47.4;32.8;-999;19.5;26.6;41;73.4;63.8;28.2;38.7;36.1;29;45.3;35.1;22;15.1;39.8;31.4;17;9.3;15.2;23.2;39.2;16.3;26.3;19.5;25.6
51344;31.6;42.5;40.9;33.8;73.5;-999;-999;28.1;33;46.1;53.6;52;44.1;22.5;18.6;28;44.2;71.5;83.4;46.8;23.6;21.9;23.4;32.9;17.9;22.1;25.5;17.7;35.4;17.4;6.9;29.4;22.8;39.6;42;23.8;33.6
51345;28.8;34.5;37.4;58;42.2;-999;26.1;23.3;27.6;43.9;54.7;47.2;24.3;30.5;24.9;31.3;49.2;62.3;51.8;38;26.3;26.1;31.6;22.6;37.4;22.2;23.7;25.6;29.4;17.8;8.2;18.9;25.1;37.7;26.8;19.6;19.5
51346;30.6;42.9;59.1;67.4;29.4;25.4;29;39.5;46.8;53.4;39.4;30.6;26.6;26.1;38.2;55.9;60.9;49.2;34.3;28.7;26.6;31.1;35;23.1;21.6;24.6;28.7;26.5;16.8;15.5;23.1;33.9;32.6;23.8;20.2;19.6;25
51347;30.4;59.1;-999;-999;24.4;17.7;25.7;54.6;56.8;69.3;31.6;-999;27.4;28.8;49.8;35.9;38.8;52.6;23.1;25.2;23.2;16.2;46.9;20.1;30.7;33.7;28.6;19.7;5.9;14.5;27.9;32.2;34.3;15.5;17.7;16.3;24.5
51348;68.5;-999;42;27;28;33.2;49.4;59.4;70.5;4.4;32.3;31.9;32.9;56.8;59.8;44.8;28.3;21.9;27.4;28.1;37;39.5;26.9;30;33.7;25.9;18.1;15.2;16.7;31.4;35.3;23.9;20.9;17.8;22.6;30.6;40.2
51349;31.9;48.9;58;59.1;26.7;23.5;30.1;42.9;47.7;56.4;40.7;36.9;25.9;26.8;38.5;51.8;58.1;50.7;33.1;25.2;26.8;30.2;38;24.5;19.4;23.3;32.4;24.3;15.9;14.5;20.4;31.6;35.4;20.3;21.4;19.6;23.8
51351;31.5;34.6;54.4;45.9;-999;21.7;26.1;26.3;36.2;49.6;48.9;49.9;21.8;27.9;27.2;39.2;62.4;58;50.3;22.6;22.8;30.6;34.1;27.2;19.7;22.2;25.6;33;18.2;7.9;18.1;21.2;33.8;37.1;14.6;20.6;20.5
51352;34.8;34.1;30.8;33;39.2;51.7;66.7;69.8;27.6;28.8;35.6;44.5;52.5;50.2;35.6;22.8;23.7;26.7;35.7;42.3;39.2;34;30.2;27;23.3;15.7;16.2;22.9;31.4;30;22.5;20.1;17.2;21.4;28.7;33.6;40
51354;70.2;-999;-999;27.7;22.8;24.8;39.7;50.4;69;7.5;-999;33.1;28;49.7;54.8;58.9;50.6;21.8;23.7;31.2;32.7;45.4;21.7;20.3;26.8;39;21.4;6.7;21.4;18.8;35.4;40.6;19.5;20.3;16.7;23.8;33.4
51359;32.6;45.3;-999;-999;27.2;22.2;24.3;87.2;50.2;47.5;-999;20.2;27.2;24.7;47.2;48.7;35.2;24.3;25.6;23;26.7;21.5;15.4;20.4;34.2;31.4;16.6;17.9;6.5;19.1;34.2;31.8;14.9;18.8;18.6;19.9;33.5
51361;40.1;53.4;51;32.2;26.9;27.5;40.9;50.5;63.6;41.5;27.5;27.2;25.4;27.4;50.4;65.9;48.8;30.1;31.3;27.4;28.1;35.9;31.3;23.9;23.4;34.9;29.2;16.5;17.9;21.4;36.6;34.7;20.8;23.1;20.2;24;29.9
51363;35.1;30.6;31.5;36;42.5;58.4;56.7;-999;26;25.9;39.3;60;66.6;36.3;33.7;23.8;22.4;31.7;42.3;58.2;29;32.4;35.3;27.7;26.5;16.6;19.8;34.5;27.6;27;26;16.5;18.9;26;38.2;37.4;32.6
51364;78.6;41;30;32.4;33.3;37.6;58.9;63.8;61.3;32.3;33.1;34.9;45.7;68.7;56.8;30.5;25.4;25.6;30.1;34;41.7;32.9;27.9;31.8;31.4;23.1;17.1;19;28.7;34.1;26.3;21.2;19.9;18;25.5;34.3;38.2
51377;70.9;-999;-999;26;23.1;29.8;41.6;44.9;52.4;9.3;30.3;25.9;24.8;64.2;57.6;38.5;42.2;18.5;24.3;27.4;32.7;56.3;24;32.2;34.3;29.6;24;9.9;22.2;26.7;32.8;31.5;15.7;20.4;19.9;28.8;38.1
51380;31.3;32.1;46.2;79.3;-999;24.9;28.1;28.8;38.2;48.8;48.1;52.4;20.8;25.7;28.1;41.2;67.4;48.7;47.2;21.8;25.4;32.4;38.3;29.3;16.4;25.6;30.4;26.6;20.5;12.5;18.4;26.8;33.4;36.2;14.8;24.6;19.2
51384;61.2;-999;-999;32.3;23.9;27.2;34.8;46.2;55.5;7.2;-999;27.7;26.8;43.8;58.7;44.6;44.1;17.3;27.8;30.6;35.3;48.9;23.9;25.6;35.1;32.5;22.1;7.7;19.8;24.9;29.7;34.3;15.5;22.4;20.4;24.3;38
51388;29.4;43;57.5;-999;26.4;21.5;37.2;38;49.9;43;46.3;51.9;20.9;24.5;33.1;82.3;42.2;49.2;36.4;21;26.4;29.7;47.8;21.8;15.8;34.2;26.3;22.2;21.3;18.9;26.2;29.9;35.1;23;21.5;23.2;19.7
51389;62.9;-999;27.6;26.9;30;29.5;52.1;53.6;65.1;28.6;28.5;29.4;37.2;53.9;48.5;44.1;25.9;21.9;27.2;29.8;46.3;38;29.5;34.4;29.8;23.1;14.5;14.4;21.8;29.5;35.1;21.1;21.1;18;20.6;35.5;36.4
51392;36.1;27.6;29.8;30.3;36.5;52.6;65.6;61.4;27;26.3;30;50.1;55.7;50.8;39.5;30.7;22.9;27.7;41.8;43.3;42;35.9;32.8;26.5;26;18.7;19.2;23.9;27.9;28.8;21.9;18.6;20;23.9;30.9;35.4;35.6
51394;84.7;-999;26.4;22.3;30.7;29.4;44.4;59.1;48.7;33.7;22;28;38.1;87;37.3;46.5;29.5;21.2;28.4;26.6;48.1;36.8;33.6;38.5;27.7;22.4;18.5;21.3;23.7;29.1;30.2;19.2;21.2;18.2;19.3;37.7;38.1
