code;1981;1982;1983;1984;1985;1986;1987;1988;1989;1990;1991;1992;1993;1994;1995;1996;1997;1998;1999;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017
51338;201.3;294.9;-999;-999;287.7;247.8;169.3;335;309.6;210.6;151.4;420.3;356.4;164.2;317.4;248;191.1;249.6;133.5;438.3;285.7;102.4;216.7;68;140.9;144;253.4;128.7;32.7;78.8;136.8;179.1;120.6;92.4;133.6;67.9;246.2
51340;181.7;192.6;221.5;302.1;295;-999;329.6;214.4;159.9;248.6;323.1;238.5;121;365.6;329.4;337.1;317.4;464.3;247.6;160.9;241.2;304.6;252.2;101.4;100.7;96.7;104.7;158.1;208.8;97.5;45;108.6;158.4;191.1;95.6;98;139
51341;267.6;170;166.4;273.5;326.7;399.4;-999;344.2;224.7;145.9;235.3;302.2;241.5;107.8;329.8;356.5;314.4;300;327.8;185.7;158.6;255.5;322.5;155.2;74.7;131.5;145.1;130.5;165.6;227.8;81.4;74.8;141.4;158.7;193;90.3;106.1
51342;177.1;182.4;312;293.1;-999;296.1;269.4;227;228.4;337.7;245.4;136;-999;264.6;290;278.5;470.7;225.8;181.2;253.7;345;284.2;150.6;146.8;89.4;80.7;213.9;245.9;87;28.2;63.5;176.6;205.5;80.8;95.3;128.2;150.4
51344;239.1;275.9;162.2;230.4;386.3;-999;-999;349.5;240.5;193.2;357.4;309.4;314.9;108.9;358.3;425.9;393.8;312.1;391.7;169.4;145.8;191.3;256;177;55.2;122.1;108.9;79.3;129;177.2;33.4;89.2;129.1;184.5;253.9;66.2;90.6
51345;203.3;193.5;194.6;296.8;284.8;-999;296.1;266.8;152.9;189.9;327.5;245.2;179.3;154;334.3;341.2;293.2;405.9;264.3;192;186.4;285.9;276;98.4;156.3;96.6;122.9;101.5;212.8;134.2;24.4;107.9;125.7;173.2;152.8;65;153.2
51346;184.6;227.7;286.6;296.8;311.3;260;245.1;200;244.5;285.5;219.3;180.1;343.6;317.7;287.3;344.4;357.3;247.3;192.2;253.6;295.5;246.3;172.2;97.5;82.2;104.8;180.7;203.3;104.2;52.8;101.9;160.4;156.3;106.3;108.6;123.5;158.1
51347;168.8;295.1;-999;-999;256.6;215.8;171.7;284.9;363.2;271.7;92.3;-999;348.7;200.1;272.8;216.5;240.7;289.7;159.9;392.4;223.4;84.1;291.8;87.2;129;165.8;360.7;181.5;15.7;46.2;133.5;232.2;129.8;64;136.8;55.8;195.2
51348;362.6;-999;318;261.7;189;179.3;269.4;301.4;248.7;36.9;408.7;303.1;184.3;314.4;364.6;233;181.7;190.3;369.1;228.1;184.5;180.4;124;157.5;216.6;272.6;95.5;50.7;79.6;169.7;165.4;78;119.4;101.5;109.9;219.7;186.8
51349;177.4;243.2;298.2;243.4;285;248.7;227.6;204.6;252.4;275.9;216.9;182.7;324.5;298.7;262.2;346.7;338.3;260.9;189.6;243.4;329.1;223.9;178.7;101.6;80.9;116.5;179.5;204.2;88.5;52;96.3;154.4;165.4;90.5;112.5;122.5;160
