code;1981;1982;1983;1984;1985;1986;1987;1988;1989;1990;1991;1992;1993;1994;1995;1996;1997;1998;1999;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017
51333;25.5;51.5;-999;-999;36.7;24.1;33.4;27.3;47.7;49.9;50.2;-999;26.9;22.7;37.3;64.3;46.1;57.9;19.2;29;28.5;35.1;47.4;17.8;19.9;34.8;35.1;22.7;11.8;18.5;30.7;22;36.6;12;27.4;23.1;23.6
51334;34.4;67.4;-999;-999;24.4;20.9;38.4;80.4;42.6;45.8;52;27.2;30.9;21;55.7;53.7;40.7;43.4;26.6;24.6;24.3;21.6;46.9;17.2;30.1;21.6;27.6;17.7;6.7;19;34.5;42.9;29.6;18;17.4;16.9;30.6
51336;32.2;65.5;-999;-999;29.1;26.4;31.2;43.6;47;52;38.8;-999;32.4;26.5;60;57.7;45.8;59.7;20.4;26.9;25.7;20.7;48.5;18.7;20.4;24;37.5;21.2;5.5;20;23.6;38.3;37.8;13.4;19.9;16.6;29.7
51337;32.6;52.8;-999;-999;21.5;25.2;34.1;82.6;41.9;37;40.4;21;26.1;30.2;61.6;58.5;45.4;51.4;20.3;25.9;26.1;28.4;47.5;14.7;32.1;18.7;27.6;18.5;5;19.8;34.6;40;32.2;15;19.4;13.7;36.1
51350;31.1;53.1;74;-999;20.5;24.5;26;34.8;58.2;53.3;46;3.2;25.6;25.2;41.4;54;51.3;51.6;22.2;24.5;27.5;33.8;48.7;19.7;17;30.2;34.6;19.6;18.6;15.1;20.5;28.5;39;12.8;25.3;17.8;22.1
51366;28;62.4;-999;-999;38.3;22;39.4;58.2;59.1;51.1;47.2;-999;20.7;22.7;28.4;86.4;30.8;43.2;29.5;22.7;35.8;15.7;52.1;22.3;30.4;42.7;27.7;24;11.4;13.2;38.8;31.9;34.2;14.3;24.3;21.7;26.5
51368;26.5;47.1;-999;-999;26.3;23.9;37.8;56.1;54.9;41.4;49.1;29.8;17.8;23.4;45.8;89.9;29.1;46.8;23.1;23.3;32.1;24.1;62.1;13.9;34.5;41.1;26.4;21.6;4.8;12.3;45.5;25.9;38;17.9;20.7;24.9;29.6
51369;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999
51371;22.9;66.8;-999;-999;27;17.9;29.4;39.2;55.9;37.8;41.2;-999;17.9;22.5;30.5;102.2;25.7;53.2;48.4;24.1;28.9;21;40.9;18.7;15.9;39;26.8;25.3;13.9;18.7;30.7;29;30.8;20.9;24.5;20.7;25.8
51372;29.6;53.6;-999;-999;29.8;22.3;38.1;106.8;53.6;56.1;49.4;-999;21.2;22.9;45.3;104;29.1;46.5;21.4;20;25.6;19.4;64.2;14.5;38.2;41.9;28.5;20.2;10.1;16;44.4;24.9;29.5;11.4;20.6;27.7;28
51375;54.3;-999;-999;-999;17.7;28.7;47.1;40.3;34.9;9.9;-999;21.5;21;32.9;101.7;50.6;38.5;45.5;19.2;33.8;24.9;33.7;22.3;16.1;41.6;27.2;24;12.3;26.3;22.7;23.2;31.8;26.9;20.9;21.3;18.5;36.8
51378;25.9;48.6;-999;-999;25.6;22.4;47.1;89.5;62;49.5;57.4;-999;21.9;24.4;35.8;65;27.6;57.5;22.1;23.1;31.1;19.5;59.8;14.7;30.8;45.6;27;19.8;9.5;12.8;42.4;28.6;43.4;18.2;21.3;29.9;30.5
51382;21.4;54.7;-999;-999;24.1;25.1;37.2;105.6;36.5;50.1;-999;24.9;26.2;24.3;54.6;73.2;32.2;53;13.2;22.7;28.1;29.8;46;16;41.1;37.5;23.2;19.4;7.2;15.5;39.1;26;38.3;19.4;21.1;19.3;26.2
51385;64.9;-999;-999;28.2;24.1;31.9;42.2;51.5;54.7;6.4;30;31.5;28.9;67.4;61.1;38.6;42.8;14.7;24.4;27;26.9;50.4;18.7;34.4;30.4;25.8;24.7;7.5;22;25.1;30.6;33.7;16.7;21;19.8;28.5;45.1
51386;27.1;55;-999;-999;27.3;26.7;32.2;52.5;43.6;52.3;40.8;28.7;30.8;26.4;75;69.1;38.4;52.4;17.9;26.7;26.6;26.3;45.5;18.5;29.6;27.2;26.8;22.7;5.9;17.5;28.7;28.4;31.9;13.9;21.5;17.6;27.2
51391;82.8;-999;-999;23.4;29;29.7;49.1;34.2;60.1;-999;35.1;30.4;36;96.6;81.1;37.8;41;14.3;24.8;30.1;31.7;45.7;15.9;41.6;20.4;22.4;24.7;6.3;23.5;21.7;35.6;21.9;19.2;18.5;20.4;32.7;64.8
51393;60.4;-999;-999;27.3;20.8;33.2;45.5;47.8;60.1;9;28.9;24.3;21.8;43.9;60.2;36;38.7;20.3;22.8;27.8;25.8;55.5;23.1;34.9;41.6;26;22.7;10.4;25;30.4;27.4;36.7;18.6;20.5;23.5;26.6;35.4
51395;47.2;-999;-999;27.7;22.9;33.6;48.4;52.1;61.3;-999;38.7;24.2;26.3;66.3;72.3;34.5;41.2;16.8;22.5;30.6;30.7;65.3;16.9;44.1;38.2;24.6;20.3;8.6;17.4;34.9;33.5;33.9;22.3;20.2;25.3;26.7;44.7
51396;72.8;-999;-999;30.2;17.7;33;43.5;46.7;47.6;5.9;-999;18.7;23.9;42.8;85.1;47.2;47.4;34.4;25.3;25.5;30;60.2;19.6;20.1;36;21.7;21.8;13;17.4;30.3;23.3;32.9;22.9;19.1;19.9;23.8;33.9
51398;77.5;-999;-999;45.8;20.3;27;41.8;49.6;53.6;4;-999;21.7;25;36.9;87.5;21.4;40.2;39.3;27.7;29.3;18.1;46.7;32.8;25.5;41.5;31.8;24;9.9;18.8;28.1;29.2;32.9;17.1;21.1;16.8;25.3;33.1
51402;87.7;-999;-999;-999;19.7;33.5;49.5;35;34.7;6.6;-999;23.5;26.1;33.4;103.5;46.4;40.1;38.7;22.8;28.5;25.5;54.3;25.4;21.5;26.2;18.4;24.4;17.7;22.3;29.7;14.4;23.4;25.9;23.6;19.4;21.6;43
68769;52.3;-999;-999;45;19.8;31.4;48.7;40.6;47;6.4;-999;19.6;23.8;30.7;99.5;34.6;42.3;37.3;22.4;28.5;21.8;47.2;32.5;18.8;35.9;24.2;23.8;13.1;24.5;26.9;32.6;37.6;20.9;19.7;17.8;18.5;36.6
