code;1980;1981;1982;1983;1984;1985;1986;1987;1988;1989;1990;1991;1992;1993;1994;1995;1996;1997;1998;1999;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013
51333;22.1;19.8;20.3;25;-999;20.2;20.3;22.8;-999;-999;20.9;25;-999;-999;-999;22.6;25;-999;-999;25.7;21.4;26;-999;27.4;26.4;25;25.7;-999;28;19.8;28.9;28.2;-999;28.6
51334;21.6;20.5;20.4;-999;-999;21.3;20.2;23.6;-999;-999;20.6;24.8;-999;-999;-999;23.2;25.1;-999;-999;27;22.7;26.7;-999;27.7;22.9;25.1;25.9;-999;28;18.8;28.8;28.4;-999;28.7
51336;21.5;20.6;20.4;23.7;-999;21.4;20.3;23.4;-999;-999;20.6;24.8;-999;-999;-999;23;24.9;-999;-999;27.2;22.4;26.6;-999;27.6;23.1;25.2;25.8;-999;28.1;19;28.8;28.3;-999;28.8
51337;21.5;20.8;20.4;23.7;-999;21.6;20.7;22.9;-999;-999;20.7;24.6;-999;-999;-999;22.5;24.5;-999;-999;27.7;21.8;26.2;-999;27.5;23.9;25.4;25.6;-999;28.2;19.3;28.7;28;-999;29.1
51350;21.9;19.3;20.9;25.6;-999;19.7;20.3;23.6;-999;-999;21.3;25.3;-999;-999;25.7;23.1;25.5;-999;-999;25;21.5;26.1;-999;27.3;26.3;24.9;25.9;-999;27.8;20.1;28.6;28.5;28.7;28.2
51366;21.8;19.6;21.4;24;-999;21.4;20.5;23.2;-999;-999;20.3;25.4;-999;-999;-999;23.4;25.5;-999;-999;26.7;21.8;26.2;-999;27.4;25.3;25.6;25.7;-999;27.6;19.4;28.4;28.2;-999;28.6
51368;21.8;19.6;21.4;24;-999;21.4;20.5;23.2;-999;-999;20.3;25.4;-999;-999;-999;23.4;25.5;-999;-999;26.7;21.8;26.2;-999;27.4;25.3;25.6;25.7;-999;27.6;19.4;28.4;28.2;-999;28.6
51369;21.9;19.8;21.1;-999;-999;21.2;20.8;23.1;-999;-999;20.5;25.2;-999;-999;-999;23.3;25.2;-999;-999;26.8;22.1;26;-999;27.5;24.9;25.6;25.7;-999;27.8;19.3;28.3;28.2;-999;28.9
51371;21.8;19.5;21.2;24.4;-999;20.7;20.7;23.2;-999;-999;20.8;25.4;-999;-999;-999;23.1;25.4;-999;-999;24.6;21.6;26;-999;27.3;26.2;25.2;25.7;-999;27.6;19.7;28.4;28.4;-999;28.5
51372;22;19.5;20.5;23.7;-999;21.1;21.5;22.8;-999;-999;20.4;25;-999;-999;-999;23.2;24.8;-999;-999;26.7;22.2;25.7;-999;27.4;24.8;25.4;25.6;-999;28.1;19.1;28;28.3;-999;29.1
51375;21.6;21.3;21.3;-999;-999;20.8;20.5;23.8;-999;-999;21.3;25;25.1;-999;-999;23.3;25.2;-999;-999;27.3;23;26.2;-999;27.9;23.5;26.1;26;-999;28;19.2;28.5;28;-999;29.8
51378;22;19.5;20.4;23.7;-999;21.1;21.5;22.7;-999;-999;20.4;25;-999;-999;-999;23.2;24.8;-999;-999;26.7;22.2;25.7;-999;27.4;24.8;25.4;25.6;-999;28.1;19.1;28;28.4;-999;29.1
51382;22;19.7;20.6;-999;-999;21.1;21.4;22.8;-999;-999;20.5;25;-999;-999;-999;23.2;24.6;-999;-999;26.8;22.3;25.7;-999;27.5;24.7;25.5;25.6;-999;28.1;19.2;28;28.3;-999;29.3
51385;22;22.9;22.2;-999;-999;21.4;20.3;23.5;-999;-999;21.4;24.2;24.8;-999;-999;22.5;23.4;-999;-999;27.5;23.2;24.8;-999;28.2;24.2;26.7;26;-999;28.5;16.7;28.1;27.2;-999;30.9
51386;21.6;20.6;20.4;23.7;-999;21.6;20.8;22.8;-999;-999;20.6;24.7;-999;-999;-999;22.6;24.6;-999;-999;27.5;21.8;26.1;-999;27.5;24;25.3;25.6;-999;28.2;19.3;28.6;28;-999;29.1
51391;22.1;23.7;22;-999;-999;21.9;20.4;23.5;-999;-999;21.3;22.8;25.4;-999;-999;22.2;23;25.9;-999;27.9;23.3;24.6;-999;-999;25.3;26.5;26.3;-999;28.5;14.3;27.8;27.1;-999;30.9
51393;21.9;21.5;21.8;-999;-999;20.8;20.7;23.2;-999;-999;21.4;25.4;24.7;-999;-999;22.8;23.5;-999;-999;27.3;23.5;25.7;-999;28.2;23.3;26.8;25.7;-999;28.4;19.2;28.1;27.5;-999;30.7
51395;21.7;22.2;21.4;-999;-999;20.8;20.6;23.8;-999;-999;21.6;24.4;25.2;-999;-999;22.9;24.3;25.9;-999;27.6;23.6;25.9;-999;28.1;23.4;26.4;26.1;-999;28.3;18.1;28.2;27.7;-999;30.4
51396;21.5;22;21.3;-999;-999;20.6;20.5;24.1;-999;-999;21.7;24.8;25.1;-999;-999;23.2;25;-999;-999;27.5;23.5;26.2;-999;28.1;22.7;26.3;26.1;-999;28.2;19.1;28.5;27.9;-999;30.3
51398;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999
51402;21.5;22;21.3;-999;-999;20.5;20.5;24.1;-999;-999;21.7;24.8;25.1;-999;-999;23.2;25;-999;-999;27.5;23.6;26.2;-999;28.1;22.7;26.3;26.1;-999;28.2;19.1;28.5;27.9;-999;30.3
68769;21.9;21.5;21.8;-999;-999;20.8;20.7;23.2;-999;-999;21.4;25.5;24.7;-999;-999;22.8;23.5;-999;-999;27.3;23.5;25.7;-999;28.2;23.3;26.8;25.6;-999;28.4;19.3;28.1;27.6;-999;30.7
