code;1980;1981;1982;1983;1984;1985;1986;1987;1988;1989;1990;1991;1992;1993;1994;1995;1996;1997;1998;1999;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013
51333;4726;4227.2;4349.1;5348.4;-999;4320.5;4345;4887.1;-999;-999;4481.9;5341.4;-999;-999;-999;4835.2;5354.7;-999;-999;5214.2;4582.5;5555.2;-999;5650.5;5649.3;5357;5466.9;-999;5820.2;4238.8;4002.7;3996;-999;4824.1
51334;4618.4;4384;4375.5;-999;-999;4548.9;4329.9;5042.3;-999;-999;4409.6;5316.5;-999;-999;-999;4973.2;5363;-999;-999;5390.3;4857.2;5679.5;-999;5250.7;4895.3;5380.1;5452.3;-999;5697.5;4030;4209.5;4175.8;-999;4861.7
51336;4610.8;4399;4367.6;5063.3;-999;4576.3;4354.5;5001.8;-999;-999;4410.7;5303;-999;-999;-999;4928.2;5335.8;-999;-999;5291;4802.9;5663.1;-999;5389.6;4953.3;5388.4;5458.7;-999;5714.9;4058.6;4155.1;4094.8;-999;4695.4
51337;4596.4;4458.2;4366.1;5063.3;-999;4629.9;4436.1;4891.9;-999;-999;4434.5;5267.6;-999;-999;-999;4812.7;5240.7;-999;-999;5043;4662;5601.6;-999;5760.4;5114.3;5420.1;5488.1;-999;5771;4134.8;4023.4;3941.4;-999;4050.7
51350;4685.9;4126.9;4464.1;5486.7;-999;4218.6;4354.7;5042.3;-999;-999;4560.5;5414.4;-999;-999;5499.8;4952.8;5463.3;-999;-999;5249.8;4592.1;5582;-999;5592.6;5627.7;5333.1;5471.4;-999;5733.4;4305;3918.9;3962.8;5708.2;5408.2
51366;4670.9;4200.2;4581.4;5140.8;-999;4577.2;4381;4955.3;-999;-999;4354.9;5432.2;-999;-999;-999;5008.2;5458.8;-999;-999;5690.2;4661.9;5596.5;-999;5736.5;5420;5468.4;5445.5;-999;5849.2;4161.9;3796.7;4225;-999;4879.1
51368;4670.9;4200.2;4581.4;5140.8;-999;4577.2;4381;4955.3;-999;-999;4354.9;5432.2;-999;-999;-999;5008.2;5458.8;-999;-999;5690.2;4661.9;5596.5;-999;5736.5;5420;5468.4;5445.5;-999;5849.2;4161.9;3796.7;4225;-999;4879.1
51369;4678.7;4241.2;4522.1;-999;-999;4544.3;4446.7;4944;-999;-999;4383.2;5397.3;-999;-999;-999;4991.5;5391.8;-999;-999;5652.8;4725.3;5568.1;-999;5611.9;5333;5467.7;5457.9;-999;5845.5;4136.4;4129.3;4111.9;-999;4314.4
51371;4672.7;4166.8;4533.3;5219.7;-999;4427.8;4436.9;4955.3;-999;-999;4459.3;5443.2;-999;-999;-999;4948;5427.4;-999;-999;5241;4625.7;5565.8;-999;5733.3;5536.4;5402.5;5440.7;-999;5795.4;4205.2;3979.4;4068.7;-999;4899.8
51372;4708.7;4174.1;4380;5062.9;-999;4523.9;4592.9;4869.1;-999;-999;4355.1;5343.2;-999;-999;-999;4975.3;5306;-999;-999;5656.1;4742.9;5507.4;-999;5563;5311.5;5405.6;5470.4;-999;5943.7;4096.7;4760.3;3786.7;-999;3915.6
51375;4627.9;4556.1;4560.9;-999;-999;4451;4385.4;5096.4;-999;-999;4561.1;5340.3;5380;-999;-999;4981.1;5389.6;-999;-999;5379.3;4927.6;5608.5;-999;5347.7;5020.2;5565.8;5481.2;-999;5697.5;4109.4;4069.2;4333.8;-999;3076.2
51378;4709.5;4173.5;4375.4;5061.2;-999;4522.7;4597.7;4867.2;-999;-999;4355.1;5341.1;-999;-999;-999;4974.6;5302.6;-999;-999;5655.4;4744.8;5505.4;-999;5559.1;5309.1;5404.2;5471;-999;5945.8;4095.2;4782.1;3776.8;-999;3893.8
51382;4708.1;4217.2;4405.7;-999;-999;4514.7;4581;4877.4;-999;-999;4378.6;5353.1;-999;-999;-999;4965.1;5274.6;-999;-999;5670.4;4775.1;5505.6;-999;5473.1;5275.3;5436.5;5472.4;-999;5884.3;4099.7;4733.7;3845;-999;3697.5
51385;4715.9;4880.4;4747.8;-999;-999;4588.4;4350.8;5039.3;-999;-999;4572;5173.7;5315.9;-999;-999;4807.7;5000.9;-999;-999;5639.9;4973.9;5313.7;-999;4729;5174.9;5616.2;5526.4;-999;5254.6;3572.6;4336.3;4861.5;-999;1775
51386;4611.7;4406.5;4360.9;5063.3;-999;4623.8;4454.5;4886.5;-999;-999;4412.6;5280.8;-999;-999;-999;4832.3;5257.2;-999;-999;5133;4674;5593.8;-999;5723.8;5144.2;5418.1;5478.9;-999;5787;4131.3;4134.1;3880.2;-999;4091.2
51391;4719.6;5046.4;4702.2;-999;-999;4676.3;4363.2;5034.8;-999;-999;4554.1;4884.1;5431.2;-999;-999;4744.2;4925.4;5541.8;-999;5399.6;4985.4;5270.1;-999;-999;5414.1;5490;5573.8;-999;5289.2;3065.7;4451.6;5025.4;-999;1599.9
51393;4696.3;4610.3;4671.1;-999;-999;4452.8;4432.7;4970.3;-999;-999;4582;5442.2;5285.6;-999;-999;4879.6;5032.7;-999;-999;5789.8;5034.3;5498.4;-999;4732.3;4991.7;5710.7;5487.5;-999;5348.2;4110.6;4315.5;4455.7;-999;1988.6
51395;4643.7;4749.4;4581.1;-999;-999;4458.2;4405.3;5089.5;-999;-999;4617;5226.8;5392.2;-999;-999;4908.4;5209.1;5541.8;-999;5344.4;5040.4;5546.1;-999;5182;5004.2;5591.3;5513.6;-999;5538.2;3872.1;4279.5;4490.4;-999;2112.5
51396;4609.2;4708.4;4551.9;-999;-999;4398.4;4388.3;5155;-999;-999;4648.8;5300.5;5378.8;-999;-999;4967.7;5359.1;-999;-999;5243.6;5038.8;5612.7;-999;5187.8;4852.4;5607.7;5496.9;-999;5633.6;4088.3;4185.4;4379.8;-999;2305.1
51398;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999
51402;4609.6;4707.8;4552.2;-999;-999;4397.2;4387.3;5156.5;-999;-999;4649;5301.1;5380;-999;-999;4969.5;5360.2;-999;-999;5246.8;5040.9;5613.6;-999;5182;4849.8;5607.3;5496.5;-999;5632.9;4087;4185.3;4380.2;-999;2307.9
68769;4694.9;4596.9;4666.5;-999;-999;4445.5;4436.7;4967.7;-999;-999;4582.8;5455.3;5284.5;-999;-999;4883.8;5036.1;-999;-999;5794.7;5037.5;5508.5;-999;4734;4981.5;5715;5485.5;-999;5354.5;4138.2;4313.8;4434.4;-999;2001.3
