code;1980-1981;1981-1982;1982-1983;1983-1984;1984-1985;1985-1986;1986-1987;1987-1988;1988-1989;1989-1990;1990-1991;1991-1992;1992-1993;1993-1994;1994-1995;1995-1996;1996-1997;1997-1998;1998-1999;1999-2000;2000-2001;2001-2002;2002-2003;2003-2004;2004-2005;2005-2006;2006-2007;2007-2008;2008-2009;2009-2010;2010-2011;2011-2012;2012-2013
51338;4568.9;4586.6;4360.8;-999;-999;4816.8;3934.9;4109.7;4270.5;-999;-999;4306.9;4286.4;4564.5;-999;-999;5045.4;-999;4286.7;4718.2;-999;4985.7;4773.2;4474.3;4748.8;-999;4654.8;3088.3;4294.1;4749.8;3823.4;4521.4;4465.4
51340;4738.4;4235.7;4159.5;4841.3;-999;4515.5;4089.6;4376.5;-999;-999;4980.2;4182.2;4431.3;4625.3;-999;-999;4085.8;3445.8;4750.5;-999;-999;4260.3;4636.8;4443.5;4574;-999;4433.2;4160.4;4259.1;4560.1;-999;4430.2;3576
51341;4510.6;4243.7;4099.7;4887.7;-999;4348.3;4164.4;4311.1;-999;-999;4892.6;4234.1;4494.2;4574.1;-999;-999;4002.4;3543.5;4742.2;-999;-999;4637.6;4707.3;4515.1;4559.2;4859.9;4692.2;4349.9;4434.8;4553.7;-999;4248.2;3446.3
51342;4618.3;4264.6;4229;-999;-999;4719.1;4054.5;4327.6;-999;-999;-999;4410.4;4343.3;4647.2;-999;-999;4415;3828;4603.2;-999;-999;4283.6;4781.3;4446.6;4721.8;-999;4505.1;3528.6;3698.4;4470.7;-999;4410.6;4526.4
51344;4540.3;4291.4;-999;4882.8;-999;4328;4183.4;4293.7;-999;-999;5000.2;4193.6;4551.3;-999;-999;-999;3860.9;3616.3;4738.7;-999;-999;4766.8;4784.9;4588.4;-999;-999;4701.6;4348.5;4778.5;4604;-999;4130;3465.2
51345;4637;4183.6;4084;4778;-999;4462.8;4046.4;4353.7;-999;-999;4990.1;4173.7;4425.9;4621.6;-999;-999;4124.8;3287.8;4761.4;-999;-999;4477;4685.9;4525.8;4642.1;-999;4770.9;4242.6;3935.3;4536.6;-999;4302.3;3132.6
51346;4576.9;4326.7;4283.7;-999;-999;4740.8;4039.2;4349.4;4182.2;-999;-999;4369.9;4313.6;4628.5;-999;-999;4555.7;3980.9;4597.2;4625.9;-999;4411.9;4783.1;4436.3;4712;-999;4631;3449.4;4173.3;4447.4;3939.9;4446.9;4543.8
51347;4571;4632.8;4345;-999;-999;4801.6;3846.1;4130.1;4221.3;-999;-999;4240.7;4332.5;4539.2;-999;-999;5026.5;4243.8;4315.4;4685.4;-999;5075.2;4743.9;4488.1;4711.1;-999;4587.9;3051;4674.3;4802.6;3717.1;4494.2;4420.3
51348;4781.8;4421.8;4188;-999;5032.9;4987.3;4231;4142.1;4352.1;-999;-999;4873.5;4213;4453.4;-999;-999;5121.2;3619.8;3878;4711.3;-999;4961.3;4659.5;4707.6;4564.6;-999;4622.5;4554.6;4068.5;4106.5;4144.8;4827.3;4597.9
51349;4509.3;4306.9;4235.6;-999;-999;4768;4059.7;4299.8;4202.2;-999;-999;4366.4;4282.9;4576.9;-999;-999;4624.6;4035.9;4566.8;4681.6;-999;4542.4;4755.3;4451.3;4688.9;-999;4729.6;3389.7;4211;4508.2;4260.1;4443.3;4533.6
