code;1980-1981;1981-1982;1982-1983;1983-1984;1984-1985;1985-1986;1986-1987;1987-1988;1988-1989;1989-1990;1990-1991;1991-1992;1992-1993;1993-1994;1994-1995;1995-1996;1996-1997;1997-1998;1998-1999;1999-2000;2000-2001;2001-2002;2002-2003;2003-2004;2004-2005;2005-2006;2006-2007;2007-2008;2008-2009;2009-2010;2010-2011;2011-2012;2012-2013
51333;4571.9;4416.1;4328.5;-999;-999;4783.7;4081.2;4275.9;4352;-999;-999;4491.9;4276.9;4620.8;-999;-999;4794.2;-999;4463.8;4782.3;-999;4397.9;4906.3;4454.6;4746.8;-999;4599.2;3135.2;3827;4602.8;4028;4457.7;4674.3
51334;4571;4632.8;4345;-999;-999;4801.6;3846.1;4130.1;4221.3;-999;-999;4240.7;4332.5;4539.2;-999;-999;5026.5;4243.8;4315.4;4685.4;-999;5075.2;4743.9;4488.1;4711.1;-999;4587.9;3051;4674.3;4802.6;3717.1;4494.2;4420.3
51336;4567.1;4605.4;4357.3;-999;-999;4808.4;3901.8;4116.5;4255.4;-999;-999;4277.7;4300.3;4559.6;-999;-999;5038;4243.8;4298.5;4710.7;-999;5008.1;4767.9;4474.5;4741.7;-999;4636.9;3052.8;4387.2;4774.4;3798.2;4506.8;4449.5
51337;4567.2;4544.1;4378.3;-999;-999;4834.2;4078.7;4072.2;4358.3;-999;-999;4406.3;4208.4;4605.8;-999;-999;5068.3;-999;4234.7;4777.2;-999;4832.1;4824;4438.5;4811.2;-999;4787.5;3128.1;3656.6;4651.6;4024;4560.4;4537.6
51350;4463.4;4427.7;4316.1;-999;-999;4751.1;4069.6;4282.5;4221.3;-999;-999;4378.6;4322.8;4604.2;-999;-999;4774.3;4123.7;4505.9;4685.4;-999;4383.5;4769.4;4481.1;4669.7;-999;4558;3209;4207.8;4723.6;3717.1;4437.3;4760.6
51366;4513.5;4331.8;4219.9;-999;-999;4753;4109.9;4094.2;4234.4;-999;-999;4311;4290.9;4457;-999;-999;4905.7;-999;4361.2;4664.3;-999;5120;4706.9;4469.5;4758.1;-999;4812.7;3142.1;4093.4;4272.4;3982.7;4559.2;4544.4
51368;4513.5;4331.8;4219.9;-999;-999;4753;4109.9;4094.2;4234.4;-999;-999;4311;4290.9;4457;-999;-999;4905.7;-999;4361.2;4664.3;-999;5120;4706.9;4469.5;4758.1;-999;4812.7;3142.1;4093.4;4272.4;3982.7;4559.2;4544.4
51369;4529.4;4431.9;4248.3;-999;-999;4781.3;4129.5;4131.6;4243.2;-999;-999;4361.4;4265.2;4477.2;-999;-999;4936.9;-999;4356.5;4669.7;-999;5088.8;4731.1;4455.9;4773.6;-999;4748.1;3225.3;4206;4306.7;4052;4561.8;4550.1
51371;4488.4;4343.1;4256.6;-999;-999;4783;4107.6;4192.1;4234.4;-999;-999;4345.2;4267.6;4519.8;-999;-999;4823.7;-999;4435.3;4664.3;-999;4624.3;4751.9;4446.1;4737.9;-999;4832.1;3150.7;4089.1;4303.2;3982.7;4530.8;4545
51372;4535;4581.9;4281;-999;-999;4778.5;4105;4229.6;4223.1;-999;-999;4339.6;4276.1;4508.6;-999;-999;4969.9;-999;4441;4684.2;-999;5085;4804.1;4404.1;4834.9;-999;4626;3096.2;4245.7;4446.7;4127.5;4488.7;4569
51375;4577;4543.5;4266.4;-999;-999;4903.5;4246.1;4064.5;4323.9;-999;-999;4608.1;4120.7;4482.4;-999;-999;5005.6;4032.4;4174.1;4680.5;-999;4971.9;4698.2;4491.9;4686.2;-999;4819;3812.3;4556.1;4106.2;4275.9;4707.8;4549.9
51378;4535.5;4587.6;4282.4;-999;-999;4779.1;4104.9;4232.6;4222.9;-999;-999;4340.2;4275.8;4509.8;-999;-999;4971.3;-999;4442.8;4684.6;-999;5084.2;4806.3;4402.7;4836.6;-999;4621.8;3095.2;4249.1;4450.6;4130.7;4487.2;4569.5
51382;4542.7;4574.1;4292.8;-999;-999;4793.7;4128.6;4218;4234;-999;-999;4374.8;4263.9;4511.2;-999;-999;4971;-999;4403.9;4675.9;-999;5069.3;4783.8;4420.8;4827.5;-999;4612.5;3192.5;4297.3;4428.3;4105.6;4521.8;4560.1
51385;4713.7;4523.7;4249.6;-999;5044.8;4920.2;4255.1;4190.4;4430.4;-999;-999;4827.8;4209;4460;-999;-999;4967.9;3738.2;3876.7;4671.8;-999;4940.4;4658.5;4742.9;4630.1;-999;4614.8;4337.7;4171.9;4083.1;3705.5;4821.4;4608.2
51386;4556.4;4539.9;4371.3;-999;-999;4823.3;4076.2;4101;4333;-999;-999;4386.8;4218.5;4596.1;-999;-999;5052.8;-999;4273.6;4762.6;-999;4865.2;4823.9;4433.8;4824;-999;4750.3;3098.1;3720.1;4637.9;4040.6;4543.3;4538.4
51391;4855.3;4534.4;4135.3;-999;5028.1;-999;4153.4;4241.9;4491.5;-999;-999;4959.7;4259.4;4417.4;-999;-999;-999;3483.9;3700.6;4728.5;-999;-999;4640.9;4881;4524.9;-999;4762;4610.4;3645.8;4099.5;4011.5;-999;4628.3
