code;1980-1981;1981-1982;1982-1983;1983-1984;1984-1985;1985-1986;1986-1987;1987-1988;1988-1989;1989-1990;1990-1991;1991-1992;1992-1993;1993-1994;1994-1995;1995-1996;1996-1997;1997-1998;1998-1999;1999-2000;2000-2001;2001-2002;2002-2003;2003-2004;2004-2005;2005-2006;2006-2007;2007-2008;2008-2009;2009-2010;2010-2011;2011-2012;2012-2013
51333;0;3.3;0.7;0;0;0;0;0;0;0;0;0;0;0;0;0;0.8;0;0;0.3;0;3.2;4.8;2.7;5.8;0;7.2;0;8.5;7.7;3.9;0;0.5
51334;1;2;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;9;0;7;0;10;12;10;1;0
51336;0.7;3.3;2.2;0;0;0;0;0;0;0;0;0;0;0;0;0;0.5;0;0;0.3;0;0.3;0;1.3;8.7;0;6;0;9.7;11.2;10.5;0.7;0
51337;0.3;6.8;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1.9;0;0;0.9;0;0.9;0;1.9;7.7;0;3.1;0;8.7;9.1;12.1;0.1;0.1
51350;0.2;1.2;1.5;0;0;0;0;0;0;0;0;0;0;0;0;0;0.8;0;0;0;0;5.3;0.8;1;5.2;0;7;0;12.2;9.7;2.5;0.2;0
51366;0;5;2;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;1;0;1;8;0;2;0;10;10;5;0;2
51368;0;5;2;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;1;0;1;8;0;2;0;10;10;5;0;2
51369;0.1;4.1;2.3;0;0;0;0;0;0;0;0;0;0;0;0;0;0.6;0;0;0;0;0.6;0;0.6;6.7;0;2.3;0;8.9;9.6;6.6;0;1.2
51371;0;4.1;1.4;0;0;0;0;0;0;0;0;0;0;0;0;0;0.7;0;0;0;0;3.1;0.6;0.7;7.4;0;3.2;0;10.3;8.5;3.5;0;1.4
51372;0;2.1;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4.1;0;3;0;8;9;7.9;0;0
51375;0;5.7;1.3;0;0;0;0;0;0;0;0;0;0;0;0;0;0.3;0;0;0;0;0.3;0;0.3;6.6;0;2;0;5.8;7.9;12;0;0.6
51378;0;2;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;0;3;0;8;9;8;0;0
51382;0.2;2;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4.4;0;3;0;7.9;9.3;7.7;0;0.1
51385;1.5;2;1.4;0;0;0;0;0;0;0;0;0.5;0;0;0;0;0;0;0;0;0;0;0;4.2;4.3;0;1.4;0;3.3;10.9;6.6;0;0.5
51386;0.1;6.1;0.5;0;0;0;0;0;0;0;0;0;0;0;0;0;1.6;0;0;0.8;0;0.8;0;1.6;7.3;0;3;0;8.7;9.1;11.3;0;0
51391;1.5;2.5;0;0;0;0;0;0;0;0;0;0.5;0;0;0;0;0;0;0;0;0;0;0;5.4;1;0;0.5;0;0;10.5;10.6;0;0.5
51393;2;2;2.9;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.2;7.8;0;2.9;0;6.8;11.9;5.1;0;1
51395;0.7;4.7;1.1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.7;5.2;0;1.9;0;3.6;8.6;13;0;0.3
51396;0;6;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;6;0;2;0;4;7.1;14.9;0;0
51398;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999
51402;0;6;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;6;0;2;0;4;7;15;0;0
68769;2;2;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;8;0;3;0;7;11.9;5.1;0;1
