"","Year","ID1","code","ASAL","AvgTemp_MarMay","SDTemp_MarMay","Cum_DD_MarMay","HeatWDays_MarMay","MaxTemp_MarMay","AvgTemp_MarAug","SDTemp_MarAug","Cum_DD_MarAug","HeatWDays_MarAug","MaxTemp_MarAug","AvgTemp_OctDec","SDTemp_OctDec","Cum_DD_OctDec","HeatWDays_OctDec","MaxTemp_OctDec","SeasRain_MarMay","Prec2Months_MarMay","PrecStDev_MarMay","PrecCoefVar_MarMay","DrySpell_MarMay","DrSpell10_MarMay","DrSpell20_MarMay","MaxRain_MarMay","SeasRain_MarAug","Prec2Months_MarAug","PrecStDev_MarAug","PrecCoefVar_MarAug","DrySpell_MarAug","DrSpell10_MarAug","DrSpell20_MarAug","MaxRain_MarAug","SeasRain_OctDec","Prec2Months_OctDec","PrecStDev_OctDec","PrecCoefVar_OctDec","DrySpell_OctDec","DrSpell10_OctDec","DrSpell20_OctDec","MaxRain_OctDec","DrySpell4_MAM","DrySpell4_MAMJJA","DrySpell4_OND","HeatWDays_Mar","HeatWDays_Apr","HeatWDays_May","HeatWDays_Jun","HeatWDays_Jul","HeatWDays_Aug","HeatWDays_Sep","HeatWDays_Oct","HeatWDays_Nov","HeatWDays_Dec","DrySpell10_Mar","DrySpell4_Mar","DrySpell10_Apr","DrySpell4_Apr","DrySpell10_May","DrySpell4_May","DrySpell10_Jun","DrySpell4_Jun","DrySpell10_Jul","DrySpell4_Jul","DrySpell10_Aug","DrySpell4_Aug","DrySpell10_Sep","DrySpell4_Sep","DrySpell10_Oct","DrySpell4_Oct","DrySpell10_Nov","DrySpell4_Nov","DrySpell10_Dec","DrySpell4_Dec","name","Admin1","county","Admin2","Area","Yield","MT","west1","AvgTemp_OctDec_L1","SDTemp_OctDec_L1","Cum_DD_OctDec_L1","HeatWDays_OctDec_L1","MaxTemp_OctDec_L1","SeasRain_OctDec_L1","Prec2Months_OctDec_L1","PrecStDev_OctDec_L1","PrecCoefVar_OctDec_L1","DrySpell_OctDec_L1","DrSpell10_OctDec_L1","DrSpell20_OctDec_L1","MaxRain_OctDec_L1","DrySpell4_OND_L1","HeatWDays_Sep_L1","HeatWDays_Oct_L1","HeatWDays_Nov_L1","HeatWDays_Dec_L1","DrySpell10_Sep_L1","DrySpell4_Sep_L1","DrySpell10_Oct_L1","DrySpell4_Oct_L1","DrySpell10_Nov_L1","DrySpell4_Nov_L1","DrySpell10_Dec_L1","DrySpell4_Dec_L1"
"1-1981","1981","1",51333,0,19.1,1,1754.4,0,25.5,17.9,1.5,3301.9,0,24,19,0.6,1746.2,0,24.9,789.6,573.3,11.6,1.4,6,0.2,0,54,875.5,573.3,9.3,2,24.9,3.4,1.8,54,234.6,145.8,4.3,1.7,8.4,0.4,0,19.3,1.9,7,6.5,0,0,0,0,0,0,0,0,0,0,0,0.7,0,0.6,0.2,0.6,1,1.1,1,1.8,1,2.2,1.9,2,0.3,2.6,0,1.6,0,2.3,"Kiambu","Central","Kiambu","Kiambu",21000,2.8,58800,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1-1982","1982","1",51333,0,19.6,1.2,1799.1,0,25.6,18.5,1.5,3395.8,0,24.4,18.5,0.6,1698.5,0,25.7,453.8,277.5,10.8,2.2,12.8,1.2,0,65.9,528.6,277.5,8.1,2.9,17.2,3.5,0.5,65.9,549.2,426.2,12.3,2.1,11.1,1.1,0,63,6.2,14.7,6.4,0,0,0,0,0,0,0,0,0,0,0.7,2.6,0,1.6,0.5,2,0.2,3.1,0.9,2.5,0.7,2.9,0.9,2,0.6,1.9,0,1.9,0.4,2.7,"Kiambu","Central","Kiambu","Kiambu",21000,2.7,56700,1,19,0.6,1746.2,0,24.9,234.6,145.8,4.3,1.7,8.4,0.4,0,19.3,6.5,0,0,0,0,1.9,2,0.3,2.6,0,1.6,0,2.3
"1-1983","1983","1",51333,0,20.4,1,1875.2,0,26.3,19,1.6,3501.4,0,25,18.9,0.6,1737.8,0,25.3,386,283.3,10,2.4,13.4,0.8,0,52,475.9,283.3,7.5,2.9,27.7,3.3,0.8,52,355.2,182,11.6,3.1,18.4,3.2,0.5,74.2,6.9,13.1,5.7,0,0,0,0,0,0,0,0,0,0,0.6,2.9,0,1.9,0.2,1.9,0.3,2.6,1.7,2.5,1,2.3,0.9,2.4,1,1.7,1.4,1.6,1,2.2,"Kiambu","Central","Kiambu","Kiambu",37000,1.62,59940,1,18.5,0.6,1698.5,0,25.7,549.2,426.2,12.3,2.1,11.1,1.1,0,63,6.4,0,0,0,0,0.9,2,0.6,1.9,0,1.9,0.4,2.7
"1-1984","1984","1",51333,0,19.8,0.9,1825,0,25.2,18.5,1.6,3397.2,0,24.1,18.3,0.6,1684.4,0,25.1,167.1,140.7,4.5,2.5,20.8,3.7,0.8,22.7,219.2,140.7,3.5,3.1,40.4,6,2.3,22.7,416.1,327.9,9.5,2.1,19.2,1.3,0.2,53.7,5.6,9.2,4.7,0,0,0,0,0,0,0,0,0,0,1.7,2.2,0,2,1,1.6,1.3,1.3,1.1,2,0.9,2,1,2.2,0,1.7,0,1.6,1,2.1,"Kiambu","Central","Kiambu","Kiambu",19813,2.3,45579,1,18.9,0.6,1737.8,0,25.3,355.2,182,11.6,3.1,18.4,3.2,0.5,74.2,5.7,0,0,0,0,0.9,2.4,1,1.7,1.4,1.6,1,2.2
"1-1985","1985","1",51333,0,19.1,0.9,1759.6,0,25.6,17.9,1.4,3299.7,0,24.2,18.6,0.7,1707.3,0,24.9,556.8,429.5,12.2,2.1,10.6,0.7,0,74.9,632.7,429.5,9.4,2.8,27.7,3.1,1.4,74.9,249.3,205.5,7.4,2.8,15.6,1.9,0.3,51.3,4.7,11.2,6.8,0,0,0,0,0,0,0,0,0,0,0.7,2.4,0,1,0,1.3,1.2,2.5,1.4,2.7,0.9,1.9,1,1.2,0.8,2,0.2,2.3,1,2.5,"Kiambu","Central","Kiambu","Kiambu",30584,2.5,76460,1,18.3,0.6,1684.4,0,25.1,416.1,327.9,9.5,2.1,19.2,1.3,0.2,53.7,4.7,0,0,0,0,1,2.2,0,1.7,0,1.6,1,2.1
"1-1986","1986","1",51333,0,19.5,1.3,1789.6,0,25.7,18.1,1.7,3333.6,0,24,19.3,0.8,1775.4,0,25.9,585.9,382.6,13,2.1,17,2.4,0.2,72.6,637.8,382.6,9.7,2.8,39.1,5.4,1.4,72.6,366.5,254.8,8.9,2.3,14.5,1.9,0.2,48,4.8,9.5,5.9,0,0,0,0,0,0,0,0,0,0,1.5,2.8,0,0.7,0.9,1.8,1.4,1.8,1.7,1.8,1.1,2.4,1.3,2.5,0.7,1.8,0,1.5,1.2,2.6,"Kiambu","Central","Kiambu","Kiambu",26457,2.5,66130,1,18.6,0.7,1707.3,0,24.9,249.3,205.5,7.4,2.8,15.6,1.9,0.3,51.3,6.8,0,0,0,0,1,1.2,0.8,2,0.2,2.3,1,2.5
"1-1987","1987","1",51333,0,20.4,1.3,1880,0,26,18.9,1.9,3472.6,0,24.6,19.9,0.7,1832.4,0,25.5,379.7,236.3,13.2,3.2,20,2.2,0.5,91.5,519.4,236.3,9.9,3.6,28.9,5,1.7,91.5,195.9,170.2,6.1,3,17.8,2.3,0.5,40.7,5.8,10.2,6.9,0,0,0,0,0,0,0,0,0,0,1.2,2.4,0,2.5,1,1.9,1,1,1,1.6,0.8,2.5,1.5,2.1,0.9,1.9,0.8,1.8,0.5,2.8,"Kiambu","Central","Kiambu","Kiambu",25207,1.04,26257,1,19.3,0.8,1775.4,0,25.9,366.5,254.8,8.9,2.3,14.5,1.9,0.2,48,5.9,0,0,0,0,1.3,2.5,0.7,1.8,0,1.5,1.2,2.6
"1-1988","1988","1",51333,0,19.7,1.2,1810.7,0,26,18.5,1.6,3395.7,0,24.8,18.6,0.6,1712.7,0,24.8,587.3,445.4,12.3,1.9,14.1,1.5,0,71.6,689.3,445.4,9.5,2.6,25.1,4.3,0.9,71.6,298.4,198.1,7.1,2.2,17,1.7,0,44.2,4.9,10.7,5.3,0,0,0,0,0,0,0,0,0,0,1,1.6,0,1.8,0.5,2.1,1,2.2,0.6,2.2,0.7,2.8,1.7,2.1,0.5,2.3,1,1,0.3,2.5,"Kiambu","Central","Kiambu","Kiambu",15709,1.7,26705,1,19.9,0.7,1832.4,0,25.5,195.9,170.2,6.1,3,17.8,2.3,0.5,40.7,6.9,0,0,0,0,1.5,2.1,0.9,1.9,0.8,1.8,0.5,2.8
"1-1989","1989","1",51333,0,18.9,0.9,1738.7,0,25.2,17.8,1.4,3269.9,0,24,18.7,0.6,1717.2,0,25.5,568.7,375.7,12.5,2,12.9,3.1,0,60,653.5,375.7,9.4,2.7,26.1,6,0.9,60,367.9,235.5,8.9,2.2,14.1,2.2,0,58.1,6,11.1,5,0,0,0,0,0,0,0,0,0,0,1,3,1,1.2,1,2,1,1.9,1.2,2.4,1,2,1,1.9,0.6,1.8,0.6,2,1,1.1,"Kiambu","Central","Kiambu","Kiambu",25702,1.16,29784,1,18.6,0.6,1712.7,0,24.8,298.4,198.1,7.1,2.2,17,1.7,0,44.2,5.3,0,0,0,0,1.7,2.1,0.5,2.3,1,1,0.3,2.5
"1-1990","1990","1",51333,0,18.9,0.7,1734.9,0,24.3,17.9,1.3,3285.1,0,23.5,18.7,0.7,1720.9,0,25.2,690.5,505.7,14.5,1.9,15.6,1.9,0.2,84.6,741.8,505.7,10.9,2.7,38.2,4,1.1,84.6,323.1,236.6,9.3,2.6,17.7,1.5,0,64.9,4.2,10,5.3,0,0,0,0,0,0,0,0,0,0,0,1,0.3,1.2,0.9,2.8,0.7,2.1,1.2,2.6,1,2.2,1.4,2,1,2.7,0,0.3,0.5,2.3,"Kiambu","Central","Kiambu","Kiambu",26100,1.2,31320,1,18.7,0.6,1717.2,0,25.5,367.9,235.5,8.9,2.2,14.1,2.2,0,58.1,5,0,0,0,0,1,1.9,0.6,1.8,0.6,2,1,1.1
