year,code,name,ASAL,DrySpell4_MAM,DrySpell4_MAMJJA,DrySpell4_OND
1981,51338,-999,1,1.2,6.4,4.4
1982,51338,-999,1,6.1,15.1,6.6
1983,51338,-999,1,5.5,11.5,5.1
1984,51338,-999,1,6.1,12.1,4.9
1985,51338,-999,1,3.6,12.2,7.2
1986,51338,-999,1,4.9,10.5,5.8
1987,51338,-999,1,5.4,10.9,8.9
1988,51338,-999,1,4.1,11,4.7
1989,51338,-999,1,6.1,11.8,4.1
1990,51338,-999,1,4.4,11.7,5.6
1991,51338,-999,1,5.3,10.9,6
1992,51338,-999,1,4.9,13.5,5.3
1993,51338,-999,1,6.1,12.5,6.2
1994,51338,-999,1,4.4,11.1,6.5
1995,51338,-999,1,6.2,12.2,4.1
1996,51338,-999,1,3.6,8.7,6.1
1997,51338,-999,1,3.6,9.2,6.4
1998,51338,-999,1,6.4,13.6,7.4
1999,51338,-999,1,5.8,13.9,6.1
2000,51338,-999,1,7.1,14.4,6.7
2001,51338,-999,1,4.2,11.5,4.3
2002,51338,-999,1,6.2,13.6,4.4
2003,51338,-999,1,4.5,11.6,4.3
2004,51338,-999,1,5.4,13.5,5.8
2005,51338,-999,1,6.1,15.1,6.3
2006,51338,-999,1,6.7,14.7,4
2007,51338,-999,1,6.6,10.8,4.4
2008,51338,-999,1,5,12.6,5.6
2009,51338,-999,1,5.9,15.2,5.8
2010,51338,-999,1,5.3,11.7,6.8
2011,51338,-999,1,5.8,11.8,4.4
2012,51338,-999,1,3.9,10.4,7.1
2013,51338,-999,1,5.3,12.4,7.2
2014,51338,-999,1,5.6,14.8,7.1
2015,51338,-999,1,6.4,14.1,6.1
2016,51338,-999,1,3.8,8.1,5.8
2017,51338,-999,1,4.4,11.7,6.6
1981,51340,-999,1,4.3,10.7,6.8
1982,51340,-999,1,5.8,12.4,6.2
1983,51340,-999,1,6.5,14.8,6.4
1984,51340,-999,1,5.5,12.8,7
1985,51340,-999,1,5.8,12.6,5.9
1986,51340,-999,1,6.7,15,6.6
1987,51340,-999,1,6.1,12.3,7.3
1988,51340,-999,1,6.4,13.8,6.5
1989,51340,-999,1,6.8,17,5.4
1990,51340,-999,1,4,12.1,5
1991,51340,-999,1,6.4,11.8,7.3
1992,51340,-999,1,7.9,13.9,7.4
1993,51340,-999,1,6.1,14.4,7.8
1994,51340,-999,1,7.3,15.5,7.1
1995,51340,-999,1,5.9,14.9,6.6
1996,51340,-999,1,6,14.1,5.3
1997,51340,-999,1,4.4,12,6.4
1998,51340,-999,1,6.3,13.5,6.3
