year,code,ASAL,HeatWDays_Mar,HeatWDays_Apr,HeatWDays_May,HeatWDays_Jun,HeatWDays_Jul,HeatWDays_Aug,HeatWDays_Sep,HeatWDays_Oct,HeatWDays_Nov,HeatWDays_Dec,DrySpell10_Mar,DrySpell4_Mar,DrySpell10_Apr,DrySpell4_Apr,DrySpell10_May,DrySpell4_May,DrySpell10_Jun,DrySpell4_Jun,DrySpell10_Jul,DrySpell4_Jul,DrySpell10_Aug,DrySpell4_Aug,DrySpell10_Sep,DrySpell4_Sep,DrySpell10_Oct,DrySpell4_Oct,DrySpell10_Nov,DrySpell4_Nov,DrySpell10_Dec,DrySpell4_Dec
1981,51338,1,0,0,0,0,0,0,0,0,0,0,0,0.1,0,0.2,0.2,0.9,1,1.1,1,2.1,1,1.9,1.4,2.2,0,0.5,0,1.3,0.1,2.7
1982,51338,1,0,0,0,0,0,0,0,0,0,0,0.8,3,0,0.9,0.1,2.2,0.1,3.6,0.6,2.5,0.2,2.7,0,2.5,0.1,2,0.1,1.8,0.7,2.8
1983,51338,1,0,0,0,0,0,0,0,0,0,0,0.8,2.6,0.1,1.9,0.3,0.7,0.4,2.1,0.7,3,0.6,2.1,0.5,3,1,1.9,0.4,1.1,0.9,2
1984,51338,1,0,0,0,0,0,0,0,0,0,0,1.8,2,0,1.9,1,2.2,1.7,2,0.9,2.4,0.7,2.6,1,2.1,0,1.1,0,1.7,0.7,2.3
1985,51338,1,0,0,0,0,0,0,0,0,0,0,1,1.8,0.1,1.2,0,0.8,0.1,2.5,0.4,3.2,0.8,2.5,0.7,2,0,2.5,0.4,1.9,0.8,2.8
1986,51338,1,0,0,0,0,0,0,0,0,0,0,1.3,2.7,0,0.7,0.9,2.1,0.9,2,1.7,2.1,1.1,2.6,1.6,2.1,0.3,1.8,0,1.5,1.2,2.5
1987,51338,1,0,0,0,0,0,0,0,0,0,0,1.3,2.3,0,2.4,0.6,1.7,0.9,1.1,0.8,2.4,0,2.4,0.9,2,0.6,2.6,1,1.8,0,3.8
1988,51338,1,0,0,0,0,0,0,0,0,0,0,1,2,0,1.7,0.2,1.4,1,2,0,3.3,0.5,2.7,0.7,2.7,0,1.7,1,1,0.2,3
1989,51338,1,0,0,0,0,0,0,0,0,0,0,1,3.1,1,1.4,1,2,1,2.7,1.1,2.9,1,2.3,0.8,2,0.2,1.1,0.1,2.1,1,1
1990,51338,1,0,0,0,0,0,0,0,0,0,0,0,1,0.1,1.6,0.3,2.4,0.7,2.8,0.6,3.1,0.6,2.6,0.4,2.1,1,2.4,0,0.6,0.9,2.5
