year,code,name,ASAL,AvgTemp_MarMay,SDTemp_MarMay,Cum_DD_MarMay,HeatWDays_MarMay,MaxTemp_MarMay,AvgTemp_MarAug,SDTemp_MarAug,Cum_DD_MarAug,HeatWDays_MarAug,MaxTemp_MarAug,AvgTemp_OctDec,SDTemp_OctDec,Cum_DD_OctDec,HeatWDays_OctDec,MaxTemp_OctDec,SeasRain_MarMay,Prec2Months_MarMay,PrecStDev_MarMay,PrecCoefVar_MarMay,DrySpell_MarMay,DrSpell10_MarMay,DrSpell20_MarMay,MaxRain_MarMay,SeasRain_MarAug,Prec2Months_MarAug,PrecStDev_MarAug,PrecCoefVar_MarAug,DrySpell_MarAug,DrSpell10_MarAug,DrSpell20_MarAug,MaxRain_MarAug,SeasRain_OctDec,Prec2Months_OctDec,PrecStDev_OctDec,PrecCoefVar_OctDec,DrySpell_OctDec,DrSpell10_OctDec,DrSpell20_OctDec,MaxRain_OctDec
1981,51338,-999,1,18.4,0.9,1688.9,0,24.8,17.3,1.3,3191.8,0,23.3,18.2,0.7,1677.8,0,23.7,795.4,534.3,10.5,1.2,7,0.2,0,53.4,961.7,534.3,8.6,1.7,18,3.3,0.6,53.4,328.9,244.4,4.6,1.3,7.1,0.3,0,18.4
1982,51338,-999,1,18.9,1.1,1735.3,0,24.7,17.8,1.4,3282.9,0,23.4,17.7,0.6,1626.8,0,24.4,575.4,314.7,13.2,2.1,10.8,0.9,0,80.3,705.5,314.7,10,2.6,13.3,2,0,80.3,572.9,484.3,12.7,2.1,11.4,0.8,0,67.6
1983,51338,-999,1,19.8,1,1819.9,0,25.6,18.5,1.5,3400.1,0,24.2,18.2,0.6,1671.5,0,24.2,507.8,316.1,14.5,2.6,13.1,1.1,0.1,91.5,647,316.1,10.8,3.1,20.3,3.8,0.7,91.5,357.1,236.5,9.2,2.4,16.8,2.4,0.1,58.7
1984,51338,-999,1,19.3,0.9,1773.5,0,24.5,17.9,1.6,3299.7,0,23.2,17.4,0.7,1604.8,0,23.8,229.3,182.1,5.9,2.4,15.3,3.5,0.1,29.6,322.4,182.1,4.7,2.7,28.5,6.1,0.8,30.5,502.7,433.8,9.7,1.8,14.8,0.7,0.1,53.3
1985,51338,-999,1,18.5,0.9,1703.7,0,24.8,17.3,1.4,3190.5,0,23.3,17.8,0.7,1637.6,0,23.7,663.1,471.4,14,1.9,14.5,1.2,0,94.4,804.3,471.4,10.7,2.5,15.9,2.5,0.1,94.4,298.8,252.4,6.8,2.1,10.1,1.2,0,41.6
1986,51338,-999,1,18.8,1.1,1728.5,0,24.9,17.5,1.6,3221,0,23.2,18.4,0.8,1694.2,0,24.5,645.3,434.3,15.3,2.2,19.8,2.2,0.3,103.4,781.9,434.3,11.6,2.7,24.7,5.1,1.5,103.4,387.5,290.2,9.2,2.2,11.6,1.5,0,52.9
1987,51338,-999,1,19.9,1.2,1830.1,0,25.3,18.4,1.8,3378.7,0,23.7,19.1,0.8,1761.7,0,24.4,405.5,232.6,12,2.7,17.1,1.9,0,80.6,602.4,232.6,9.2,2.8,19.2,4.5,0.2,80.6,245.1,218.1,7.1,2.7,15.2,1.9,0.3,42.3
1988,51338,-999,1,19.1,1.1,1761,0,25.3,17.9,1.6,3297.6,0,24,17.7,0.7,1626.1,0,23.7,679.9,544.2,12.7,1.7,13,1.2,0,65.7,865.3,544.2,10.4,2.2,16.6,4.1,0,66.9,387.6,291.6,7.2,1.8,18.7,1.1,0.1,39.1
1989,51338,-999,1,18.3,0.8,1681.9,0,24.4,17.2,1.4,3160.3,0,23.1,17.8,0.6,1636.6,0,24.2,542.4,363.4,12.6,2.2,13.6,3,0,61.5,682.5,363.4,9.9,2.7,20.7,5.8,0.8,63,443.4,330.3,10,2.1,13,1.3,0,69
1990,51338,-999,1,18.3,0.7,1680,0,23.6,17.3,1.2,3180.1,0,22.7,17.9,0.8,1647.2,0,23.9,678.8,515.6,12.3,1.7,11.3,1,0,67.1,769.8,515.6,9.4,2.3,17.5,3.3,0.4,67.1,399.4,299.5,12.6,3,18.1,1.9,0,82.9
