code;1981;1982;1983;1984;1985;1986;1987;1988;1989;1990;1991;1992;1993;1994;1995;1996;1997;1998;1999;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;average
51338;-999;4;8.5;8.1;-999;4.2;5.4;4.8;12;7.2;10;9;10.8;4.2;13.8;18.2;5.7;6.6;7.9;10.2;10.5;9.5;9.2;9.4;11.4;-999;8.7;9.3;10.5;5.6;11.1;-999;-999;6.2;6;-999;9.5;8.6
51340;-999;4.8;10.3;10.1;-999;5.4;5.3;6.7;10.8;13.6;11;7;7.6;8.8;9.2;15.5;7.7;5.8;13.9;16.5;11.2;7.2;14;10.5;9.5;-999;12;9.4;11.1;8.5;9.7;-999;-999;9.6;11.2;-999;7;9.7
51341;-999;5.5;11.9;9.6;-999;5;7.9;7.7;13.7;8.5;12.4;5;7.2;6.1;12.6;13;10.1;7.3;13.5;15.2;8.9;7.7;17.5;10.7;12.3;-999;11.9;9;8.6;13.5;12.3;-999;-999;14.2;11.1;-999;6.5;10.2
51342;-999;5.9;8.9;8.9;-999;4.6;6.1;6.6;11.4;13.5;11;8;8.9;9.7;9.5;18.4;5.8;4.3;12.6;15.5;14.9;6.3;12.2;12.4;10;-999;10.4;7.9;11.5;8.6;8.3;-999;-999;8.3;14.8;-999;7.2;9.8
51344;-999;3.5;9.8;10;-999;3.7;7.8;6.1;9.8;8;12.9;5.2;9.5;3.9;13;12.7;6.9;5;12.7;14;8.4;7;16.5;9.6;11.1;-999;11.8;6.8;5.5;9;6.5;-999;-999;14.9;15.1;-999;6.8;9.1
51345;-999;9.1;10.7;9.7;-999;9.1;6.7;7.3;17;10.9;11.8;6.2;8;9.8;11.4;22.7;11;8.2;14.3;18.6;11;7.2;14.4;17.9;14.7;-999;13;9.9;17;10.7;12.9;-999;-999;10.6;10.8;-999;14.6;11.8
51346;-999;9.6;10.7;9.1;-999;7.8;5.8;8.2;13.6;13.1;10.3;8.9;9.8;9.3;10;20.4;8.2;10;13.7;17.7;10.2;8.2;15.4;11.2;14.3;-999;13.8;10.6;15.4;11.1;9.3;-999;-999;11.3;7.6;-999;18.9;11.4
51347;-999;5.4;7.6;9;-999;4.8;5.5;4.5;10.7;8.5;9.8;12.6;9.2;5.1;8.3;20.4;6;10.7;10.3;17.5;12.3;12.6;11.7;11.7;10.3;-999;9;8.2;8.8;11.4;12.2;-999;-999;5.4;5.9;-999;21;9.9
51348;-999;7.8;23.1;13.1;-999;7.8;6.9;9.5;8.6;12.2;12;10.8;13.4;11.9;11.1;15.1;7.1;15.1;14.1;18.1;8.2;11.7;13.9;8.5;12.2;-999;13.1;11;18.4;15.7;14.7;-999;-999;18.4;9.2;-999;29.6;13
51349;-999;8.4;8.6;9;-999;6.3;6.1;7.1;12.9;9.6;10.7;10.2;10.6;7.5;11.7;20.7;9.3;14.4;15.4;19.9;12.8;12.3;16.9;13.6;14.5;-999;11.3;11.2;16.8;14.3;12.5;-999;-999;12.6;8.1;-999;27.2;12.3
