code;1981;1982;1983;1984;1985;1986;1987;1988;1989;1990;1991;1992;1993;1994;1995;1996;1997;1998;1999;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;average
51338;46;79.8;91;29.6;62.6;49.9;61.7;56.2;58.8;41.1;67.8;54.3;27.2;54.8;92;54.4;61.3;50.5;62.7;40.8;74.8;64.2;65;46.3;65.3;60.9;49.5;74.4;53;81;58.1;49.9;57.7;59.5;56.8;68.3;9.9;57.8
51340;17.5;32.3;36;37.4;41.2;37.9;33.2;55.8;43;26.8;31;39.2;14.1;48.7;40.7;54.9;58.8;83.3;57.1;26.3;44.8;25.9;36.2;34.6;43.5;48.1;49.7;46.2;25.8;39.5;21.5;22.5;35.9;34.6;65.9;42.8;12.5;39.1
51341;24.3;35.2;33.9;71.5;39.2;36.8;34.8;60.2;47.6;35.9;37.8;41.5;21;56.3;56.4;59.7;101.2;81.7;56.3;40.6;47.1;51.7;41.4;43;76.4;64.7;46.8;48.9;34.5;66.4;40.1;31.1;42.5;54.9;59.1;52.9;10.1;48.2
51342;17.9;23.9;26.4;29.2;24.3;25.3;24.4;43.4;34.2;31.1;41.2;35.8;8.9;37.3;52.3;38.9;28.7;52.3;34.9;25.4;26.5;20.6;20.8;20.4;40.2;32.6;29.6;33.7;24.9;37.1;18.3;9.1;31.9;35.5;46.3;23.7;18.2;29.9
51344;19.8;34.8;43.7;71.3;55.8;57.1;48.4;70;50.3;40.6;36.3;66.1;18.6;85;63.8;71.8;130.6;106.1;71.8;52.1;74.9;49.6;49.1;46.9;62;76.2;47.9;47.2;14.3;77.7;44.7;22.9;35.5;46.7;82.6;68.7;13.9;55.5
51345;18;24.9;24.1;28.3;28.3;26.9;35.6;37.5;36.5;38.5;33.9;43.3;18;34.6;46.7;43.6;51.2;37;33;26.7;29.2;34.1;40.3;35;42;46.6;19.1;35.7;36;33.8;28.6;31.2;45.9;37.8;63.4;43.4;4.3;34.4
51346;19.7;24.4;18.4;18.1;23;21.8;21.5;34.2;26.3;28.9;32.5;29.5;10.3;30.6;26.9;20.5;30.3;24.3;21.3;18.7;18.3;22.9;23.7;20;22.2;27.5;20.4;20.9;15.6;27.8;15.8;16.9;20.5;43.1;25.3;18.7;5.1;22.9
51347;34.3;49.4;62.9;39.3;47.3;58.7;62.4;49.1;49.9;59.4;65.7;51.1;32.3;54.2;56.7;31.6;60.6;37;54.8;39.6;71.5;72.9;55;55;58.6;53.2;41;56.4;51.2;96.2;75.7;60.6;54.2;62.7;55;45.6;1.5;53
51348;23.2;30.3;41;16;57.6;27.1;25;31.9;35.3;36.3;25;50.8;17.6;33.4;54.3;16.5;33;25.9;29.9;7.6;30.8;49.4;48.6;44.5;35.1;54.6;22.1;34.9;23.1;35.4;9.9;27.5;42.3;82.9;43;24.6;0.1;33.2
51349;25;28.6;25.6;30.1;38.9;40.7;36;34.4;41.1;35.9;48.1;52.4;12.9;47.7;39.5;20.7;49;35.5;41.1;30.9;34.8;39.3;35;40.9;42.4;40.2;23;43.4;32.5;57.7;36.3;51.9;36.2;50.3;45.6;37.6;0.7;36.8
