code;1981;1982;1983;1984;1985;1986;1987;1988;1989;1990;1991;1992;1993;1994;1995;1996;1997;1998;1999;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;average
51338;303.5;256;277.4;153.1;308.7;365.9;194.5;417.9;257.7;303.5;168.5;253.8;147.1;286.3;237;98.6;454.8;210;188.5;125.7;285;290.2;302.9;200.3;198.6;255.4;198;141.7;155.1;227.7;153;362.4;440.6;146.1;383.1;315.4;27.6;245.7
51340;84.6;167.4;96.2;137.7;120.1;194.1;165.1;187.2;162.8;131.3;92.8;116.1;74;173.2;145.8;113.2;235.2;261.4;195.5;64.1;82.4;121.2;98.4;134;112.8;201.8;101.2;82.9;65.7;164.9;74.2;66.9;96;80.6;145.2;120.8;71.3;128.1
51341;97.4;179.3;97.7;232.5;128.8;219;116.1;215.3;167.9;164.5;79.9;191;108.7;221.4;160.6;141.5;263.7;262.3;188.3;107.8;115.3;196.8;98.4;179.2;117.1;247;120.5;119.9;92.8;167.8;111.2;110.7;124.3;106.7;137.3;210.2;50.6;152.7
51342;80.3;93.2;96.9;118.6;95.1;155;121.8;188.9;105.9;128.6;175.6;122.4;38.8;131.2;155.3;84.5;141.7;245.1;107.1;65.8;63.6;77.7;51.7;56.1;89;154.6;77.4;105.5;56.4;171.5;74.3;25.2;83.5;88.9;106.7;85.4;94.5;105.8
51344;94;224;125.5;261.7;171;357.3;143.4;331.1;207.7;143.1;54.8;202.3;89.1;329.4;213.3;161.1;397.6;307.1;281.4;139.2;204.6;279.1;121.4;185.4;170.2;386.7;184.7;127.8;58.3;222.3;109.1;95.7;149.7;68.3;184.1;313.4;87.3;194.1
51345;111.6;104.1;57.8;110.5;106.6;129.4;144.1;126;173.4;206.3;98;175.6;80.1;93.7;122.1;95.5;164.9;164.8;131.8;63.6;86.6;87.7;69.8;129;75.1;131.7;46.5;85.1;89.4;93.3;71.7;118.4;134.4;74;150.5;141.6;12.1;109.7
51346;100.9;101;58.5;71.5;70.2;107.3;107.9;89.1;108.3;120.2;119.7;86.5;34.5;78.1;90;43.2;132;112.6;76.8;48.3;57.9;78;64.2;68.1;49.3;76.8;43.2;50;49;81.8;57.2;41.7;71.3;87.9;96.7;57.6;19.1;75.8
51347;310;240;310.4;211.1;283;318.2;250.3;386.7;254.5;298.9;207.2;262.9;147.6;226.9;226.7;79;417.9;168.4;144.6;137;247.9;293.8;220.4;144.4;157.2;221.4;194.3;185.8;131.3;211.4;146.4;303.3;299.2;147.7;327.3;273.6;3.1;226.7
51348;174;156.5;61;31.5;136.3;156.5;76.3;159.2;134.9;153;62.7;139.6;62.8;68.8;176.5;20.6;182.2;63;49.8;14.6;98.6;157.9;177.1;112;72.5;104;54.3;91.1;46.3;80.5;17.1;116.9;136.1;93.2;123.9;83.6;0.2;98.5
51349;191.4;147.8;78.6;115.7;162.4;199.8;140.3;144.7;190;177;137.5;180.3;64.9;116;125.4;47;227;133.4;93.9;90;113.5;132;100.5;105.5;84.2;135.9;73.5;73;66.5;121.3;63.3;141.9;136.9;88.7;177.1;162.8;1.7;122.7
51351;205.9;137.5;69.6;113.1;151.2;190.2;135.3;157;200;220.3;85.2;227.5;59.7;95.2;96.7;73.5;194.6;122.2;93.8;101.4;108.6;88;99.2;129.5;114.2;168.7;71.5;55.6;73.2;82.7;42;203.1;155.5;61.7;214.1;186.8;4.1;124
51352;199.3;135.5;74.8;63.9;142.7;103.2;95.4;199.7;88.6;122;42.8;78.4;66.9;66.7;101.6;53.2;163.7;64;40.6;18.1;90.4;111.2;151.3;106.7;73.6;124.6;80.8;85.8;45.3;55.3;27.6;124.4;159.9;59.1;143.9;138.8;1;94.6
51354;305.4;304.9;234.2;175.7;283.6;379;184.5;414.5;212.5;322.5;210.4;244.8;191.1;282.1;269.8;68.9;477.3;211.9;143.4;137.6;237.7;449.2;398.4;234;197.3;302.3;208.8;186.1;133.1;231.6;184.7;319.2;364.6;173.7;447.8;282.5;9.1;254.4
51359;334.6;306;216.2;190.2;276.1;366.9;238.9;397.2;229.2;317.3;288.2;253;181.3;267;285.2;64.1;499;199.1;157.2;133.8;226.8;430.8;350.6;221.2;165.2;278.6;199.9;227.3;125;240.4;196.3;297.8;314.6;153;400.8;279.2;0.4;251.6
51361;132.2;138;72.8;81.4;102.2;153.3;93.4;118.3;109.3;138.6;144.9;107.9;42;91.9;129.8;59.1;165.7;135;80.3;59.3;79.6;143.7;93.5;66.3;63.3;121.1;58.7;95.1;55.4;110.3;68.5;43.3;108.8;124.4;137.5;82.9;31.6;98.4
51363;167.9;108.8;63.8;52.7;118.4;123.1;96.6;178.4;115;159.4;96;86.1;86.1;85.1;122.2;96.7;193.5;129.5;42.7;28.5;92;172.4;185.9;122.5;90.7;154.7;91.5;124.3;64.8;113.5;44.1;98.2;182.1;98.8;139.9;169;0.2;110.7
51364;253.7;111.7;67.3;60.7;123.6;167.7;98.8;205.1;121.7;176;76.3;161.5;121.6;86.2;169.4;65.2;203.7;133.7;49.5;31.5;97.3;234;218;133.2;80.6;186.1;91.1;123.5;73.1;106.6;34.1;102.7;184;127.2;133.7;121;0.5;122.5
51377;181.4;151;80.1;57.2;195.3;151.9;92.2;215.4;134.1;162.8;60.7;120.8;46.7;126.3;80;44.9;250.8;81;87.5;32.5;148.2;98.5;153.6;192.7;92.5;128.3;124.4;55;93.1;126.5;50;216.1;227.7;40.1;155.2;171;49.3;120.9
51380;206.8;140.1;98.8;104.4;165.3;239.3;176;183.1;186.3;214.9;70;234.9;61.5;102.6;98.5;111.9;215.7;129.1;106;75.4;110.9;124.3;98.3;178.4;125;186.5;120;83.7;82.7;99;37.3;260.1;228.3;56.2;208.6;170.7;7.9;137.8
51384;148.2;127.8;91.4;61.3;112.8;183.5;98.1;213.9;143;169.2;80.3;123.3;53.6;116.6;100.8;40.8;242.8;80;73.8;39.7;147.8;131.1;150.3;140.3;113.5;121.8;106.9;54.3;79.5;133.4;57.3;180.1;215.7;78.6;175.6;136.1;25.4;117.5
51388;253.9;174.4;137.6;134.4;243;187;138.1;238.6;167.7;167.7;105;158.7;63.1;125;146.1;106.6;235.3;150.1;137.5;90.4;134.8;156.4;150.7;216.3;129.9;193.5;153.4;94.1;116;130.4;63;312.8;334;72.2;266;228.6;66;161.6
