code;1981;1982;1983;1984;1985;1986;1987;1988;1989;1990;1991;1992;1993;1994;1995;1996;1997;1998;1999;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;average
51333;-999;4.7;6.7;8.8;-999;4;4.7;4.8;12.7;9.1;13.7;7.8;12.6;5.2;10.2;23.4;4.9;8.8;11;12;12.1;12;12.6;9.3;11.1;-999;9;8.8;7.5;6.3;11.6;-999;-999;4.7;6;-999;10.8;9.3
51334;-999;4;8.5;8.7;-999;4.4;5.9;5;11.8;6;12.8;8.7;10.7;4.9;9;22.1;4.5;6;3.7;13;10.5;10.2;10.5;11.3;13.5;-999;9.6;9;8;7.1;10.9;-999;-999;5.9;6;-999;11.7;8.8
51336;-999;4.4;8.5;8.5;-999;3.6;5.2;4.9;11.9;7.2;11.7;8.4;11.9;4;11;22.8;4.8;6.9;10.2;10.8;11;10;11.2;11.6;10.6;-999;9.5;8.7;8.5;6;10.8;-999;-999;3.3;5.9;-999;12;8.9
51337;-999;5.3;9.8;7.6;-999;5.6;5.7;4.2;11.9;9.1;9.4;10.2;12.1;5.1;12.6;13.9;5.4;7.9;7.5;6.8;10.5;7.6;11;7.9;11.8;-999;9.5;8.8;11.8;8;12;-999;-999;5.6;5.8;-999;13.6;8.8
51350;-999;6.3;7.5;8.6;-999;5.3;5.1;4.9;12;10.3;12.7;12;9.5;8.2;11.8;22.4;7.5;14.2;8.5;18.5;14.3;14.1;17.6;13.7;9.9;-999;8.3;7.5;7.7;12;10.4;-999;-999;5.5;6.3;-999;19.6;10.7
51366;-999;4;6.3;3;-999;1.7;3.1;2;7.5;1.9;2.8;4.8;6.3;4;3.7;4.8;1.9;3.9;2.1;2.7;3.3;3.4;4.6;2.4;4.5;-999;6.5;7.8;2.8;2.9;7.8;-999;-999;4.5;1.7;-999;5.6;4
51368;-999;3.2;6.1;3.8;-999;1.9;3.7;2.9;7.4;1.4;2;5.3;4.7;4;4.1;3.2;1.8;2.6;1.5;2.9;2.5;2.7;4.4;1.7;3.3;-999;6.4;7.1;1.5;4.5;4.6;-999;-999;3.7;1.5;-999;5;3.6
51369;-999;4.5;4.3;3.6;-999;1.8;4.9;3.4;6.7;1.4;1.6;6.3;5.7;3.9;3.8;2.8;1.9;2.7;3.6;2.9;2.1;2.9;4.7;2.1;3.5;-999;8.5;7.7;1.8;3.6;9;-999;-999;4.9;3;-999;4.3;4
51371;-999;3.5;6.8;3.8;-999;2.3;3.5;1.4;6.9;1.8;2.4;4.6;4.9;4.1;3.4;4.7;1.8;3.2;1.4;3.4;3.3;2.8;5.8;2.3;6.1;-999;4.8;7.8;2.7;2.5;4.4;-999;-999;3.9;1.7;-999;6;3.8
51372;-999;3.2;7.3;2.8;-999;2;3.7;2.3;6.9;1;3;5.4;8;4.4;4.2;5;2;4;1.8;2.9;3.5;4.6;5.9;2.7;5.6;-999;8.5;8;2.6;3.4;11.8;-999;-999;5.4;3.1;-999;6.1;4.5
51375;-999;4;3;4;-999;1.9;4.9;2.6;5.9;1.1;1.4;5.1;4.6;3.4;2.1;2.5;2;2.4;3;2.9;1.2;2;4.7;1.7;2.5;-999;7.8;7.2;1.2;3.2;5.3;-999;-999;4.2;2.4;-999;5.1;3.4
51378;-999;3.6;12.3;3.3;-999;2;4.4;2.2;7.2;3.2;4.4;6.7;8.9;6;5.3;6.1;3.7;4.2;3.3;4.1;4.4;5.9;7.1;4.5;8.3;-999;8.4;8;4.7;4.4;13.8;-999;-999;9.3;4;-999;9.4;5.9
51382;-999;5.7;10.7;4.7;-999;3.1;5.3;3.6;9;3.1;6.3;11.7;10.9;6.6;6.4;7.1;3.6;4.3;5.7;4.3;6.4;7.9;5.1;3.7;8.5;-999;9.3;8;7;4.5;15.7;-999;-999;7.2;4.7;-999;9.5;6.8
51385;-999;6;13.4;6.4;-999;6.1;14.2;4;10.9;5.4;11.1;14.3;13.6;7.6;10.4;9.1;6;5.7;7.5;8.2;9.1;8.2;9.1;7.7;9.3;-999;8.2;8.9;13.9;10;24.6;-999;-999;19.5;5.3;-999;12.1;9.9
51386;-999;5.8;11.6;7.6;-999;4.5;6.7;4.1;11.4;7.5;10.3;8.8;12.9;9.6;10.7;16.5;4;6.1;7.2;7.4;10.7;11.2;8.8;7;10.8;-999;9.5;8.5;10.8;7.6;14.7;-999;-999;6.2;5.8;-999;12.2;8.9
51391;-999;6;8.4;5.7;-999;4.4;10.2;4;10.3;3.2;10.4;14.4;13.8;6.2;8;8.5;5.2;5;6.3;4.6;10.6;8.5;11.3;5.5;5.1;-999;8.4;8.7;6.1;8.1;19.1;-999;-999;9.5;5.4;-999;6;8
51393;-999;5.5;12.4;5.5;-999;4.2;9.3;4;10.3;4.6;9.7;13.5;13.4;9.9;6.6;7.9;4.1;5.3;5.9;5.2;9.6;7.1;10.7;5.8;8.1;-999;8.9;8.8;10;7.7;20.9;-999;-999;11.1;4.9;-999;11.7;8.5
51395;-999;5.1;5.9;5;-999;2.9;6.5;4;8.5;2.4;5.7;9.5;12.1;5;4.7;6.4;3.2;4.7;4.6;4.3;7;4.4;10.9;3.7;4.4;-999;7.4;8.4;3.7;4.8;12.2;-999;-999;6.8;4.6;-999;5.2;5.9
51396;-999;4.2;3.7;3.9;-999;2.2;4.3;2.8;4.1;1.8;2.6;5.8;4.8;3.4;2.8;2.3;2.3;2.9;2.8;2.6;1.3;2.2;7;1.5;2.9;-999;6.5;7.4;1.2;3.8;4.8;-999;-999;4.2;2.2;-999;6.3;3.6
51398;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999
51402;-999;4.4;3.5;4.2;-999;1.7;6.2;3.1;7.7;1.5;1.7;6.4;6.6;3.2;3.2;4;2.4;2.9;3.1;2.3;2.7;2.8;5.4;2;3.4;-999;8.4;7.4;2.8;2.6;10.2;-999;-999;4.7;3.8;-999;3.1;4.1
68769;-999;5.7;6.7;4.3;-999;2.8;6.5;4;8.1;2.9;5.3;11;10.7;5;6.9;7.2;4;4.2;4.6;3.7;3.9;5.9;7.6;4;4.9;-999;9.1;8.1;4.7;3.8;17.9;-999;-999;6.4;4.3;-999;6.2;6.1
