code;1981;1982;1983;1984;1985;1986;1987;1988;1989;1990;1991;1992;1993;1994;1995;1996;1997;1998;1999;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;average
51333;53;62.5;51;22.7;74.9;37.6;80.9;41;58.1;41.8;69.8;66.7;20.7;44.2;80.8;75.4;71.8;54;77.1;29.6;39.9;54.5;64.8;58.8;57.4;79;58.3;72.3;39.8;58.9;19.7;54.7;46.6;13.2;48.1;51.7;8.3;52.4
51334;42.7;67.4;79.5;41.5;49.8;52.8;67.4;52.7;52.8;54.6;61.3;54.1;35.6;56.2;76;36.4;59.2;44.6;56.7;42.6;98.8;73.3;55.9;42.5;58.6;53.3;45.9;64;41;80;105.5;60.2;56;52;56.1;60.4;5.6;56.6
51336;47.6;79.3;78.8;28.2;71;51;77;49.3;60.3;45.5;68.8;59.5;30.5;54.2;90.1;52.9;66.3;51.3;77.1;39.4;73;64;65.8;50.4;57.6;58.7;51.6;79.9;49.7;77.4;58.1;60;56.8;31.6;56.1;74.5;8.1;58.1
51337;36.5;53.6;41.7;17.5;39.9;30.3;52;37.6;44.7;36.2;45;40.7;17.1;30.8;63.2;53;49.3;43.1;42.9;20.7;51.7;53;44.2;44.2;39.6;38.4;43.8;34.9;49.7;46.4;22.6;38.5;44.4;27.4;32.3;38;28;39.8
51350;31.2;48.5;41.1;27.9;42.2;37.6;56.4;35.3;42.3;46.9;56.5;65.6;15.6;35.9;39;32.4;52.2;36.1;50.2;29.5;50.8;67;51.6;56.4;58.4;47.1;39.6;51.3;34.2;69.4;27;62.5;38.3;25.7;52.3;42.5;2.4;43.2
51366;39.6;28.7;34.5;21.1;38.8;34;28.4;39.9;25.1;26.9;19;27.8;38.6;33.5;33.2;19.8;22.3;37;17.2;21.2;31.8;30.7;37.3;37.2;21.1;22.5;23.8;19.3;27.5;23.5;20.4;43.2;45.8;19.9;30.3;27.4;19.7;28.9
51368;31.5;26.3;30.3;19.8;46.6;43.7;24.6;51.3;23.9;21.3;18.6;17.5;28.8;24;26.3;18.5;19.7;36.4;15.6;17;27.9;31.7;35.1;29.2;19.5;19.2;20.6;17.9;27.1;20.3;15.7;35.5;38.8;16.6;21.3;24.7;21.7;26.1
51369;34;34.3;32.6;23;34.4;33.7;25.9;54.4;24.9;25.8;20.4;25.8;28.4;29.5;30.9;20;25.2;34;16.2;16;22.3;40.6;44.4;35.7;19.9;19.4;19.9;19.7;22.3;19.9;18.3;33.3;36.2;17.6;28.1;30.8;20.3;27.5
51371;27.7;24.8;29.7;22.8;46.4;42.2;28.6;37.5;28.8;24.2;17.5;23.5;31;30.6;29;17.2;17.9;38.5;15.5;19.2;29.7;29.7;30.2;32.4;19;17.9;21.4;16.7;28;25.6;24;34.4;49.9;15.4;24.1;23.2;25.6;27
51372;42.9;28.9;37.5;24.4;49.3;26.9;29.8;38.3;26;29.2;22.2;29.7;42;38.1;36.6;20.7;28.3;38.3;17.7;23.1;29;32.9;40.7;33.9;22.3;23.4;22.7;24;22.4;21.9;21.3;40.6;45.7;24.2;32.5;29.8;24;30.3
51375;33.6;31.5;34.9;27.1;34.7;44.9;26.8;55.8;24;22.7;24;19.6;24.8;26.4;31;21.5;28;38.7;16.7;16.7;20.6;38;41.1;26.6;20.4;21.2;19.3;20.3;24.4;20;18.2;32.1;28;17.6;26.3;28.9;17.1;27.1
51378;37.4;30.1;38.9;26.4;43.2;21.8;24.6;32.1;29.4;29;21.5;25.4;31.9;36.1;39.2;24.6;27.4;35.3;17.3;24.5;35.7;32.5;45;32.5;25.6;28.7;19.7;23;25;22.1;21.4;32.2;37.8;26.9;30.8;28.3;30.2;29.6
51382;35.2;29.9;42.7;28.8;35.5;22;28.5;34.4;26.9;29.1;17.9;29.7;26.2;40.5;31.1;26.8;26.5;37.5;15.4;15.4;35.1;40.9;39.6;53.5;28.8;24.9;27.4;21.4;31.1;28.3;29.2;36.9;36;19.4;31.4;33.8;40.6;30.8
51385;36;43.6;38.6;29.6;44.3;22.4;32.1;31.6;25.5;24.4;26.4;40.3;26.8;48.6;39.6;42.6;28.9;28.7;23.8;24.2;35.4;33.4;40.9;35.9;33.1;29.1;31.1;32.5;47.9;36.4;47.7;37.4;36.6;29.3;33;31;36.7;34.2
51386;32.2;36;39;20.9;42.9;22.4;36.8;33.6;37.8;34.5;43.2;35.3;18.5;29.5;51.9;49.4;44.1;40.7;35.7;22.8;35.1;59.2;34.5;39.6;34.7;37.5;40.5;30.8;38.2;42.7;23.8;33.6;37.9;13.1;30.2;32.9;30.6;35.2
51391;19.5;39;32;30.5;33.5;25;28.9;27.7;21;20.7;34.5;29.3;25.5;27.9;25.3;35.9;26.4;27.7;25.4;21.1;28.7;44.1;34.1;25.1;22.3;27.2;32.3;28.8;44.7;27.5;38.9;28.8;27.8;21.3;26;28.8;28;29
51393;31.1;37.4;39.1;32.8;34.1;21.7;30;33.6;28.1;26.1;19.9;33;25.9;43;30.6;37.4;26.2;27.6;18.5;20.8;34.8;34.8;37.2;36;27.6;27.9;31.8;27.5;44;34;33.5;39.1;37.7;19.5;29.4;37.4;36.8;31.5
51395;26.6;36.1;33.7;36.9;26.5;24.7;28.9;35.2;23.8;22.2;24.8;27.7;21.9;32.5;30.4;37.6;25.6;26.4;21;23.4;26.8;40.3;30.9;25.2;20.8;27.5;29.6;24.2;42.2;26.1;34.3;30.8;26.3;18;28.2;31.1;23;28.4
