code;1981;1982;1983;1984;1985;1986;1987;1988;1989;1990;1991;1992;1993;1994;1995;1996;1997;1998;1999;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;average
51333;369.5;221;229.9;114.8;293.4;299.4;201.9;286.6;260;284.5;145;334.8;86.7;223.9;220;113.3;469.3;183.1;184.8;116.7;181.6;239.7;250.3;291.4;200.8;271.6;217.8;133.9;127;187.3;82.5;417.5;465;85.8;315.8;257.3;24.5;226.7
51334;347;241.4;356.5;196.2;324.7;340.7;244.1;468;275.1;346;180.6;281.3;176.8;326;262.7;99.8;456.7;211.5;174.4;139.8;339.3;337.3;276.4;154.5;176.9;235;213.7;202;154.8;229.7;172.6;380.9;377.7;163.4;385.3;317.5;13.8;258.9
51336;345.2;247.4;303.7;156.3;333.3;365;215.7;410.5;281.5;333.4;178.5;296.4;145.9;298.1;247.1;100;498.9;216.3;201.6;131.4;291.8;287.2;285;217.2;199;261.2;212.8;165.3;154;226.6;141;399.4;460.4;130.5;389.2;328.9;21.2;256.1
51337;229.6;197.6;133.7;84.8;173.3;251.4;133.2;270.3;192.1;231;117.2;170.7;74.7;160.9;153.9;74.9;320.4;131.4;117.8;71.7;212.1;176.7;186.5;201.7;145.1;177.5;155.6;80;127.6;200.5;80.7;296;342.7;85.4;236.5;224;44.5;169.3
51350;259.4;180.2;170.9;135.3;237.4;264.3;182.1;250.3;229.5;282.8;145.6;273.1;83.8;128.7;126.5;70.6;322.6;131.7;123;107.6;148.5;174.1;146.3;177.3;160.3;208.5;164.8;121.5;96.3;130.2;76.3;282.7;241.2;85.6;262;215.4;4.9;173
51366;314;250.4;212.7;202.6;303.9;287.1;163;320.9;180.1;244.8;187.2;208.4;167.5;186.6;228.9;174.1;246.8;221.5;233.8;193.9;235.7;246.6;243.8;283.9;173.9;251.3;158.9;165.6;227.6;248.5;141.9;381.3;368.3;124.1;355.6;367.7;128.2;233.3
51368;241.9;200.6;189.2;180;257.5;273.3;141.7;320.6;154.4;205.8;191.6;161;164.4;186.5;214.2;159;224.9;219.2;215.4;161.6;218.5;245.9;245.8;264.7;154.1;233.8;161.5;164.5;241.6;199.4;137.1;313.9;313.5;114.6;282.8;315.8;95.9;209.9
51369;271.3;212.5;205;179.1;274.8;280.4;155.1;345.9;160.8;248.4;201;210.3;160.3;196.5;253.2;187;303.4;244.5;204.3;157.6;206.8;249.7;259.6;300;178.3;274.9;148.6;173.8;224.7;223;132.3;324.3;306.1;120.9;299.9;375.6;108.5;225.9
51371;261.7;246.2;187.5;202.6;276.5;282.7;170.3;311.4;170;220.3;188.9;169.9;170.5;198.2;231.3;143.5;209.8;227.7;232.7;169.2;219.1;252.3;228.2;270.8;154.4;220.7;181.9;149.3;230.4;213.9;154.5;315.5;325.6;114.4;292.4;289.7;104.6;215.9
51372;322.3;250.7;208.6;215.2;327.4;288.6;180.3;316.7;191.1;264.3;179.1;219.2;151.9;196.8;227;197.1;279.6;227.5;218.1;187.7;232.3;216.5;236.1;287.6;175.3;268.8;163.6;178.5;190.8;263.4;125.8;369.9;365.2;112.9;357.4;376.4;121.9;234.9
