code;1981;1982;1983;1984;1985;1986;1987;1988;1989;1990;1991;1992;1993;1994;1995;1996;1997;1998;1999;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;average
51338;17.8;14.9;16.8;8.5;11.9;17.2;11.3;25;27.7;8.2;37.7;7.8;7.9;20.1;11.6;18.7;15.3;18.4;16.2;10.7;10.2;12.7;33.6;16.9;9.7;31.2;30;7.9;8.5;15.4;42.8;45.9;24.5;61.4;10.9;17.9;53.2;20.4
51340;15.4;9.2;14.8;13.6;24.3;22.9;20.5;16.4;23.3;8.8;11.5;10.7;11.1;13.7;25.6;8.8;8.9;16.9;15.7;13.1;9.1;15.7;12.7;10;9.7;21.2;17.7;14;9.1;18;10.6;21.2;11.5;10.4;13.2;12.5;30.4;14.9
51341;16.2;11.1;9.8;8.3;17.8;18.8;17.4;13.7;20.8;9.5;17.4;9.4;10.9;12.2;31.9;8.7;10.5;12;14.4;17.5;8.4;15.2;13;7.7;13.4;14.9;13.4;9.5;9.1;12.7;8.9;18.7;13.8;11;12.1;14.4;55.4;14.6
51342;17.7;6.8;16.3;18.3;33;23.2;99.2;17.9;9.1;6.3;8.8;10.3;10.6;8.7;15.6;8.3;9.8;13.9;11.8;9.8;8.2;10.9;8.1;7.7;7.7;20;14.5;11.2;9.6;18.1;13.5;12.6;6.9;6.3;10.4;7.2;31.8;15.1
51344;21.4;10.9;12.9;18.3;23.2;25.5;18.9;20.7;27.9;11.3;17.4;9.8;11.1;15.9;46.3;9.3;11.9;17;18.4;15.5;10;20.2;12.8;9.2;11.2;21.7;14.4;12.9;9.7;17.4;10.1;23.2;16.5;10.6;13.4;13.4;55.9;17.5
51345;8.2;6.2;5.9;5.8;7.7;11.8;8.5;8.5;10.6;5.2;11.4;6.3;6.6;5.5;10.1;4.1;5;4.6;7.3;7.9;4.3;7.7;7.8;5.4;6.2;6.7;7.6;4.4;5.2;4.3;4.3;9.3;5.2;6.2;5.4;8;12.4;7
51346;7.7;3.7;7.5;3.9;8.3;6.9;8.2;6.4;5.7;3.8;5.8;4.4;4.9;4.8;7.6;3.7;3.2;5.7;5.3;4.4;3.9;5.5;5.5;4.6;4;7.3;5.5;4.5;3.8;5.9;4.5;5.1;3.8;4.9;5.7;4.6;12.9;5.5
51347;9.4;5.1;8.9;3.5;5.1;3.6;6.3;6.2;5.5;3;5.2;4.2;2.9;4.1;6;3.8;2.9;4.6;4.8;2.7;3.4;4.1;5.2;2.8;6.3;3.5;6.6;2.7;2.1;5.2;7.4;4.7;4.2;13.2;3.9;4.2;45.6;6
51348;0.6;0.2;0.7;0.1;0.2;0.3;0.3;0.3;0.3;0.2;0.3;0.2;0.3;0.6;0.3;0.6;0.3;0.5;0.3;0.2;0.3;0.2;0.6;0.4;0.3;0.9;0.5;0.1;0.2;0.6;0.8;0.5;0.3;1;0.2;0.2;21;0.9
51349;6.1;3.9;4.4;3.8;3;3.9;5.2;3.7;5.2;2.6;6.9;3.6;3.1;3.4;4.8;2.7;3.3;2.9;3.4;3.1;2.9;4.4;4.8;3;3.5;3.6;3.2;1.8;1.9;2.8;2.9;4;3.1;4.1;3.4;4;29.1;4.4
51351;3.3;2.8;3.2;3.1;2.7;3.6;4.4;3.1;4.1;2.5;6;3;2.6;2.6;4.3;2.4;3;2.7;3.3;2.5;2.4;2.8;3.7;2.4;2.1;2.8;2.7;1.6;1.9;1.9;2.7;3.7;2.4;2.7;2.7;3.8;21;3.5
51352;1.6;0.9;2.9;1;1.3;1.3;2;1.5;1;1.3;1.4;1.2;1;1.7;1.3;1.2;1.9;1.6;1.3;1.3;1.7;1.1;2.5;0.8;0.9;4.7;4;1;0.9;1.2;1.4;1.5;1.1;3.2;1.2;0.9;26;2.2
51354;13.2;7.4;17.1;5;7.8;6;7.6;18.6;10.6;5;17;6.7;5.8;12.3;8.3;10.9;6.4;10.4;8.4;7.6;8.2;5.6;27.4;12.3;10.9;44.3;17.8;4.9;5.8;15.7;29.3;15.8;8.2;51.9;6;10.3;98.4;15.3
51359;7.5;3.3;9.1;2.2;3.3;2.5;4.5;5.7;4;1.8;3.4;2.9;2;3.3;3.9;3.8;2.7;3.4;3.2;2.5;3.2;2.7;4.1;2.8;5.3;15.4;3.9;2;2;4.8;5.7;3.3;2.4;14.7;2.5;2.1;72.4;6.1
51361;9.7;2.8;6.2;4.3;7.5;5.5;22.4;5.8;3.2;2.5;3.9;4.4;4;3.4;6.9;3.2;3.1;4.7;4.3;3.6;2.9;4.3;3.1;3.3;2.9;8.6;6.6;3.2;3.1;5.2;5.4;4.5;2.7;3.4;4.3;3;33.6;5.7
51363;3.9;1;1.9;1.1;1.8;1.4;2.8;1.5;1.4;1.4;1.4;1.4;0.9;1.5;2.4;1.2;1.2;1.9;1.5;1.6;1.6;0.9;1.4;0.8;0.8;1.1;2.5;1.1;0.6;0.7;0.8;1.4;1.6;2;1.5;0.9;22.6;2
51364;1.9;0.6;0.8;0.4;1;0.9;1.6;0.8;0.8;0.6;0.9;0.8;0.4;0.7;1.5;0.6;0.6;1;0.8;0.7;0.8;0.4;0.6;0.3;0.2;0.5;1.9;0.5;0.2;0.3;0.4;0.7;0.6;1;0.7;0.6;31.9;1.6
51377;24;34.3;27.4;10.2;25.1;29;30.3;20.7;26.8;28.1;38.4;33;26.2;37.2;38.5;35.5;31.3;33.3;33.2;38.8;41.2;37.2;33.8;43.3;29.9;42.1;39.9;29.9;15.4;49.7;31;26.2;26.8;39.4;17.5;24.9;31.8;31.4
51380;2.8;1.9;3.1;3.1;1.6;2;2.8;2.9;4.1;2.5;3;1.7;1.4;2.2;2.5;2.8;2.3;2.1;2.8;1.1;1.7;1.6;5.4;0.8;1.4;3.4;3.8;0.9;0.8;1.7;4.9;2.8;2.7;3.7;1.8;2.1;16.8;2.8
51384;16.5;22.5;26.3;8.2;17.2;23.6;22.7;25.5;24.3;24.6;35.1;28;16.8;33;19.4;29.1;19.3;29.4;25.9;29.6;44.6;19.5;37.9;41.2;12.7;36.4;41.1;19.5;12;30.9;33.3;26.8;25.7;55.6;18.1;22;37.2;26.8
51388;11.1;14.6;19.6;10.4;12.3;15.6;17.8;25.6;17.3;24.4;20.2;14.6;17.8;23.2;16;19.1;23.4;20.1;23;10.3;18.3;17.4;34;22.4;23.9;23;18;18.9;15.3;24.9;30.4;23.8;23.2;33.5;17.7;18;19.1;19.9
51389;8.3;6.3;11.3;2.5;3.8;8.2;6.1;6.7;8;6.7;13;4.8;5.7;16.8;5.6;16.9;7.8;10.7;7.9;11.3;11.5;5.8;13.9;8.9;5.7;17.9;14.9;5.1;4.9;11.2;15.1;9.3;6.2;24.4;7.6;5.7;34.6;10
51392;13;8.3;18.5;3;7;9.1;5.1;11.2;5.2;7;10.9;4.9;5.7;17.3;5;13.1;11.6;14.5;6.9;9.5;8.8;6.7;14.9;9.7;5.5;19;20.3;8.6;3.5;10.8;10.3;11.9;9.2;17;6;6.4;11.1;9.9
51394;16.6;21.8;28.4;14.7;28.3;27;29.9;21.9;19.8;26.7;27.5;21.4;22.6;54.4;22.4;34.7;29;27.2;28.4;35.4;20.9;23.8;29.5;39.6;22.2;38.5;38.6;31.3;17.4;30.8;33.3;36.6;23.1;33.8;20.5;20.8;44.4;28.2
